[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150311,0.00000400,0.00000495,0.00000250,0.00000361,4.09792614,1094802.48725952
20150312,0.00000410,0.00000492,0.00000388,0.00000488,2.08656432,464198.61347386
20150313,0.00000440,0.00000459,0.00000300,0.00000315,1.62113154,453478.28161262
20150314,0.00000317,0.00000378,0.00000315,0.00000325,1.71578523,505338.06037290
20150315,0.00000338,0.00000380,0.00000265,0.00000313,2.10302592,673834.14089933
20150316,0.00000312,0.00000433,0.00000286,0.00000323,0.51056971,149517.84817807
20150317,0.00000326,0.00000498,0.00000323,0.00000472,2.29253936,565406.10810089
20150318,0.00000429,0.00000429,0.00000352,0.00000360,1.60251164,437338.85277400
20150319,0.00000353,0.00000395,0.00000296,0.00000355,1.45804603,419202.54947175
20150320,0.00000355,0.00000436,0.00000331,0.00000391,0.78727874,208048.34506721
20150321,0.00000394,0.00000429,0.00000380,0.00000380,1.11618144,285388.65188396
20150322,0.00000381,0.00000472,0.00000380,0.00000440,0.92335284,224379.34624084
20150323,0.00000458,0.00000495,0.00000403,0.00000463,1.56667332,338227.46659815
20150324,0.00000451,0.00000470,0.00000420,0.00000442,0.74605785,171328.51635503
20150325,0.00000424,0.00000424,0.00000351,0.00000367,1.38576433,361155.54406556
20150326,0.00000367,0.00000382,0.00000300,0.00000330,3.03194252,915825.15145543
20150327,0.00000330,0.00000364,0.00000310,0.00000320,0.48275629,145172.46880869
20150328,0.00000345,0.00000428,0.00000330,0.00000399,0.98398057,241078.80921283
20150329,0.00000399,0.00000460,0.00000399,0.00000460,0.61732996,144802.79825900
20150330,0.00000459,0.00000500,0.00000395,0.00000403,1.01843343,221536.74630320
20150331,0.00000443,0.00000460,0.00000380,0.00000393,0.75322616,172890.86885962
20150401,0.00000385,0.00000404,0.00000370,0.00000370,0.19077745,51005.17816681
20150402,0.00000370,0.00000404,0.00000370,0.00000370,0.83099587,207647.51792666
20150403,0.00000370,0.00000481,0.00000328,0.00000328,2.49310066,683007.28722085
20150404,0.00000394,0.00000399,0.00000360,0.00000365,0.16155342,43341.40591872
20150405,0.00000365,0.00000403,0.00000298,0.00000300,3.41133794,1081161.09511210
20150406,0.00000305,0.00000355,0.00000292,0.00000336,1.79834251,584591.84148191
20150407,0.00000336,0.00000355,0.00000297,0.00000299,1.77057403,529187.15079661
20150408,0.00000300,0.00000356,0.00000297,0.00000301,3.27638301,1038040.52088671
20150409,0.00000310,0.00000315,0.00000292,0.00000315,0.54840673,179666.15235311
