[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140217,0.00039982,0.00041177,0.00038771,0.00039537,0.05782726,144.74400000
20140218,0.00039840,0.00040820,0.00038901,0.00040310,0.05850232,146.93000000
20140219,0.00040310,0.00044689,0.00039454,0.00043149,0.03588339,84.56400000
20140220,0.00043253,0.00047659,0.00042751,0.00044367,0.03660990,81.74900000
20140221,0.00044115,0.00045557,0.00042967,0.00044663,0.05903810,133.45600000
20140222,0.00044477,0.00050000,0.00035000,0.00044000,0.13143224,311.70000000
20140223,0.00044000,0.00045000,0.00043114,0.00043605,0.03307611,75.22400000
20140224,0.00043413,0.00044265,0.00042802,0.00043670,0.07520611,172.53800000
20140225,0.00043387,0.00044407,0.00038518,0.00040799,0.03384766,79.78500000
20140228,0.00040189,0.00040189,0.00040189,0.00040189,0.00005466,0.13600000
20140301,0.00040189,0.00040401,0.00040118,0.00040401,0.00042109,1.04600000
20140303,0.00039437,0.00039437,0.00038346,0.00038346,0.00064132,1.64900000
20140316,0.00040401,0.00040416,0.00022600,0.00022600,0.00390987,17.16795000
20140323,0.00037000,0.00037500,0.00037000,0.00037500,0.02868250,77.00000000
20140324,0.00002950,0.00002950,0.00002950,0.00002950,0.00227150,77.00000000
20140331,0.00002950,0.00002950,0.00002950,0.00002950,0.00008555,2.90000000
20140403,0.00002666,0.00002666,0.00002666,0.00002666,0.00000267,0.10000000
20140407,0.00002000,0.00002000,0.00002000,0.00002000,0.00000898,0.44897008
20140409,0.00024000,0.00024000,0.00024000,0.00024000,0.01197600,49.90000000
20140410,0.00024000,0.00029000,0.00002500,0.00002500,0.01134900,90.40000000
20140412,0.00005000,0.00025000,0.00005000,0.00025000,0.00780735,38.73103014
20140413,0.00006000,0.00006000,0.00006000,0.00006000,0.00000156,0.02600000
20140414,0.00006000,0.00028500,0.00006000,0.00028500,0.00511774,45.47233636
20140415,0.00015000,0.00015000,0.00015000,0.00015000,0.00040188,2.67920070
20140416,0.00027000,0.00030000,0.00027000,0.00030000,0.01444434,50.64780147
20140417,0.00030000,0.00037000,0.00030000,0.00037000,0.02547159,80.23863334
20140418,0.00030000,0.00030000,0.00030000,0.00030000,0.00000001,0.00003186
20140419,0.00002000,0.00002000,0.00002000,0.00002000,0.00224468,112.23388865
20140420,0.00010001,0.00010001,0.00010001,0.00010001,0.02515958,251.57068849
20140421,0.00025000,0.00025000,0.00012512,0.00012512,0.00146373,7.78715362
20140424,0.00020142,0.00020142,0.00020142,0.00020142,0.00274982,13.65217639
20140425,0.00001000,0.00001000,0.00001000,0.00001000,0.00000010,0.01000000
20140427,0.00021999,0.00025000,0.00002400,0.00002400,0.00030281,7.11122122
20140428,0.00010100,0.00010102,0.00010100,0.00010102,0.00014241,1.41000000
20140501,0.00012500,0.00012500,0.00012500,0.00012500,0.00000125,0.01000000
20140502,0.00023900,0.00024000,0.00023900,0.00024000,0.00798688,33.37447484
20140504,0.00017001,0.00017001,0.00017000,0.00017000,0.01381588,81.26945960
20140505,0.00020000,0.00020000,0.00020000,0.00020000,0.00520602,26.03012517
20140507,0.00017000,0.00017000,0.00017000,0.00017000,0.00155293,9.13489610
20140509,0.00017000,0.00018000,0.00017000,0.00018000,0.01822170,101.31000000
20140510,0.00017000,0.00017000,0.00017000,0.00017000,0.00850000,50.00000000
20140511,0.00018000,0.00018000,0.00018000,0.00018000,0.00144000,8.00000000
20140513,0.00017900,0.00018000,0.00017000,0.00017000,0.00814568,45.97329805
20140514,0.00017000,0.00020000,0.00017000,0.00020000,0.01993754,109.72761114
20140515,0.00019000,0.00019000,0.00017100,0.00017100,0.01445185,84.38739659
20140516,0.00019000,0.00019000,0.00017300,0.00017300,0.05137592,270.48630438
20140517,0.00020000,0.00020000,0.00017300,0.00018650,0.05142304,271.57679709
20140518,0.00017300,0.00018800,0.00017300,0.00018800,0.02175578,125.74093922
20140519,0.00017300,0.00017300,0.00017000,0.00017000,2.96665428,17450.51509493
20140520,0.00017000,0.00017000,0.00017000,0.00017000,0.01303940,76.70235287
20140521,0.00013989,0.00013989,0.00013989,0.00013989,0.00058631,4.19119750
20140522,0.00013990,0.00014200,0.00013989,0.00013990,0.01708168,121.23782735
20140523,0.00013990,0.00016000,0.00011190,0.00012151,0.06754765,490.75711673
20140524,0.00012151,0.00013000,0.00012150,0.00012152,0.01167854,95.77223980
20140525,0.00012152,0.00012152,0.00011190,0.00011500,0.02335622,193.61785585
20140526,0.00011500,0.00012150,0.00011500,0.00012150,0.05536276,457.20825948
20140527,0.00011500,0.00011500,0.00008869,0.00008869,0.00415906,37.44838480
20140528,0.00009010,0.00012150,0.00009000,0.00012150,0.00422475,38.45763145
20140529,0.00011190,0.00011190,0.00009010,0.00009014,0.00501468,55.51540776
20140530,0.00009014,0.00009015,0.00009014,0.00009015,0.00257331,28.54699468
20140531,0.00009015,0.00011190,0.00009015,0.00009040,0.00596247,58.80926872
20140601,0.00009040,0.00009100,0.00007100,0.00007101,0.04976055,562.46194765
20140602,0.00007100,0.00009000,0.00006002,0.00007100,0.01182439,149.63660581
20140603,0.00007100,0.00008000,0.00007100,0.00007302,0.00916405,123.09699662
20140604,0.00007302,0.00007302,0.00007300,0.00007301,0.00691415,94.70210842
20140605,0.00007301,0.00012136,0.00007100,0.00007100,0.01282378,159.47782863
20140606,0.00007100,0.00007100,0.00007100,0.00007100,0.00444269,62.57323256
20140607,0.00007100,0.00011894,0.00006002,0.00006006,0.02008373,310.73079773
20140608,0.00006006,0.00006007,0.00006002,0.00006002,0.00257663,42.92076420
20140609,0.00006002,0.00006009,0.00006002,0.00006009,0.00801327,133.37350834
20140610,0.00006009,0.00007999,0.00006009,0.00007003,0.02468726,345.62974258
20140611,0.00006506,0.00007252,0.00006010,0.00006010,0.02711979,386.28144061
20140612,0.00006515,0.00006515,0.00006021,0.00006021,0.01658373,264.61447480
20140613,0.00006022,0.00007010,0.00006022,0.00006028,0.01352187,219.39596372
20140614,0.00006036,0.00006040,0.00006036,0.00006040,0.00130039,21.54353519
20140615,0.00007009,0.00010000,0.00006160,0.00010000,0.05210837,693.20831161
20140616,0.00010000,0.00010000,0.00007000,0.00007002,0.00607997,79.14861398
20140617,0.00007001,0.00008000,0.00007001,0.00008000,0.00393169,54.57928321
20140618,0.00008500,0.00008899,0.00007000,0.00007000,0.03316714,393.78923502
20140619,0.00007000,0.00008000,0.00007000,0.00007100,0.00670525,94.25468495
20140620,0.00007003,0.00008800,0.00007003,0.00007005,0.04979194,698.61788880
20140621,0.00007004,0.00007800,0.00007004,0.00007011,0.02127666,281.74105939
20140622,0.00007011,0.00007011,0.00006802,0.00006802,0.02804441,400.31449696
20140623,0.00006802,0.00006890,0.00006800,0.00006890,0.13512960,1977.42974336
20140624,0.00006890,0.00006997,0.00006165,0.00006997,1.18269099,19175.43436029
20140625,0.00006201,0.00006997,0.00006167,0.00006167,0.04965310,789.33245396
20140626,0.00006163,0.00007400,0.00006160,0.00007400,0.04136102,628.85786094
20140627,0.00007400,0.00008000,0.00006170,0.00006183,0.03569672,547.40299252
20140628,0.00006183,0.00006441,0.00006183,0.00006400,0.01513202,237.78365677
20140629,0.00006420,0.00006746,0.00006342,0.00006342,0.06421017,1003.39769000
20140630,0.00006269,0.00006303,0.00006269,0.00006279,0.00319992,50.90173283
20140701,0.00006315,0.00006992,0.00006280,0.00006641,0.00744892,117.05222184
20140702,0.00006280,0.00006999,0.00006280,0.00006990,0.01180537,172.92809897
20140703,0.00006319,0.00006656,0.00006183,0.00006609,0.08215064,1283.49816346
20140704,0.00006598,0.00006999,0.00006453,0.00006859,0.04789310,692.15276338
20140705,0.00007072,0.00007072,0.00006450,0.00006922,0.01706244,242.23462766
20140706,0.00006922,0.00006922,0.00006522,0.00006533,0.05220052,788.77747360
20140707,0.00006556,0.00006697,0.00006556,0.00006697,0.00742073,110.85081769
20140708,0.00006697,0.00006697,0.00006002,0.00006002,0.00652758,101.05810308
20140709,0.00006046,0.00006482,0.00006002,0.00006114,0.05170881,800.81531139
20140710,0.00006114,0.00006256,0.00006114,0.00006200,0.02624112,428.71126749
20140711,0.00006056,0.00007227,0.00006002,0.00006002,0.02392022,374.31845978
20140712,0.00006002,0.00006064,0.00005422,0.00005788,0.00066380,11.39521255
20140713,0.00005921,0.00006139,0.00005100,0.00005931,0.00982332,168.66653161
20140714,0.00005993,0.00006500,0.00005100,0.00005766,0.18388793,2939.09878998
20140715,0.00005772,0.00017000,0.00005447,0.00008160,0.12195634,1246.49101036
20140716,0.00006006,0.00006085,0.00005700,0.00005882,0.04417112,740.49118470
20140717,0.00005726,0.00005863,0.00002217,0.00005501,0.04305769,804.00814241
20140718,0.00005779,0.00006459,0.00005502,0.00006459,0.05110517,919.30736628
20140719,0.00005994,0.00005997,0.00005502,0.00005894,0.13919463,2349.99374365
20140720,0.00005869,0.00005899,0.00005685,0.00005805,0.02018776,353.99065736
20140721,0.00005928,0.00006499,0.00003501,0.00006499,0.10093558,1585.86559399
20140722,0.00005854,0.00006000,0.00005811,0.00006000,0.01253053,210.47310784
20140723,0.00006000,0.00006110,0.00006000,0.00006000,0.15265097,2518.55200856
20140724,0.00006000,0.00006000,0.00005000,0.00005310,0.19382667,3729.89857467
20140725,0.00005315,0.00005907,0.00000939,0.00003001,0.03825227,966.05601247
20140726,0.00004427,0.00005230,0.00004427,0.00004800,0.01546821,322.65686122
20140727,0.00004810,0.00005365,0.00004810,0.00005365,0.00579692,119.39514955
20141116,0.00006825,0.00006875,0.00006825,0.00006874,0.00398526,58.03567722
20141117,0.00006397,0.00006600,0.00006391,0.00006392,0.07751072,1212.06227653
20141118,0.00006709,0.00011200,0.00006541,0.00007342,0.07141743,983.82070719
20141119,0.00007500,0.00010000,0.00006391,0.00006901,0.39742434,5479.22982245
20141120,0.00006901,0.00010990,0.00006901,0.00007000,0.68151985,9443.97875921
20141121,0.00007000,0.50000000,0.00006920,0.00007101,1.16976193,15711.85682687
20141122,0.00007101,0.00007591,0.00006920,0.00007044,0.94489181,13335.93741895
20141123,0.00007044,0.00007399,0.00006800,0.00006901,0.39610212,5754.93532298
20141124,0.00006901,0.00007059,0.00006800,0.00007054,0.14839182,2117.59149556
20141125,0.00007054,0.00007054,0.00006922,0.00006922,0.05125790,731.81297145
20141126,0.00006921,0.00007198,0.00006920,0.00006924,0.13254620,1864.63625694
20141127,0.00007126,0.00007198,0.00006923,0.00007198,0.24988431,3539.81050191
20141128,0.00007197,0.00007269,0.00006921,0.00007111,0.24587231,3510.84709215
20141129,0.00006926,0.00007126,0.00006800,0.00007054,0.16801366,2422.03870783
20141130,0.00007053,0.00007053,0.00006271,0.00007049,0.11060267,1627.67385885
20141201,0.00006700,0.00007050,0.00005801,0.00005813,0.07476036,1214.79269049
