[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170704,0.00090870,0.00232630,0.00000821,0.00001100,231.64263426,20602005.20302480
20170705,0.00001100,0.00001569,0.00000831,0.00000878,1565.01122049,143789719.52648953
20170706,0.00000878,0.00000935,0.00000581,0.00000755,1095.85692524,150547623.35641277
20170707,0.00000754,0.00000763,0.00000378,0.00000504,504.10255277,82835343.23168324
20170708,0.00000521,0.00000585,0.00000404,0.00000500,272.29441927,53699374.16971056
20170709,0.00000500,0.00000538,0.00000383,0.00000491,459.09395667,100767369.01051992
20170710,0.00000486,0.00000568,0.00000438,0.00000516,331.94037195,64688850.63385554
20170711,0.00000505,0.00000800,0.00000500,0.00000669,1084.42244309,179052179.80694708
20170712,0.00000668,0.00000789,0.00000560,0.00000749,490.83199695,72338090.02207339
20170713,0.00000751,0.00000799,0.00000590,0.00000647,302.23157990,44542122.22605511
20170714,0.00000645,0.00000670,0.00000555,0.00000560,100.89401096,16736173.13779782
20170715,0.00000559,0.00000587,0.00000491,0.00000521,126.47664749,23972555.06696828
20170716,0.00000521,0.00000643,0.00000400,0.00000606,168.84685516,33960126.77515912
20170717,0.00000605,0.00000643,0.00000472,0.00000573,222.90663569,39217772.85642333
20170718,0.00000572,0.00000621,0.00000530,0.00000592,172.41598552,29927129.81958093
20170719,0.00000592,0.00000592,0.00000462,0.00000506,219.34606466,42260743.46025942
20170720,0.00000507,0.00000517,0.00000401,0.00000436,145.55544393,30834345.04388031
20170721,0.00000436,0.00000488,0.00000350,0.00000420,252.54537877,61380837.59629796
20170722,0.00000420,0.00000440,0.00000390,0.00000418,179.55434794,43659106.31370269
20170723,0.00000419,0.00000500,0.00000407,0.00000495,222.49531758,49294916.36132108
20170724,0.00000499,0.00000545,0.00000454,0.00000473,336.86253578,68252791.18075764
20170725,0.00000475,0.00000482,0.00000419,0.00000430,155.88226271,35108695.54084104
20170726,0.00000437,0.00000458,0.00000400,0.00000424,156.34121214,37216597.67341858
20170727,0.00000423,0.00000448,0.00000405,0.00000418,121.47998658,28609747.55467687
20170728,0.00000415,0.00000455,0.00000394,0.00000407,173.44673812,41527109.63415964
20170729,0.00000407,0.00000434,0.00000392,0.00000425,45.59666361,11136288.37803620
20170730,0.00000424,0.00000443,0.00000408,0.00000411,37.34297287,8782458.30769759
20170731,0.00000415,0.00000435,0.00000381,0.00000405,106.62104662,26340432.02916235
20170801,0.00000404,0.00000469,0.00000400,0.00000455,132.11580442,30044439.79284852
20170802,0.00000460,0.00000496,0.00000430,0.00000448,106.52321310,23486609.16934938
