[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150506,0.00010000,0.00010000,0.00010000,0.00010000,15.12693243,151269.32572148
20150507,0.00010000,0.00010000,0.00010000,0.00010000,2.58292158,25829.21689850
20150508,0.00010000,0.00010000,0.00010000,0.00010000,1.20632498,12063.24994890
20150509,0.00010000,0.00010000,0.00010000,0.00010000,0.00799250,79.92509975
20150510,0.00010000,0.00010000,0.00010000,0.00010000,0.04163877,416.38774200
20150511,0.00010000,0.00010000,0.00010000,0.00010000,0.01013118,101.31188875
20150513,0.00010000,0.00010000,0.00010000,0.00010000,0.11204454,1120.44543175
20150514,0.00010000,0.00010000,0.00010000,0.00010000,3.85196086,38519.60866187
20150515,0.00010000,0.00010000,0.00010000,0.00010000,2.41480110,24148.01124250
20150516,0.00010000,0.00010000,0.00010000,0.00010000,1.01746728,10174.67296650
20150517,0.00010000,0.00010000,0.00010000,0.00010000,5.75469650,57546.96515250
20150518,0.00010000,0.00010000,0.00010000,0.00010000,11.31292135,113129.21447573
20150519,0.00010000,0.00010000,0.00010000,0.00010000,127.59997671,1275999.77279325
20150520,0.00010000,0.00010000,0.00010000,0.00010000,27.98286154,279828.61758200
20150522,0.00011000,0.00016637,0.00010001,0.00011898,24.79839353,196659.24932872
20150523,0.00011409,0.00014300,0.00011409,0.00013500,9.88219330,75668.57314058
20150524,0.00013500,0.00015200,0.00012001,0.00013494,7.90957489,58932.68451141
20150525,0.00013493,0.00013494,0.00011222,0.00013000,5.91098266,48211.40656672
20150526,0.00012100,0.00014000,0.00011121,0.00014000,8.26189954,65609.15260221
20150527,0.00014000,0.00014000,0.00010701,0.00013966,10.26208699,86783.92312903
20150528,0.00013494,0.00013934,0.00011506,0.00012302,4.98127142,40097.57652806
20150529,0.00012303,0.00013250,0.00011700,0.00012389,3.80516077,31219.94805570
20150530,0.00012015,0.00012940,0.00011502,0.00011502,4.11631168,34953.08266617
20150531,0.00011918,0.00011918,0.00011200,0.00011200,3.09262810,27112.16437742
20150601,0.00011200,0.00011200,0.00009781,0.00010000,6.57397529,63467.12684343
20150602,0.00010000,0.00010996,0.00009700,0.00010124,5.17231179,51598.05952532
20150603,0.00009862,0.00011000,0.00009862,0.00010334,3.23791892,30756.80358574
20150604,0.00010003,0.00010659,0.00010002,0.00010267,1.09898158,10666.15476772
20150605,0.00010300,0.00011318,0.00009592,0.00009594,3.97788668,39060.93833956
20150606,0.00009604,0.00010441,0.00009600,0.00010000,1.48852263,14707.95567618
20150607,0.00010112,0.00010519,0.00010112,0.00010519,0.11431647,1125.64393497
20150608,0.00010501,0.00010501,0.00010000,0.00010312,0.34954141,3471.61458644
20150609,0.00010000,0.00010390,0.00009903,0.00010000,1.61806574,16059.73815749
20150610,0.00010001,0.00010503,0.00010000,0.00010503,0.67052390,6505.68833330
20150611,0.00010251,0.00011278,0.00009754,0.00010400,4.24619992,42126.00660831
20150612,0.00009919,0.00010540,0.00009801,0.00010112,1.17802738,11719.98252174
20150613,0.00010500,0.00014000,0.00010500,0.00013000,4.71218667,38175.38182259
20150614,0.00013145,0.00014595,0.00012901,0.00012901,5.37147384,37953.82491605
20150615,0.00012902,0.00014000,0.00011001,0.00014000,5.84174351,48350.79041525
20150616,0.00014150,0.00014397,0.00013001,0.00014245,4.71136527,33284.36162619
20150617,0.00013803,0.00014400,0.00012005,0.00014400,6.25295301,44761.30150094
20150618,0.00014456,0.00027702,0.00013471,0.00019700,31.05078059,164348.54252660
