[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141224,0.00000271,0.00001496,0.00000216,0.00000284,0.96825210,352588.00975880
20141225,0.00000259,0.00000305,0.00000213,0.00000213,1.13162630,408206.54425878
20141226,0.00000227,0.00000227,0.00000160,0.00000199,0.07578829,38803.03157942
20141227,0.00000174,0.00000234,0.00000161,0.00000170,0.69323378,407658.46900743
20141228,0.00000182,0.00000399,0.00000163,0.00000216,4.65699082,1830971.57378882
20141229,0.00000238,0.00000238,0.00000155,0.00000183,0.65734751,363632.39194575
20141230,0.00000180,0.00000216,0.00000157,0.00000158,0.75930665,457433.96398684
20141231,0.00000171,0.00000184,0.00000151,0.00000159,0.19349830,121227.64790891
20150101,0.00000172,0.00000194,0.00000158,0.00000180,0.09900995,59709.75992281
20150102,0.00000169,0.00000211,0.00000165,0.00000166,0.02565597,14956.54043149
20150103,0.00000166,0.00000211,0.00000123,0.00000156,0.19378830,122506.67635587
20150104,0.00000149,0.00000149,0.00000091,0.00000100,1.09423180,1044558.62602276
20150105,0.00000091,0.00000197,0.00000091,0.00000165,0.39588333,313573.96592202
20150106,0.00000111,0.00000132,0.00000103,0.00000131,0.05428010,48372.48260339
20150107,0.00000109,0.00000152,0.00000107,0.00000151,0.11630395,94972.09026738
20150108,0.00000136,0.00000136,0.00000111,0.00000113,0.05215027,44945.24818486
20150109,0.00000113,0.00000128,0.00000090,0.00000109,0.15793832,156890.97018839
20150110,0.00000105,0.00000129,0.00000080,0.00000080,0.06078092,64423.29451503
20150111,0.00000079,0.00000164,0.00000066,0.00000120,0.22729770,204132.18580866
20150112,0.00000118,0.00000144,0.00000107,0.00000113,0.20750170,182360.46139218
20150113,0.00000119,0.00000144,0.00000107,0.00000124,0.02278374,19339.71634609
20150114,0.00000132,0.00000285,0.00000115,0.00000213,0.69610797,366789.21661251
20150115,0.00000217,0.00000800,0.00000202,0.00000800,1.24609312,333132.64432269
20150116,0.00000700,0.00001990,0.00000573,0.00000988,3.53363700,367022.43023086
20150117,0.00001049,0.00001050,0.00000817,0.00001000,0.53197110,53515.13165436
20150118,0.00000996,0.00001250,0.00000904,0.00001083,0.39324929,39488.32424374
20150119,0.00001083,0.00001117,0.00000950,0.00001000,1.61328475,154722.75218411
20150120,0.00001005,0.00001150,0.00000834,0.00001150,0.11312527,10342.67643414
20150121,0.00001047,0.00001047,0.00000456,0.00000991,0.12342766,17315.24341031
20150122,0.00000990,0.00001059,0.00000901,0.00001010,0.13521884,13446.55449043
20150123,0.00001022,0.00001067,0.00000864,0.00001000,0.09310524,9734.26475946
20150124,0.00001000,0.00001447,0.00000901,0.00001269,0.73298183,63842.14357441
20150125,0.00001269,0.00001802,0.00001269,0.00001350,2.20554030,147016.98945069
20150126,0.00001300,0.00001300,0.00000709,0.00000867,0.27356736,28337.33786628
20150127,0.00000894,0.00001084,0.00000708,0.00000708,0.24545429,28043.18815408
20150128,0.00000709,0.00001471,0.00000708,0.00000901,0.42254538,45971.10108480
20150129,0.00000891,0.00000920,0.00000800,0.00000839,0.13079575,14798.89249323
20150130,0.00000843,0.00000872,0.00000685,0.00000741,0.04505199,5725.44722911
20150131,0.00000805,0.00000810,0.00000729,0.00000729,0.02206593,2752.56726397
20150201,0.00000779,0.00001200,0.00000700,0.00000721,0.26894086,31821.30057247
20150202,0.00000735,0.00000742,0.00000539,0.00000545,0.09389807,14717.98684453
20150203,0.00000552,0.00000751,0.00000503,0.00000579,0.09766158,17045.30878722
20150204,0.00000558,0.00000596,0.00000502,0.00000529,0.08445181,15618.71784091
20150206,0.00000479,0.00000479,0.00000264,0.00000400,0.00687359,1775.77587769
20150207,0.00000386,0.00000449,0.00000363,0.00000366,0.02777636,7303.44723123
20150208,0.00000352,0.00000453,0.00000352,0.00000446,0.08108587,19973.19598302
20150209,0.00000419,0.00000458,0.00000388,0.00000458,0.06326967,14158.02600658
20150210,0.00000454,0.00000530,0.00000368,0.00000530,0.25466422,57920.39723476
20150211,0.00000391,0.00000391,0.00000355,0.00000355,0.00122606,331.26202387
20150212,0.00000350,0.00000405,0.00000315,0.00000315,0.19283917,52080.01496367
20150213,0.00000316,0.00000316,0.00000265,0.00000265,0.13377278,45005.82710047
20150214,0.00000265,0.00000290,0.00000122,0.00000290,0.18693513,78038.05001107
20150215,0.00000291,0.00000291,0.00000176,0.00000183,1.22472063,496593.52876466
20150216,0.00000198,0.00000232,0.00000195,0.00000226,0.03088238,14743.60867742
20150217,0.00000233,0.00000340,0.00000218,0.00000255,0.37414362,117492.88977456
20150218,0.00000238,0.00000269,0.00000237,0.00000269,0.05042289,20419.41545452
20150219,0.00000270,0.00000359,0.00000241,0.00000340,0.20437611,66253.44679050
20150220,0.00000312,0.00000529,0.00000312,0.00000529,0.17225687,37897.34540597
20150221,0.00000528,0.00000960,0.00000490,0.00000660,0.50247284,72137.08482093
20150222,0.00000664,0.00000664,0.00000450,0.00000538,0.10865967,20959.97085006
20150223,0.00000444,0.00000587,0.00000439,0.00000505,0.05773940,11485.60954524
20150224,0.00000499,0.00000499,0.00000498,0.00000498,0.00702736,1409.70169297
20150225,0.00000444,0.00000659,0.00000403,0.00000533,0.07478701,14444.56994840
20150226,0.00000535,0.00000535,0.00000288,0.00000288,0.04912320,10765.72916940
20150227,0.00000444,0.00000499,0.00000410,0.00000447,0.07126865,16105.28324414
