[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170212,0.00005030,0.00005850,0.00003002,0.00003699,1.86519177,45402.52833691
20170213,0.00003779,0.00004390,0.00003302,0.00004001,4.52600383,113474.24742140
20170214,0.00004116,0.00004399,0.00003701,0.00004000,0.91362475,22117.56786876
20170215,0.00003913,0.00004515,0.00003703,0.00003906,3.08341256,75517.96986471
20170216,0.00003938,0.00004243,0.00003700,0.00003700,2.72150504,71343.80999894
20170217,0.00003793,0.00003793,0.00003600,0.00003600,0.89620253,24469.99303423
20170218,0.00003647,0.00003998,0.00003500,0.00003996,1.22588637,33010.94518141
20170219,0.00003694,0.00003999,0.00003251,0.00003670,2.28909673,63313.19995848
20170220,0.00003600,0.00003693,0.00003500,0.00003500,0.69755253,19818.03357031
20170221,0.00003500,0.00003500,0.00003300,0.00003300,0.39648675,11688.54459630
20170222,0.00003327,0.00003328,0.00003300,0.00003300,0.34705415,10512.00305984
20170223,0.00003388,0.00003403,0.00003309,0.00003309,0.69154268,20346.77315798
20170224,0.00003305,0.00003570,0.00003300,0.00003568,0.26736225,7969.79139516
20170225,0.00003452,0.00003683,0.00003303,0.00003500,0.27532464,7833.47054758
20170226,0.00003500,0.00003650,0.00003400,0.00003400,0.48070893,13992.35246579
20170227,0.00003400,0.00003550,0.00003300,0.00003353,0.38601147,11621.00583124
20170228,0.00003320,0.00003383,0.00003200,0.00003200,0.17405733,5413.14146693
20170301,0.00003201,0.00003280,0.00003200,0.00003229,0.05652798,1763.97598008
20170302,0.00003248,0.00003493,0.00003113,0.00003113,0.14241541,4286.51598584
20170303,0.00003117,0.00003117,0.00003113,0.00003113,0.06697525,2151.44910245
20170304,0.00003113,0.00003399,0.00003013,0.00003013,0.38884128,12548.10453097
20170305,0.00003150,0.00003199,0.00003013,0.00003013,0.39794311,12905.63608612
20170306,0.00003014,0.00003075,0.00003000,0.00003000,0.43291759,14382.09058569
20170307,0.00003049,0.00003299,0.00003000,0.00003299,0.72637219,22917.06391928
20170308,0.00003146,0.00003240,0.00003100,0.00003201,0.16286754,5208.50558796
20170309,0.00003201,0.00003243,0.00003000,0.00003002,0.72855751,23073.23356064
20170310,0.00003076,0.00003334,0.00002613,0.00003334,1.10119998,35514.01971896
20170311,0.00003314,0.00003334,0.00002649,0.00002800,0.15809282,5165.29782945
20170312,0.00003000,0.00003137,0.00002313,0.00002696,0.37327372,14291.70327136
20170313,0.00002696,0.00002696,0.00002001,0.00002001,0.19055681,8950.59537693
20170314,0.00002001,0.00002980,0.00002000,0.00002555,0.34112726,14814.78867329
20170315,0.00002470,0.00002961,0.00002302,0.00002647,0.12498668,4849.23793673
20170316,0.00002621,0.00002621,0.00002002,0.00002250,0.11446259,4998.29192682
20170317,0.00002320,0.00003323,0.00002320,0.00002601,1.00839719,34150.37400042
20170318,0.00002737,0.00004616,0.00002737,0.00003800,0.77691951,24316.26296987
20170319,0.00003800,0.00003996,0.00003518,0.00003990,0.59290185,15085.02547687
20170320,0.00003990,0.00003996,0.00003550,0.00003650,0.36396204,9133.43760669
20170321,0.00003653,0.00003653,0.00002399,0.00003295,0.08022690,2727.97853349
20170322,0.00003250,0.00003739,0.00003200,0.00003291,0.08627654,2661.92654343
20170323,0.00003301,0.00003956,0.00003300,0.00003749,0.38109287,11061.78505154
20170324,0.00003682,0.00003956,0.00003596,0.00003710,0.04813317,1257.37260295
20170325,0.00003710,0.00006859,0.00003602,0.00005032,3.77962909,85536.20099805
20170326,0.00004506,0.00004804,0.00004048,0.00004223,0.39244036,8942.48166965
20170327,0.00004500,0.00005068,0.00004007,0.00004277,0.48711152,10493.46422469
20170328,0.00004198,0.00004446,0.00003910,0.00004333,0.26855500,6539.18086454
20170329,0.00004283,0.00004329,0.00004006,0.00004006,0.15757309,3801.11769503
20170330,0.00004325,0.00004955,0.00003801,0.00003835,1.63839610,37634.73560089
20170331,0.00003948,0.00004190,0.00003605,0.00003800,0.85688285,22561.56188528
20170401,0.00003801,0.00003985,0.00003602,0.00003602,0.10549598,2779.66666123
20170402,0.00003750,0.00003750,0.00003600,0.00003606,0.16405648,4552.02053882
20170403,0.00003602,0.00003606,0.00003401,0.00003401,0.13880148,3944.67041017
20170404,0.00003401,0.00003607,0.00003350,0.00003510,0.44152068,12385.18025827
20170405,0.00003480,0.00003900,0.00003400,0.00003556,0.45328865,12684.72059488
20170406,0.00003576,0.00004101,0.00003313,0.00003520,0.90677474,24830.24766290
20170407,0.00003487,0.00003674,0.00003402,0.00003500,0.07676416,2221.17779642
20170408,0.00003500,0.00004101,0.00003500,0.00003700,0.18104866,4744.60474081
20170409,0.00003586,0.00004218,0.00003550,0.00004209,0.68644228,16604.55766358
20170410,0.00004007,0.00004798,0.00003701,0.00003723,0.28813547,6956.73705092
20170411,0.00003703,0.00004209,0.00003443,0.00003470,0.41871851,11516.66676733
20170412,0.00003481,0.00004500,0.00003451,0.00003483,0.93371087,21937.22155668
20170413,0.00003513,0.00003750,0.00003300,0.00003750,0.75702934,21942.54634147
20170414,0.00003750,0.00038276,0.00003650,0.00008518,24.75682180,239395.67301076
20170415,0.00008700,0.00009996,0.00005200,0.00006191,14.63124780,229332.15932719
20170416,0.00006007,0.00006848,0.00005528,0.00005919,5.67892387,92582.68308989
20170417,0.00005855,0.00006027,0.00004200,0.00005099,3.64422507,69526.99608576
20170418,0.00005360,0.00005666,0.00004548,0.00005300,2.08972452,38423.17978938
20170419,0.00005400,0.00005915,0.00004801,0.00005120,2.28687478,41734.26717403
20170420,0.00005120,0.00062400,0.00003749,0.00016666,159.66223544,739044.84962254
20170421,0.00014523,0.00026996,0.00007002,0.00012008,107.07301279,827611.89673242
20170422,0.00012001,0.00013798,0.00011616,0.00011940,17.50330161,143601.40130183
20170423,0.00011940,0.00012100,0.00011618,0.00011618,8.44919083,71818.79029114
20170424,0.00011618,0.00011618,0.00005004,0.00007846,11.91724853,131650.32099274
20170425,0.00008086,0.00009660,0.00006716,0.00008116,3.80209638,45876.64403431
20170426,0.00008280,0.00008959,0.00006505,0.00006514,1.58495118,20072.99016063
20170427,0.00006584,0.00007127,0.00006570,0.00006649,1.66524444,24889.26937468
20170428,0.00006646,0.00006750,0.00005601,0.00006000,1.19614128,19389.86736510
20170429,0.00006067,0.00006969,0.00005801,0.00006250,1.73612869,28114.54492345
20170430,0.00006218,0.00007200,0.00005800,0.00006151,2.59332522,40160.94248394
20170501,0.00006163,0.00008764,0.00006162,0.00007200,2.78316638,37832.07048374
20170502,0.00007350,0.00014800,0.00006801,0.00011552,30.44631774,255166.51463203
20170503,0.00011551,0.00012134,0.00008014,0.00009600,6.11372410,60476.00747590
20170504,0.00009934,0.00009993,0.00007822,0.00008041,1.59338097,17830.52841341
20170505,0.00008090,0.00009211,0.00006594,0.00007920,2.60987834,35248.41211650
20170506,0.00007920,0.00008477,0.00006597,0.00006597,2.05929295,27847.24343638
20170507,0.00007456,0.00008090,0.00006700,0.00006717,0.65560582,9123.66962321
20170508,0.00006718,0.00006980,0.00006611,0.00006670,0.95128232,14152.23789677
20170509,0.00006670,0.00010000,0.00006670,0.00007300,1.87651667,23701.25241708
20170510,0.00007180,0.00011253,0.00007000,0.00007210,4.95120603,56255.55621447
20170511,0.00007208,0.00007208,0.00006692,0.00006993,0.19922139,2907.66081616
20170512,0.00007120,0.00008001,0.00006710,0.00006711,0.63043724,9023.04073466
20170513,0.00007007,0.00007020,0.00006710,0.00006710,0.35881093,5262.89561049
20170514,0.00007028,0.00007051,0.00006691,0.00006991,0.29972498,4444.51156058
20170515,0.00006762,0.00007269,0.00006701,0.00007050,0.89603610,12790.07198006
20170516,0.00006940,0.00007049,0.00006700,0.00006743,1.46902726,21086.16887000
20170517,0.00006956,0.00007047,0.00006691,0.00006693,0.88070454,12879.63518578
20170518,0.00007015,0.00007048,0.00006693,0.00007047,1.43453351,20685.38219255
20170519,0.00007009,0.00007130,0.00006800,0.00006837,1.89646078,27076.63879056
20170520,0.00007039,0.00009400,0.00006805,0.00007091,2.15862746,28164.57518255
20170521,0.00007820,0.00009310,0.00007289,0.00007814,3.34532963,40232.45963553
20170522,0.00007409,0.00007696,0.00007000,0.00007001,1.29048138,17647.73261312
20170523,0.00007001,0.00018479,0.00007001,0.00007304,63.90964300,523911.88727808
20170524,0.00007515,0.00008249,0.00007311,0.00007319,5.36705580,70260.57769912
20170525,0.00007320,0.00007800,0.00007001,0.00007003,9.31161151,131134.54495643
20170526,0.00007148,0.00008134,0.00007003,0.00007462,4.41218257,58987.00429972
20170527,0.00007462,0.00007462,0.00006493,0.00006970,1.42855334,21010.53187265
20170528,0.00006613,0.00007451,0.00006099,0.00006601,1.32228503,19172.10368884
20170529,0.00006494,0.00007000,0.00006200,0.00006453,1.26167098,19194.07639093
20170530,0.00006500,0.00007002,0.00005888,0.00006010,1.83084699,29131.47218311
20170531,0.00006166,0.00006389,0.00005500,0.00006158,1.33950928,22824.92411160
20170601,0.00005800,0.00007211,0.00005601,0.00006854,4.01230149,62358.16244633
20170602,0.00006848,0.00007052,0.00006351,0.00006766,1.77322873,27067.85824757
20170603,0.00006503,0.00012535,0.00006450,0.00007545,41.04660616,472313.27162454
20170604,0.00007321,0.00008993,0.00006890,0.00007100,3.64396972,47498.68440679
20170605,0.00007278,0.00008995,0.00007101,0.00008275,5.16329778,63742.43646913
20170606,0.00008244,0.00008465,0.00006902,0.00007103,6.40340646,86133.69711738
20170607,0.00007367,0.00007675,0.00006600,0.00007200,4.83567722,69094.78811224
20170608,0.00007200,0.00007485,0.00007092,0.00007449,0.20877340,2870.47551004
20170609,0.00007231,0.00007420,0.00007145,0.00007259,2.67604439,36945.85420242
20170610,0.00007240,0.00007260,0.00006943,0.00006943,2.71694979,37973.19038276
20170611,0.00006943,0.00007188,0.00006560,0.00006560,0.91239030,13294.33740790
20170612,0.00006899,0.00006899,0.00005500,0.00006114,3.83352308,64289.29586246
20170613,0.00005890,0.00006500,0.00005555,0.00006400,6.73738022,113526.03337874
20170614,0.00006401,0.00007410,0.00005800,0.00005851,9.05167067,137362.98681322
20170615,0.00005806,0.00006150,0.00005600,0.00005778,2.34525454,40972.73953006
20170616,0.00005602,0.00006800,0.00005501,0.00005850,5.56684989,92517.29887067
20170617,0.00005870,0.00007000,0.00005861,0.00006199,4.98705208,77113.84365438
20170618,0.00005979,0.00006215,0.00005800,0.00005968,2.26311922,38386.36494834
20170619,0.00005900,0.00005966,0.00005760,0.00005760,2.65299993,45712.79133898
