[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150824,0.00230000,0.00250000,0.00001011,0.00013599,85.00595614,432602.96300377
20150825,0.00014997,0.00071000,0.00003516,0.00033543,139.58591986,630056.40179843
20150826,0.00033543,0.00036095,0.00009000,0.00012989,228.04203269,1773281.78763316
20150827,0.00012990,0.00012990,0.00001040,0.00006564,243.94770293,5044583.60022977
20150828,0.00006399,0.00008566,0.00003010,0.00007793,137.38245245,1999539.26625384
20150829,0.00007793,0.00014551,0.00006999,0.00009492,239.02990040,2351991.47958775
20150830,0.00010332,0.00013000,0.00009531,0.00011520,98.41053125,897757.16461369
20150831,0.00011995,0.00013000,0.00008000,0.00011049,133.79407546,1260231.49911593
20150901,0.00011049,0.00013000,0.00010859,0.00012299,79.95471546,677854.89203686
20150902,0.00012298,0.00030000,0.00012298,0.00024791,490.34076628,2539154.66678341
20150903,0.00024001,0.00034016,0.00015000,0.00021709,496.73752292,2093200.45014102
20150904,0.00019066,0.00023381,0.00009001,0.00016982,214.87159699,1380113.04703976
20150905,0.00016867,0.00017111,0.00005703,0.00010100,253.10617025,2225295.84905674
20150906,0.00009064,0.00012199,0.00008008,0.00009000,48.39231305,478914.49300921
20150907,0.00009001,0.00014989,0.00009000,0.00012698,76.90856064,661751.47860274
20150908,0.00012692,0.00013232,0.00008000,0.00009881,128.39297155,1301852.35988422
20150909,0.00009498,0.00012081,0.00008000,0.00008000,138.45206614,1403993.57897876
20150910,0.00009384,0.00010000,0.00007999,0.00009900,91.98327813,1037776.57977649
20150911,0.00009930,0.00010792,0.00008004,0.00008879,75.26074521,804305.31970874
20150912,0.00009000,0.00009490,0.00007929,0.00009200,65.96935814,788843.04585389
20150913,0.00008989,0.00008989,0.00007929,0.00008623,30.53282188,372514.72406107
20150914,0.00008623,0.00009290,0.00007700,0.00009238,72.10731199,865381.12392058
20150915,0.00009257,0.00009275,0.00007652,0.00008285,88.29516269,1106834.81454105
20150916,0.00008274,0.00008297,0.00003002,0.00004750,98.10239087,1882523.54730403
20150917,0.00004609,0.00006488,0.00004331,0.00005891,54.64381159,1061260.03519536
20150918,0.00005891,0.00008945,0.00005000,0.00006284,66.28678645,1035709.98604711
20150919,0.00006290,0.00010997,0.00006000,0.00006652,115.68139704,1456732.28967773
20150920,0.00006651,0.00010007,0.00006000,0.00007467,98.19634034,1379743.94909644
20150921,0.00007687,0.00007688,0.00005928,0.00006547,106.47940868,1633296.18409695
20150922,0.00006591,0.00008699,0.00005600,0.00006200,137.63107232,2093656.93026020
20150923,0.00006354,0.00006467,0.00004570,0.00005100,132.03776563,2500479.30687782
20150924,0.00005172,0.00005499,0.00004570,0.00004925,76.59270500,1548631.83720669
20150925,0.00004928,0.00005100,0.00003800,0.00004933,48.90319426,1076355.42285682
20150926,0.00004972,0.00005320,0.00004000,0.00004409,59.57201818,1378049.60351360
20150927,0.00004466,0.00004750,0.00003904,0.00004344,34.98849540,841071.33210505
20150928,0.00004250,0.00006728,0.00003800,0.00004200,60.57489227,1409209.11056697
20150929,0.00004200,0.00005599,0.00004000,0.00004292,83.32684362,1926761.11499050
20150930,0.00004272,0.00004477,0.00003113,0.00003700,50.88669424,1273366.12669333
20151001,0.00004021,0.00004075,0.00003000,0.00003213,56.78000257,1734398.27324123
20151002,0.00003339,0.00003493,0.00003029,0.00003476,20.07366858,617886.48105743
20151003,0.00003403,0.00004198,0.00003381,0.00003579,9.85093420,270200.74350318
20151004,0.00003861,0.00004100,0.00003562,0.00003813,14.14167180,377728.30579390
20151005,0.00003705,0.00004555,0.00003701,0.00003990,28.44825837,693574.59309728
20151006,0.00003827,0.00004553,0.00003800,0.00004292,12.79660056,299478.07432577
20151007,0.00004439,0.00006000,0.00004439,0.00005349,45.51062667,858843.47698447
20151008,0.00005450,0.00005700,0.00005315,0.00005600,17.24198215,309528.62492322
20151009,0.00005605,0.00005608,0.00005000,0.00005136,61.18341577,1183564.02589627
20151010,0.00005113,0.00005200,0.00003950,0.00004349,76.24390776,1736375.45344337
20151011,0.00004341,0.00004348,0.00003000,0.00003399,79.15995504,2262678.58490020
20151012,0.00003398,0.00004000,0.00003000,0.00003315,43.71951374,1363063.33948665
20151013,0.00003275,0.00003495,0.00002600,0.00002982,86.03921345,2871402.68044245
20151014,0.00002967,0.00003300,0.00002780,0.00003240,12.33135827,404271.89440282
20151015,0.00003240,0.00004435,0.00002604,0.00003376,46.39878798,1496822.22549793
20151016,0.00003291,0.00003363,0.00002610,0.00002770,69.90530333,2510144.91800775
20151017,0.00002825,0.00003365,0.00002606,0.00003300,27.76866961,990194.49203741
20151018,0.00003301,0.00003301,0.00002902,0.00003090,7.26155009,234631.76509704
20151019,0.00003112,0.00003113,0.00002009,0.00002996,57.53839835,2142106.47805441
20151020,0.00002841,0.00002849,0.00002026,0.00002398,80.42010110,3485135.87127811
20151021,0.00002308,0.00003426,0.00002198,0.00003426,26.73829430,1047783.54367294
20151022,0.00003426,0.00003564,0.00002000,0.00002488,167.14460209,6643539.40071893
20151023,0.00002487,0.00002698,0.00002105,0.00002520,166.49082659,6974664.49582971
20151024,0.00002502,0.00002679,0.00002399,0.00002555,67.14270535,2724247.36538386
20151025,0.00002592,0.00002700,0.00002553,0.00002606,40.80323297,1590668.06353033
20151026,0.00002641,0.00002699,0.00002063,0.00002365,80.88844627,3469515.90011029
20151027,0.00002316,0.00002399,0.00002115,0.00002230,13.97485246,617285.15225519
20151028,0.00002296,0.00002399,0.00001998,0.00002080,77.29291049,3659932.11954864
20151029,0.00002099,0.00002137,0.00002000,0.00002008,16.65713774,802147.80475566
20151030,0.00002009,0.00002095,0.00000900,0.00001099,158.50626312,12609618.32471540
20151031,0.00000981,0.00001231,0.00000700,0.00001200,26.08404076,2578282.19783468
20151101,0.00001198,0.00001246,0.00001003,0.00001181,10.37581928,888453.56747160
20151102,0.00001179,0.00001401,0.00001160,0.00001330,8.62590104,678428.27476909
20151103,0.00001329,0.00001390,0.00001256,0.00001377,7.33778337,547313.41985598
20151104,0.00001378,0.00001399,0.00001100,0.00001328,15.81131340,1322152.67696975
20151105,0.00001257,0.00001305,0.00000785,0.00001160,17.11756309,1638793.69661908
20151106,0.00001189,0.00001201,0.00001160,0.00001190,2.26142652,190144.40603920
20151107,0.00001187,0.00001306,0.00001187,0.00001306,7.25963233,571325.99138018
20151108,0.00001222,0.00001306,0.00001000,0.00001260,12.49825593,1039889.03853338
20151109,0.00001249,0.00001306,0.00001246,0.00001306,3.43973523,264363.47888100
20151110,0.00001281,0.00001306,0.00001000,0.00001200,24.07079178,2078930.62911907
20151111,0.00001197,0.00001300,0.00001000,0.00001125,32.52270678,2887082.09412690
20151112,0.00001066,0.00001162,0.00000991,0.00001003,31.34037254,3042510.56182785
20151113,0.00001058,0.00001058,0.00000793,0.00000945,20.00273576,2319638.13866029
20151114,0.00000924,0.00001048,0.00000830,0.00001039,7.10468852,748384.96281777
20151115,0.00001038,0.00001038,0.00000921,0.00001002,2.31911068,243855.82010191
20151116,0.00000998,0.00001038,0.00000910,0.00001003,6.10509179,624115.69659622
20151117,0.00001003,0.00001036,0.00000988,0.00001020,7.03274482,693049.63705757
20151118,0.00001020,0.00001048,0.00000716,0.00000820,44.94739109,5301156.84705715
20151119,0.00000861,0.00000934,0.00000700,0.00000806,37.23954031,4737981.45789933
20151120,0.00000812,0.00000850,0.00000752,0.00000791,7.46330110,939169.47894948
20151121,0.00000790,0.00000813,0.00000611,0.00000683,18.35625377,2499679.28297636
20151122,0.00000710,0.00000807,0.00000671,0.00000745,3.16209590,422458.38402392
20151123,0.00000745,0.00000813,0.00000723,0.00000790,3.20592269,407698.20638411
20151124,0.00000809,0.00000900,0.00000771,0.00000894,6.64457764,803763.06701087
20151125,0.00000894,0.00000999,0.00000827,0.00000900,6.72779768,730292.36734154
20151126,0.00000900,0.00001039,0.00000900,0.00000999,38.24789272,3832592.50230581
20151127,0.00000994,0.00001137,0.00000971,0.00001093,7.36389722,695349.14610846
20151128,0.00001113,0.00002582,0.00001104,0.00001813,21.94441795,1477591.81964191
20151129,0.00001813,0.00002821,0.00001768,0.00002267,32.19389005,1334526.06886467
20151130,0.00002270,0.00005998,0.00002267,0.00005415,101.07882754,2982159.18789818
20151201,0.00005414,0.00007349,0.00004497,0.00006300,178.23509814,2751732.32681318
20151202,0.00006350,0.00007499,0.00003099,0.00004730,245.62536607,4628617.02808518
20151203,0.00004675,0.00007160,0.00004534,0.00005302,110.03657581,1951933.59550260
20151204,0.00005400,0.00005917,0.00004900,0.00005300,38.13296557,703685.10721817
20151205,0.00005300,0.00005300,0.00004821,0.00005021,33.43492916,675472.56124749
20151206,0.00005012,0.00005400,0.00004837,0.00005119,32.81869622,624789.42582966
20151207,0.00005239,0.00006300,0.00005128,0.00006000,114.69815344,2014761.11536485
20151208,0.00005790,0.00005790,0.00001201,0.00004710,139.93861100,3532508.20132022
20151209,0.00004720,0.00005300,0.00003225,0.00003928,73.67336857,1705445.06546817
20151210,0.00003928,0.00004380,0.00003572,0.00003753,32.78468152,825966.56321365
20151211,0.00003753,0.00004289,0.00003401,0.00003600,46.53164897,1227025.67761631
20151212,0.00003600,0.00003796,0.00003108,0.00003304,33.00243683,950057.42861722
20151213,0.00003240,0.00003407,0.00002001,0.00002001,39.29592821,1403656.15511418
20151214,0.00002003,0.00002940,0.00002000,0.00002112,26.66812377,1177834.93767324
20151215,0.00002170,0.00002292,0.00001703,0.00001809,23.31307948,1152184.70833013
20151216,0.00001800,0.00002341,0.00001521,0.00002341,28.58376016,1527527.68457960
20151217,0.00002300,0.00002513,0.00002025,0.00002175,19.93709499,912276.50610999
20151218,0.00002182,0.00002392,0.00002100,0.00002218,19.89854270,897269.47452301
20151219,0.00002281,0.00002313,0.00002154,0.00002240,10.47260743,471828.84319597
20151220,0.00002203,0.00002555,0.00002080,0.00002110,22.58572474,1002887.20288242
20151221,0.00002192,0.00002445,0.00002110,0.00002284,8.62836861,372568.11947553
20151222,0.00002284,0.00002360,0.00002200,0.00002255,17.69480369,789034.69029051
20151223,0.00002254,0.00002401,0.00002215,0.00002401,29.70719168,1285908.17117809
20151224,0.00002380,0.00002495,0.00002359,0.00002458,17.44205300,723022.23720669
20151225,0.00002388,0.00002750,0.00002382,0.00002750,15.84068569,632108.72451145
20151226,0.00002749,0.00003790,0.00002596,0.00002931,43.12007508,1446390.35154822
20151227,0.00002934,0.00003289,0.00002802,0.00003129,27.08560068,882240.44230437
20151228,0.00003129,0.00003307,0.00003005,0.00003142,18.15355733,586606.44851622
