[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150221,0.00017800,0.00037999,0.00015000,0.00021032,13.57177038,60409.87047591
20150222,0.00021033,0.00038000,0.00020020,0.00022600,17.68770687,62409.85221191
20150223,0.00023000,0.00028607,0.00022002,0.00025500,9.45924058,38731.35889498
20150224,0.00025499,0.00030999,0.00023077,0.00025076,8.85809237,33209.02963258
20150225,0.00023172,0.00024700,0.00015001,0.00018499,7.95581783,40447.20735934
20150226,0.00016301,0.00016301,0.00013500,0.00013544,3.33782389,23230.16868717
20150227,0.00013560,0.00014828,0.00010200,0.00011901,1.63907703,13263.25432473
20150228,0.00011901,0.00012400,0.00010200,0.00010600,1.82143540,16947.57987730
20150301,0.00011991,0.00020000,0.00010203,0.00015961,2.41052999,19499.05836371
20150302,0.00012119,0.00015800,0.00010200,0.00010202,2.28652725,20722.01298357
20150303,0.00010200,0.00011910,0.00008011,0.00008708,1.98962976,21591.55753140
20150304,0.00008311,0.00008919,0.00006004,0.00008199,1.15868774,15059.62434723
20150305,0.00008199,0.00016000,0.00007008,0.00013057,4.64623077,40978.08083637
20150306,0.00013104,0.00016998,0.00010602,0.00010639,3.51530048,26347.41944117
20150307,0.00011002,0.00014359,0.00010607,0.00011200,1.72062259,14721.76588589
20150308,0.00011200,0.00012936,0.00010700,0.00010700,1.42967390,12789.02400953
20150309,0.00011001,0.00011999,0.00009113,0.00009503,2.99055881,28532.56325901
20150310,0.00009600,0.00010001,0.00007800,0.00007821,1.72412808,20215.87890817
20150311,0.00007932,0.00008200,0.00007010,0.00007119,2.02107798,27916.05802745
20150312,0.00007888,0.00009997,0.00007400,0.00008000,1.58503399,20395.50006839
20150313,0.00007432,0.00011280,0.00007411,0.00007615,1.03051549,12782.77941236
20150314,0.00008888,0.00009632,0.00007200,0.00008098,0.91902343,12015.67666012
20150315,0.00007357,0.00008197,0.00007250,0.00007312,0.50392675,6682.32431212
20150316,0.00007797,0.00014000,0.00007303,0.00007928,2.68322594,29397.90313904
20150317,0.00007948,0.00010200,0.00007948,0.00008502,1.49326674,16459.00146369
20150318,0.00008403,0.00015000,0.00008403,0.00010190,6.32197850,50070.75089655
20150319,0.00011502,0.00015991,0.00010441,0.00012708,3.38621251,25236.49119881
20150320,0.00014769,0.00014769,0.00010557,0.00014279,1.79304100,15145.97387336
20150321,0.00011237,0.00011597,0.00010560,0.00010560,1.98596078,18440.02397661
20150322,0.00010566,0.00011999,0.00010556,0.00010559,1.63376458,14784.26425899
20150323,0.00010559,0.00011999,0.00008502,0.00010001,2.04628433,19893.22131402
20150324,0.00010002,0.00015000,0.00009128,0.00011121,11.07023039,88435.36750026
20150325,0.00011117,0.00019100,0.00011105,0.00011800,3.32810433,25062.46875519
20150326,0.00011810,0.00015286,0.00011105,0.00013207,3.49441685,26221.04477822
20150327,0.00013207,0.00015287,0.00011800,0.00012965,1.62298336,13188.07940760
20150328,0.00012051,0.00022222,0.00011801,0.00017062,12.97894268,76221.06929158
20150329,0.00017407,0.00025498,0.00015201,0.00022378,18.83740115,88282.24794784
20150330,0.00022376,0.00025988,0.00019032,0.00023999,7.68781235,34818.41699869
20150331,0.00023389,0.00024000,0.00019504,0.00021021,4.02580158,19150.61273847
20150401,0.00020920,0.00022993,0.00019600,0.00020999,4.09743082,20497.25359027
20150402,0.00020999,0.00024068,0.00019702,0.00020250,3.83423726,18453.38037274
20150403,0.00020823,0.00021001,0.00018602,0.00019000,3.47083827,17590.73693277
20150404,0.00018701,0.00022999,0.00018603,0.00018751,2.34255384,12077.90789384
20150405,0.00018750,0.00021299,0.00018750,0.00019018,0.45742993,2382.48201338
20150406,0.00021298,0.00025000,0.00020077,0.00023336,18.15219994,85053.29061443
20150407,0.00023336,0.00027997,0.00021001,0.00026500,13.15766010,51755.96848456
20150408,0.00027986,0.00029000,0.00016663,0.00018515,29.44625570,133632.46990844
