[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140323,0.00001775,0.00001892,0.00001775,0.00001892,0.01521385,804.38580407
20140325,0.00001775,0.00001775,0.00001775,0.00001775,0.00408250,230.00000000
20140326,0.00001901,0.00001901,0.00001901,0.00001901,0.01235650,650.00000000
20140327,0.00001760,0.00001760,0.00001700,0.00001700,0.04753770,2736.54085646
20140328,0.00001700,0.00001700,0.00001700,0.00001700,0.00012669,7.45243349
20140329,0.00001901,0.00001901,0.00001901,0.00001901,0.04756302,2502.00000000
20140402,0.00001901,0.00002195,0.00001901,0.00002195,0.05303358,2551.67562642
20140403,0.00002195,0.00002720,0.00002195,0.00002720,0.27115322,11473.32437358
20140404,0.00002750,0.00003000,0.00002750,0.00003000,0.03161250,1100.00000000
20140405,0.00002100,0.00002100,0.00002100,0.00002100,0.00021000,10.00000000
20140409,0.00004000,0.00006000,0.00004000,0.00004500,0.03887217,741.93331176
20140411,0.00004000,0.00004000,0.00001700,0.00001700,0.03558263,1248.51326648
20140413,0.00001760,0.00001760,0.00001760,0.00001760,0.00651024,369.90000000
20140422,0.00001761,0.00001761,0.00001761,0.00001761,0.00002421,1.37470248
20140423,0.00001761,0.00001999,0.00001761,0.00001999,0.00062638,35.38408766
20140424,0.00001999,0.00001999,0.00001999,0.00001999,0.00000007,0.00351689
20140426,0.00001999,0.00001999,0.00001999,0.00001999,0.00086401,43.22211105
20140427,0.00001999,0.00001999,0.00001999,0.00001999,0.00000218,0.10881495
20140429,0.00002200,0.00002200,0.00002200,0.00002200,0.00220000,100.00000000
20140430,0.00004999,0.00004999,0.00002100,0.00002100,0.01343417,294.59285715
20140502,0.00001761,0.00001761,0.00001761,0.00001761,0.00032964,18.71874824
20140504,0.00001761,0.00001761,0.00001761,0.00001761,0.00001761,1.00000000
20140506,0.00001761,0.00001761,0.00001761,0.00001761,0.00042978,24.40568804
20140510,0.00002000,0.00002000,0.00002000,0.00002000,0.00051528,25.76434090
20140514,0.00002000,0.00002000,0.00001761,0.00001761,0.02773425,1507.05579474
20140515,0.00001761,0.00001761,0.00001761,0.00001761,0.00153207,87.00000000
20140522,0.00002000,0.00002000,0.00001761,0.00001769,0.06428366,3445.88247789
20160821,0.00002390,0.00003249,0.00002390,0.00003249,0.10298617,3516.95983253
20160822,0.00002620,0.00005022,0.00002339,0.00002356,4.79117111,143045.59913627
20160823,0.00002356,0.00002356,0.00002161,0.00002161,0.20584585,9125.78131488
20160824,0.00002120,0.00002150,0.00002017,0.00002033,0.50366908,24731.29497374
20160825,0.00002033,0.00002534,0.00001966,0.00002530,0.76069323,36489.78537018
20160826,0.00002477,0.00002537,0.00002133,0.00002537,0.92794493,41144.32379376
20160827,0.00002537,0.00002831,0.00002467,0.00002696,0.19391782,7569.12323199
20160828,0.00002492,0.00004100,0.00002466,0.00003000,2.18783788,65917.53626055
20160829,0.00003200,0.00003200,0.00002642,0.00002878,0.66110269,23971.89870940
20160830,0.00002670,0.00003193,0.00002658,0.00003010,0.52494884,17809.02778523
20160831,0.00002994,0.00003125,0.00002603,0.00002704,0.27830224,9793.52141622
20160901,0.00002930,0.00003100,0.00002596,0.00003099,0.20945647,7123.36215300
20160902,0.00003099,0.00004047,0.00002927,0.00004047,0.84956739,25620.78091124
20160903,0.00004047,0.00004088,0.00003500,0.00004087,0.18416900,4657.48990238
20160904,0.00004088,0.00004896,0.00003700,0.00004000,0.56971016,13215.04078415
20160905,0.00004088,0.00004858,0.00003650,0.00004846,0.51424083,12550.69283337
20160906,0.00004803,0.00004850,0.00003799,0.00003800,3.89627585,98289.85559677
20160907,0.00003800,0.00004850,0.00003713,0.00004432,0.97391610,24633.29382778
20160908,0.00004421,0.00004850,0.00004208,0.00004698,0.50814365,11568.95672771
20160909,0.00004698,0.00004698,0.00004233,0.00004695,0.60724344,13409.19568110
20160910,0.00004695,0.00004698,0.00004133,0.00004598,0.36476350,8374.82379486
20160911,0.00004598,0.00004598,0.00003095,0.00003761,0.84796884,23534.09038878
20160912,0.00003742,0.00004585,0.00003664,0.00004579,0.25100935,5921.80366004
20160913,0.00004579,0.00004579,0.00003586,0.00004548,0.13254572,3238.42419274
20160914,0.00004548,0.00004548,0.00003830,0.00004273,0.15895335,3821.31358233
20160915,0.00004269,0.00004490,0.00003758,0.00003922,0.05954824,1484.69180220
20160916,0.00003927,0.00004573,0.00003927,0.00004277,0.29773955,6808.47728070
20160917,0.00004253,0.00004598,0.00003000,0.00003736,0.42954346,11429.69060859
20160918,0.00003819,0.00004572,0.00003039,0.00004320,0.33621148,8877.61753676
20160919,0.00004305,0.00004400,0.00003328,0.00004124,0.18750360,4949.30821525
20160920,0.00004120,0.00004189,0.00003294,0.00003920,0.28739214,7426.70255890
20160921,0.00004097,0.00004699,0.00003417,0.00004081,0.53134940,12123.53450080
20160922,0.00004081,0.00004319,0.00003401,0.00004101,0.16449330,4128.62679189
20160923,0.00004139,0.00004400,0.00003555,0.00003700,0.18269556,4578.28337551
20160924,0.00004045,0.00004627,0.00003827,0.00004290,0.48146941,11310.59560173
20160925,0.00004323,0.00004699,0.00003996,0.00004623,0.37542586,8395.60113203
20160926,0.00004605,0.00004700,0.00004096,0.00004691,0.59232366,12772.06924098
20160927,0.00004671,0.00004700,0.00004078,0.00004700,0.27638452,6110.56851828
20160928,0.00004700,0.00004979,0.00004432,0.00004762,1.21725862,25491.92696916
20160929,0.00004906,0.00006400,0.00004751,0.00006400,0.63192511,12289.75843099
20160930,0.00005599,0.00005599,0.00005000,0.00005200,0.13001746,2565.12809453
20161001,0.00005150,0.00006382,0.00005034,0.00005326,0.13378232,2489.00931790
20161002,0.00005312,0.00005350,0.00004750,0.00005332,2.48816313,47991.60654738
20161003,0.00005300,0.00005300,0.00004798,0.00005001,0.65375804,12641.55792475
20161004,0.00004970,0.00005294,0.00004435,0.00004625,0.62287473,12539.92347073
20161005,0.00004624,0.00004625,0.00003525,0.00004122,0.39511232,9531.29257654
20161006,0.00004052,0.00004052,0.00003084,0.00003442,0.45044055,12483.89684002
20161007,0.00003443,0.00004152,0.00002908,0.00003089,0.65853698,19442.41103529
20161008,0.00003119,0.00003852,0.00002894,0.00003419,0.37712043,11270.26974720
20161009,0.00003290,0.00003615,0.00002707,0.00002906,0.56824522,18172.25108606
20161010,0.00003065,0.00003076,0.00002525,0.00002944,0.69972085,24970.07473670
20161011,0.00002923,0.00002967,0.00002331,0.00002482,0.54095006,20841.83621234
20161012,0.00002491,0.00002580,0.00001795,0.00001836,0.43145936,19690.93436520
20161013,0.00001927,0.00002989,0.00001809,0.00002989,0.58905610,24742.75568027
20161014,0.00002904,0.00003547,0.00001941,0.00002842,0.60501816,23767.36323882
20161015,0.00002698,0.00003077,0.00002074,0.00002509,0.43926937,17058.24830736
20161016,0.00002497,0.00003220,0.00002003,0.00002328,27.16088746,989578.87247248
20161017,0.00002199,0.00002356,0.00002017,0.00002135,0.78251626,35995.82257832
20161018,0.00002124,0.00002178,0.00002024,0.00002112,0.41454983,19621.13629625
20161019,0.00002116,0.00002200,0.00002028,0.00002110,0.82759489,39878.61243864
20161020,0.00002044,0.00002158,0.00002044,0.00002099,0.18281399,8644.46914483
20161021,0.00002099,0.00002170,0.00002061,0.00002147,0.65705090,30902.71666538
20161022,0.00002137,0.00002168,0.00002000,0.00002129,0.46416024,22150.67662246
20161023,0.00002149,0.00002256,0.00002000,0.00002027,0.75363787,36176.30927902
20161024,0.00002033,0.00002194,0.00001949,0.00002192,0.38282390,18472.30098453
20161025,0.00002192,0.00002201,0.00001920,0.00001965,0.48036161,22925.40131739
20161026,0.00001960,0.00002099,0.00001957,0.00002070,0.40115314,19552.41721772
20161027,0.00002050,0.00002124,0.00001758,0.00001930,0.40129400,21328.40816157
20161028,0.00001930,0.00002214,0.00001757,0.00002195,0.83420906,41982.52734645
20161029,0.00002213,0.00002350,0.00002129,0.00002289,0.17849688,7888.15981800
20161030,0.00002307,0.00004037,0.00002129,0.00002500,1.31540593,47957.55270088
20161031,0.00002500,0.00002788,0.00001970,0.00002572,0.49006135,19495.46087102
20161101,0.00002568,0.00002682,0.00002492,0.00002607,0.94572480,37512.93708243
20161102,0.00002607,0.00003284,0.00002538,0.00002800,0.93653769,33157.19371352
20161103,0.00003041,0.00003160,0.00002534,0.00002796,0.90541320,32804.29906500
20161104,0.00002811,0.00003191,0.00002764,0.00002921,2.15526215,73451.32762610
20161105,0.00002980,0.00002980,0.00002612,0.00002757,1.16320705,41535.99368788
20161106,0.00002777,0.00002855,0.00002488,0.00002756,0.98960929,36603.25570548
20161107,0.00002760,0.00002854,0.00002439,0.00002590,3.18590285,123215.09532669
20161108,0.00002610,0.00002721,0.00002489,0.00002671,0.48230205,18143.06669887
20161109,0.00002691,0.00002707,0.00002134,0.00002534,0.77264445,31769.63432696
20161110,0.00002527,0.00002539,0.00002436,0.00002520,0.47909796,19100.80986450
20161111,0.00002520,0.00002529,0.00002392,0.00002523,0.74711896,30128.50209560
20161112,0.00002525,0.00002540,0.00002438,0.00002540,0.46819843,18599.18968537
20161113,0.00002540,0.00002540,0.00002367,0.00002527,0.48231630,19365.98290937
20161114,0.00002519,0.00002530,0.00002350,0.00002499,0.35644557,14301.75905570
20161115,0.00002497,0.00002507,0.00002465,0.00002490,0.66965024,26986.38482197
20161116,0.00002490,0.00002490,0.00002386,0.00002450,1.24993289,50799.42703751
20161117,0.00002376,0.00002448,0.00001962,0.00002263,0.62276500,28106.85903722
20161118,0.00002263,0.00002450,0.00002130,0.00002432,0.49128075,21908.08902890
20161119,0.00002422,0.00002422,0.00002294,0.00002361,0.43907540,18784.70774609
20161120,0.00002361,0.00002365,0.00002057,0.00002244,0.35831803,15930.56807302
20161121,0.00002244,0.00002244,0.00002001,0.00002140,0.37013853,17127.07335300
20161122,0.00002140,0.00002232,0.00002055,0.00002103,0.44595462,21137.15488903
20161123,0.00002103,0.00002225,0.00001988,0.00002074,0.29340512,14061.59900954
20161124,0.00002075,0.00002114,0.00002034,0.00002055,0.37570884,18086.51148438
