[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170501,2.00000000,2.00000000,0.03000000,0.05349988,698.52482682,15160.85125341
20170502,0.05349988,0.07760000,0.05156558,0.06111100,489.57963047,7729.96780574
20170503,0.06199936,0.06400070,0.04840080,0.05200071,198.44170046,3562.78171697
20170504,0.05279999,0.05799999,0.05000000,0.05699946,128.07804322,2368.98345056
20170505,0.05699940,0.05797115,0.05100911,0.05580000,62.09548308,1153.82906116
20170506,0.05559988,0.07356639,0.05402534,0.07100547,155.75931033,2399.36344069
20170507,0.07289204,0.07289207,0.06615145,0.06620000,94.23444536,1364.40806383
20170508,0.06620000,0.07500000,0.06000010,0.06605310,134.40593474,1996.97023073
20170509,0.06605926,0.06950000,0.05152209,0.05446533,52.11089211,868.88211076
20170510,0.05729403,0.06512000,0.05448070,0.06194410,25.24863516,424.09160175
20170511,0.06194410,0.06484074,0.05610237,0.05984994,34.36976013,558.71694835
20170512,0.06063000,0.06609352,0.05840809,0.06428634,26.46386168,422.48868022
20170513,0.06204240,0.06489706,0.06204001,0.06398549,16.03537450,256.15609445
20170514,0.06397269,0.06450000,0.06002351,0.06369751,16.85229505,267.21963805
20170515,0.06142825,0.07193211,0.06122741,0.06796881,32.42549784,485.09100814
20170516,0.06802714,0.07621009,0.06745293,0.06900001,111.63904848,1568.44616348
20170517,0.07000000,0.07000000,0.06520003,0.06741231,38.99625583,584.40934665
20170518,0.06612862,0.07449990,0.06612858,0.07212367,56.25801594,797.61726429
20170519,0.07212369,0.09173164,0.06894141,0.08350009,247.90566453,2982.29293467
20170520,0.08350070,0.09265619,0.07717665,0.08755455,84.32186768,992.94366264
20170521,0.08755383,0.10761071,0.08505190,0.10623484,115.10332003,1186.37952906
20170522,0.10367927,0.10999794,0.09090923,0.10404941,244.99008866,2444.77256050
20170523,0.10509200,0.10900000,0.09300346,0.10380000,101.32374738,995.73438362
20170524,0.10379784,0.13000000,0.09940315,0.10801943,136.55412741,1210.98666445
20170525,0.10891497,0.11499882,0.09200009,0.09806094,83.91870426,828.50795100
20170526,0.09805321,0.10173315,0.08829797,0.09314209,48.49780732,503.98765169
20170527,0.09054183,0.10227360,0.07296312,0.09393638,57.25459947,671.16318462
20170528,0.09287014,0.09877161,0.09200529,0.09694624,18.40006649,190.55368142
20170529,0.09695299,0.10270000,0.09361045,0.09781613,31.91764636,321.94483712
20170530,0.09781832,0.11849000,0.09781829,0.11720563,76.02757503,691.97824839
20170531,0.11848992,0.11850000,0.10910000,0.11348999,69.83887628,608.98024711
20170601,0.11348860,0.11349000,0.10084054,0.10455699,42.49830098,396.69644547
20170602,0.10455699,0.10694326,0.10100730,0.10100730,32.53429286,315.16830168
20170603,0.10330258,0.10489758,0.10020165,0.10057450,24.70206345,241.24766513
20170604,0.10417155,0.10726528,0.10060083,0.10570230,75.94445351,723.42123519
20170605,0.10545131,0.10555156,0.09520532,0.09600000,63.87947973,630.39531880
20170606,0.09640052,0.09731929,0.08748686,0.09297818,39.37528484,426.95617622
20170607,0.09320000,0.09630000,0.08966784,0.09296000,42.00803637,444.67119011
20170608,0.09296000,0.09613909,0.09129910,0.09251045,35.22848887,377.62791510
20170609,0.09251345,0.09372430,0.09031011,0.09239143,22.06512056,240.49542380
20170610,0.09161579,0.09320001,0.08637568,0.08834992,37.33963099,414.74871063
20170611,0.08840125,0.09271417,0.08827644,0.09270762,18.89249265,210.48105721
20170612,0.09111328,0.10199997,0.08914043,0.10199997,79.37173098,826.76082744
20170613,0.10199964,0.10199964,0.09489022,0.09950010,48.41667794,489.77913365
20170614,0.09997976,0.10102356,0.09605001,0.10102356,24.21510958,244.82450838
20170615,0.10074657,0.10140001,0.09222074,0.09700000,31.64106858,325.22645993
20170616,0.09790946,0.10000000,0.09402628,0.09777546,31.27408457,319.51773476
20170617,0.09603099,0.09822603,0.09361785,0.09697709,25.56807479,265.18404680
20170618,0.09572955,0.09855055,0.09366663,0.09550000,30.59567481,316.73937043
20170619,0.09550000,0.09799997,0.09230004,0.09473600,35.31192677,369.60160451
20170620,0.09473907,0.09633185,0.08500000,0.08907521,31.83701011,346.89273578
20170621,0.08980000,0.09185644,0.08500100,0.08642391,20.98025219,240.11110486
20170622,0.08680469,0.08680469,0.08184503,0.08461266,25.07824896,297.87488833
20170623,0.08380001,0.08703204,0.08244256,0.08598139,19.51647562,229.62490963
20170624,0.08597919,0.08597923,0.08292461,0.08364873,15.99300476,189.66344899
20170625,0.08390134,0.08557642,0.08000002,0.08023643,31.69985004,385.12332116
20170626,0.08026088,0.08189999,0.07411021,0.07982283,24.81100594,315.92797846
20170627,0.07982252,0.07982252,0.07237899,0.07970000,34.63797704,453.06348390
20170628,0.07970000,0.08563800,0.07706967,0.08504483,26.23148069,320.61335551
20170629,0.08420812,0.11000000,0.08420812,0.10464895,181.47819670,1824.38726392
20170630,0.10250000,0.16400000,0.09837634,0.13689897,980.29925405,7276.57035788
20170701,0.13689891,0.13900000,0.12400896,0.12537000,195.86009494,1502.71662062
20170702,0.12537000,0.13293939,0.11539034,0.13068436,146.96148865,1180.74237439
20170703,0.12900001,0.13853819,0.12728008,0.13100000,167.58842051,1254.40239338
20170704,0.12970001,0.13500000,0.12200000,0.12320584,95.02331176,738.62255035
20170705,0.12200001,0.13659910,0.12075580,0.12999957,78.01115101,604.60986428
20170706,0.13000000,0.13260000,0.12628831,0.12951410,51.49475540,396.63406792
20170707,0.12699999,0.12922148,0.11414999,0.11682161,46.02525484,375.83579404
20170708,0.11430013,0.12156579,0.10656031,0.11677798,41.94932406,367.00380660
20170709,0.11706816,0.11861951,0.10837000,0.10837871,26.31096643,234.12219345
20170710,0.10840859,0.11206000,0.09356486,0.09899252,68.09110622,654.19655032
20170711,0.09809421,0.10000000,0.08400327,0.08871741,30.08031186,327.35430811
20170712,0.08671937,0.09292683,0.08400420,0.09292683,42.29286317,475.83813790
20170713,0.09287803,0.09306177,0.08587601,0.08666800,36.65770635,410.08016648
20170714,0.08717869,0.08727854,0.07993312,0.08160540,24.23796900,291.95813335
20170715,0.08170000,0.08326975,0.07882874,0.08322477,11.39198683,141.91809112
20170716,0.08321977,0.08758669,0.07500000,0.08100000,28.63217982,359.30314730
20170717,0.08100176,0.08893794,0.08060000,0.08357962,26.08979560,312.77028551
20170718,0.08357963,0.08764783,0.07917164,0.08699117,41.19259329,502.65807544
20170719,0.08599817,0.09870643,0.08378700,0.08870158,93.04181638,998.01293815
20170720,0.09186511,0.09514692,0.07765400,0.08050000,40.95573988,468.33072429
20170721,0.08050000,0.09538742,0.08050000,0.08223439,37.36956519,442.09812627
20170722,0.08326115,0.08500000,0.07849992,0.08300000,24.16344846,296.50321613
20170723,0.08300000,0.08549259,0.08100528,0.08449990,9.51415934,114.76307081
20170724,0.08499989,0.08499989,0.08010000,0.08223043,13.95337715,170.77552394
20170725,0.08100000,0.08198026,0.07528510,0.07865220,14.10037202,179.13469388
20170726,0.07865217,0.08070250,0.07510209,0.07947681,19.54502220,253.91255136
20170727,0.07703479,0.07947681,0.07547440,0.07781548,3.58042461,46.00798106
20170728,0.07778961,0.08499979,0.06200000,0.06720004,104.08060790,1396.89138054
20170729,0.06720004,0.07191276,0.06634374,0.07191273,23.23743982,334.84989104
20170730,0.07191080,0.07310376,0.06446769,0.06782157,39.89790374,562.57594505
20170731,0.06520644,0.06782974,0.06237537,0.06600411,10.16088254,157.34784565
20170801,0.06600411,0.07426568,0.06300155,0.07013796,35.90174623,511.55260998
20170802,0.07013892,0.07499997,0.06900001,0.07336148,50.63508129,694.30964726
