[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170417,0.00011500,2.00000000,0.00007000,0.00007645,10.27125757,125878.75558845
20170418,0.00007650,0.00014000,0.00007302,0.00008944,115.25263398,1309864.22711489
20170419,0.00008844,0.00010699,0.00008100,0.00008435,153.74950897,1735898.98541757
20170420,0.00008414,0.00009069,0.00007361,0.00008013,114.14256549,1397421.53703804
20170421,0.00008051,0.00008292,0.00007708,0.00008110,48.82991112,614520.03176527
20170422,0.00008050,0.00008500,0.00007802,0.00008025,58.21930619,720037.27171332
20170423,0.00007967,0.00008350,0.00007750,0.00007925,43.53902116,549132.08713772
20170424,0.00007929,0.00008287,0.00007750,0.00008144,42.64724693,534805.86739569
20170425,0.00008144,0.00008232,0.00007802,0.00007963,43.18490847,537727.21236370
20170426,0.00007900,0.00008600,0.00007848,0.00008198,53.85315573,666006.46790571
20170427,0.00008197,0.00010900,0.00008006,0.00009951,234.45166900,2556428.29667510
20170428,0.00009933,0.00011500,0.00009245,0.00010787,322.17327176,3111126.73198912
20170429,0.00010947,0.00013489,0.00010947,0.00012937,332.74335091,2657331.99739806
20170430,0.00012889,0.00018996,0.00012400,0.00016257,770.87168383,5013015.48932810
20170501,0.00016200,0.00017947,0.00012191,0.00015103,537.49345922,3481066.35818112
20170502,0.00015368,0.00016300,0.00012621,0.00015463,417.87945208,2783317.23116420
20170503,0.00015463,0.00016000,0.00014459,0.00014843,302.87013505,1995865.19705525
20170504,0.00014898,0.00016800,0.00014750,0.00016326,407.92484994,2553424.21942976
20170505,0.00016327,0.00017799,0.00014902,0.00015421,420.98905373,2612454.89895852
20170506,0.00015422,0.00016649,0.00015271,0.00016124,209.58005432,1328763.67522000
20170507,0.00016118,0.00016429,0.00014800,0.00015153,252.87137635,1597765.47916135
20170508,0.00015156,0.00017510,0.00013287,0.00014304,327.55256333,2235757.12590092
20170509,0.00014302,0.00014522,0.00010500,0.00011992,234.10910634,1894696.91452506
20170510,0.00011991,0.00014180,0.00011564,0.00012300,310.83004041,2422755.29981725
20170511,0.00012350,0.00013500,0.00011803,0.00012986,341.13303766,2709387.65798544
20170512,0.00012991,0.00014000,0.00012765,0.00013130,214.76952527,1627051.10548714
