[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170119,0.00010000,0.00010000,0.00010000,0.00010000,0.00009975,0.99750000
20170120,0.00006005,0.00024000,0.00006005,0.00007900,1.38428072,16103.58926187
20170121,0.00007261,0.00007899,0.00006127,0.00006780,0.50100428,7593.51755282
20170122,0.00006214,0.00006777,0.00005031,0.00006070,0.29978554,4992.80825992
20170123,0.00006096,0.00006600,0.00004004,0.00004302,0.85688324,15202.39319495
20170124,0.00005027,0.00007050,0.00005025,0.00007050,0.87926980,13806.54391209
20170125,0.00006720,0.00008225,0.00005700,0.00008000,4.18399746,58578.33108393
20170126,0.00008000,0.00008900,0.00006178,0.00007201,2.71147211,34614.07877884
20170127,0.00007209,0.00009898,0.00006019,0.00007984,1.48305410,18220.51830944
20170128,0.00007984,0.00009995,0.00007050,0.00008999,3.05276020,35889.69328006
20170129,0.00008994,0.00009440,0.00007225,0.00008372,1.11632106,14032.41547517
20170130,0.00007852,0.00008193,0.00007322,0.00007489,3.08440065,40584.76649562
20170131,0.00007459,0.00012900,0.00007459,0.00009700,10.21473054,106688.41427441
20170201,0.00009226,0.00010800,0.00008602,0.00010800,2.64343223,26794.91897051
20170202,0.00010823,0.00011790,0.00008500,0.00010359,8.82712889,89532.23975796
20170203,0.00009635,0.00009764,0.00007749,0.00008591,4.16741825,46906.14223822
20170204,0.00008225,0.00008599,0.00007753,0.00008560,1.72344915,21797.39059073
20170205,0.00008265,0.00009000,0.00007749,0.00007840,1.46143176,18007.61205285
20170206,0.00007800,0.00008597,0.00007530,0.00007849,2.70767756,33496.74566161
20170207,0.00007755,0.00011700,0.00007537,0.00007633,5.11602785,60228.27417956
20170208,0.00007758,0.00007936,0.00007542,0.00007550,1.48481432,19552.88212709
20170209,0.00007560,0.00007649,0.00007001,0.00007001,1.94868123,26444.53678764
20170210,0.00007194,0.00007277,0.00004760,0.00005812,2.67579901,47493.88154989
20170211,0.00005819,0.00005827,0.00005050,0.00005543,0.46851036,8685.88612864
20170212,0.00005106,0.00005957,0.00004501,0.00005930,1.83696169,33376.16645705
20170213,0.00005890,0.00005929,0.00004666,0.00005038,0.57382602,10616.99180220
20170214,0.00005070,0.00005144,0.00004578,0.00004578,1.45944547,31335.73414963
20170215,0.00004601,0.00005590,0.00004599,0.00004753,1.54595954,32087.65432723
20170216,0.00004709,0.00004816,0.00004407,0.00004517,0.71849758,15931.79711363
20170217,0.00004480,0.00004540,0.00003032,0.00003033,1.31534357,32714.88717931
20170218,0.00003677,0.00003836,0.00002266,0.00002501,3.25486520,115085.71840251
20170219,0.00002506,0.00005000,0.00002502,0.00004999,2.31366203,66803.83713546
20170220,0.00004603,0.00004603,0.00003472,0.00003562,1.54507607,39352.26775500
20170221,0.00003501,0.00003501,0.00003000,0.00003000,0.50896899,15535.43733682
20170222,0.00003153,0.00003443,0.00003001,0.00003010,0.54938622,16949.47625454
20170223,0.00003103,0.00003268,0.00003027,0.00003090,0.28600781,9113.80389162
