[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150227,0.00008008,0.00008008,0.00000742,0.00000884,1.09267853,108395.74784007
20150228,0.00000879,0.00001100,0.00000841,0.00000998,2.23772795,240704.79817135
20150301,0.00000998,0.00001000,0.00000700,0.00000700,6.96359576,840129.72607564
20150302,0.00000980,0.00000989,0.00000700,0.00000801,0.75390700,82357.63038302
20150303,0.00000848,0.00000848,0.00000665,0.00000665,0.14487276,18764.07660658
20150304,0.00000665,0.00000768,0.00000405,0.00000660,1.64100091,263965.15884881
20150305,0.00000550,0.00000734,0.00000550,0.00000551,1.85619692,290546.83607251
20150306,0.00000648,0.00000648,0.00000459,0.00000520,1.28501634,242061.11232033
20150307,0.00000544,0.00000545,0.00000400,0.00000401,0.17045944,37534.02529541
20150308,0.00000469,0.00000591,0.00000460,0.00000460,0.04613405,9269.16501685
20150309,0.00000460,0.00000591,0.00000460,0.00000589,0.03426977,6232.39872290
20150310,0.00000482,0.00000558,0.00000460,0.00000460,0.07535836,15940.23118510
20150311,0.00000443,0.00000443,0.00000400,0.00000400,0.03058449,7611.02967107
20150312,0.00000410,0.00000489,0.00000399,0.00000489,1.46659086,366366.64602041
20150313,0.00000480,0.00000549,0.00000380,0.00000460,1.37939683,345469.43106828
20150314,0.00000407,0.00000407,0.00000402,0.00000403,0.01764734,4354.76900000
20150315,0.00000403,0.00000597,0.00000375,0.00000589,0.38037852,80796.53601395
20150316,0.00000450,0.00000452,0.00000450,0.00000451,0.05750278,12737.32330854
20150317,0.00000455,0.00000459,0.00000395,0.00000395,0.27831686,68755.88465577
20150318,0.00000450,0.00000460,0.00000416,0.00000460,0.10864363,23901.50055602
20150319,0.00000416,0.00000460,0.00000350,0.00000400,0.16032319,41755.18538094
20150320,0.00000454,0.00000454,0.00000350,0.00000389,0.15958193,41440.83360950
20150321,0.00000425,0.00000470,0.00000360,0.00000396,0.15150386,35068.50388675
20150322,0.00000382,0.00000420,0.00000367,0.00000367,0.12270863,31437.83427956
20150323,0.00000351,0.00000400,0.00000351,0.00000398,0.19565351,50196.51379885
20150324,0.00000398,0.00000401,0.00000376,0.00000376,0.25312297,64737.40744035
20150325,0.00000376,0.00000376,0.00000350,0.00000350,0.17448969,49400.00000000
20150326,0.00000377,0.00000377,0.00000326,0.00000326,0.86464831,255127.67923034
20150327,0.00000370,0.00000460,0.00000370,0.00000401,0.14895443,36223.82765660
20150328,0.00000422,0.00000461,0.00000390,0.00000443,0.67737667,154335.67292650
20150329,0.00000440,0.00000462,0.00000381,0.00000450,0.09867187,23026.29267793
20150330,0.00000383,0.00000450,0.00000327,0.00000389,0.42463954,107463.11764058
20150331,0.00000389,0.00000450,0.00000389,0.00000450,0.26172532,62181.13667642
20150401,0.00000401,0.00000410,0.00000380,0.00000380,0.15403262,38981.56992545
20150402,0.00000390,0.00000400,0.00000346,0.00000346,0.01795265,4701.72089360
20150403,0.00000365,0.00000365,0.00000365,0.00000365,0.00052574,144.03950934
20150404,0.00000366,0.00000366,0.00000365,0.00000365,0.02891061,7911.67465910
20150405,0.00000366,0.00000410,0.00000365,0.00000410,0.18372341,49289.09239754
20150406,0.00000410,0.00000460,0.00000400,0.00000460,0.34529078,77316.46012160
20150407,0.00000406,0.00000406,0.00000391,0.00000391,0.02254537,5590.93641457
20150408,0.00000391,0.00000391,0.00000390,0.00000390,0.00156200,400.00000000
20150409,0.00000404,0.00000404,0.00000326,0.00000399,0.39889548,113284.53465011
20150410,0.00000380,0.00000400,0.00000299,0.00000337,2.31730361,708221.61607840
20150411,0.00000366,0.00000430,0.00000366,0.00000400,0.49444429,122997.01101447
20150412,0.00000420,0.00000420,0.00000415,0.00000415,0.01154644,2780.82778916
20150413,0.00000363,0.00000417,0.00000200,0.00000354,3.24897688,1117384.39896956
20150414,0.00000354,0.00000384,0.00000333,0.00000360,0.02511732,6976.96841667
20150415,0.00000331,0.00000331,0.00000300,0.00000300,0.03755835,11938.04806737
20150416,0.00000330,0.00000468,0.00000330,0.00000448,1.16399985,275509.40456874
20150417,0.00000449,0.00000497,0.00000300,0.00000400,3.08961249,850011.27394832
20150418,0.00000320,0.00000408,0.00000261,0.00000299,1.11813522,375555.67972103
20150419,0.00000265,0.00000405,0.00000265,0.00000298,0.07097894,18687.73149233
20150420,0.00000274,0.00000361,0.00000250,0.00000296,1.56746290,595585.19536008
20150421,0.00000299,0.00000302,0.00000299,0.00000302,0.08158815,27163.26097496
20150422,0.00000304,0.00000350,0.00000304,0.00000350,0.22436671,70714.45348710
20150423,0.00000350,0.00000350,0.00000321,0.00000321,0.01274870,3940.97242715
20150424,0.00000321,0.00000356,0.00000260,0.00000263,4.77140046,1621285.37446637
20150425,0.00000339,0.00000340,0.00000305,0.00000305,0.18348991,54284.24139240
20150426,0.00000348,0.00000357,0.00000260,0.00000357,1.00021897,304026.58980963
20150427,0.00000357,0.00000357,0.00000320,0.00000320,0.13434333,39716.68410359
20150428,0.00000338,0.00000338,0.00000295,0.00000296,0.93168286,314420.27240809
20150429,0.00000290,0.00000336,0.00000280,0.00000335,0.04239590,14747.73015855
20150430,0.00000335,0.00000335,0.00000278,0.00000308,0.11166216,39290.87754848
20150501,0.00000308,0.00000308,0.00000277,0.00000308,0.39099808,137827.81527118
20150502,0.00000282,0.00000308,0.00000277,0.00000305,0.27098354,91372.54119326
20150503,0.00000305,0.00000308,0.00000283,0.00000306,0.11726724,38971.84216995
20150504,0.00000293,0.00000306,0.00000250,0.00000269,2.42164512,886151.04863922
20150505,0.00000269,0.00000290,0.00000232,0.00000280,0.32251449,125002.86656649
20150506,0.00000258,0.00000285,0.00000258,0.00000284,0.05423209,19351.30871555
20150507,0.00000284,0.00000284,0.00000284,0.00000284,0.02354506,8290.51232502
20150508,0.00000261,0.00000283,0.00000234,0.00000270,0.13418804,52277.47957264
20150509,0.00000279,0.00000282,0.00000237,0.00000254,0.20012442,75225.09474914
20150510,0.00000261,0.00000287,0.00000259,0.00000287,0.26472681,97925.95592365
20150511,0.00000287,0.00000290,0.00000262,0.00000290,0.09543535,34645.55221694
20150512,0.00000290,0.00000299,0.00000288,0.00000298,0.10876498,36906.74036750
20150513,0.00000299,0.00000348,0.00000265,0.00000300,0.50187952,165038.63479805
20150514,0.00000290,0.00000300,0.00000279,0.00000300,0.07555683,26088.86725730
20150515,0.00000281,0.00000329,0.00000280,0.00000290,0.10478036,36712.92141734
20150516,0.00000312,0.00000312,0.00000271,0.00000284,0.26936760,95469.29019031
20150517,0.00000303,0.00000303,0.00000250,0.00000280,2.16623613,791013.50883475
20150518,0.00000278,0.00000299,0.00000240,0.00000296,1.22966795,436294.64607268
20150519,0.00000281,0.00000290,0.00000240,0.00000285,0.48267391,182893.81321328
20150520,0.00000286,0.00000348,0.00000242,0.00000345,1.30733180,414769.73306598
20150521,0.00000345,0.00000364,0.00000250,0.00000250,2.46184132,794415.52822269
20150522,0.00000346,0.00000349,0.00000260,0.00000290,0.19117019,61677.17968098
20150523,0.00000310,0.00000319,0.00000260,0.00000319,0.09742649,32725.16372640
20150524,0.00000315,0.00000350,0.00000261,0.00000350,0.18487907,59346.98076682
20150525,0.00000315,0.00000315,0.00000285,0.00000285,0.16081672,53040.35250000
20150526,0.00000310,0.00000320,0.00000290,0.00000290,0.07892413,25228.74466579
20150527,0.00000300,0.00000356,0.00000300,0.00000300,0.37140128,111458.86390404
20150528,0.00000300,0.00000319,0.00000280,0.00000310,0.29559924,99397.76158520
20150529,0.00000317,0.00000317,0.00000300,0.00000316,0.11260120,36436.38349603
20150530,0.00000310,0.00000319,0.00000310,0.00000319,0.16923933,53247.58280358
20150531,0.00000319,0.00000319,0.00000225,0.00000310,1.09919760,398904.21004010
20150601,0.00000310,0.00000328,0.00000300,0.00000328,0.94378789,304668.17810582
20150602,0.00000325,0.00000330,0.00000254,0.00000300,0.56726579,182616.24782199
20150603,0.00000301,0.00000334,0.00000272,0.00000320,0.27297195,86439.35160397
20150604,0.00000320,0.00000320,0.00000268,0.00000268,0.57869140,202101.11445740
20150605,0.00000300,0.00000310,0.00000280,0.00000290,0.09522632,31464.38635723
20150606,0.00000300,0.00000304,0.00000275,0.00000304,0.08782197,30258.73079264
20150607,0.00000288,0.00000302,0.00000257,0.00000302,0.36931867,133834.02760926
20150608,0.00000303,0.00000303,0.00000281,0.00000300,0.04686735,15576.66655164
20150609,0.00000300,0.00000319,0.00000300,0.00000319,0.14274932,45692.56228637
20150610,0.00000319,0.00000319,0.00000311,0.00000315,0.34173346,108385.40995298
20150611,0.00000310,0.00000334,0.00000305,0.00000334,0.72974479,226451.29304649
20150612,0.00000330,0.00000330,0.00000323,0.00000329,0.00454895,1386.51781341
20150613,0.00000320,0.00000328,0.00000300,0.00000309,0.26137124,83190.62542563
20150614,0.00000328,0.00000334,0.00000308,0.00000308,0.56343131,170553.36086447
20150615,0.00000307,0.00000325,0.00000293,0.00000310,0.44832457,146943.53470002
20150616,0.00000320,0.00000366,0.00000292,0.00000325,0.78382640,237756.04383434
20150617,0.00000325,0.00000335,0.00000313,0.00000315,0.05975006,18186.38879603
20150618,0.00000320,0.00000332,0.00000304,0.00000328,0.11401111,36237.11667598
20150619,0.00000328,0.00000328,0.00000300,0.00000314,0.58192125,187684.23109430
20150620,0.00000324,0.00000324,0.00000319,0.00000320,0.06310475,19706.20257981
20150621,0.00000320,0.00000340,0.00000308,0.00000340,0.21272196,64433.54439883
20150622,0.00000319,0.00000325,0.00000319,0.00000325,0.00209546,649.81000000
20150623,0.00000336,0.00000336,0.00000312,0.00000312,0.04286668,13347.42563720
20150624,0.00000312,0.00000339,0.00000300,0.00000330,0.50710036,161625.90958722
20150625,0.00000325,0.00000339,0.00000300,0.00000306,0.22290083,67738.29514747
20150626,0.00000306,0.00000332,0.00000305,0.00000306,0.04003800,12552.87948098
20150627,0.00000310,0.00000339,0.00000310,0.00000316,1.51069646,458856.66204164
20150628,0.00000316,0.00000339,0.00000275,0.00000275,0.78588469,258679.04845323
20150629,0.00000339,0.00000339,0.00000310,0.00000310,0.02207138,7069.80000000
20150630,0.00000317,0.00000320,0.00000311,0.00000311,0.01126355,3540.93319579
20150701,0.00000320,0.00000325,0.00000310,0.00000310,0.12902953,40318.06115806
20150702,0.00000320,0.00000324,0.00000310,0.00000310,0.48758195,151467.22807870
20150703,0.00000320,0.00000323,0.00000290,0.00000320,0.53138056,165923.26001441
20150704,0.00000300,0.00000300,0.00000300,0.00000300,0.00247704,825.68055000
20150705,0.00000310,0.00000310,0.00000280,0.00000280,0.32735295,108809.89292182
20150726,0.00000286,0.00000288,0.00000253,0.00000253,0.01018541,3576.77136254
20150727,0.00000257,0.00000302,0.00000251,0.00000270,0.06935278,26969.36462341
20150728,0.00000285,0.00000290,0.00000255,0.00000283,0.08556975,31897.73151353
20150729,0.00000258,0.00000310,0.00000258,0.00000262,0.22054431,74428.02632779
20150730,0.00000282,0.00000282,0.00000263,0.00000263,0.00497898,1831.58250000
20150731,0.00000264,0.00000275,0.00000250,0.00000250,0.90059843,344853.70328249
20150802,0.00000271,0.00000289,0.00000253,0.00000262,0.37470606,130165.83448962
