[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140403,0.00000575,0.00000575,0.00000575,0.00000575,0.00301300,524.00000000
20140405,0.00000515,0.00000515,0.00000515,0.00000515,0.01030000,2000.00000000
20140406,0.00000515,0.00000515,0.00000515,0.00000515,0.20085000,39000.00000000
20140410,0.00000765,0.00000850,0.00000765,0.00000850,0.33356938,41697.55750000
20140411,0.00000841,0.00005000,0.00000800,0.00001150,0.06607492,6517.42507190
20140412,0.00005000,0.00050000,0.00000950,0.00001140,3.80876696,135624.50790272
20140413,0.00001141,0.00001499,0.00001140,0.00001140,0.54157310,46712.56870421
20140414,0.00001140,0.00001140,0.00001140,0.00001140,0.05171911,4536.76400000
20140415,0.00000680,0.00000800,0.00000680,0.00000680,0.06101033,8795.99000000
20140417,0.00000680,0.00000680,0.00000650,0.00000650,0.07742526,11597.89963334
20140418,0.00000650,0.00000650,0.00000650,0.00000650,0.00910000,1400.00000000
20140419,0.00000899,0.00000899,0.00000899,0.00000899,0.00099582,110.77020000
20140421,0.00000900,0.00000900,0.00000900,0.00000900,0.00054868,60.96495556
20140422,0.00000900,0.00000900,0.00000900,0.00000900,0.01080000,1200.00000000
20140423,0.00000900,0.00000900,0.00000900,0.00000900,0.00100800,112.00000000
20140424,0.00000089,0.00000089,0.00000089,0.00000089,0.00089000,1000.00000000
20140428,0.00000334,0.00000334,0.00000333,0.00000334,0.00546193,1637.62088522
20140429,0.00000334,0.00000900,0.00000334,0.00000900,0.01526418,1913.46217387
20140430,0.00000451,0.00001100,0.00000450,0.00001100,0.07563073,7767.70107438
20140501,0.00000930,0.00001100,0.00000930,0.00001100,0.02190755,2322.45957726
20140503,0.00000750,0.00000750,0.00000566,0.00000566,0.00177620,301.58687413
20140504,0.00000570,0.00000590,0.00000570,0.00000590,0.00549147,940.39167413
20140505,0.00000700,0.00000700,0.00000590,0.00000590,0.00921250,1375.00000000
20140506,0.00000615,0.00000700,0.00000615,0.00000700,0.00287181,446.68737670
20140508,0.00000592,0.00000592,0.00000333,0.00000333,0.02812631,6584.72660505
20140509,0.00000341,0.00000341,0.00000341,0.00000341,0.00136400,400.00000000
20140511,0.00000389,0.00000421,0.00000389,0.00000420,0.01860505,4425.37017733
20140512,0.00000466,0.00000620,0.00000421,0.00000421,0.00394367,649.50071226
20140513,0.00000421,0.00000421,0.00000421,0.00000421,0.00076389,181.44566375
20140514,0.00000452,0.00000452,0.00000452,0.00000452,0.00040228,89.00000000
20140515,0.00000452,0.00000452,0.00000452,0.00000452,0.02219772,4911.00000000
20140517,0.00000449,0.00000452,0.00000355,0.00000355,0.02592781,5884.95227360
20140518,0.00000358,0.00000362,0.00000358,0.00000362,0.00861935,2382.94214808
20140519,0.00000600,0.00000600,0.00000600,0.00000600,0.00006000,10.00000000
20140520,0.00000375,0.00000375,0.00000352,0.00000352,0.00473461,1318.99525142
20140521,0.00000352,0.00000352,0.00000163,0.00000163,0.00767613,2284.71009840
20140523,0.00000169,0.00000171,0.00000169,0.00000170,0.00129789,761.86576425
20140524,0.00000171,0.00000548,0.00000171,0.00000548,0.01496943,7999.73893315
20140525,0.00000215,0.00000538,0.00000215,0.00000538,0.01431422,2666.63907147
20140527,0.00000224,0.00000224,0.00000224,0.00000224,0.00560000,2500.00000000
20140528,0.00000380,0.00000380,0.00000228,0.00000228,0.00271636,1124.71684404
20140529,0.00000228,0.00000230,0.00000228,0.00000230,0.00004996,21.81278799
20140530,0.00000234,0.00000885,0.00000234,0.00000650,1.07233507,163491.48932092
20140531,0.00000700,0.00000848,0.00000550,0.00000550,0.73343404,117264.15726452
20140601,0.00000550,0.00000847,0.00000399,0.00000600,0.35765604,63872.13874369
20140602,0.00000590,0.00000680,0.00000475,0.00000529,0.39807203,68557.87291938
20140603,0.00000529,0.00000529,0.00000412,0.00000412,0.43604514,90491.23045176
20140604,0.00000413,0.00000619,0.00000413,0.00000510,0.21596531,39353.76503831
20140605,0.00000510,0.00000619,0.00000505,0.00000505,0.14015540,27158.01284382
20140606,0.00000505,0.00000505,0.00000391,0.00000391,0.05598823,11812.66228664
20140607,0.00000401,0.00000535,0.00000330,0.00000535,0.11586080,27245.21089185
20140608,0.00000400,0.00000480,0.00000400,0.00000480,0.11504660,28709.15211970
20140609,0.00000362,0.00000362,0.00000300,0.00000300,0.00193242,539.39699553
20140610,0.00000300,0.00000600,0.00000300,0.00000356,0.11675528,25119.81002827
20140611,0.00000356,0.00000356,0.00000319,0.00000319,0.06381907,18904.17000795
20140612,0.00000320,0.00000320,0.00000320,0.00000320,0.00347774,1086.79278083
20140613,0.00000330,0.00000330,0.00000319,0.00000319,0.07787076,24066.06861544
20140614,0.00000401,0.00000401,0.00000193,0.00000201,0.32617860,111530.92969755
20140615,0.00000224,0.00000330,0.00000224,0.00000291,0.02937531,10039.65145691
20140616,0.00000300,0.00000586,0.00000300,0.00000305,0.03091336,9048.25289270
20140617,0.00000375,0.00000592,0.00000310,0.00000592,0.03035380,6137.98994519
20140618,0.00000350,0.00000350,0.00000350,0.00000350,0.00175000,500.00000000
20140619,0.00000310,0.00000345,0.00000310,0.00000310,0.00870948,2676.43402406
20140620,0.00000310,0.00000310,0.00000310,0.00000310,0.10513837,33915.60227196
20140621,0.00000293,0.00000293,0.00000225,0.00000225,0.00282663,1091.36296738
20140623,0.00000245,0.00000245,0.00000200,0.00000200,0.01213068,5086.91006039
20140624,0.00000196,0.00000200,0.00000193,0.00000198,0.00311847,1589.06385784
20140625,0.00000198,0.00000206,0.00000198,0.00000206,0.00139010,677.27104866
20140626,0.00000206,0.00000206,0.00000204,0.00000204,0.02662490,13000.75430875
20140627,0.00000250,0.00000250,0.00000250,0.00000250,0.00011979,47.91515230
20140628,0.00000328,0.00000328,0.00000216,0.00000216,0.00022507,95.12564080
20140629,0.00000216,0.00000327,0.00000216,0.00000221,0.00075499,292.74820946
20140630,0.00000222,0.00000223,0.00000222,0.00000223,0.00038074,170.82820893
20140701,0.00000223,0.00000223,0.00000222,0.00000222,0.00310603,1395.29106482
20140702,0.00000222,0.00000222,0.00000222,0.00000222,0.00111222,501.00000000
20140703,0.00000222,0.00000226,0.00000220,0.00000220,0.02183956,9837.22995182
20140704,0.00000219,0.00000238,0.00000219,0.00000237,0.01282839,5567.62847050
20140705,0.00000236,0.00000236,0.00000220,0.00000225,0.01094516,4970.85267441
20140706,0.00000233,0.00000233,0.00000222,0.00000222,0.00008057,35.54826650
20140707,0.00000233,0.00000233,0.00000192,0.00000192,0.05774091,27226.12199006
20140708,0.00000192,0.00000192,0.00000091,0.00000091,0.00856555,6040.38540798
20140709,0.00000140,0.00000200,0.00000113,0.00000200,0.00368345,2461.42360300
20140710,0.00000131,0.00000189,0.00000131,0.00000189,0.00010308,67.34193369
20140711,0.00000162,0.00000189,0.00000141,0.00000176,0.00166284,1065.95783862
20140712,0.00000177,0.00000231,0.00000128,0.00000128,0.02605858,13119.77397079
20140713,0.00000137,0.00000137,0.00000110,0.00000110,0.02154436,17333.02179494
20140714,0.00000117,0.00000125,0.00000117,0.00000125,0.00021428,179.18362240
20140715,0.00000129,0.00000294,0.00000095,0.00000105,0.06597386,37218.94166825
20140716,0.00000113,0.00000113,0.00000060,0.00000060,0.02418849,25862.16655625
20140717,0.00000111,0.00000122,0.00000076,0.00000100,0.01064490,11370.38423021
20140718,0.00000110,0.00000120,0.00000100,0.00000106,0.01030027,9674.32905645
20140719,0.00000109,0.00000250,0.00000109,0.00000155,0.10455014,50412.63392127
20140720,0.00000154,0.00000382,0.00000080,0.00000137,0.29260519,128366.30371127
20140721,0.00000138,0.00000138,0.00000104,0.00000104,0.00100004,918.63118553
20140722,0.00000110,0.00000195,0.00000107,0.00000135,0.05675777,35831.12065145
20140723,0.00000139,0.00000161,0.00000018,0.00000090,0.03063151,33391.75410595
20140724,0.00000100,0.00000100,0.00000083,0.00000100,0.01535785,15363.82778524
20140725,0.00000091,0.00000169,0.00000091,0.00000138,0.00749784,5861.20826516
20140726,0.00000135,0.00000169,0.00000115,0.00000166,0.01696054,13435.41982405
20140727,0.00000128,0.00000141,0.00000115,0.00000141,0.01631372,13859.89130435
20140728,0.00000116,0.00000138,0.00000111,0.00000112,0.01671069,14873.49859290
20140729,0.00000124,0.00000176,0.00000110,0.00000165,0.15904585,101001.07417673
20140730,0.00000148,0.00000148,0.00000119,0.00000132,0.59333013,428515.33638575
20140731,0.00000121,0.00000132,0.00000104,0.00000132,0.11584387,103290.45198159
20140801,0.00000111,0.00000147,0.00000100,0.00000100,0.37501703,315926.12366318
20140802,0.00000123,0.00000124,0.00000100,0.00000107,0.06852103,56176.00191127
20140803,0.00000108,0.00000111,0.00000100,0.00000105,0.00276041,2600.86872880
20140804,0.00000103,0.00000150,0.00000103,0.00000130,0.16472047,121832.30840011
20140807,0.00000156,0.00000171,0.00000106,0.00000147,0.00979014,6369.00000000
20140808,0.00000112,0.00000113,0.00000102,0.00000104,0.00473013,4468.92393636
20140809,0.00000133,0.00000136,0.00000110,0.00000110,0.00610710,5069.41999999
20140810,0.00000136,0.00000168,0.00000112,0.00000124,0.02717630,18312.12694313
20140811,0.00000114,0.00000149,0.00000113,0.00000122,0.25952156,198236.70270930
20140812,0.00000112,0.00000170,0.00000112,0.00000170,0.04608953,39804.71786519
20140814,0.00000124,0.00000168,0.00000119,0.00000140,0.15551573,102874.57407119
20140815,0.00000149,0.00000170,0.00000140,0.00000140,0.01577289,10785.41625545
20140816,0.00000164,0.00000164,0.00000130,0.00000130,0.00927336,6803.83036766
20160124,0.00000220,0.00000220,0.00000220,0.00000220,0.00228815,1040.07269708
20160125,0.00000264,0.00020001,0.00000264,0.00000508,2.06161047,452752.89290960
20160126,0.00000493,0.00000511,0.00000380,0.00000399,1.38671718,321851.09396506
20160127,0.00000409,0.00000501,0.00000329,0.00000329,2.37075509,554817.91577011
20160128,0.00000335,0.00000381,0.00000331,0.00000369,0.25594914,69088.09737993
20160129,0.00000369,0.00000433,0.00000350,0.00000382,0.14429714,36342.17297004
20160130,0.00000380,0.00000380,0.00000331,0.00000331,0.33669665,90536.94193431
20160131,0.00000342,0.00000375,0.00000310,0.00000310,0.58367241,162770.81773361
20160201,0.00000328,0.00000378,0.00000315,0.00000315,0.10328046,27487.27492998
20160202,0.00000326,0.00000370,0.00000325,0.00000370,0.03243606,9150.14199994
20160203,0.00000369,0.00000370,0.00000329,0.00000334,0.02837632,7761.87038930
