[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170430,0.00120219,0.00120219,0.00011000,0.00012650,695.64191452,4573844.06865047
20170501,0.00012613,0.00016496,0.00010000,0.00012250,531.20731016,3972755.28841413
20170502,0.00012251,0.00012888,0.00010050,0.00010812,167.46585204,1492050.92558846
20170503,0.00010813,0.00011600,0.00010000,0.00010000,127.42416121,1236862.19175089
20170504,0.00010100,0.00010291,0.00008100,0.00009488,193.94909564,2128097.96758108
20170505,0.00009383,0.00011155,0.00008714,0.00010000,122.20934236,1213695.44723689
20170506,0.00009900,0.00012500,0.00009200,0.00011343,118.62295102,1110871.49488287
20170507,0.00011450,0.00012399,0.00010001,0.00010276,99.48609118,889042.19712213
20170508,0.00010281,0.00010953,0.00008150,0.00009500,98.31070998,1005305.55441485
20170509,0.00009573,0.00009607,0.00008250,0.00008786,83.07621291,914208.04761550
20170510,0.00008940,0.00009307,0.00008000,0.00008828,89.58463005,1046742.00362187
20170511,0.00008800,0.00010341,0.00007946,0.00008399,60.77668003,688761.87052095
20170512,0.00008399,0.00009095,0.00007011,0.00007960,67.16916825,815370.02865767
20170513,0.00007869,0.00008044,0.00007013,0.00007927,41.71575448,555197.58390115
20170514,0.00007926,0.00008329,0.00007400,0.00007776,44.00292216,561567.89892704
20170515,0.00007656,0.00009999,0.00007530,0.00009580,68.10359792,750749.93123493
20170516,0.00009581,0.00010000,0.00008507,0.00008729,48.91757214,530846.78633234
20170517,0.00008721,0.00009580,0.00008075,0.00009250,43.74235213,501293.08989896
20170518,0.00009015,0.00013475,0.00008333,0.00012972,300.86825382,2656035.12900355
20170519,0.00013000,0.00013449,0.00010050,0.00012892,165.49204356,1416823.26195124
20170520,0.00012454,0.00012588,0.00010295,0.00011800,70.88107049,614383.18797094
20170521,0.00011800,0.00012200,0.00010295,0.00012090,98.66154224,874508.40420141
20170522,0.00012089,0.00012089,0.00010063,0.00011009,66.12492402,598133.25781161
20170523,0.00011005,0.00012100,0.00010535,0.00012100,114.82867275,1014227.00366772
20170524,0.00012107,0.00013098,0.00010721,0.00013010,202.69183736,1682392.34035928
20170525,0.00013000,0.00013133,0.00010200,0.00011400,97.48195616,868975.67772939
20170526,0.00011300,0.00011789,0.00009991,0.00010477,84.25353526,804466.79468730
20170527,0.00010468,0.00010500,0.00008550,0.00009440,88.31861675,932773.53230994
20170528,0.00009709,0.00011088,0.00009517,0.00010320,40.10549303,386903.28078374
20170529,0.00010354,0.00010884,0.00009101,0.00010570,58.64654955,586646.10349827
20170530,0.00010600,0.00010633,0.00009944,0.00010202,35.82192042,347808.86991543
20170531,0.00010069,0.00010700,0.00009810,0.00010585,79.81462264,787622.36718022
20170601,0.00010586,0.00011998,0.00009491,0.00011357,56.94515974,530713.71547056
20170602,0.00011034,0.00012000,0.00010900,0.00011223,100.37356322,856421.84095407
20170603,0.00011300,0.00012999,0.00011300,0.00011781,85.03836440,691446.11871585
20170604,0.00012037,0.00012930,0.00011510,0.00012358,65.89353112,532388.29030872
20170605,0.00012354,0.00015900,0.00011685,0.00014450,275.35670124,2001130.28975576
20170606,0.00014382,0.00015881,0.00012500,0.00013812,126.18350853,900297.68041652
20170607,0.00014082,0.00015465,0.00013099,0.00014625,91.52144358,637409.54055305
20170608,0.00014683,0.00016387,0.00013556,0.00015717,78.57163534,528080.96049443
20170609,0.00015748,0.00017787,0.00014794,0.00017502,171.58117535,1036515.15635057
