[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170202,0.00006000,0.00157273,0.00006000,0.00157273,0.46638990,312.49446159
20170203,0.00137273,0.00137273,0.00005104,0.00009094,1.86117147,22560.81714298
20170204,0.00009093,0.00012900,0.00008166,0.00012894,10.63583896,91834.85541484
20170205,0.00012892,0.00012897,0.00007330,0.00008963,2.12643688,23019.85434552
20170206,0.00008841,0.00011200,0.00007330,0.00008146,0.74415851,8675.79362243
20170207,0.00010158,0.00012500,0.00007400,0.00010796,3.97081807,36786.73771529
20170208,0.00008618,0.00008629,0.00006231,0.00007730,0.96979149,13790.69569546
20170209,0.00006997,0.00007000,0.00004000,0.00006950,9.28750052,214101.59894296
20170210,0.00006416,0.00006738,0.00003883,0.00004228,8.08444925,178455.60170559
20170211,0.00003868,0.00005299,0.00002973,0.00003968,3.54709002,96463.65985556
20170212,0.00003939,0.00004240,0.00002351,0.00003259,2.37165748,69449.02576051
20170213,0.00003166,0.00003504,0.00002135,0.00002871,1.83525769,63667.61397914
20170214,0.00003195,0.00003600,0.00002719,0.00002797,3.73236730,129190.71410390
20170215,0.00002901,0.00003694,0.00002732,0.00002767,0.83582566,25743.65246545
20170216,0.00002916,0.00003698,0.00002140,0.00003209,3.88740049,141349.58450678
20170217,0.00003075,0.00003400,0.00002833,0.00003319,1.59656581,48425.51892811
20170218,0.00003182,0.00005198,0.00003014,0.00004417,2.99487613,78634.88136468
20170219,0.00003701,0.00004385,0.00003012,0.00003410,0.76093736,18764.42278594
20170220,0.00003702,0.00004126,0.00003403,0.00003945,0.39530122,10621.16780389
20170221,0.00004087,0.00007707,0.00004048,0.00005001,79.67943693,1649754.63874292
20170222,0.00005049,0.00005575,0.00004533,0.00005399,22.00583902,447568.47882670
20170223,0.00005172,0.00005298,0.00004536,0.00004865,21.93375081,445757.84735810
20170224,0.00004878,0.00004880,0.00003502,0.00003536,16.52849329,368209.01046840
20170225,0.00003743,0.00005200,0.00002785,0.00003559,2.16137488,56034.77006544
20170226,0.00003671,0.00003808,0.00003468,0.00003617,0.29781856,8302.17375196
20170227,0.00003742,0.00006589,0.00003689,0.00005000,55.39168661,962095.52982021
20170228,0.00005109,0.00005200,0.00004682,0.00004682,1.01835967,21294.87667247
20170301,0.00004866,0.00006000,0.00004682,0.00005388,19.12399132,355852.61880683
20170302,0.00005491,0.00005686,0.00003499,0.00003867,27.70316872,526467.42558323
20170303,0.00003997,0.00004299,0.00003103,0.00003702,2.18026804,54193.87265885
20170304,0.00003746,0.00003898,0.00003367,0.00003399,0.08886101,2421.36133305
20170305,0.00003586,0.00003587,0.00002402,0.00003318,2.76058196,101308.43303644
20170306,0.00003036,0.00003245,0.00002500,0.00003144,1.12764795,41061.25715672
20170307,0.00002984,0.00003274,0.00002925,0.00003274,0.07493184,2354.10673413
20170308,0.00003076,0.00003258,0.00002429,0.00002967,0.95269159,33297.84046529
20170309,0.00002989,0.00002989,0.00002790,0.00002983,0.20073983,6744.25556212
20170310,0.00002924,0.00002982,0.00002000,0.00002254,1.69085457,72457.93817507
20170311,0.00002219,0.00003281,0.00002072,0.00002997,1.86981044,65458.01828795
20170312,0.00002953,0.00004938,0.00002392,0.00004211,5.44395053,130558.34074860
20170313,0.00004133,0.00004886,0.00003020,0.00003467,2.38100324,60422.87184336
20170314,0.00003953,0.00005002,0.00003000,0.00005000,7.59285506,194588.81496418
20170315,0.00005000,0.00005000,0.00003060,0.00003901,6.13375908,154319.11012297
20170316,0.00004014,0.00006200,0.00003649,0.00004578,9.83758654,222525.03596026
20170317,0.00004559,0.00004578,0.00003000,0.00003690,6.08128413,174134.51182735
20170318,0.00004037,0.00004037,0.00002457,0.00002812,6.31402787,196290.86241636
20170319,0.00002813,0.00003300,0.00002813,0.00003268,1.01901956,32768.87667971
20170320,0.00003247,0.00003299,0.00002700,0.00003175,4.44096831,150108.64232965
20170321,0.00003186,0.00003186,0.00002700,0.00003058,2.37706649,84429.18879105
20170322,0.00003065,0.00003899,0.00002832,0.00003003,4.17247156,126108.52799776
