[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170510,0.00005904,0.00006000,0.00001200,0.00004008,172.33758175,4613075.84828269
20170511,0.00004148,0.00004545,0.00003150,0.00003850,186.95098565,4819238.68837967
20170512,0.00003857,0.00003985,0.00003300,0.00003728,105.50694600,2872063.64096615
20170513,0.00003703,0.00003799,0.00003520,0.00003617,62.08620772,1702141.73463880
20170514,0.00003644,0.00003728,0.00002899,0.00003591,140.97212016,4120042.82747430
20170515,0.00003590,0.00003691,0.00002606,0.00003159,144.38539502,4621896.92971268
20170516,0.00003066,0.00003328,0.00002750,0.00002868,157.01074238,5272150.21660814
20170517,0.00002869,0.00002949,0.00002303,0.00002686,152.88403018,6087890.14076916
20170518,0.00002680,0.00003895,0.00002450,0.00003700,242.35082918,8312688.88570429
20170519,0.00003700,0.00007999,0.00003600,0.00007276,863.59066236,16401076.97868407
20170520,0.00007276,0.00007603,0.00005205,0.00006855,599.48676699,9024247.38287326
20170521,0.00006850,0.00006999,0.00005300,0.00005960,281.31809127,4692990.59669187
20170522,0.00005960,0.00006500,0.00004501,0.00006142,421.60478907,7860997.18584862
20170523,0.00006179,0.00008181,0.00005805,0.00007534,564.34924549,8303881.00531624
20170524,0.00007539,0.00008957,0.00007390,0.00008466,724.33569393,9021532.21034150
20170525,0.00008545,0.00008798,0.00006888,0.00007834,490.77901711,5982768.75775837
20170526,0.00007824,0.00008692,0.00007203,0.00007803,144.19137521,1785017.19893908
20170527,0.00007810,0.00008199,0.00005600,0.00006906,201.98563449,3024527.55194279
20170528,0.00006907,0.00006998,0.00005300,0.00006400,142.52176420,2220314.46289426
20170529,0.00006402,0.00007100,0.00004992,0.00006041,152.43907626,2449091.60442287
20170530,0.00006005,0.00006042,0.00005064,0.00005800,151.36118819,2681159.93505860
20170531,0.00005800,0.00006220,0.00004919,0.00005178,146.88176798,2631492.76886273
20170601,0.00005238,0.00005498,0.00004215,0.00005067,196.96570033,3981947.16834234
20170602,0.00005001,0.00006940,0.00004851,0.00006173,285.37514602,4699507.89801308
20170603,0.00006152,0.00007000,0.00006057,0.00006838,200.87915689,3016928.39276347
20170604,0.00006824,0.00006999,0.00005708,0.00006380,141.09549728,2206547.94816794
20170605,0.00006380,0.00006633,0.00005707,0.00006243,152.87307150,2454769.45244894
20170606,0.00006243,0.00006312,0.00005150,0.00006099,136.47056257,2351717.77022841
20170607,0.00006003,0.00007880,0.00005872,0.00007003,275.75329487,4084986.24823343
20170608,0.00007003,0.00008800,0.00007003,0.00007365,445.84046011,5520355.16071494
20170609,0.00007556,0.00008300,0.00007370,0.00007997,178.10850578,2264804.98873019
20170610,0.00008009,0.00008250,0.00007307,0.00007884,179.96460505,2314802.49381431
20170611,0.00007903,0.00007969,0.00006807,0.00007272,167.72523880,2268580.47402809
20170612,0.00007275,0.00008108,0.00006845,0.00007318,179.88732528,2408219.06253524
20170613,0.00007318,0.00007970,0.00006882,0.00007870,173.31145206,2361921.91937133
20170614,0.00007870,0.00007880,0.00007335,0.00007493,147.09418882,1939137.50879581
20170615,0.00007494,0.00007739,0.00007350,0.00007601,169.24713326,2237113.29223747
20170616,0.00007613,0.00009000,0.00007450,0.00008322,269.69356627,3279877.86039500
20170617,0.00008230,0.00008500,0.00007400,0.00007866,192.04441523,2438080.50794801
20170618,0.00007865,0.00008400,0.00007700,0.00007800,114.81909416,1439718.55440485
20170619,0.00007862,0.00008000,0.00007125,0.00007539,202.86479915,2688303.57215774
20170620,0.00007551,0.00007606,0.00007069,0.00007325,136.28763074,1851299.26230195
