[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170404,2.00000000,2.00000000,0.00007000,0.00011989,14.98181635,134821.47625881
20170405,0.00011000,0.00012302,0.00009412,0.00011123,64.09597771,587152.20363001
20170406,0.00011123,0.00011640,0.00008517,0.00008704,36.17693759,370005.52486262
20170407,0.00008603,0.00009510,0.00007532,0.00009491,13.96479895,170281.37825866
20170408,0.00008755,0.00009374,0.00007815,0.00007934,4.53144073,54341.07383124
20170409,0.00007900,0.00008499,0.00006370,0.00006538,7.63007602,106121.09378510
20170410,0.00006884,0.00007500,0.00006421,0.00006672,8.22421070,118014.65745366
20170411,0.00006677,0.00007573,0.00006002,0.00007197,4.06922204,59412.25628776
20170412,0.00006910,0.00007392,0.00006555,0.00006555,4.34099220,63425.39159338
20170413,0.00006741,0.00007398,0.00006002,0.00006731,8.78744912,132617.54786788
20170414,0.00006732,0.00007900,0.00006500,0.00007900,13.04487538,175652.68827557
20170415,0.00007900,0.00009452,0.00007652,0.00009452,19.23794118,214664.00452971
20170416,0.00009499,0.00010949,0.00009450,0.00010826,38.23774289,371074.23029747
20170417,0.00010826,0.00012690,0.00009700,0.00011710,58.72310497,499627.45165758
20170418,0.00011711,0.00012814,0.00010487,0.00012550,41.07590962,339641.42176346
20170419,0.00012750,0.00014500,0.00012500,0.00013388,48.33019464,357771.53609118
20170420,0.00013364,0.00016300,0.00013003,0.00014534,89.78221131,615799.96892606
20170421,0.00014534,0.00016500,0.00013794,0.00016500,31.21236732,199912.14065315
20170422,0.00016500,0.00018800,0.00015500,0.00018600,94.46127880,529239.25631815
20170423,0.00018600,0.00018847,0.00015000,0.00016736,62.66549631,367272.33821370
20170424,0.00016471,0.00018057,0.00013550,0.00017376,36.41249004,236080.23842122
20170425,0.00016704,0.00019590,0.00016029,0.00016582,117.88055083,655943.87437383
20170426,0.00016575,0.00017157,0.00010850,0.00015620,96.00253033,619063.63333697
20170427,0.00015621,0.00016296,0.00009201,0.00011194,40.45655030,346289.35071693
20170428,0.00011192,0.00012495,0.00010503,0.00011614,21.19456117,185684.52001380
20170429,0.00011614,0.00012300,0.00010914,0.00012092,9.00333855,78867.48295588
20170430,0.00011612,0.00013498,0.00011241,0.00012300,15.72026680,127705.92364401
20170501,0.00012300,0.00012380,0.00009797,0.00010632,20.29995102,180594.99502416
20170502,0.00010620,0.00010620,0.00008276,0.00010021,14.96650870,152944.13160141
20170503,0.00009762,0.00010021,0.00008600,0.00008600,16.57616917,180010.54847436
20170504,0.00008656,0.00010023,0.00007000,0.00009800,18.37499109,216137.70483741
20170505,0.00009994,0.00010388,0.00008500,0.00009405,10.71280922,115730.89819505
20170506,0.00009552,0.00010200,0.00009219,0.00009727,11.24320594,116105.99447988
20170507,0.00009830,0.00011883,0.00009724,0.00009902,15.35145596,141178.45852742
20170508,0.00009853,0.00011130,0.00009320,0.00009321,10.20870983,103325.95570533
20170509,0.00009320,0.00009321,0.00008386,0.00008386,7.31906859,83873.73035079
20170510,0.00008700,0.00009328,0.00008076,0.00008076,16.08879648,188593.60978160
20170511,0.00008699,0.00009766,0.00008101,0.00008710,4.97581421,60456.81736849
20170512,0.00008710,0.00008956,0.00007604,0.00007998,10.19119435,121795.23857783
20170513,0.00007998,0.00008219,0.00007700,0.00008000,8.52909325,107924.67502128
20170514,0.00008000,0.00009334,0.00007636,0.00008259,5.26283686,63586.57945514
20170515,0.00008259,0.00008261,0.00007655,0.00007941,6.34051621,79379.64705517
20170516,0.00007941,0.00009500,0.00007500,0.00008334,30.84761845,374154.91706008
20170517,0.00008334,0.00009500,0.00007980,0.00009500,14.90087349,168182.52157462
20170518,0.00009509,0.00012049,0.00009034,0.00011369,25.30284934,240251.62510295
20170519,0.00011320,0.00014499,0.00010007,0.00011305,59.35041203,489909.07158905
20170520,0.00011613,0.00013840,0.00010010,0.00011299,26.96864814,235848.39330111
20170521,0.00011273,0.00011707,0.00010105,0.00010757,12.38124695,113969.39981793
20170522,0.00010740,0.00010740,0.00010000,0.00010491,16.62673233,164408.72980546
20170523,0.00010403,0.00011437,0.00010000,0.00010945,17.33514899,163098.02211100
20170524,0.00010976,0.00011970,0.00010118,0.00010492,24.34365065,226503.36414160
20170525,0.00010492,0.00010492,0.00008565,0.00009695,14.53766587,151481.64978066
20170526,0.00009784,0.00009784,0.00009183,0.00009500,3.96142805,42339.96795687
20170527,0.00009327,0.00009500,0.00009112,0.00009436,8.09531661,87258.20876501
20170528,0.00009399,0.00010000,0.00009115,0.00009115,5.60584123,58300.57621987
20170529,0.00009399,0.00011999,0.00009112,0.00010082,19.67333139,191427.86502039
20170530,0.00010290,0.00014980,0.00010173,0.00011046,68.73833265,529171.80876842
20170531,0.00010863,0.00011917,0.00010737,0.00011309,12.28535039,109452.12642320
20170601,0.00011309,0.00012789,0.00011109,0.00012371,12.00588050,101587.76642269
20170602,0.00012366,0.00013815,0.00011913,0.00013812,32.27687039,244861.70452392
20170603,0.00013803,0.00013893,0.00012573,0.00013144,12.21033047,91112.63164831
20170604,0.00013079,0.00016429,0.00009000,0.00012069,84.09037284,618560.81961166
20170605,0.00012750,0.00013499,0.00012002,0.00013214,29.67543030,230694.80738110
20170606,0.00013006,0.00013231,0.00011500,0.00012998,22.90303905,188929.36086059
20170607,0.00012998,0.00016777,0.00012099,0.00014986,83.49062337,554280.24583196
20170608,0.00014986,0.00016900,0.00014570,0.00015167,22.56546535,145033.02597163
20170609,0.00015164,0.00016297,0.00014570,0.00015843,21.57949022,137586.59326124
20170610,0.00015834,0.00016520,0.00014837,0.00015305,22.71216795,147394.24422987
20170611,0.00015305,0.00015498,0.00013821,0.00014207,15.44560053,104161.32594580
20170612,0.00013885,0.00014201,0.00011000,0.00012327,22.56920811,183025.15172957
20170613,0.00012926,0.00013600,0.00011415,0.00012862,10.07456930,80814.06612023
20170614,0.00012863,0.00013477,0.00012200,0.00012296,10.43998463,82731.53488080
20170615,0.00012251,0.00012886,0.00011001,0.00011934,9.53729443,80185.05849089
20170616,0.00011900,0.00011999,0.00010601,0.00011212,18.49992877,161376.02855529
20170617,0.00011489,0.00012424,0.00010777,0.00011028,14.86464682,131220.03398093
20170618,0.00011028,0.00011490,0.00010500,0.00010501,14.66134557,135581.81251543
20170619,0.00010632,0.00011875,0.00010353,0.00010966,20.86427728,192157.74436540
20170620,0.00011065,0.00011878,0.00010114,0.00010600,19.74412793,189124.04005589
20170621,0.00010600,0.00011694,0.00010270,0.00010995,8.61885655,80605.24911154
20170622,0.00011056,0.00012016,0.00010789,0.00010950,11.37729291,102567.46521483
20170623,0.00011142,0.00011950,0.00009960,0.00010150,26.71293055,247627.99214259
20170624,0.00010252,0.00010622,0.00009500,0.00009939,15.18696216,150946.70718113
20170625,0.00009717,0.00010517,0.00009266,0.00009608,21.12938144,212529.95766688
20170626,0.00009584,0.00013223,0.00008073,0.00008450,67.40686303,676645.77041708
20170627,0.00008450,0.00009619,0.00007174,0.00008103,27.51453607,336226.87403496
20170628,0.00008078,0.00008855,0.00007568,0.00008604,9.75383148,118130.72174375
20170629,0.00008635,0.00009900,0.00008100,0.00009282,23.79854727,258556.13364941
20170630,0.00009302,0.00009469,0.00008275,0.00008276,16.31242640,184787.88412936
20170701,0.00008488,0.00008488,0.00007834,0.00007871,4.32606902,52642.47284023
20170702,0.00007960,0.00008300,0.00007575,0.00007900,5.53635039,70105.96525076
20170703,0.00008024,0.00008246,0.00007596,0.00008197,4.39752209,55286.06748007
20170704,0.00007872,0.00008982,0.00007872,0.00008536,10.68218982,128611.46657730
20170705,0.00008536,0.00008700,0.00007575,0.00007731,21.55255090,269249.62540477
20170706,0.00007866,0.00008000,0.00007398,0.00007817,8.55473562,112175.56700515
20170707,0.00007817,0.00007869,0.00006020,0.00006338,14.61837038,218046.41911377
20170708,0.00006338,0.00006606,0.00006159,0.00006606,5.09004671,79302.68146540
20170709,0.00006593,0.00006593,0.00005138,0.00005499,14.90859533,266804.00410417
20170710,0.00005495,0.00005500,0.00003851,0.00004472,16.05505775,335275.63481607
20170711,0.00004474,0.00004478,0.00003524,0.00004264,5.87109987,147032.14290920
20170712,0.00004184,0.00004600,0.00003950,0.00004412,7.15264834,166963.76916415
20170713,0.00004296,0.00007000,0.00004215,0.00004616,22.64929690,433161.87519171
20170714,0.00004750,0.00005194,0.00004425,0.00005017,7.31810231,152283.90020165
20170715,0.00004866,0.00005190,0.00004479,0.00004917,5.89284725,122047.91354658
20170716,0.00004919,0.00005193,0.00004337,0.00004489,7.59418299,158882.28783922
20170717,0.00004696,0.00004750,0.00004333,0.00004749,3.65858976,80579.96788115
20170718,0.00004680,0.00004747,0.00004275,0.00004700,3.31337981,73597.88013213
20170719,0.00004747,0.00005800,0.00004700,0.00004900,8.63749464,170774.94125683
20170720,0.00004962,0.00005277,0.00004900,0.00004902,10.31694821,207071.31736043
20170721,0.00004901,0.00005123,0.00004900,0.00005099,1.84097825,36736.88503390
20170722,0.00005098,0.00005123,0.00004950,0.00005122,4.53171276,89973.14064362
20170723,0.00005121,0.00005212,0.00004950,0.00005132,1.66187902,32942.57369172
20170724,0.00005131,0.00005300,0.00004950,0.00005300,4.48132677,88596.93528185
20170725,0.00005046,0.00005159,0.00004656,0.00004714,6.37997586,129941.20767257
20170726,0.00004770,0.00004814,0.00004400,0.00004400,2.54807630,56375.37140480
20170727,0.00004400,0.00004706,0.00004167,0.00004431,3.48164725,79541.18935787
20170728,0.00004382,0.00004382,0.00004000,0.00004053,2.19612849,54180.60423713
20170729,0.00004053,0.00004055,0.00003778,0.00003900,4.06228705,102352.38513684
20170730,0.00004046,0.00004845,0.00003802,0.00004340,5.93037235,134595.45352590
20170731,0.00004240,0.00004340,0.00003802,0.00003999,1.04736346,26049.94613584
20170801,0.00003924,0.00004490,0.00003614,0.00004419,4.13498695,105576.64117224
20170802,0.00004260,0.00004427,0.00002989,0.00003915,20.11275159,568768.32751340
