[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20151003,0.00002740,0.00048900,0.00001001,0.00004299,1.00128528,2758.08241950
20151004,0.00004302,0.00004999,0.00001501,0.00002601,0.69170221,24337.69007615
20151005,0.00002601,0.00002779,0.00002009,0.00002392,0.25057219,9953.64025478
20151006,0.00002393,0.00002393,0.00001762,0.00001876,0.13970678,6767.93588665
20151007,0.00001761,0.00002174,0.00000500,0.00002174,0.24309616,16411.96304048
20151008,0.00002097,0.00007990,0.00002016,0.00003500,15.53628396,404632.38084200
20151009,0.00003200,0.00003734,0.00002203,0.00002510,0.72681889,23798.22548526
20151010,0.00002551,0.00003155,0.00002201,0.00002516,0.97013207,38833.00240939
20151011,0.00002515,0.00002898,0.00001212,0.00001259,0.59682087,35688.63819262
20151012,0.00001492,0.00003750,0.00001341,0.00001803,2.66708568,88887.60778675
20151013,0.00002013,0.00002463,0.00001826,0.00002322,0.31404570,14352.09563881
20151014,0.00002315,0.00002315,0.00001548,0.00001898,0.28091082,14876.96716856
20151015,0.00001548,0.00002554,0.00001235,0.00002543,0.62952051,39056.87417227
20151016,0.00001646,0.00002950,0.00001646,0.00002860,6.79002643,251235.08713615
20151017,0.00002067,0.00003100,0.00002067,0.00002500,3.81524042,138408.02421541
20151018,0.00002501,0.00002751,0.00002500,0.00002500,0.24558176,9404.16124242
20151019,0.00002500,0.00002600,0.00001669,0.00002002,2.56302804,110259.61700078
20151020,0.00002004,0.00002564,0.00001668,0.00001814,4.66221658,236014.72673512
20151021,0.00002043,0.00002281,0.00001833,0.00002130,0.29374055,14301.77009159
20151022,0.00002130,0.00002590,0.00001945,0.00002126,5.27765943,244791.90518322
20151023,0.00002131,0.00002539,0.00002125,0.00002539,0.79260043,36073.76318496
20151024,0.00002147,0.00002151,0.00001838,0.00002150,0.18614855,8912.80148819
20151025,0.00002139,0.00002161,0.00001600,0.00001605,0.85758647,46577.81279128
20151026,0.00001821,0.00001912,0.00000817,0.00000877,0.35927679,29497.39231219
