[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170219,0.00014000,0.00019999,0.00012000,0.00015660,5.03706044,35420.22576497
20170220,0.00015660,0.00015660,0.00012000,0.00013815,5.38097213,35408.14132686
20170221,0.00013504,0.00015000,0.00013093,0.00013152,5.09516308,37763.03687928
20170222,0.00013152,0.00018182,0.00012896,0.00015799,4.07624760,27200.18232388
20170223,0.00015692,0.00015692,0.00014003,0.00015140,3.64269944,23871.14315240
20170224,0.00015124,0.00016111,0.00014958,0.00015800,1.86885082,12203.38866877
20170225,0.00015800,0.00021499,0.00015400,0.00021325,12.53811814,69379.42220620
20170226,0.00021320,0.00030200,0.00020001,0.00023201,15.38530692,61128.58430560
20170227,0.00023281,0.00027799,0.00022889,0.00027799,7.44221889,29318.91411547
20170228,0.00027784,0.00028000,0.00017365,0.00020337,20.19782126,81778.78705369
20170301,0.00020400,0.00025030,0.00020354,0.00022900,10.34968860,46858.84049621
20170302,0.00022900,0.00024383,0.00018605,0.00023611,10.09439718,46645.38049984
20170303,0.00023620,0.00023699,0.00018007,0.00018665,15.82436875,72625.42357847
20170304,0.00018665,0.00019000,0.00016001,0.00018025,10.41203623,60107.28259040
20170305,0.00018032,0.00019814,0.00017683,0.00017684,7.47249178,40896.68311039
20170306,0.00017684,0.00018395,0.00016144,0.00016726,2.08373441,12142.17706586
20170307,0.00016726,0.00020850,0.00016726,0.00020542,6.77389481,36871.04654198
20170308,0.00020541,0.00020761,0.00018501,0.00019338,3.97776102,20393.76477448
20170309,0.00019338,0.00019340,0.00017173,0.00017595,2.57393385,13878.41748545
20170310,0.00017595,0.00019535,0.00016549,0.00016715,3.97135917,22691.38641320
20170311,0.00017053,0.00017689,0.00016695,0.00017235,1.54054692,9039.02945472
20170312,0.00017235,0.00017235,0.00015001,0.00015790,3.41879636,21313.29119125
20170313,0.00015782,0.00018592,0.00015001,0.00016474,5.04993976,29605.14054239
20170314,0.00016178,0.00017599,0.00014959,0.00016529,4.24231464,25522.11649565
20170315,0.00016528,0.00016665,0.00015567,0.00015596,1.84833467,11671.74167351
20170316,0.00015593,0.00020001,0.00015180,0.00016724,6.61841478,37391.75843944
20170317,0.00016720,0.00016997,0.00016000,0.00016005,2.64074920,15833.18038064
20170318,0.00016296,0.00017345,0.00015366,0.00017000,1.96242204,11877.13213292
20170319,0.00017313,0.00017700,0.00015569,0.00015569,0.80618270,4816.71934261
20170320,0.00015613,0.00019832,0.00015367,0.00017695,4.54761921,26317.92418273
20170321,0.00017695,0.00019600,0.00016400,0.00018498,3.63519349,20110.31223161
20170322,0.00018500,0.00025610,0.00017584,0.00023188,7.97754410,35636.55274691
20170323,0.00022195,0.00024099,0.00019990,0.00024098,8.51773082,39190.40083632
20170324,0.00024099,0.00047000,0.00023000,0.00038846,94.73106198,275448.77950656
20170325,0.00038998,0.00039100,0.00025002,0.00031001,27.06317013,86617.44081155
20170326,0.00031000,0.00035500,0.00028949,0.00033187,30.89417878,96822.41948011
20170327,0.00033190,0.00043200,0.00031829,0.00034752,49.96540251,136136.05570026
20170328,0.00034717,0.00040199,0.00029683,0.00036001,14.48144855,39503.93382656
20170329,0.00036001,0.00038000,0.00030000,0.00036150,14.42171449,42002.39322482
20170330,0.00036549,0.00036549,0.00032707,0.00035851,2.95637197,8393.49012876
20170331,0.00035848,0.00039821,0.00034500,0.00038155,12.87925645,35067.28030750
20170401,0.00038155,0.00038412,0.00035008,0.00037990,2.61131653,7100.58667464
20170402,0.00037990,0.00038000,0.00034500,0.00036913,3.77137445,10414.19270336
20170403,0.00036898,0.00038017,0.00035101,0.00037797,7.15779681,19534.37554632
20170404,0.00037797,0.00037847,0.00031001,0.00036637,8.15420886,23332.11465502
20170405,0.00036637,0.00036637,0.00030676,0.00033531,3.89528708,11883.33070801
20170406,0.00033531,0.00036020,0.00033531,0.00035618,2.99016416,8452.44034386
20170407,0.00035618,0.00036000,0.00031001,0.00033177,8.07528867,23600.35786253
20170408,0.00033177,0.00035009,0.00028000,0.00028516,5.82739903,18843.41146549
20170409,0.00029579,0.00030097,0.00028000,0.00030047,3.02285876,10317.93912446
20170410,0.00030047,0.00030052,0.00025370,0.00029968,4.10044426,14418.94014961
20170411,0.00029963,0.00030090,0.00023522,0.00025393,7.17270915,25804.20842578
20170412,0.00025572,0.00030142,0.00025500,0.00029390,11.11138366,39230.33227044
20170413,0.00029390,0.00030000,0.00026829,0.00029463,4.04933322,14089.06819725
20170414,0.00029459,0.00030532,0.00028949,0.00029764,2.18491222,7308.33079991
