[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20161222,0.02000004,0.02000005,0.00190001,0.00309999,2.02553801,758.77648040
20161223,0.00307490,0.00448978,0.00251250,0.00388855,1.54411317,446.04577988
20161224,0.00404967,0.00404967,0.00225000,0.00339791,0.16217905,56.14281104
20161225,0.00311588,0.00311588,0.00225000,0.00243200,0.05816340,24.13754409
20161226,0.00225000,0.00225001,0.00199995,0.00205000,0.17487214,82.93720897
20161227,0.00205000,0.00294463,0.00200100,0.00200100,0.09620588,47.75671466
20161228,0.00190435,0.00489995,0.00170000,0.00295000,1.22970510,418.21725044
20161229,0.00295003,0.00484800,0.00210003,0.00484700,0.49592496,161.12667759
20161230,0.00210008,0.00450007,0.00210000,0.00428701,2.48704264,637.82823540
20161231,0.00428648,0.00428710,0.00272373,0.00398398,0.11658957,28.61089263
20170101,0.00398390,0.00398398,0.00280799,0.00280799,0.14790209,44.46141302
20170102,0.00280799,0.00400000,0.00280799,0.00400000,0.57432910,158.22342545
20170103,0.00281937,0.00285092,0.00281937,0.00285092,0.05225511,18.35445404
20170104,0.00285092,0.00285092,0.00280000,0.00285092,0.50000663,175.97230013
20170105,0.00387325,0.00428715,0.00251240,0.00346491,1.96585283,606.35409891
20170106,0.00344296,0.00344300,0.00290000,0.00344286,1.23134949,360.78401446
20170107,0.00300885,0.00301783,0.00300885,0.00301782,0.05722393,18.98871820
20170108,0.00329472,0.00329472,0.00260101,0.00260101,0.26947460,103.49424217
20170109,0.00319870,0.00319876,0.00224911,0.00224917,1.17474078,448.56966145
20170110,0.00249937,0.00404000,0.00225123,0.00404000,1.56955626,469.92450189
20170111,0.00404000,0.00419999,0.00380236,0.00380236,0.27425343,67.32332236
20170112,0.00381005,0.00428888,0.00380001,0.00428887,0.92444077,216.31769808
20170113,0.00428887,0.00428887,0.00331097,0.00400000,0.44637733,116.92664497
20170114,0.00361867,0.00361867,0.00359991,0.00359991,0.01082998,2.99990240
20170115,0.00360041,0.00419900,0.00360001,0.00419900,0.86685032,218.40573540
20170116,0.00363699,0.00363699,0.00360001,0.00360002,2.86364165,792.91219314
20170117,0.00360002,0.00360002,0.00335849,0.00335849,0.93569451,260.62625179
20170118,0.00291367,0.00311386,0.00280002,0.00289714,0.19839714,69.46969720
20170119,0.00289715,0.00328509,0.00285000,0.00285000,0.21418798,68.58133145
20170120,0.00285000,0.00414120,0.00242427,0.00414120,2.35889724,714.01317782
20170121,0.00303588,0.00397553,0.00303588,0.00363777,1.01911022,282.13101310
20170122,0.00325033,0.00410000,0.00325033,0.00326766,1.15252654,299.16859298
20170123,0.00351616,0.00430019,0.00351585,0.00430000,1.27574338,305.42858710
20170124,0.00353299,0.00498432,0.00353298,0.00479994,1.70572571,402.36462019
20170125,0.00479954,0.00489001,0.00400419,0.00409999,0.53372237,127.97833494
20170126,0.00401930,0.00458239,0.00397000,0.00412001,0.77351942,183.41537428
20170127,0.00390163,0.00420000,0.00390001,0.00400001,0.60086344,152.59696176
20170128,0.00400001,0.00415741,0.00393860,0.00415741,0.19343836,48.02817481
20170129,0.00415779,0.00431149,0.00390006,0.00390006,0.24755577,61.74194485
20170130,0.00391325,0.00439902,0.00390002,0.00439902,0.44925342,109.77139104
20170131,0.00402110,0.00440012,0.00390011,0.00390011,0.83017661,195.66131510
20170201,0.00420000,0.00443279,0.00350001,0.00443279,3.03233032,806.24013159
20170202,0.00389181,0.00420665,0.00380100,0.00382330,1.17412986,300.25267755
20170203,0.00382330,0.00399881,0.00382330,0.00394994,0.03478137,8.93481095
20170204,0.00388037,0.00409315,0.00388037,0.00409315,0.02710036,6.63810316
20170205,0.00389559,0.00400301,0.00300001,0.00379310,9.06849121,2425.27221300
20170206,0.00369962,0.00550000,0.00369962,0.00380420,2.36900539,520.59344398
20170207,0.00380743,0.00480000,0.00380743,0.00440090,0.99291341,216.84322793
20170208,0.00441581,0.00700000,0.00440090,0.00650000,3.14320404,540.20637480
20170209,0.00650000,0.00750000,0.00599999,0.00749959,1.27132387,190.03657410
20170210,0.00700117,0.00726537,0.00699930,0.00700020,0.48386310,69.10360488
20170211,0.00700020,0.00700020,0.00663890,0.00663890,0.33997443,49.79871068
20170212,0.00663890,0.00663890,0.00514363,0.00514369,0.65537905,106.04817681
20170213,0.00515000,0.00801601,0.00450500,0.00600489,2.01224902,289.92836571
20170214,0.00600643,0.00920000,0.00600000,0.00710100,1.39668529,188.56395329
20170215,0.00720000,0.00989585,0.00720000,0.00899964,1.98863732,217.20251974
20170216,0.00828933,0.00989500,0.00700006,0.00900299,3.37022034,394.07286128
20170217,0.00900316,0.01050208,0.00800001,0.00800189,4.68539152,501.41251015
20170218,0.00801031,0.01298999,0.00801030,0.00999748,11.03531431,1092.06447879
20170219,0.00990993,0.01199998,0.00702004,0.00718112,11.24334384,1162.74747221
20170220,0.00900000,0.00904999,0.00712002,0.00790000,1.07234692,130.66088598
20170221,0.00790186,0.00999999,0.00785000,0.00800000,7.18907225,796.42101118
20170222,0.00849231,0.00849233,0.00700000,0.00700000,0.31959896,41.12341460
20170223,0.00750098,0.00799660,0.00500000,0.00500000,13.65748082,2512.12237225
20170224,0.00500064,0.00676025,0.00480001,0.00481000,1.88159366,372.98422161
20170225,0.00481067,0.00506096,0.00480002,0.00484092,0.17210223,35.53672755
20170226,0.00500000,0.00539259,0.00500000,0.00539259,1.19079763,234.55435313
20170227,0.00537885,0.00705990,0.00537885,0.00560018,0.10725415,16.93039683
20170228,0.00520076,0.00600001,0.00480000,0.00600001,3.27861700,628.43776242
20170301,0.00520258,0.00623834,0.00480000,0.00599995,3.96873495,781.83691123
20170302,0.00481401,0.00671800,0.00481108,0.00671800,2.81643671,498.56584674
20170303,0.00620003,0.00671995,0.00600000,0.00600688,2.28255693,370.21487923
20170304,0.00603260,0.00603260,0.00570000,0.00570000,7.77087339,1335.44796588
20170305,0.00609600,0.00629990,0.00550000,0.00605005,3.42872639,583.78072774
20170306,0.00602005,0.00602005,0.00450006,0.00552551,3.64275557,729.32199814
