[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170211,1.00000000,1.00000000,0.00011530,0.00012997,0.73807377,4791.67302701
20170212,0.00012996,0.00013554,0.00010500,0.00011800,32.47162911,269065.39203403
20170213,0.00011785,0.00013425,0.00011221,0.00012405,80.21033544,630627.59591899
20170214,0.00012406,0.00013400,0.00011850,0.00012006,60.34821993,475815.72839600
20170215,0.00012336,0.00012999,0.00011600,0.00011849,27.56862162,228822.94465087
20170216,0.00011834,0.00012390,0.00011054,0.00011707,21.48389981,181705.02750233
20170217,0.00011703,0.00011997,0.00010500,0.00011000,29.51682898,263773.19155614
20170218,0.00010959,0.00012200,0.00009339,0.00011010,65.46466306,609658.11777877
20170219,0.00011638,0.00011751,0.00011000,0.00011329,29.28331073,253759.96161448
20170220,0.00011132,0.00011770,0.00010692,0.00010777,27.31196667,240608.89486958
20170221,0.00010780,0.00010795,0.00009005,0.00009150,61.70319577,623844.96809605
20170222,0.00009061,0.00009689,0.00009061,0.00009344,8.14091713,86936.26118742
20170223,0.00009380,0.00012388,0.00009335,0.00009500,85.58557367,831241.40287681
20170224,0.00009682,0.00010288,0.00008205,0.00009500,33.32325835,357203.47659666
20170225,0.00009313,0.00009690,0.00009121,0.00009573,11.33809013,121345.46799170
20170226,0.00009524,0.00009690,0.00009000,0.00009000,7.42716943,79235.85003926
20170227,0.00009200,0.00009483,0.00008750,0.00008873,10.67533380,119582.63747077
20170228,0.00008919,0.00010000,0.00007830,0.00008166,44.60392933,514364.09203098
20170301,0.00008195,0.00009992,0.00007434,0.00007810,67.43733127,796162.95482902
20170302,0.00007901,0.00008363,0.00007201,0.00007769,23.90866599,313918.11634016
20170303,0.00007765,0.00007765,0.00006007,0.00007100,25.64544342,363412.62060653
20170304,0.00007101,0.00007590,0.00006415,0.00006900,9.66657012,144125.71206797
20170305,0.00006902,0.00007500,0.00006800,0.00007248,3.45809576,48046.96850039
20170306,0.00007248,0.00008000,0.00007248,0.00008000,5.25939165,68650.42108589
20170307,0.00007674,0.00007697,0.00006829,0.00007137,12.74126766,173323.17991941
20170308,0.00007161,0.00008000,0.00006918,0.00007075,7.01929304,95201.64507336
20170309,0.00007543,0.00007897,0.00007008,0.00007140,3.82371985,52299.82205208
20170310,0.00007383,0.00007894,0.00006510,0.00007092,26.82110439,376829.30743342
20170311,0.00007092,0.00007498,0.00006981,0.00007000,16.82328077,237229.97748209
20170312,0.00007155,0.00007550,0.00006581,0.00007070,39.66217528,571401.57065742
20170313,0.00007000,0.00007490,0.00006001,0.00007077,37.10273416,576131.11824867
20170314,0.00006975,0.00007286,0.00006399,0.00007278,7.42402450,109639.57528942
20170315,0.00006969,0.00007226,0.00006705,0.00007072,4.94596461,69620.94826655
20170316,0.00007072,0.00008650,0.00006711,0.00008300,31.78279891,411247.61163671
20170317,0.00008300,0.00009700,0.00008007,0.00009700,15.46393236,175530.51878017
20170318,0.00009485,0.00009800,0.00008000,0.00009224,18.22266680,201371.91820481
20170319,0.00008834,0.00009349,0.00008220,0.00009270,4.43596127,49901.16032110
20170320,0.00008764,0.00010000,0.00008114,0.00008498,42.24440177,455616.46334961
20170321,0.00008495,0.00008495,0.00007950,0.00008025,31.35121816,386196.24051363
20170322,0.00008025,0.00008898,0.00007999,0.00008589,30.52223285,354886.01215091
20170323,0.00008590,0.00009300,0.00008416,0.00009300,16.38819592,183732.46710513
20170324,0.00009245,0.00009500,0.00008865,0.00009091,23.26630795,256045.99380082
20170325,0.00009071,0.00009490,0.00008906,0.00009425,15.74612130,168886.30677467
20170326,0.00009425,0.00012100,0.00009169,0.00011126,42.49754152,422072.64977917
20170327,0.00011121,0.00015000,0.00009611,0.00013500,135.48792013,1123891.80104159
20170328,0.00013498,0.00018000,0.00012100,0.00016130,325.98311818,2166450.51412559
20170329,0.00016582,0.00017799,0.00013600,0.00014498,208.35433613,1310685.76585693
20170330,0.00014498,0.00017930,0.00014296,0.00015298,200.80735319,1260155.23655861
20170331,0.00015298,0.00017481,0.00015298,0.00015999,70.82245306,432063.84098468
20170401,0.00015999,0.00017775,0.00015931,0.00016990,72.43720868,425480.18562149
20170402,0.00016992,0.00017890,0.00015502,0.00016085,135.12636822,791575.11766136
20170403,0.00016085,0.00017809,0.00015000,0.00015828,100.61770121,617572.16819687
20170404,0.00015806,0.00017000,0.00015000,0.00015898,80.32203278,505157.93376878
20170405,0.00016316,0.00017399,0.00015545,0.00017167,90.55899154,552674.88095214
20170406,0.00016981,0.00017456,0.00013500,0.00014401,130.90782171,825987.82994329
20170407,0.00014003,0.00016500,0.00014001,0.00014712,32.32081756,208713.85757754
20170408,0.00014727,0.00015050,0.00012501,0.00014300,55.40965886,399512.66970426
20170409,0.00014080,0.00014899,0.00013694,0.00014257,16.35920214,111718.88704346
20170410,0.00014221,0.00014300,0.00013201,0.00013721,21.71498121,159888.31845480
20170411,0.00013698,0.00014000,0.00012565,0.00013203,35.97666925,274797.18339123
20170412,0.00013167,0.00013200,0.00010703,0.00012900,90.76286811,751056.37080880
20170413,0.00012717,0.00013500,0.00010000,0.00011897,80.14220483,685318.94876856
20170414,0.00011897,0.00013168,0.00010035,0.00011849,225.58192098,1988941.75007474
20170415,0.00011949,0.00013171,0.00010832,0.00013002,78.57225011,632826.54873710
20170416,0.00012538,0.00014560,0.00011537,0.00013721,99.55025121,784541.31553325
20170417,0.00013668,0.00015600,0.00013400,0.00014687,149.57992224,1014714.80697138
20170418,0.00014691,0.00015495,0.00013912,0.00014999,86.22579622,588430.57384793
20170419,0.00015103,0.00015279,0.00014220,0.00014887,91.38958480,617981.83005651
20170420,0.00014806,0.00014895,0.00013530,0.00013750,50.16174688,353731.48020577
20170421,0.00013853,0.00013995,0.00013502,0.00013900,18.79077686,136071.25498717
20170422,0.00013574,0.00014500,0.00013203,0.00013524,48.95539094,350806.03137070
20170423,0.00013524,0.00014346,0.00013200,0.00013595,37.94799643,272787.14306441
20170424,0.00013750,0.00014000,0.00012887,0.00013216,39.63988423,298293.76867703
20170425,0.00013215,0.00013560,0.00012553,0.00012791,52.02221354,394966.77269357
20170426,0.00012831,0.00013002,0.00012000,0.00012300,52.80656277,422276.32342916
20170427,0.00012113,0.00012999,0.00011862,0.00012400,90.78672380,725425.22963148
20170428,0.00012491,0.00012958,0.00011640,0.00012368,57.54724760,466022.12838948
20170429,0.00012450,0.00014900,0.00012368,0.00014505,124.27250781,942870.84897926
20170430,0.00014507,0.00014999,0.00013300,0.00014231,72.24474644,498022.18932889
20170501,0.00014276,0.00017200,0.00014000,0.00015249,195.45409014,1241071.89085834
20170502,0.00015239,0.00017200,0.00014386,0.00016125,134.81077628,848053.23789856
20170503,0.00016130,0.00017180,0.00016041,0.00016998,125.67601820,758519.82968719
20170504,0.00016956,0.00021500,0.00015746,0.00019821,233.88404664,1252664.00434938
20170505,0.00019821,0.00020978,0.00018246,0.00019200,148.10601232,758366.36757676
20170506,0.00019200,0.00019200,0.00017954,0.00018489,76.89754888,414233.73560362
20170507,0.00018545,0.00019497,0.00018329,0.00018793,87.34945928,466553.10394852
20170508,0.00018793,0.00018950,0.00015374,0.00016439,127.94656635,736608.57465215
20170509,0.00016316,0.00016597,0.00013000,0.00014835,86.91999914,602615.63698265
20170510,0.00014835,0.00016200,0.00013773,0.00014790,63.52296034,430934.87487173
20170511,0.00015022,0.00016200,0.00012501,0.00014508,77.90392695,537403.70847302
20170512,0.00014508,0.00015999,0.00013885,0.00014985,46.25311068,314208.31903683
20170513,0.00014995,0.00015744,0.00014724,0.00015125,27.29077670,181355.06374925
