[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140617,0.00015000,0.00018000,0.00002550,0.00006500,79.29594902,1416763.23971936
20140618,0.00006525,0.00016988,0.00006060,0.00015010,93.15403706,872261.16819856
20140619,0.00015900,0.00023187,0.00014500,0.00015600,94.81164485,531469.68600384
20140620,0.00015706,0.00020300,0.00011310,0.00016456,77.28815281,517154.16095866
20140621,0.00017834,0.00035000,0.00014600,0.00027494,220.54989922,919190.23086424
20140622,0.00027322,0.00034000,0.00015111,0.00021698,119.24277692,474380.03949260
20140623,0.00021702,0.00024870,0.00017810,0.00021000,29.97700661,147413.16253642
20140624,0.00019011,0.00021999,0.00004114,0.00007225,61.42517484,706881.33357547
20140625,0.00006797,0.00008293,0.00005227,0.00005240,10.13064351,169704.93451667
20140626,0.00005240,0.00005997,0.00001113,0.00001763,6.99261773,208562.62236407
20140627,0.00001773,0.00002744,0.00001123,0.00001550,1.56501909,100637.66134135
20140628,0.00001139,0.00008869,0.00000626,0.00005500,20.83208073,428565.22872094
20140629,0.00005006,0.00005492,0.00002500,0.00002500,6.55185051,177140.31265387
20140630,0.00002235,0.00002801,0.00001950,0.00002003,0.96794954,41774.11869988
20140701,0.00002700,0.00004448,0.00002700,0.00003799,1.81723018,52731.42652485
20140702,0.00003799,0.00003799,0.00002000,0.00003191,1.37771900,45823.51795212
20140703,0.00002001,0.00003191,0.00002000,0.00003191,1.12178121,44974.58169431
20140706,0.00003191,0.00006980,0.00003159,0.00006980,3.35627803,62688.93142392
20140707,0.00006965,0.00007000,0.00004750,0.00004919,2.16281583,37905.77945462
20140708,0.00004945,0.00005381,0.00004100,0.00004109,0.75299738,16856.59814755
20140709,0.00004110,0.00004120,0.00003290,0.00003290,0.63482451,16932.19286306
20140710,0.00003290,0.00005167,0.00003008,0.00003055,0.68947224,18600.30082986
20140711,0.00003061,0.00004084,0.00003015,0.00003119,0.35279142,11313.24439716
20140712,0.00004251,0.00005167,0.00003460,0.00004011,1.12287320,23410.48671911
20140713,0.00004001,0.00006488,0.00004000,0.00005859,2.77691068,48300.19205858
20140714,0.00006000,0.00020000,0.00006000,0.00012000,18.10564054,152555.35071308
20140715,0.00011999,0.00012000,0.00007550,0.00010000,2.58700934,28605.90347861
20140716,0.00009999,0.00010000,0.00004488,0.00005003,1.96263610,35197.14109464
20140717,0.00006961,0.00007491,0.00004508,0.00004900,0.66437989,11463.41306851
