[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160705,0.09000000,0.09000000,0.00050000,0.00089993,0.38748837,434.89130920
20160706,0.00020001,0.00155000,0.00013000,0.00101030,11.73259903,19401.72081642
20160707,0.00115006,0.00163000,0.00066000,0.00069000,24.85370487,26736.25089472
20160708,0.00069000,0.00069000,0.00025000,0.00029091,12.81377571,29638.04972540
20160709,0.00032277,0.00041995,0.00020322,0.00039729,7.67294414,25405.44256666
20160710,0.00038350,0.00050000,0.00025502,0.00045044,15.27555781,43326.02273849
20160711,0.00045043,0.00045479,0.00031710,0.00037000,6.48454224,17091.77198237
20160712,0.00037000,0.00100000,0.00032548,0.00080030,31.16791325,56039.31448979
20160713,0.00089893,0.00299999,0.00056543,0.00269990,154.60124797,107382.64865347
20160714,0.00235003,0.00444444,0.00155001,0.00235100,427.09783533,157279.36605990
20160715,0.00235100,0.00249700,0.00160008,0.00170288,114.83306732,58391.43258400
20160716,0.00170350,0.00179682,0.00123668,0.00137515,57.39924068,36401.62706375
20160717,0.00140000,0.00142020,0.00108001,0.00117053,53.15962387,42887.53440590
20160718,0.00117053,0.00124992,0.00094306,0.00099996,44.62564174,43249.00305187
20160719,0.00094306,0.00159897,0.00060000,0.00124000,64.30913718,62418.70576262
20160720,0.00123903,0.00150697,0.00095502,0.00106590,57.27975015,47562.78873362
20160721,0.00106590,0.00110203,0.00090028,0.00091601,19.41527992,19850.75322786
20160722,0.00092000,0.00097800,0.00090273,0.00090609,21.74483600,23677.89494623
20160723,0.00090500,0.00091676,0.00082140,0.00083001,14.86662343,17089.97543389
20160724,0.00083001,0.00085208,0.00070000,0.00070630,18.89551412,24605.20639201
20160725,0.00070637,0.00079500,0.00070001,0.00070007,13.64146730,18977.69042550
20160726,0.00070007,0.00070092,0.00052530,0.00055555,20.05846745,33084.07617850
20160727,0.00055555,0.00096366,0.00050004,0.00083031,28.43038483,40111.51717584
20160728,0.00092107,0.00102999,0.00070032,0.00073288,30.92001922,36471.09239361
20160729,0.00073312,0.00076660,0.00067027,0.00068150,14.83059451,21323.75738199
20160730,0.00068150,0.00069100,0.00061551,0.00062000,9.10539527,14091.73179610
20160731,0.00062001,0.00070195,0.00060079,0.00060700,7.59441593,12255.91669993
20160801,0.00060704,0.00063965,0.00058001,0.00059003,11.84371638,19859.10453350
20160802,0.00059003,0.00063965,0.00051001,0.00052125,16.22432702,28116.86044776
20160803,0.00051458,0.00060500,0.00051008,0.00057719,8.97960377,16319.11436232
20160804,0.00058777,0.00067168,0.00053617,0.00055058,12.57372602,20993.27687208
20160805,0.00055016,0.00062999,0.00054017,0.00058129,8.85294462,15239.63233882
20160806,0.00058177,0.00059498,0.00051450,0.00052912,10.00873323,18230.85439267
20160807,0.00052912,0.00058859,0.00051000,0.00052300,13.47157536,25212.57027032
20160808,0.00052300,0.00053000,0.00046077,0.00048007,10.43581788,21086.83618320
20160809,0.00048014,0.00055559,0.00042560,0.00047635,17.34513069,36331.58600456
20160810,0.00047635,0.00051960,0.00044441,0.00044444,11.08191376,23121.51745324
20160811,0.00044444,0.00045877,0.00042000,0.00042500,9.62566717,22430.26586250
20160812,0.00042500,0.00044239,0.00041000,0.00041068,11.21080536,26600.47152282
20160813,0.00041068,0.00046000,0.00040000,0.00040350,11.79370565,28127.96890172
20160814,0.00040350,0.00041122,0.00036000,0.00036102,6.49203189,16749.69642124
20160815,0.00036102,0.00040000,0.00036100,0.00036625,7.55109086,20175.79134643
20160816,0.00036625,0.00037991,0.00034448,0.00034551,8.86326005,24959.60311455
20160817,0.00034650,0.00035848,0.00031001,0.00031053,8.96396337,26829.71742151
20160818,0.00031053,0.00040000,0.00030625,0.00032902,19.31538009,56825.63326132
20160819,0.00032902,0.00036378,0.00030700,0.00032668,13.03781215,39634.93116000
20160820,0.00032668,0.00033374,0.00030700,0.00031205,4.90027358,15574.95563659
20160821,0.00031206,0.00031339,0.00028000,0.00028316,13.28890076,45366.56205442
20160822,0.00028316,0.00028548,0.00023576,0.00023762,17.43390910,66596.98629575
20160823,0.00023792,0.00027000,0.00020034,0.00020666,19.87905262,86310.82192165
20160824,0.00020582,0.00022000,0.00018805,0.00018899,7.78645268,38226.33163767
20160825,0.00018909,0.00020666,0.00016776,0.00016856,7.05053674,37535.54244732
20160826,0.00016860,0.00018500,0.00015336,0.00015535,6.80653845,40535.38063791
20160827,0.00015694,0.00025000,0.00015034,0.00018999,11.74044522,60000.81169765
20160828,0.00018999,0.00026970,0.00016901,0.00021361,17.97567673,80682.29660120
20160829,0.00021380,0.00031888,0.00020049,0.00024891,24.22732845,92108.72579981
20160830,0.00024891,0.00025077,0.00020002,0.00020077,7.49060983,34565.73109780
20160831,0.00020128,0.00022200,0.00018251,0.00018305,6.39396028,31460.79010516
20160901,0.00018305,0.00020700,0.00017997,0.00019227,5.69559079,29677.51588775
20160902,0.00019227,0.00039139,0.00018845,0.00034011,37.48063638,123651.27961581
20160903,0.00034011,0.00041950,0.00028621,0.00030955,55.96839861,161431.64086618
20160904,0.00030955,0.00030955,0.00025069,0.00026135,14.68336719,54083.01140603
20160905,0.00026156,0.00034952,0.00026100,0.00028500,12.48338223,42088.15298772
20160906,0.00028504,0.00029607,0.00026100,0.00027998,11.38363028,41893.72075418
20160907,0.00026328,0.00046960,0.00026320,0.00033947,45.96932011,128809.33194745
