[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170219,0.00002688,0.00002688,0.00002358,0.00002358,0.02544813,994.10606817
20170220,0.00001657,0.00001657,0.00001170,0.00001187,0.75531712,58739.02798781
20170221,0.00001169,0.00001169,0.00001054,0.00001137,0.16002503,14034.58599291
20170222,0.00001112,0.00001134,0.00000503,0.00001130,0.10613877,9782.45554768
20170223,0.00000977,0.00000977,0.00000976,0.00000976,0.00892265,913.76228851
20170224,0.00000975,0.00001199,0.00000975,0.00001120,0.13850140,12725.33414097
20170225,0.00001083,0.00001083,0.00001074,0.00001074,0.00363427,336.69574423
20170227,0.00001074,0.00001074,0.00001000,0.00001060,0.05751648,5621.09974666
20170228,0.00001030,0.00001060,0.00001030,0.00001059,0.00588855,557.24615422
20170301,0.00001059,0.00001060,0.00001030,0.00001053,0.01198408,1144.48999005
20170302,0.00001028,0.00001081,0.00000667,0.00000667,0.07634888,7253.11622675
20170303,0.00001033,0.00001065,0.00000800,0.00001065,0.00459973,483.06355561
20170304,0.00001073,0.00001073,0.00001073,0.00001073,0.00050375,46.94850419
20170305,0.00001079,0.00001088,0.00001079,0.00001088,0.02417830,2237.62740097
20170306,0.00001088,0.00001088,0.00001081,0.00001088,0.04280503,3935.02040511
20170307,0.00001081,0.00001081,0.00000890,0.00000984,0.11150379,11939.82591068
20170309,0.00000984,0.00001020,0.00000778,0.00000799,0.08347046,9514.72344202
20170310,0.00000822,0.00000822,0.00000777,0.00000777,0.04141361,5282.77947503
20170311,0.00000834,0.00000834,0.00000802,0.00000802,0.00367400,447.98011831
20170314,0.00000821,0.00000996,0.00000821,0.00000996,0.00451527,505.59176988
20170315,0.00000869,0.00000869,0.00000841,0.00000841,0.00291445,344.02353143
20170316,0.00000815,0.00000815,0.00000760,0.00000760,0.08698600,11225.89075133
20170317,0.00000842,0.00000860,0.00000842,0.00000860,0.00337371,400.00000000
20170318,0.00000822,0.00000845,0.00000822,0.00000833,0.24231455,28906.87741444
20170319,0.00000838,0.00000848,0.00000833,0.00000848,2.71380375,321798.66697363
20170320,0.00000848,0.00001200,0.00000848,0.00001000,0.60962556,66079.53843667
20170321,0.00001108,0.00001111,0.00000780,0.00001111,0.75011871,79338.79154123
20170322,0.00001111,0.00001301,0.00000986,0.00001190,0.60700360,54689.85153882
20170323,0.00001181,0.00001435,0.00000900,0.00000900,0.87534463,72615.53904645
20170324,0.00001039,0.00001326,0.00001039,0.00001184,0.78250736,67847.94813680
20170325,0.00001106,0.00001169,0.00000997,0.00001117,0.81495274,77863.95909201
20170326,0.00001060,0.00001193,0.00001026,0.00001108,0.54328764,51363.44327650
20170327,0.00001108,0.00001178,0.00001060,0.00001111,0.50480088,46199.51406117
20170328,0.00001060,0.00001112,0.00001000,0.00001112,0.67883037,63858.12449274
20170329,0.00001109,0.00001132,0.00001010,0.00001132,0.56390021,52608.37696993
20170330,0.00001132,0.00001546,0.00001090,0.00001483,1.96847905,160120.53263239
20170331,0.00001471,0.00001471,0.00000999,0.00001130,3.98769950,352365.72206481
20170401,0.00001118,0.00001272,0.00001007,0.00001121,2.85439937,253333.40229222
20170402,0.00001129,0.00001390,0.00001046,0.00001212,2.12708593,178824.00985725
20170403,0.00001148,0.00001390,0.00001138,0.00001280,0.93034989,75046.83032201
20170404,0.00001252,0.00001290,0.00001153,0.00001268,0.90569498,74825.99324164
20170405,0.00001195,0.00001391,0.00001097,0.00001349,0.96616385,81741.49351194
20170406,0.00001208,0.00001351,0.00000971,0.00001233,5.06002971,469364.48166959
20170407,0.00001077,0.00001082,0.00000972,0.00000992,1.41523051,139589.27056481
20170408,0.00000988,0.00001017,0.00000929,0.00001017,1.63677157,164245.36619819
20170409,0.00000950,0.00001017,0.00000906,0.00001017,0.55490393,56418.31457552
20170410,0.00001017,0.00001017,0.00000589,0.00000850,1.63248984,199278.32902465
20170411,0.00000890,0.00000960,0.00000803,0.00000955,0.51935546,56676.84412139
20170412,0.00000935,0.00001020,0.00000778,0.00000926,1.22490458,134571.08407097
20170413,0.00000949,0.00001100,0.00000800,0.00001026,1.17307979,125068.74386358
20170414,0.00001006,0.00001026,0.00000981,0.00000989,1.45111845,144841.17050350
20170415,0.00001011,0.00001089,0.00000984,0.00001019,0.64710784,63526.12088555
20170416,0.00001019,0.00001449,0.00000979,0.00001311,6.05230149,514839.34780238
20170417,0.00001276,0.00002192,0.00000970,0.00001117,20.31636833,1413433.71839639
20170418,0.00001231,0.00001248,0.00000820,0.00000859,5.43227699,585725.14233181
20170419,0.00000861,0.00001111,0.00000851,0.00001031,2.88539580,296631.60724028
20170420,0.00001049,0.00001380,0.00000901,0.00000966,2.84366494,263408.39762199
20170421,0.00000994,0.00001258,0.00000994,0.00001040,1.07955079,100137.93223380
20170422,0.00001040,0.00001063,0.00000991,0.00001025,0.82160636,79834.94995258
20170423,0.00001025,0.00001199,0.00000969,0.00001130,2.55046357,241403.74669466
20170424,0.00001059,0.00001080,0.00000969,0.00000984,0.99503554,96731.80400571
20170425,0.00001042,0.00001799,0.00000953,0.00001007,9.83539077,790631.64519740
20170426,0.00000991,0.00001151,0.00000877,0.00001151,2.08639117,208907.11654536
20170427,0.00001089,0.00001139,0.00000900,0.00001075,1.92531935,183176.59169420
20170428,0.00001033,0.00001050,0.00000932,0.00000974,1.10375228,107319.09232333
20170429,0.00001000,0.00001142,0.00001000,0.00001142,1.48532416,138658.17333011
20170430,0.00001082,0.00001446,0.00001053,0.00001116,1.28982899,104088.79622699
20170501,0.00001166,0.00001323,0.00000988,0.00001008,2.20241540,197516.06676733
20170502,0.00001080,0.00006990,0.00000930,0.00001257,87.27901239,2997173.63188081
20170503,0.00001259,0.00001376,0.00000960,0.00000961,13.68234369,1280237.54321617
20170504,0.00000992,0.00001061,0.00000879,0.00000954,3.51402804,362568.74527834
20170505,0.00000954,0.00001047,0.00000811,0.00001000,3.60253738,386963.70473864
20170506,0.00000897,0.00000979,0.00000827,0.00000930,1.62727475,177973.28714353
20170507,0.00000932,0.00001007,0.00000900,0.00001000,3.67884681,393511.31061678
20170508,0.00001007,0.00002864,0.00000921,0.00001268,20.13156499,1200484.16028593
20170509,0.00001465,0.00001604,0.00001201,0.00001360,4.43719984,327802.91423794
20170510,0.00001360,0.00001360,0.00001095,0.00001117,2.70888540,224849.37104737
20170511,0.00001108,0.00001241,0.00001000,0.00001065,1.30104065,119326.11625197
20170512,0.00001068,0.00001199,0.00001045,0.00001183,0.93461809,86574.81082853
