[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160524,1.00000065,1.00000066,0.00060000,0.00060701,32.02599171,41184.22881209
20160525,0.00060000,0.00078990,0.00035000,0.00062480,463.67787523,830246.63865514
20160526,0.00062005,0.00112200,0.00059963,0.00111765,800.20892426,938627.72234109
20160527,0.00111765,0.00123229,0.00070000,0.00081563,768.71474452,810740.71517958
20160528,0.00081563,0.00082000,0.00055000,0.00066600,352.48024145,520524.82574605
20160529,0.00066557,0.00077568,0.00066095,0.00073126,174.55233787,244768.03458335
20160530,0.00071232,0.00075736,0.00064249,0.00066400,129.70416750,185473.27310228
20160531,0.00064801,0.00067971,0.00056880,0.00058866,180.49988163,293395.49312132
20160601,0.00058866,0.00064761,0.00057500,0.00063499,102.88553113,170225.43295053
20160602,0.00062999,0.00063466,0.00059205,0.00062000,62.02472997,100472.29642198
20160603,0.00062000,0.00074998,0.00062000,0.00071632,262.94133962,379785.43467872
20160604,0.00071803,0.00081000,0.00070015,0.00076619,263.54289940,342802.32429849
20160605,0.00076637,0.00087999,0.00076066,0.00084999,229.69065809,280401.72633348
20160606,0.00084488,0.00086000,0.00075026,0.00077535,183.63291215,227822.37446502
20160607,0.00077116,0.00077800,0.00070113,0.00073000,220.13913268,299320.25198255
20160608,0.00073000,0.00084500,0.00069444,0.00080755,130.94671541,168407.84074546
20160609,0.00080824,0.00085500,0.00079000,0.00081000,49.31517438,60040.39627072
20160610,0.00080193,0.00081412,0.00075360,0.00080343,86.10197523,109018.84874394
20160611,0.00079431,0.00083338,0.00073150,0.00073735,101.98328631,129710.00901967
20160612,0.00074045,0.00075168,0.00058610,0.00062093,240.82409404,361735.53866614
20160613,0.00063370,0.00068740,0.00060000,0.00066500,125.62428638,198535.54688797
20160614,0.00066400,0.00073761,0.00064501,0.00068315,97.43147050,142650.76069251
20160615,0.00069829,0.00070801,0.00065000,0.00065734,47.01909787,69748.85719278
20160616,0.00066944,0.00066944,0.00058100,0.00060248,93.98638012,153437.73303735
20160617,0.00059998,0.00062700,0.00049422,0.00058453,123.78623541,220202.25205341
20160618,0.00059416,0.00060500,0.00044000,0.00046422,82.90997640,163599.20412036
20160619,0.00046422,0.00052000,0.00045672,0.00047960,65.90416864,136558.93641083
20160620,0.00047396,0.00048956,0.00039999,0.00043690,80.11131434,181547.80917353
20160621,0.00043500,0.00051998,0.00043500,0.00048500,111.60816659,230398.30439078
20160622,0.00049299,0.00066666,0.00047113,0.00059813,382.61172787,667479.54486865
20160623,0.00058059,0.00063786,0.00056000,0.00057002,180.16481462,302987.61566526
20160624,0.00057999,0.00060000,0.00049111,0.00057500,103.14890384,191645.91674746
20160625,0.00056457,0.00057500,0.00051132,0.00051132,90.41335918,165421.72515042
20160626,0.00052149,0.00054953,0.00051604,0.00051604,28.54312266,53959.08409219
20160627,0.00052000,0.00052684,0.00045066,0.00045600,60.81187382,123509.12327362
20160628,0.00045689,0.00049001,0.00043501,0.00046263,78.65122778,170289.50450156
20160629,0.00044803,0.00048874,0.00044773,0.00048043,46.13613727,98639.83386129
20160630,0.00048144,0.00050200,0.00045329,0.00045450,56.95048365,118619.13188673
20160701,0.00045450,0.00048899,0.00044563,0.00047767,21.19861534,45824.76559467
20160702,0.00047767,0.00048500,0.00042752,0.00043990,35.43622556,79298.85153935
20160703,0.00043662,0.00047239,0.00043501,0.00046000,5.61665693,12286.32904095
20160704,0.00046000,0.00046283,0.00043969,0.00045138,13.72234392,30849.75426291
20160705,0.00044139,0.00044998,0.00040766,0.00042743,40.24502702,94819.40171457
20160706,0.00042191,0.00044321,0.00041845,0.00043091,12.03843168,28099.61868514
20160707,0.00042068,0.00043320,0.00041471,0.00042250,8.15578585,19253.38243763
20160708,0.00042113,0.00045000,0.00042012,0.00042181,21.47324504,49233.84771337
20160709,0.00042186,0.00044296,0.00042012,0.00043664,11.57328652,27201.15905356
20160710,0.00043539,0.00047000,0.00042800,0.00045204,13.86804885,30689.62282324
20160711,0.00046269,0.00055998,0.00045347,0.00051500,164.50000833,317859.00326345
