[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140307,0.02525000,0.02540000,0.02525000,0.02540000,1.70412525,67.44587598
20140310,0.02525000,0.02525000,0.02525000,0.02525000,0.31234249,12.37000000
20140311,0.02525000,0.02525000,0.02525000,0.02525000,0.00033920,0.01343384
20140312,0.02540000,0.02700000,0.02540000,0.02700000,5.04149778,194.09966132
20140313,0.02525000,0.02525000,0.00000001,0.01000996,0.05518507,9.42033657
20140314,0.02670000,0.02670000,0.01001000,0.02670000,0.18136236,6.92663162
20140315,0.02670000,0.02670000,0.00000500,0.02670000,0.19340616,11.86233242
20140316,0.02670000,0.27000000,0.00001000,0.02790000,3.07401375,177.26621541
20140317,0.02570000,0.02840000,0.02560000,0.02580002,1.74498713,64.05766269
20140318,0.02790000,0.03500000,0.02560000,0.03030000,1.32530318,47.42487174
20140319,0.03150000,0.03150000,0.02900000,0.02900000,0.21633552,7.20130451
20140320,0.02260000,0.02260000,0.02260000,0.02260000,0.10592111,4.68677585
20140321,0.02250000,0.02600000,0.02250000,0.02600000,0.05486416,2.14794003
20140322,0.02900000,0.02900000,0.02560001,0.02600001,0.77728720,29.57954364
20140323,0.02600000,0.03000000,0.02600000,0.02630000,0.10993658,4.09821892
20140324,0.02630000,0.03000000,0.02630000,0.02940000,0.05807250,1.96816149
20140325,0.02628000,0.03000000,0.02628000,0.03000000,0.21078203,7.75379006
20140326,0.02660000,0.02950000,0.02641000,0.02675600,0.50609207,18.80369760
20140327,0.02675600,0.02885600,0.02660500,0.02885600,0.45877497,16.95543866
20140328,0.02670001,0.02895900,0.02666000,0.02666600,0.21940290,8.07037847
20140329,0.02800000,0.02930000,0.02700000,0.02929000,0.31645714,11.11326660
20140330,0.02900000,0.02900000,0.02677021,0.02899500,0.42264328,15.30122158
20140331,0.02899500,0.02929000,0.02770100,0.02780010,0.58029664,20.78120926
20140401,0.02770000,0.02780010,0.02450000,0.02660500,0.77195839,28.07785106
20140402,0.02700000,0.02770000,0.02450000,0.02565000,0.53398710,20.69929834
20140403,0.02565000,0.02700000,0.02252000,0.02697000,0.34207375,14.30691626
20140404,0.02696999,0.02770000,0.02263600,0.02770000,0.53963687,21.73319199
20140405,0.02320002,0.02549999,0.02320001,0.02333334,0.15983070,6.82813991
20140406,0.02550000,0.02610000,0.02400000,0.02520000,0.10517839,4.22940593
20140407,0.02450090,0.02760000,0.02450090,0.02572000,0.07462010,2.92925276
20140408,0.02451000,0.02599900,0.02350001,0.02350001,0.77881909,31.78782505
20140409,0.02350001,0.02599900,0.02230000,0.02351031,6.97848930,289.37399146
20140410,0.02351031,0.02770000,0.02200000,0.02400000,4.43197999,185.13208780
20140411,0.02400000,0.02770000,0.02300000,0.02550000,5.62155975,220.76969940
20140412,0.02550000,0.02639999,0.02445000,0.02450000,3.00115749,118.96264497
20140413,0.02450002,0.02850000,0.02450002,0.02599000,3.55040995,134.51934976
20140414,0.02579999,0.02579999,0.02300200,0.02436000,5.07653183,204.76255250
20140415,0.02435001,0.02880000,0.02435000,0.02630000,3.08790362,123.23975759
20140416,0.02630000,0.02870000,0.02435000,0.02529600,1.34098869,51.98682462
20140417,0.02529600,0.02680000,0.02435011,0.02580000,1.25464479,50.23656651
20140418,0.02490000,0.02580000,0.02400000,0.02400000,2.17587850,89.23636640
20140419,0.02410000,0.02590000,0.02410000,0.02579998,2.13298974,84.92934570
20140420,0.02510000,0.02615000,0.02461000,0.02500000,1.94747608,76.21045492
20140421,0.02599999,0.02620000,0.02461000,0.02544999,0.85803388,33.36387230
20140422,0.02545000,0.02545000,0.02490003,0.02490052,0.53037708,21.15670217
20140423,0.02490053,0.02544888,0.02475008,0.02475009,1.15221939,45.80608870
20140424,0.02544887,0.02550000,0.02475009,0.02549999,0.34282047,13.50569110
20140425,0.02549999,0.02550000,0.02260000,0.02400002,0.92804243,37.41433881
20140426,0.02400002,0.02539999,0.02320000,0.02520000,0.93255511,37.84425002
20140427,0.02350017,0.02470000,0.02310000,0.02310000,0.48399603,20.32705199
20140428,0.02110000,0.02460000,0.02110000,0.02450000,0.78954817,34.05989084
20140429,0.02231001,0.02450000,0.02231000,0.02231023,0.72549478,30.94692769
20140430,0.02350001,0.02529000,0.02350000,0.02529000,1.67512442,69.58425482
20140501,0.02350013,0.02550000,0.02350012,0.02549899,0.53551293,21.87711944
20140502,0.02400051,0.02550000,0.02355011,0.02355106,0.76911322,31.96585097
20140503,0.02355106,0.02499997,0.02355105,0.02365000,1.37046204,57.33048176
20140504,0.02365000,0.02475000,0.02350001,0.02350001,1.24687160,52.08943719
20140505,0.02350001,0.02550000,0.02350001,0.02351020,5.63358747,229.71775118
20140506,0.02351013,0.02490000,0.02351013,0.02490000,0.35411291,14.75377439
20140507,0.02489999,0.02490000,0.02400002,0.02400004,1.13836222,47.05597909
20140508,0.02404999,0.02440000,0.02380010,0.02400000,1.95241091,81.30926732
20140509,0.02400000,0.02420000,0.02360000,0.02380002,1.67828539,70.41347230
20140510,0.02380002,0.02419998,0.02380002,0.02390000,0.78318942,32.60521748
20140511,0.02381003,0.02420000,0.02300001,0.02360000,1.40974599,59.29260357
20140512,0.02370000,0.02419949,0.02333000,0.02365000,1.47822709,61.65977764
20140513,0.02365000,0.02470000,0.02340005,0.02360000,2.37098132,99.47526766
