[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170430,0.02000000,0.02000000,0.00119999,0.00177000,68.84918498,42734.25887133
20170501,0.00173000,0.00204498,0.00132003,0.00179999,203.04295402,116395.24187147
20170502,0.00180500,0.00193000,0.00148989,0.00173992,93.49769945,54785.90469108
20170503,0.00173985,0.00180000,0.00148500,0.00148993,67.98719003,42668.33254998
20170504,0.00149091,0.00159215,0.00123600,0.00127141,92.63665918,67093.76615898
20170505,0.00128020,0.00210000,0.00125026,0.00180073,174.34403685,101150.26576276
20170506,0.00180082,0.00209500,0.00150006,0.00203000,136.14256637,74485.55505323
20170507,0.00203000,0.00218000,0.00163956,0.00174801,110.94068477,58306.79713267
20170508,0.00174800,0.00195000,0.00147912,0.00169173,62.99093300,37783.20387230
20170509,0.00167479,0.00167481,0.00101000,0.00140158,86.36918199,64321.97795134
20170510,0.00140827,0.00163840,0.00120359,0.00125727,41.57595902,30163.17282403
20170511,0.00125727,0.00141048,0.00105000,0.00137832,28.47661934,22063.91105059
20170512,0.00137831,0.00149990,0.00129000,0.00141183,18.02147189,12938.79383461
20170513,0.00149235,0.00161000,0.00133651,0.00145134,31.08274283,20757.16427308
20170514,0.00153271,0.00155199,0.00137807,0.00144957,12.99697894,9071.69672349
20170515,0.00139077,0.00154990,0.00135077,0.00146200,7.81373222,5471.84357680
20170516,0.00146200,0.00153490,0.00130651,0.00143000,43.15923497,30017.63143384
20170517,0.00140301,0.00149999,0.00129000,0.00138173,28.98831689,21447.67001398
20170518,0.00140225,0.00161000,0.00125000,0.00157000,71.43763164,48010.85561406
20170519,0.00150453,0.00158300,0.00125000,0.00134584,56.18715412,40701.66836766
20170520,0.00137954,0.00145197,0.00128411,0.00130000,19.41610719,14356.17533787
20170521,0.00133257,0.00133258,0.00120250,0.00126840,36.76681110,29339.19234829
20170522,0.00126979,0.00129950,0.00115897,0.00122999,28.98684283,23160.79784801
20170523,0.00123319,0.00129950,0.00120500,0.00129946,24.56992321,19412.61971719
20170524,0.00129946,0.00160000,0.00117006,0.00145643,57.73177262,40769.50858512
20170525,0.00145499,0.00160000,0.00121666,0.00122000,31.11404765,23677.64530836
20170526,0.00122000,0.00134982,0.00113102,0.00133878,19.09255624,15101.76808146
20170527,0.00133878,0.00133900,0.00116450,0.00120025,14.93722906,12015.81017935
20170528,0.00122211,0.00128000,0.00112802,0.00125073,14.60368867,12371.86752195
20170529,0.00125894,0.00133440,0.00117000,0.00133440,19.34580089,15369.83985037
20170530,0.00133440,0.00134000,0.00120800,0.00124093,26.33363263,21008.77104952
20170531,0.00122200,0.00124381,0.00106050,0.00115996,31.04964830,26680.02192225
20170601,0.00113537,0.00119074,0.00100000,0.00119068,32.14160606,30176.68650799
