[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160119,0.00004802,0.00005812,0.00004802,0.00005350,0.48938001,9127.64332544
20160120,0.00005013,0.00005013,0.00003600,0.00004013,3.43010224,74205.53379054
20160121,0.00004014,0.00004322,0.00003825,0.00004134,0.81170559,19567.12298369
20160122,0.00004028,0.00004996,0.00003865,0.00004996,0.27228229,6554.25515904
20160123,0.00004299,0.00005646,0.00003950,0.00005321,2.18991883,44742.90294443
20160124,0.00004999,0.00005350,0.00004600,0.00004850,1.46159258,29952.49061172
20160125,0.00004850,0.00005190,0.00004519,0.00004744,1.32536332,27712.64896344
20160126,0.00004672,0.00006490,0.00004632,0.00005260,8.31329738,142324.87738535
20160127,0.00005266,0.00006150,0.00005266,0.00005666,0.90142865,15157.74022451
20160128,0.00006109,0.00006110,0.00005671,0.00005790,3.71684840,64839.61781066
20160129,0.00005600,0.00005600,0.00005100,0.00005100,8.99920469,175655.57516121
20160130,0.00005101,0.00005476,0.00004850,0.00005474,2.47873126,49271.49509089
20160131,0.00005474,0.00005658,0.00005184,0.00005657,0.12009843,2222.91532090
20160201,0.00005655,0.00005657,0.00005000,0.00005000,0.30976761,6130.46174663
20160202,0.00005500,0.00005500,0.00004850,0.00004850,3.04614930,62073.23805493
20160203,0.00004865,0.00004900,0.00004850,0.00004850,1.92378416,39514.54800611
20160204,0.00004853,0.00005400,0.00004850,0.00004850,0.83980700,17078.05458355
20160205,0.00005050,0.00005569,0.00005046,0.00005569,0.42044012,7695.40261849
20160206,0.00005272,0.00005656,0.00005272,0.00005274,0.21891362,4126.81562771
20160207,0.00005293,0.00005590,0.00005272,0.00005590,0.13175624,2481.46098364
20160208,0.00005621,0.00005634,0.00005600,0.00005600,0.18565071,3307.80592767
20160209,0.00005657,0.00006600,0.00005308,0.00005308,0.53826567,9480.60994946
20160210,0.00005308,0.00009990,0.00005280,0.00007310,5.67820337,79936.81635488
20160211,0.00007454,0.00015485,0.00007200,0.00008807,45.39517850,430079.13344242
20160212,0.00008258,0.00011907,0.00008176,0.00010096,14.65922088,148861.27173763
20160213,0.00010093,0.00012950,0.00008501,0.00009599,10.78191546,109278.78748394
20160214,0.00009600,0.00012990,0.00009504,0.00012225,12.27424354,109532.14513471
20160215,0.00012224,0.00013998,0.00010800,0.00013300,34.34583603,275928.59378415
20160216,0.00013200,0.00016785,0.00011001,0.00011620,59.46727510,410385.65545960
20160217,0.00011733,0.00012950,0.00009818,0.00012000,29.32486223,265606.07351907
20160218,0.00012793,0.00014299,0.00010093,0.00011405,20.04046993,171740.09008681
20160219,0.00011276,0.00012882,0.00010816,0.00012001,17.78888635,145769.05837714
20160220,0.00012120,0.00014300,0.00011000,0.00011276,11.16531244,93132.08369178
20160221,0.00011295,0.00012800,0.00011277,0.00012160,7.05641244,59152.30634783
20160222,0.00012791,0.00014120,0.00012791,0.00013556,15.89324375,118516.04843812
20160223,0.00013556,0.00015508,0.00012358,0.00014500,34.86052645,245976.33970112
20160224,0.00014602,0.00016599,0.00014566,0.00016597,48.49197049,306065.50067976
20160225,0.00016597,0.00016597,0.00014522,0.00015653,40.06839880,258267.04277603
20160226,0.00015908,0.00018794,0.00015100,0.00016449,39.53059402,233221.37257435
20160227,0.00016822,0.00022000,0.00016564,0.00019393,40.70557681,211334.19840033
20160228,0.00019916,0.00025989,0.00018503,0.00020123,132.12607001,599622.32998957
20160229,0.00020123,0.00021413,0.00018300,0.00020426,38.66737884,194955.33596580
20160301,0.00020555,0.00021000,0.00017004,0.00018329,63.11374357,337237.16774901
20160302,0.00018330,0.00022718,0.00018330,0.00020201,78.02432168,379267.20837747
20160303,0.00020201,0.00025000,0.00020201,0.00023025,122.70212176,540776.24436570
20160304,0.00023485,0.00023919,0.00020804,0.00023919,94.72558021,428552.09724278
20160305,0.00023909,0.00028999,0.00023000,0.00027079,116.91843145,455304.00371849
20160306,0.00027097,0.00029997,0.00022550,0.00025200,169.64795639,654544.06839381
20160307,0.00025627,0.00031166,0.00023539,0.00024628,104.65447511,399816.76901683
20160308,0.00024664,0.00027893,0.00023999,0.00025518,60.12228602,239486.36669661
20160309,0.00025518,0.00027185,0.00024870,0.00026362,65.60235403,251746.90674020
20160310,0.00026388,0.00027972,0.00025844,0.00025844,54.16839021,201334.60289066
20160311,0.00026751,0.00027040,0.00024610,0.00026300,24.91458269,97148.20274543
20160312,0.00025800,0.00027285,0.00025004,0.00026000,19.70032807,75319.58967100
20160313,0.00026000,0.00026000,0.00022057,0.00022057,73.13533477,303343.34099463
20160314,0.00022886,0.00024995,0.00020127,0.00022406,44.94581514,200412.82391988
20160315,0.00022829,0.00025771,0.00022150,0.00024509,49.06848507,208423.43903239
20160316,0.00024932,0.00025798,0.00022190,0.00023373,36.29051310,150250.91663627
20160317,0.00023372,0.00023600,0.00018000,0.00019686,44.35048472,218348.01476442
20160318,0.00019684,0.00020668,0.00016201,0.00019841,29.83962794,162846.83248322
20160319,0.00019804,0.00021871,0.00018140,0.00020163,23.57860606,115303.91338349
20160320,0.00020641,0.00021413,0.00018964,0.00019995,10.36588917,52737.01869726
20160321,0.00020000,0.00023145,0.00019610,0.00022950,23.87518124,109036.54870162
20160322,0.00022351,0.00023809,0.00020548,0.00020630,28.29206697,127030.50366968
20160323,0.00021125,0.00023467,0.00020573,0.00022170,16.09962879,72790.65373838
20160324,0.00021992,0.00024700,0.00021231,0.00023092,14.53184217,64243.23250247
20160325,0.00022982,0.00024703,0.00022708,0.00023680,28.31190635,119353.41975720
20160326,0.00023568,0.00023700,0.00021837,0.00022948,11.48609768,50508.93980372
20160327,0.00022517,0.00023023,0.00018708,0.00020362,27.10885208,129666.72761685
20160328,0.00020413,0.00021865,0.00020285,0.00021865,25.44630263,121373.58685754
20160329,0.00021167,0.00021981,0.00020470,0.00021122,19.01676840,89883.74881541
20160330,0.00020950,0.00021104,0.00019500,0.00019607,20.57694698,101997.09546146
20160331,0.00019617,0.00020685,0.00018930,0.00019310,30.26530903,155988.49648390
20160401,0.00019400,0.00019990,0.00018963,0.00019088,13.23244363,67871.49743657
20160402,0.00018943,0.00019700,0.00018701,0.00019132,10.82733814,56307.01588140
20160403,0.00018880,0.00019670,0.00018879,0.00019524,18.74260900,97873.97308688
20160404,0.00019351,0.00020000,0.00018970,0.00019435,36.96663581,188454.59652686
20160405,0.00019459,0.00019615,0.00018218,0.00018224,15.76781078,84147.19463385
20160406,0.00018223,0.00018883,0.00017100,0.00018060,6.31578759,35545.71903979
20160407,0.00017998,0.00018180,0.00017210,0.00017669,6.28942714,35693.31514549
20160408,0.00017665,0.00018995,0.00017360,0.00018166,34.27033301,190052.06162265
20160409,0.00018064,0.00018530,0.00017775,0.00017900,20.73818340,114502.17069281
20160410,0.00017781,0.00017792,0.00012298,0.00015949,69.99008401,428653.35650309
20160411,0.00015949,0.00016573,0.00014735,0.00014735,6.75449788,43344.05173343
20160412,0.00014650,0.00019609,0.00013456,0.00018834,30.11367888,181072.41691589
20160413,0.00018912,0.00019950,0.00017755,0.00018663,21.07021734,114044.01824580
20160414,0.00018652,0.00019240,0.00017109,0.00018387,7.77072259,43726.74414896
20160415,0.00017780,0.00018230,0.00017028,0.00017702,10.66647258,61338.49253410
20160416,0.00017713,0.00018218,0.00017505,0.00018138,6.22443303,34626.17615616
20160417,0.00017982,0.00020444,0.00017982,0.00018700,19.28295869,101246.77758752
20160418,0.00019000,0.00019478,0.00018701,0.00019478,6.41897605,33616.52878098
20160419,0.00019478,0.00019838,0.00017503,0.00018159,25.11245904,133422.18561351
20160420,0.00018065,0.00018705,0.00017577,0.00017777,18.20724659,99089.04370837
20160421,0.00017805,0.00018962,0.00016543,0.00016574,19.34635789,107954.51498230
20160422,0.00017064,0.00017800,0.00015108,0.00016038,11.87482564,72201.80533129
20160423,0.00016095,0.00017000,0.00015733,0.00016289,9.44022650,57659.58199152
20160424,0.00016461,0.00016676,0.00015293,0.00015418,17.49933590,110780.89180572
20160425,0.00015418,0.00015418,0.00011799,0.00013151,14.60502469,103227.23300824
20160426,0.00013107,0.00013571,0.00010079,0.00011403,33.25002269,286748.49542891
20160427,0.00011016,0.00013328,0.00010668,0.00012225,22.85310553,187469.16823177
20160428,0.00012225,0.00012535,0.00011500,0.00012108,20.00111017,167046.50141094
20160429,0.00012255,0.00012830,0.00011106,0.00011560,5.30054438,45064.79096097
20160430,0.00011560,0.00012745,0.00007001,0.00012729,17.48702902,149713.00716706
20160501,0.00012427,0.00013300,0.00012200,0.00013087,2.78811703,21972.65396600
20160502,0.00012953,0.00013990,0.00012789,0.00013385,14.67618253,108061.07407177
