[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170702,1.90000000,1.90000000,0.00070025,0.00095799,1235.79137998,1309179.83712941
20170703,0.00095799,0.00110000,0.00080300,0.00097400,526.79515298,574764.36761537
20170704,0.00097201,0.00099177,0.00083110,0.00088005,254.59692347,276558.28770952
20170705,0.00088005,0.00089096,0.00070800,0.00073200,200.59460856,252578.23549845
20170706,0.00073200,0.00078770,0.00069000,0.00074900,122.25477548,168446.97038139
20170707,0.00074901,0.00075000,0.00054366,0.00057415,110.57562652,162383.33245124
20170708,0.00057590,0.00064000,0.00050000,0.00053000,73.42989083,132111.35839329
20170709,0.00053238,0.00058667,0.00050000,0.00057000,55.59507314,102256.13086699
20170710,0.00057000,0.00057190,0.00039488,0.00041002,95.98908727,206886.17339539
20170711,0.00041007,0.00041853,0.00032096,0.00036331,60.49459834,164805.71534074
20170712,0.00037025,0.00043965,0.00036402,0.00041532,37.73298588,95663.34986954
20170713,0.00042450,0.00043500,0.00037758,0.00037758,21.55464250,54491.72963433
20170714,0.00038000,0.00039409,0.00035037,0.00035620,25.48287152,68734.93272246
20170715,0.00036424,0.00036907,0.00035000,0.00036051,14.56080689,40775.00873086
20170716,0.00036051,0.00037300,0.00035000,0.00036732,17.13965300,47417.71061740
20170717,0.00036739,0.00038998,0.00033000,0.00035600,28.84698210,80772.90605504
20170718,0.00035022,0.00036995,0.00033897,0.00036744,16.02131986,45144.17773464
20170719,0.00036745,0.00077617,0.00035738,0.00060000,507.68060867,866382.77087452
20170720,0.00058601,0.00058601,0.00037777,0.00039299,219.46485147,463060.61201033
20170721,0.00039299,0.00041975,0.00038545,0.00039015,52.54484010,132681.27868776
20170722,0.00039021,0.00039616,0.00035738,0.00036800,25.00839343,67220.85205147
20170723,0.00037348,0.00043999,0.00036816,0.00041840,26.06070279,66115.91060049
20170724,0.00042006,0.00043888,0.00038333,0.00042100,24.85467784,59754.41403207
20170725,0.00042100,0.00042642,0.00035545,0.00038031,23.54814861,62203.92255230
20170726,0.00038000,0.00038873,0.00035000,0.00037609,25.35630449,69533.26599048
20170727,0.00037620,0.00037848,0.00035523,0.00036784,13.22042124,36142.62144558
20170728,0.00036784,0.00036988,0.00031269,0.00032613,25.17168362,71271.77618779
20170729,0.00033243,0.00034507,0.00030107,0.00034507,8.94080060,27543.34343306
20170730,0.00034000,0.00038000,0.00032000,0.00033049,14.95307549,43382.17531647
20170731,0.00033409,0.00033409,0.00030000,0.00030110,12.16661671,39368.59007565
20170801,0.00030907,0.00037450,0.00029999,0.00031608,16.31162394,49976.73612623
20170802,0.00031609,0.00036999,0.00031500,0.00034000,32.44704655,99147.63752692
