[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160401,0.00004000,0.00004000,0.00001912,0.00002499,4.88892032,178311.69869518
20160402,0.00002498,0.00003111,0.00002200,0.00002602,9.33735825,335935.06104281
20160403,0.00002793,0.00003500,0.00002301,0.00002886,10.42011038,366955.42413395
20160404,0.00002542,0.00002629,0.00001750,0.00002268,9.48751389,442339.36031184
20160405,0.00002262,0.00002262,0.00001410,0.00001655,6.60638510,380951.46049871
20160406,0.00001626,0.00002018,0.00001304,0.00001704,7.08616145,410073.34821283
20160407,0.00001688,0.00002019,0.00001488,0.00001671,1.21733924,72540.08797619
20160408,0.00001660,0.00002039,0.00001500,0.00001604,3.80800964,230733.34406814
20160409,0.00001607,0.00001866,0.00001515,0.00001759,2.18052665,136870.18182524
20160410,0.00001574,0.00001578,0.00001130,0.00001201,9.45220385,721772.61287382
20160411,0.00001202,0.00001496,0.00000607,0.00000998,5.66103115,613052.76102209
20160412,0.00000990,0.00001137,0.00000707,0.00000760,2.90438561,347901.98218161
20160413,0.00000779,0.00000812,0.00000659,0.00000678,1.67182892,230031.48753167
20160414,0.00000688,0.00001240,0.00000633,0.00001099,3.87304309,439697.17032750
20160415,0.00001205,0.00001205,0.00000686,0.00000700,3.57834478,459220.05319884
20160416,0.00000705,0.00000806,0.00000705,0.00000759,0.49188576,67121.49148085
20160417,0.00000724,0.00001474,0.00000712,0.00001119,2.41132431,252321.72701208
20160418,0.00001064,0.00001064,0.00000833,0.00000978,0.31737765,32639.55507286
20160419,0.00000978,0.00001044,0.00000724,0.00000893,2.22821419,263280.17821247
20160420,0.00000843,0.00000925,0.00000775,0.00000853,1.12386891,136982.93950951
20160421,0.00000821,0.00000997,0.00000750,0.00000934,1.19521368,149453.14158900
20160422,0.00000859,0.00000890,0.00000745,0.00000776,0.67156727,84845.28859699
20160423,0.00000756,0.00000813,0.00000684,0.00000781,1.15896326,156991.04170627
20160424,0.00000759,0.00000784,0.00000650,0.00000655,0.76504006,112431.13558598
20160425,0.00000687,0.00000800,0.00000666,0.00000700,0.50718656,70218.77163102
20160426,0.00000784,0.00000813,0.00000667,0.00000715,0.21101368,29704.38502900
20160427,0.00000698,0.00000783,0.00000605,0.00000605,0.55741293,86448.11050763
