[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170315,0.04000000,0.04000000,0.01547026,0.01700000,1.95221055,71.94289178
20170316,0.01700000,0.02899996,0.01471014,0.02499997,14.47084641,840.60303926
20170317,0.02275015,0.04182639,0.01898197,0.03000405,32.59999650,1028.81717065
20170318,0.03288977,0.03298720,0.03000649,0.03092375,9.62271786,305.02524995
20170319,0.03098720,0.03398720,0.03001006,0.03150000,5.25105071,158.49597824
20170320,0.03150000,0.03398720,0.03100814,0.03298720,4.42424314,135.03160773
20170321,0.03298720,0.03298720,0.01999999,0.02709938,5.04850579,166.18247286
20170322,0.02700000,0.02998720,0.02510001,0.02550020,3.00572956,111.98683981
20170323,0.02798624,0.02889589,0.02401005,0.02729999,8.10579199,310.55883646
20170324,0.02729979,0.03038307,0.02540669,0.02810995,6.03653592,218.47746234
20170325,0.02810995,0.03038718,0.02622262,0.02776101,4.34052686,156.13520504
20170326,0.02777046,0.03038720,0.02630000,0.02751338,9.11920027,311.71083156
20170327,0.02868946,0.03096685,0.02785352,0.02900224,17.42748164,577.76153016
20170328,0.02900280,0.03096465,0.02900280,0.02900543,4.57868523,150.40535507
20170329,0.03045969,0.03238075,0.03000000,0.03238075,6.58142877,216.82001685
20170330,0.03109015,0.03238200,0.02906899,0.03000050,4.78439746,152.94131108
20170331,0.03000051,0.03498721,0.02919965,0.03299978,34.33957357,1058.95138227
20170401,0.03210005,0.03799999,0.03200000,0.03265328,36.94331274,1098.01902250
20170402,0.03749986,0.03799999,0.03210007,0.03599990,14.62869344,423.32412629
20170403,0.03245554,0.03429840,0.03027505,0.03041060,5.18824685,166.24355950
20170404,0.03179553,0.03179553,0.02900000,0.03095992,4.88935786,161.63571754
20170405,0.03016579,0.03187210,0.02823000,0.02999929,9.47481285,323.13894672
20170406,0.02999929,0.02999997,0.02837996,0.02987200,15.35002337,517.26736659
20170407,0.02987076,0.02987076,0.02701000,0.02898664,7.09925337,250.04407083
20170408,0.02898719,0.02898719,0.02700002,0.02898719,0.72775196,26.62280150
20170409,0.02898720,0.02898720,0.02720069,0.02720710,1.09073149,37.67367461
20170410,0.02720823,0.02798000,0.02300005,0.02546722,3.76959457,143.93259243
20170411,0.02546720,0.02797733,0.02210218,0.02300000,11.86114282,501.12789932
20170412,0.02350000,0.02498982,0.02218190,0.02350554,7.23247667,299.80289987
20170413,0.02350554,0.02469611,0.02190000,0.02399611,8.86940661,377.15388529
20170414,0.02399611,0.02498740,0.02310000,0.02341550,7.30727466,300.07241783
20170415,0.02344860,0.02599499,0.02320025,0.02402702,15.05359104,600.23244254
20170416,0.02596854,0.02596854,0.02420001,0.02596300,7.00430843,277.18641920
20170417,0.02500180,0.02596300,0.02458666,0.02572000,1.37209220,54.15069872
20170418,0.02572000,0.02572000,0.02200068,0.02257318,5.05198309,213.02228653
20170419,0.02458916,0.02483500,0.02200000,0.02200000,7.36432389,318.42696483
20170420,0.02192820,0.02483499,0.02081425,0.02150090,4.18383052,192.23400786
20170421,0.02150089,0.02470000,0.02080786,0.02349898,5.50327305,245.74130980
20170422,0.02419096,0.02500000,0.02300001,0.02400092,3.14553652,128.61981378
20170423,0.02499831,0.02572000,0.02305120,0.02305597,4.19454542,172.76297587
20170424,0.02310080,0.02596000,0.02300000,0.02500000,18.49976817,755.84044775
20170425,0.02500013,0.02580000,0.02369900,0.02500000,38.35293412,1547.33760052
20170426,0.02499998,0.02549895,0.02371000,0.02475000,17.92895051,727.44140167
20170427,0.02475000,0.02579991,0.02440000,0.02440000,22.43450002,897.25255223
20170428,0.02439220,0.02594990,0.02400000,0.02594990,21.18919135,856.63731218
20170429,0.02465581,0.02888924,0.02355555,0.02888924,18.44977205,672.11684427
20170430,0.02702704,0.02990000,0.02630000,0.02800078,29.75049066,1032.91054642
20170501,0.02800084,0.02989997,0.02510043,0.02623612,27.03369095,992.41484394
20170502,0.02616000,0.02844633,0.02379360,0.02601980,14.78208885,584.06510624
20170503,0.02630467,0.02970000,0.02602339,0.02740815,9.65237610,344.01299684
20170504,0.02745000,0.02900000,0.02600000,0.02900000,10.77499049,389.97241478
20170505,0.02900000,0.02900000,0.02705026,0.02705026,5.16230237,185.01180455
20170506,0.02705027,0.02775215,0.02119977,0.02452134,15.35855811,615.68439527
