[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140419,0.00005000,0.00013000,0.00005000,0.00013000,0.00931400,77.80000000
20140420,0.00011500,0.00011700,0.00011500,0.00011700,0.01188338,101.73831076
20140422,0.00011700,0.00011700,0.00005001,0.00005001,0.04710356,482.18418924
20140423,0.00015000,0.00015000,0.00005000,0.00005000,0.00945290,69.68603000
20140501,0.00100000,0.00100000,0.00100000,0.00100000,0.01000000,10.00000000
20140503,0.00000500,0.00000500,0.00000500,0.00000500,0.00010403,20.80678083
20140506,0.00024980,0.00024980,0.00024980,0.00024980,0.00536203,21.46531190
20140517,0.00000500,0.00000500,0.00000500,0.00000500,0.00010733,21.46531190
20140520,0.00001100,0.00001100,0.00001100,0.00001100,0.00290126,263.75103779
20140522,0.00004002,0.00004002,0.00004002,0.00004002,0.00452464,113.05940000
20140801,0.00178000,0.00178000,0.00100000,0.00135000,0.29554669,220.53987644
20140802,0.00114500,0.00114500,0.00050850,0.00069895,0.85121667,891.00342002
20140803,0.00051552,0.00107501,0.00051552,0.00075000,0.31399582,415.03876414
20140804,0.00075000,0.00110000,0.00051000,0.00080000,1.24512338,1284.63277799
20140805,0.00080000,0.00080000,0.00068000,0.00068000,0.36414150,533.11048919
20140806,0.00068000,0.00068000,0.00041025,0.00050198,0.40649617,698.00762887
20140807,0.00053101,0.00064000,0.00041018,0.00042100,0.24156849,486.18127714
20140808,0.00052000,0.00055001,0.00043000,0.00043000,2.05158688,4023.65933090
20140809,0.00043001,0.00050819,0.00039099,0.00050819,0.14647558,318.27089253
20140810,0.00044046,0.00053402,0.00041003,0.00041012,0.25816974,591.04625125
20140811,0.00042001,0.00042001,0.00041003,0.00041003,0.03067195,74.64284619
20140812,0.00042000,0.00042021,0.00036000,0.00036000,0.83031336,2252.68743356
20140813,0.00032040,0.00035987,0.00022000,0.00022000,0.08163732,311.32372435
20140814,0.00032733,0.00032733,0.00028000,0.00032497,0.17199765,539.40069098
20140815,0.00025108,0.00038000,0.00025000,0.00038000,0.16220864,529.67013776
20140816,0.00037871,0.00043000,0.00030000,0.00043000,0.20866517,538.31545747
20140817,0.00032396,0.00060000,0.00030000,0.00030148,0.26540878,630.41279540
20140818,0.00046999,0.00059993,0.00031100,0.00031100,0.04185129,96.77881959
20140819,0.00031100,0.00031100,0.00031100,0.00031100,0.00181851,5.84730624
20140821,0.00032000,0.00034100,0.00032000,0.00034100,0.01429943,43.16250881
20140822,0.00033001,0.00033001,0.00030001,0.00030001,0.05224634,172.43709632
20140823,0.00030001,0.00034001,0.00030001,0.00034001,0.01772569,57.63466546
20140824,0.00030002,0.00032000,0.00030001,0.00030002,0.06973110,230.86489851
20140825,0.00030002,0.00038974,0.00030002,0.00035000,0.02744900,80.72843006
20140826,0.00035000,0.00044978,0.00035000,0.00040000,0.10862051,275.53704927
20140827,0.00040000,0.00044720,0.00035002,0.00036001,0.22168921,591.59988359
20140828,0.00037000,0.00044515,0.00035003,0.00037501,0.16762830,449.60328131
20140829,0.00036000,0.00044517,0.00036000,0.00040221,0.10023602,269.19726036
20140830,0.00036500,0.00041250,0.00036002,0.00038200,0.37519864,991.43210008
20140831,0.00044447,0.00045000,0.00037162,0.00037162,0.16171169,364.04647973
20140901,0.00039001,0.00044999,0.00039001,0.00044999,0.07800798,190.67598883
20140902,0.00040811,0.00046000,0.00040810,0.00042953,0.65898512,1512.38092035
20140903,0.00042953,0.00043199,0.00030000,0.00037300,0.08430647,203.25061384
20140904,0.00037600,0.00046993,0.00037600,0.00038120,0.03516005,90.08332961
20140905,0.00038100,0.00040000,0.00038100,0.00040000,0.07633829,198.96008702
20140906,0.00038403,0.00039880,0.00038403,0.00038890,0.12924570,332.36570572
20140907,0.00038891,0.00038891,0.00035000,0.00035001,0.04396570,122.75105607
20140908,0.00035500,0.00037183,0.00035001,0.00035001,0.10602798,302.76449629
20140909,0.00035001,0.00036500,0.00029967,0.00029967,0.16282726,466.92020256
20140910,0.00028350,0.00032500,0.00025008,0.00029000,0.04669712,162.07190967
20140911,0.00027001,0.00030787,0.00020109,0.00028136,0.15162469,543.89543262
20140912,0.00029948,0.00029948,0.00026550,0.00027002,0.10843420,396.79489578
20140913,0.00027500,0.00027500,0.00021502,0.00024999,0.05561758,217.88636113
20140914,0.00024999,0.00026536,0.00021503,0.00024289,0.04209750,188.50927167
20140915,0.00023000,0.00026819,0.00022000,0.00023551,0.05002704,213.17273707
20140916,0.00023551,0.00023552,0.00023501,0.00023506,0.04774028,202.99457507
20140917,0.00023505,0.00023551,0.00023505,0.00023511,0.03288603,139.88806832
20140918,0.00024500,0.00025516,0.00023512,0.00024517,0.01636470,68.59763334
20140919,0.00026543,0.00032998,0.00023535,0.00023593,0.16466357,553.11062202
20140920,0.00031927,0.00031927,0.00022025,0.00022026,0.02962447,115.50572398
20140921,0.00022017,0.00025000,0.00022001,0.00022001,0.01474059,61.49807718
20140922,0.00023743,0.00024813,0.00022000,0.00022007,0.09261378,385.03064532
20140923,0.00024003,0.00025000,0.00022000,0.00022000,0.01618297,66.70869602
20140924,0.00021201,0.00029999,0.00021201,0.00021205,0.00415031,18.61630938
20140925,0.00021205,0.00021430,0.00021001,0.00021430,0.12804456,601.28643348
20140926,0.00021430,0.00022000,0.00021000,0.00021000,0.44455524,2113.18710544
20140927,0.00021001,0.00022000,0.00021001,0.00022000,0.02878585,131.52095719
20140928,0.00022000,0.00023951,0.00021001,0.00021001,0.00479317,21.88150587
20140929,0.00023839,0.00023998,0.00010104,0.00020000,0.71098464,3209.95785856
20140930,0.00020000,0.00021001,0.00011000,0.00017000,0.80553868,5336.20283295
