[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170708,0.00180000,0.00299000,0.00051500,0.00059006,710.75002745,837112.97502370
20170709,0.00060987,0.00077300,0.00036009,0.00069036,1096.23638738,2112449.09281103
20170710,0.00067000,0.00129990,0.00060011,0.00087000,2685.82462474,3110218.66630577
20170711,0.00086000,0.00173600,0.00063100,0.00142000,7396.80451059,5948823.00489634
20170712,0.00142001,0.00210000,0.00120100,0.00155001,18214.28381886,11298436.24706387
20170713,0.00155001,0.00179999,0.00127580,0.00140001,3553.17303003,2376447.84469620
20170714,0.00140002,0.00152913,0.00108000,0.00116001,5836.73283005,4391653.55399723
20170715,0.00117000,0.00148884,0.00116002,0.00120250,818.38569412,631750.19219654
20170716,0.00121832,0.00126314,0.00109001,0.00110759,239.23623436,207304.02003602
20170717,0.00110468,0.00161902,0.00109000,0.00152541,762.20571215,565576.70869454
20170718,0.00153928,0.00159000,0.00136000,0.00143600,674.05670163,467688.33993885
20170719,0.00144986,0.00165500,0.00138912,0.00143001,673.44446240,446019.01344562
20170720,0.00143002,0.00155000,0.00138000,0.00146031,490.03740810,331027.35552829
20170721,0.00146032,0.00148283,0.00137250,0.00141625,347.15800580,247175.47081091
20170722,0.00141111,0.00148999,0.00137400,0.00143000,223.44452664,157006.30734863
20170723,0.00142963,0.00154499,0.00140001,0.00154499,181.04071864,123327.81792324
20170724,0.00154499,0.00164498,0.00145550,0.00160539,407.67721208,260568.73816641
20170725,0.00160628,0.00180000,0.00150000,0.00160966,742.83299115,447232.51437794
20170726,0.00161154,0.00175900,0.00157300,0.00174398,260.88955194,154610.13195747
20170727,0.00174398,0.00174990,0.00153184,0.00155000,255.60339082,157518.11727692
20170728,0.00154165,0.00155500,0.00120600,0.00126594,249.03603158,178773.28006632
20170729,0.00126594,0.00150772,0.00123000,0.00142999,276.03251805,202354.82502766
20170730,0.00142998,0.00149000,0.00130001,0.00134999,474.36662182,338341.07909947
20170731,0.00131111,0.00138996,0.00110074,0.00124087,228.01014833,178921.02082099
20170801,0.00123147,0.00166900,0.00117500,0.00142300,378.06724396,274037.39221333
20170802,0.00142997,0.00146656,0.00130100,0.00132832,244.26071218,178463.86477965
