[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150409,0.00000310,0.00000310,0.00000181,0.00000183,0.34833671,141070.92962235
20150410,0.00000186,0.00000225,0.00000162,0.00000170,1.00045244,527399.72696281
20150411,0.00000172,0.00000298,0.00000170,0.00000190,0.99622046,494767.48035696
20150412,0.00000184,0.00000214,0.00000145,0.00000160,1.55630845,871249.10369796
20150413,0.00000168,0.00000170,0.00000145,0.00000145,1.26377177,830551.45754997
20150414,0.00000145,0.00000158,0.00000145,0.00000158,0.29138949,193491.15195345
20150415,0.00000158,0.00000163,0.00000148,0.00000148,0.05207167,34618.91697000
20150416,0.00000157,0.00000173,0.00000131,0.00000131,0.71603203,459457.77297438
20150417,0.00000127,0.00000143,0.00000074,0.00000109,0.32044653,292257.85973563
20150418,0.00000090,0.00000107,0.00000076,0.00000082,0.26706490,297032.40103406
20150419,0.00000082,0.00000093,0.00000075,0.00000075,0.25318742,297178.44994235
20150420,0.00000081,0.00000124,0.00000078,0.00000124,0.14829581,149698.59916493
20150421,0.00000101,0.00000170,0.00000100,0.00000106,0.39295700,277555.20718991
20150422,0.00000106,0.00000170,0.00000101,0.00000102,0.20776823,167619.29813177
20150423,0.00000101,0.00000104,0.00000088,0.00000088,0.29370009,292414.70340236
20150424,0.00000087,0.00000114,0.00000078,0.00000113,0.27747938,314093.96621285
20150425,0.00000086,0.00000118,0.00000078,0.00000079,0.21288137,233178.28559447
20150426,0.00000079,0.00000100,0.00000079,0.00000100,0.11974996,125066.45569620
20150427,0.00000080,0.00000103,0.00000080,0.00000101,0.11054117,120069.88382676
20150428,0.00000103,0.00000103,0.00000101,0.00000101,0.11033209,107463.93376187
20150429,0.00000101,0.00000125,0.00000101,0.00000101,0.21315481,198081.41850068
20150430,0.00000102,0.00000102,0.00000101,0.00000101,0.15182412,149504.04444424
20150501,0.00000101,0.00000162,0.00000079,0.00000095,0.69658538,625078.57421367
20150502,0.00000093,0.00000101,0.00000079,0.00000079,0.11194601,129004.21845461
20150503,0.00000079,0.00000116,0.00000078,0.00000080,0.39788815,481381.92054032
20150504,0.00000081,0.00000094,0.00000078,0.00000079,0.31846224,399149.94177860
20150505,0.00000079,0.00000100,0.00000077,0.00000077,0.28452101,341613.68747833
20150506,0.00000077,0.00000087,0.00000075,0.00000075,0.05018270,59042.78598613
20150507,0.00000075,0.00000079,0.00000051,0.00000052,0.30406694,444043.56252365
20150508,0.00000050,0.00000100,0.00000043,0.00000100,0.28443928,338258.16133194
20150509,0.00000079,0.00000104,0.00000078,0.00000078,0.33267603,413295.77386084
20150510,0.00000078,0.00000078,0.00000078,0.00000078,0.03948341,50619.79728747
20150511,0.00000078,0.00000101,0.00000055,0.00000100,0.40600635,473444.73179140
20150512,0.00000100,0.00000100,0.00000063,0.00000067,0.65428403,656608.73994632
20150513,0.00000064,0.00000085,0.00000061,0.00000063,0.11384636,175205.60384411
20150514,0.00000061,0.00000094,0.00000060,0.00000061,0.39656361,607320.61170793
20150515,0.00000061,0.00000077,0.00000060,0.00000060,0.09358576,154343.10263525
20150516,0.00000060,0.00000060,0.00000060,0.00000060,0.04446620,74110.45880589
20150517,0.00000060,0.00000060,0.00000060,0.00000060,0.10485982,174766.66375109
20150518,0.00000060,0.00000071,0.00000059,0.00000061,0.09862248,158195.62799616
20150519,0.00000059,0.00000092,0.00000036,0.00000042,0.16357657,230057.98103310
20150520,0.00000047,0.00000080,0.00000042,0.00000072,0.10449125,150195.52871540
20150521,0.00000055,0.00000055,0.00000051,0.00000051,0.00602200,11023.56071000
20150522,0.00000055,0.00000069,0.00000042,0.00000062,0.03006638,53302.34591219
20150523,0.00000052,0.00000065,0.00000040,0.00000065,0.13371112,279997.98522403
20150524,0.00000046,0.00000083,0.00000046,0.00000062,0.08115819,110367.62233609
20150525,0.00000060,0.00000074,0.00000045,0.00000051,0.06712545,134699.15514864
20150526,0.00000052,0.00000055,0.00000045,0.00000046,0.09125068,176745.70807790
20150527,0.00000046,0.00000046,0.00000040,0.00000042,0.01972050,44450.52659483
20150528,0.00000042,0.00000048,0.00000042,0.00000042,0.10738501,242655.75186398
20150529,0.00000044,0.00000049,0.00000044,0.00000044,0.17265323,360483.16203346
20150530,0.00000050,0.00000060,0.00000043,0.00000043,0.69464559,1569626.36351815
20150531,0.00000044,0.00000045,0.00000042,0.00000042,0.19402974,458736.26353371
20150601,0.00000049,0.00000058,0.00000036,0.00000036,0.22433975,494762.45739366
20150602,0.00000040,0.00000042,0.00000037,0.00000041,0.01605097,41263.28623330
20150603,0.00000037,0.00000040,0.00000037,0.00000040,0.01964259,52595.57746743
20150604,0.00000036,0.00000036,0.00000033,0.00000033,0.02448171,69267.50674376
20150605,0.00000033,0.00000041,0.00000026,0.00000027,0.07548185,259463.17511296
20150606,0.00000027,0.00000029,0.00000027,0.00000028,0.01381682,50821.43226658
20150607,0.00000029,0.00000041,0.00000024,0.00000030,0.04852754,161514.11494738
20150608,0.00000028,0.00000035,0.00000027,0.00000027,0.00853617,25595.82709899
20150609,0.00000026,0.00000032,0.00000024,0.00000024,0.00724568,26091.82233945
20150610,0.00000030,0.00000030,0.00000025,0.00000030,0.01832812,64442.30817896
20150611,0.00000030,0.00000046,0.00000025,0.00000046,0.04545282,135840.93247688
20150612,0.00000045,0.00000046,0.00000027,0.00000029,0.00935433,26102.91436409
20150613,0.00000027,0.00000032,0.00000024,0.00000027,0.00670261,24957.69171608
20150614,0.00000027,0.00000032,0.00000017,0.00000028,0.03347662,137929.01692035
20150615,0.00000030,0.00000058,0.00000022,0.00000038,0.19980931,454636.65854819
20150616,0.00000045,0.00000057,0.00000032,0.00000032,0.19438217,381618.98213471
20150617,0.00000032,0.00000041,0.00000028,0.00000031,0.02153140,59499.58854491
20150618,0.00000031,0.00000050,0.00000024,0.00000033,0.10888735,292546.21054706
20150619,0.00000032,0.00000033,0.00000030,0.00000033,0.02124780,69581.43713958
20150620,0.00000030,0.00000043,0.00000030,0.00000039,0.12425038,323517.34997775
20150621,0.00000039,0.00000039,0.00000039,0.00000039,0.02760866,70791.65082061
20150624,0.00000035,0.00000035,0.00000035,0.00000035,0.00272160,7776.00000000
20150625,0.00000033,0.00000033,0.00000033,0.00000033,0.00207899,6300.00000000
20150626,0.00000022,0.00000035,0.00000020,0.00000024,0.04937220,190199.84399375
20150628,0.00000029,0.00000038,0.00000029,0.00000031,0.27228133,827525.72459670
20150629,0.00000031,0.00000031,0.00000028,0.00000030,0.20781792,732256.80063217
20150630,0.00000030,0.00000032,0.00000028,0.00000032,1.05294199,3403980.29010600
20150701,0.00000030,0.00000031,0.00000029,0.00000031,0.01365982,45082.93491935
20150702,0.00000027,0.00000032,0.00000027,0.00000027,0.01589298,57991.75367327
20150703,0.00000027,0.00000032,0.00000018,0.00000020,0.20092727,644494.92417296
20150704,0.00000026,0.00000026,0.00000021,0.00000023,0.00342855,15019.02731312
20150705,0.00000023,0.00000023,0.00000020,0.00000020,0.00443474,20192.73461777
20150706,0.00000020,0.00000021,0.00000020,0.00000020,0.04893762,234688.40686474
20150707,0.00000020,0.00000032,0.00000016,0.00000024,0.44169058,1941794.27724623
20150708,0.00000019,0.00000027,0.00000018,0.00000018,0.04970961,232121.19078166
20150709,0.00000022,0.00000025,0.00000019,0.00000019,0.00428031,20584.52708641
20150710,0.00000019,0.00000035,0.00000019,0.00000020,0.68460783,2606828.74280621
20150711,0.00000026,0.00000065,0.00000024,0.00000030,0.88339984,1999987.29085047
20150712,0.00000033,0.00000050,0.00000031,0.00000034,0.35117022,823543.82428309
20150713,0.00000028,0.00000031,0.00000026,0.00000027,0.04742193,168804.12852059
20150714,0.00000027,0.00000029,0.00000020,0.00000021,0.11808820,517049.34858851
20150715,0.00000020,0.00000020,0.00000020,0.00000020,0.00055313,2765.66232463
20150716,0.00000020,0.00000027,0.00000020,0.00000025,0.44959090,1888707.63953917
20150717,0.00000025,0.00000046,0.00000025,0.00000035,1.17726134,3324046.11967638
20150718,0.00000034,0.00000047,0.00000034,0.00000038,0.96254252,2137842.33473732
20150719,0.00000035,0.00000049,0.00000035,0.00000041,0.59378292,1313459.29215655
20150720,0.00000041,0.00000041,0.00000035,0.00000035,1.75241678,4614400.99900000
20150721,0.00000032,0.00000062,0.00000032,0.00000044,1.59110570,3011801.82375975
20150722,0.00000044,0.00000045,0.00000044,0.00000045,1.08140491,2403157.73177246
20150723,0.00000042,0.00000061,0.00000042,0.00000060,1.14285804,2086147.99143407
20150724,0.00000059,0.00000065,0.00000055,0.00000063,2.61695706,4366371.49163104
20150725,0.00000063,0.00000063,0.00000050,0.00000052,0.50349683,838769.24202187
20150726,0.00000052,0.00000058,0.00000036,0.00000038,0.76326602,1515264.28904502
20150727,0.00000039,0.00000053,0.00000039,0.00000042,0.47800696,1046251.05595131
20150728,0.00000041,0.00000048,0.00000035,0.00000040,0.59132567,1316173.93592386
20150729,0.00000036,0.00000068,0.00000035,0.00000044,1.83175131,3938863.42121920
20150730,0.00000041,0.00000058,0.00000036,0.00000039,2.36332898,5536110.60364017
20150731,0.00000040,0.00000051,0.00000039,0.00000045,1.82851585,4129572.25265658
20150801,0.00000047,0.00000047,0.00000037,0.00000041,2.43565360,5549001.78861849
20150802,0.00000039,0.00000040,0.00000035,0.00000035,2.24090451,5815867.73965952
20150803,0.00000035,0.00000042,0.00000030,0.00000030,0.43442934,1199245.10529117
20150804,0.00000030,0.00000035,0.00000028,0.00000028,0.35464707,1022258.55267815
20150805,0.00000034,0.00000034,0.00000028,0.00000030,1.53643730,5119198.48032561
20150806,0.00000031,0.00000041,0.00000020,0.00000029,1.43940273,4865704.07744113
20150807,0.00000029,0.00000034,0.00000027,0.00000030,1.23462227,4075922.32376682
20150808,0.00000030,0.00000030,0.00000021,0.00000026,0.16452623,639225.80537457
20150809,0.00000024,0.00000027,0.00000023,0.00000027,0.04418636,183636.80780811
20150810,0.00000025,0.00000029,0.00000023,0.00000024,1.00025446,3961176.87863949
20150811,0.00000025,0.00000027,0.00000022,0.00000024,1.11221322,4333885.11385501
20150812,0.00000024,0.00000027,0.00000021,0.00000022,0.97119299,3882235.04709001
20150813,0.00000022,0.00000024,0.00000022,0.00000023,1.22191428,5108097.99303423
