[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170327,0.00000500,0.00000700,0.00000169,0.00000268,28.52716716,7676649.08970306
20170328,0.00000267,0.00001179,0.00000267,0.00001004,413.35940811,50395735.29676189
20170329,0.00001004,0.00001040,0.00000600,0.00000670,172.54854883,22288533.49240811
20170330,0.00000669,0.00000792,0.00000400,0.00000675,126.10577774,20555491.47074712
20170331,0.00000620,0.00000673,0.00000503,0.00000530,21.77848666,3899562.52492806
20170401,0.00000530,0.00000589,0.00000415,0.00000445,24.32306917,5123654.06646928
20170402,0.00000445,0.00000647,0.00000418,0.00000559,37.51089144,7196321.27173392
20170403,0.00000553,0.00000598,0.00000497,0.00000549,25.98045345,4780098.10881333
20170404,0.00000549,0.00000567,0.00000450,0.00000480,17.73439044,3564066.73720913
20170405,0.00000480,0.00000510,0.00000401,0.00000409,12.95129531,2956259.15227979
20170406,0.00000421,0.00000501,0.00000364,0.00000398,14.83312942,3515087.83060461
20170407,0.00000398,0.00000420,0.00000303,0.00000375,8.92459472,2487176.55244188
20170408,0.00000376,0.00000401,0.00000304,0.00000337,7.12611704,2088218.41035908
20170409,0.00000327,0.00000350,0.00000318,0.00000319,5.82601779,1785943.54344286
20170410,0.00000319,0.00000418,0.00000317,0.00000380,8.24290859,2358952.76518879
20170411,0.00000382,0.00000422,0.00000341,0.00000393,13.41783600,3450053.81366907
20170412,0.00000393,0.00000393,0.00000325,0.00000353,10.25849146,2870953.11604279
20170413,0.00000357,0.00000434,0.00000335,0.00000400,13.56619173,3484244.59313013
20170414,0.00000412,0.00000770,0.00000411,0.00000730,109.72440517,17493790.02306142
20170415,0.00000730,0.00000757,0.00000658,0.00000714,43.75897346,6186995.80830830
20170416,0.00000714,0.00000748,0.00000631,0.00000646,30.75951345,4553670.89135031
20170417,0.00000644,0.00000700,0.00000601,0.00000634,17.54758644,2737063.75153886
20170418,0.00000634,0.00000637,0.00000510,0.00000541,15.02203696,2663466.40683310
20170419,0.00000541,0.00000700,0.00000540,0.00000591,15.83154465,2632011.52594924
20170420,0.00000601,0.00000696,0.00000540,0.00000541,23.33090375,3732226.50935046
20170421,0.00000545,0.00000600,0.00000511,0.00000527,10.37191661,1903279.00732528
20170422,0.00000527,0.00000578,0.00000498,0.00000540,14.05660675,2649235.07184847
20170423,0.00000540,0.00000550,0.00000500,0.00000510,7.52803748,1435774.57657608
20170424,0.00000512,0.00000550,0.00000481,0.00000498,14.59428263,2877933.76323450
20170425,0.00000498,0.00000542,0.00000483,0.00000493,12.91706582,2568366.68442557
20170426,0.00000493,0.00000509,0.00000417,0.00000431,14.84054288,3269977.37580069
20170427,0.00000431,0.00000472,0.00000401,0.00000408,11.59526367,2698386.48384465
20170428,0.00000402,0.00000429,0.00000390,0.00000408,6.44176804,1589304.70515797
20170429,0.00000408,0.00000419,0.00000378,0.00000398,12.43945473,3133430.69357429
20170430,0.00000395,0.00000479,0.00000387,0.00000429,13.02436668,3106671.26222372
20170501,0.00000429,0.00000527,0.00000406,0.00000410,27.39240107,5921890.06298594
20170502,0.00000406,0.00000438,0.00000395,0.00000415,7.60561728,1855578.94936911
20170503,0.00000411,0.00000437,0.00000396,0.00000407,10.15605136,2495717.83419339
20170504,0.00000410,0.00000416,0.00000374,0.00000381,9.78508471,2482311.34816213
20170505,0.00000381,0.00000398,0.00000234,0.00000361,13.91503501,3995516.09109897
20170506,0.00000361,0.00000369,0.00000315,0.00000330,10.42727466,3045586.03253470
20170507,0.00000330,0.00000354,0.00000324,0.00000332,7.15420747,2119572.68966143
20170508,0.00000333,0.00000351,0.00000326,0.00000330,10.88624497,3251998.51446379
20170509,0.00000330,0.00000377,0.00000307,0.00000325,13.54253750,4070162.22778765
20170510,0.00000327,0.00000333,0.00000311,0.00000326,5.62637663,1766786.60598441
20170511,0.00000326,0.00000327,0.00000307,0.00000312,5.01253383,1601796.37988545
20170512,0.00000312,0.00000325,0.00000309,0.00000314,5.20781366,1650651.67277691
20170513,0.00000314,0.00000319,0.00000304,0.00000315,6.16969585,1969847.02219965
20170514,0.00000315,0.00000360,0.00000310,0.00000321,9.06777032,2797413.04667823
20170515,0.00000321,0.00000401,0.00000321,0.00000375,17.59983051,4839559.80340093
20170516,0.00000368,0.00000433,0.00000360,0.00000367,19.95476884,4954360.20756653
20170517,0.00000367,0.00000600,0.00000353,0.00000585,34.74004134,7760919.52841319
20170518,0.00000595,0.00000690,0.00000391,0.00000662,123.33680245,22765412.43453973
20170519,0.00000663,0.00000689,0.00000503,0.00000625,54.89577690,9348326.07226540
20170520,0.00000626,0.00000670,0.00000563,0.00000584,36.55386191,5868383.20429784
20170521,0.00000584,0.00000612,0.00000503,0.00000555,35.02888220,6252242.51443610
20170522,0.00000555,0.00001220,0.00000521,0.00001109,224.73774761,27701877.42237960
20170523,0.00001206,0.00001499,0.00000850,0.00000930,470.36341050,41086833.72514885
20170524,0.00000933,0.00001100,0.00000802,0.00000847,167.97477654,17908536.45182228
