[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170619,1.00000007,1.00000007,0.00100100,0.00135000,761.35207606,611964.07286437
20170620,0.00134109,0.00188498,0.00102117,0.00105264,1723.86727668,1211460.62927138
20170621,0.00105271,0.00115710,0.00072805,0.00079977,405.25795695,454390.17437121
20170622,0.00080000,0.00095039,0.00075000,0.00078000,291.00091537,353509.16637566
20170623,0.00078014,0.00089760,0.00072000,0.00081042,458.41710372,579572.43763772
20170624,0.00081201,0.00095000,0.00077777,0.00083911,401.14778018,466096.39355466
20170625,0.00081751,0.00086129,0.00072098,0.00075043,209.52491496,269202.50803109
20170626,0.00074077,0.00077000,0.00053223,0.00067520,137.86825804,206099.05096354
20170627,0.00067520,0.00078000,0.00059595,0.00077000,75.92021853,111891.20634985
20170628,0.00077000,0.00077700,0.00067420,0.00070089,139.64984812,199952.21782814
20170629,0.00069116,0.00074998,0.00062113,0.00065492,68.58304033,100337.19230579
20170630,0.00065624,0.00070856,0.00057000,0.00070856,90.70167563,145012.86283449
20170701,0.00058031,0.00064989,0.00055000,0.00057991,69.17662847,116365.69029561
20170702,0.00057172,0.00060441,0.00043010,0.00053462,63.19805749,119393.87799066
20170703,0.00051144,0.00065000,0.00049100,0.00052432,83.57949701,147454.50679340
20170704,0.00053000,0.00054988,0.00049988,0.00052038,32.94909879,62071.80705269
20170705,0.00052037,0.00052485,0.00044007,0.00048588,33.18506627,67189.65410677
20170706,0.00047274,0.00050000,0.00044500,0.00049617,33.60140887,69722.53688681
20170707,0.00049560,0.00053508,0.00041560,0.00042350,49.71147359,110473.12919946
20170708,0.00042350,0.00043386,0.00039239,0.00039507,23.03779755,56353.43727394
20170709,0.00039805,0.00042506,0.00028605,0.00033080,78.99211062,239663.68404246
20170710,0.00033080,0.00033859,0.00023613,0.00024990,74.83403219,269579.29691498
20170711,0.00024986,0.00030655,0.00020000,0.00023219,51.90649283,208492.53921943
20170712,0.00024244,0.00029533,0.00022685,0.00029269,31.97693329,125645.24202537
20170713,0.00029246,0.00033790,0.00028301,0.00030843,45.45219122,144827.83530479
20170714,0.00030885,0.00033012,0.00026764,0.00028515,17.13855817,59283.95983460
20170715,0.00030210,0.00030238,0.00025201,0.00025453,9.18890880,34334.61718777
20170716,0.00025453,0.00026787,0.00022001,0.00024721,15.47943209,62361.13671741
20170717,0.00024723,0.00029795,0.00022000,0.00025316,35.62244306,141141.95847820
20170718,0.00025158,0.00031461,0.00023611,0.00029332,20.42860175,74477.48080195
20170719,0.00029332,0.00029998,0.00021546,0.00025194,33.49799802,133116.29340149
20170720,0.00025387,0.00029999,0.00023002,0.00023002,20.64886713,75510.51798728
20170721,0.00023402,0.00027117,0.00023402,0.00026890,6.18546482,23760.44926962
20170722,0.00026890,0.00030930,0.00025793,0.00030879,18.30734363,64588.64472247
20170723,0.00030500,0.00040468,0.00028820,0.00035332,87.90972700,257008.93554305
20170724,0.00035331,0.00038500,0.00030000,0.00035502,33.94705720,98415.86542872
20170725,0.00034833,0.00035999,0.00028001,0.00029944,27.91098532,86748.80310455
20170726,0.00029864,0.00032444,0.00028376,0.00031186,14.10001046,46727.70326525
20170727,0.00030984,0.00035940,0.00030984,0.00033223,16.87529617,50399.29839295
20170728,0.00033016,0.00033016,0.00028359,0.00028359,11.80044288,39466.86329521
20170729,0.00028359,0.00031020,0.00026501,0.00028068,12.40338238,44288.02550638
20170730,0.00028476,0.00029011,0.00026502,0.00028949,7.15348659,25968.36633536
20170731,0.00028898,0.00028902,0.00025794,0.00026824,7.35168266,27117.10815495
20170801,0.00027799,0.00032772,0.00025550,0.00031271,13.49981801,47371.70908310
20170802,0.00031271,0.00035549,0.00030691,0.00033001,32.71840091,97919.54065189
