[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140512,0.00030000,0.00030000,0.00020000,0.00020001,0.01419444,66.43962073
20140513,0.00025000,0.00025150,0.00025000,0.00025101,0.12568788,502.33657359
20140514,0.00025103,0.00251010,0.00020000,0.00021999,0.85820768,2300.43383729
20140515,0.00020000,0.00251010,0.00013001,0.00022000,2.62198972,4583.95186899
20140516,0.00025000,0.00129000,0.00023001,0.00088880,1.48611436,2657.19242105
20140517,0.00080000,0.00085000,0.00060000,0.00060000,0.43042140,547.88482418
20140518,0.00055700,0.00085000,0.00035001,0.00055200,1.89217689,3440.71310187
20140519,0.00055200,0.00070000,0.00037999,0.00052500,2.21479213,4069.28667724
20140520,0.00052500,0.00052500,0.00030002,0.00030002,2.55959006,6219.92310309
20140521,0.00030001,0.00035500,0.00027000,0.00030109,1.52348091,5033.94538930
20140522,0.00030109,0.00031999,0.00017008,0.00017130,1.49386107,6433.99408940
20140523,0.00017130,0.00033184,0.00011114,0.00021059,1.29124736,6666.33609324
20140524,0.00021059,0.00023500,0.00017500,0.00018045,0.78653856,3921.36051062
20140525,0.00018500,0.00018500,0.00012220,0.00015203,0.72979545,4564.31449872
20140526,0.00015500,0.00017600,0.00012550,0.00013000,0.98777544,7003.76068627
20140527,0.00012999,0.00018499,0.00011115,0.00011116,1.06042604,7298.42328007
20140528,0.00011115,0.00013001,0.00007011,0.00012480,0.90490903,8733.11702304
20140529,0.00008110,0.00017000,0.00008109,0.00014001,1.41188495,11161.49711076
20140530,0.00014001,0.00014500,0.00010102,0.00011504,1.53874946,12766.50738710
20140531,0.00011600,0.00014000,0.00008512,0.00010095,0.41993914,3627.21669472
20140601,0.00010250,0.00012000,0.00009003,0.00010000,0.44339975,4419.44581064
20140602,0.00010000,0.00013000,0.00009309,0.00010700,0.64887187,6300.94048169
20140603,0.00010700,0.00013990,0.00009310,0.00010000,0.50465233,4555.10143184
20140604,0.00009575,0.00010250,0.00007903,0.00008801,0.73325160,8064.87395979
20140605,0.00008800,0.00009598,0.00007903,0.00008105,0.39415615,4576.66385900
20140606,0.00007905,0.00009996,0.00007901,0.00009996,0.36994243,4264.64983980
20140607,0.00008761,0.00010230,0.00008700,0.00008700,0.18892543,1984.22126092
20140608,0.00008701,0.00010245,0.00007790,0.00007800,0.57897046,6724.43296618
20140609,0.00008300,0.00010800,0.00007920,0.00010150,0.64778378,6941.28127069
20140610,0.00008320,0.00009240,0.00008320,0.00008455,0.11774018,1395.90265471
20140611,0.00009240,0.00009779,0.00008451,0.00008554,0.12885334,1482.74850967
20140612,0.00008553,0.00009776,0.00008553,0.00009400,0.23511342,2665.27681617
20140613,0.00008800,0.00009699,0.00008800,0.00009699,0.33575087,3620.38849916
20140614,0.00008852,0.00010000,0.00008852,0.00009895,0.28376859,2961.23780136
20140615,0.00009770,0.00018000,0.00009368,0.00017222,1.80624873,12868.23012535
20140616,0.00017222,0.00017222,0.00011256,0.00012000,0.62451767,4369.28250742
20140617,0.00016399,0.00016400,0.00009009,0.00010072,0.23551880,2266.07297762
20140618,0.00010200,0.00013000,0.00010200,0.00011000,0.12775336,1081.22697905
20140619,0.00012900,0.00015900,0.00012501,0.00012700,0.64160030,4666.51264152
20140620,0.00014899,0.00018700,0.00012610,0.00014870,1.32545041,8640.36445076
20140621,0.00018350,0.00034200,0.00013201,0.00027889,3.22730367,14075.52808457
20140622,0.00024000,0.00027880,0.00017232,0.00018550,3.21483989,15135.62932606
20140623,0.00017521,0.00023953,0.00017500,0.00017503,2.19540832,11734.42936497
20140624,0.00017503,0.00019499,0.00013005,0.00017201,2.44863356,14030.27739655
20140625,0.00017200,0.00022112,0.00016602,0.00022112,1.71603798,8534.17795037
20140626,0.00019820,0.00022222,0.00016902,0.00021600,0.89948848,4155.06025745
20140627,0.00022222,0.00023300,0.00019000,0.00020828,0.99558922,4517.96512639
20140628,0.00022000,0.00022000,0.00019571,0.00019601,0.50065660,2542.09786281
20140629,0.00019601,0.00020250,0.00019571,0.00019571,0.30090415,1535.82802099
20140630,0.00019571,0.00023299,0.00019051,0.00022888,0.89533636,4158.77355242
20140701,0.00022850,0.00022850,0.00019051,0.00019350,1.12641784,5775.31932618
20140702,0.00019350,0.00021890,0.00016901,0.00016901,0.25992328,1342.98854228
20140703,0.00018018,0.00029110,0.00018018,0.00028600,3.06032036,12293.02837616
20140704,0.00029875,0.00038100,0.00028025,0.00038100,7.24328831,22759.17522709
20140705,0.00038000,0.00038000,0.00031001,0.00031001,2.36088045,7096.07409686
20140706,0.00031001,0.00033500,0.00022134,0.00025326,0.87932542,3229.11947780
20140707,0.00025382,0.00029911,0.00022136,0.00024295,0.27247824,1138.27711944
20140708,0.00024295,0.00027835,0.00022167,0.00026029,0.53943209,2263.90485921
20140709,0.00027888,0.00028900,0.00024570,0.00028746,0.27759897,1054.95263738
20140710,0.00028746,0.00029887,0.00023990,0.00024000,1.41660472,5654.85373774
20140711,0.00024000,0.00029099,0.00016905,0.00027400,0.93207949,4228.34111619
20140712,0.00026500,0.00028999,0.00021773,0.00023001,0.28033396,1094.50668953
20140713,0.00023414,0.00028892,0.00023390,0.00023410,0.18716443,773.75757867
20140714,0.00023410,0.00025410,0.00020423,0.00023000,2.32299700,10216.44688510
20140715,0.00023000,0.00023515,0.00020000,0.00022990,3.54767775,16423.85498734
20140716,0.00022990,0.00022990,0.00018000,0.00019998,2.66727577,13032.54764611
20140717,0.00019999,0.00019999,0.00018000,0.00018977,1.61077106,8625.38190691
20140718,0.00019700,0.00020679,0.00015000,0.00018001,2.46972171,14263.89282574
20140719,0.00017999,0.00020000,0.00010115,0.00016300,3.47772492,23290.62216723
20140720,0.00016502,0.00019990,0.00014001,0.00015550,2.78371517,17696.25644532
20140721,0.00015477,0.00017450,0.00008558,0.00009001,20.77719684,182834.99051895
20140722,0.00009900,0.00014570,0.00009120,0.00013198,11.67306051,101393.35306154
20140723,0.00013198,0.00014500,0.00010365,0.00010500,6.50170835,51557.10549297
20140724,0.00012832,0.00013945,0.00010120,0.00013000,8.37529437,71187.65723768
20140725,0.00013005,0.00018444,0.00012503,0.00012854,8.81353351,60984.41195636
20140726,0.00012856,0.00013561,0.00011990,0.00012050,3.83579952,30416.81917370
20140727,0.00011995,0.00012987,0.00011504,0.00012800,3.78590737,30621.99276712
20140728,0.00011906,0.00013479,0.00011252,0.00013440,2.44113642,20460.41966918
20140729,0.00013439,0.00013439,0.00010635,0.00010635,4.87557299,43210.15105176
20140730,0.00012141,0.00012500,0.00010503,0.00010503,3.49205572,31051.32994767
20140731,0.00011198,0.00013000,0.00010351,0.00013000,5.05231918,44639.76727205
20140801,0.00012171,0.00013796,0.00011153,0.00013796,1.42122081,10853.51767574
20140802,0.00013796,0.00015478,0.00012752,0.00013555,1.23863192,8712.70471366
20140803,0.00013555,0.00015478,0.00013551,0.00014000,1.25772463,8734.47409757
20140804,0.00014014,0.00015042,0.00012222,0.00013951,3.94779758,30033.22749264
20140805,0.00013951,0.00013951,0.00012229,0.00013699,2.40505145,18918.32793158
20140806,0.00012359,0.00013887,0.00011755,0.00013887,2.23860569,17615.32729599
20140807,0.00013883,0.00016680,0.00013037,0.00013253,4.06689319,29181.19538517
20140808,0.00013998,0.00015499,0.00013040,0.00013100,2.73167083,19983.29845804
20140809,0.00013400,0.00016680,0.00013055,0.00014110,7.59609534,51744.40935097
20140810,0.00014113,0.00018299,0.00014110,0.00017952,3.99356700,24660.79243810
20140811,0.00016333,0.00017300,0.00015259,0.00015650,3.06531918,19395.07734079
20140812,0.00015675,0.00018320,0.00015675,0.00016771,4.39795038,25601.21622525
20140813,0.00017399,0.00018150,0.00016989,0.00017980,3.31634813,19051.90338517
20140814,0.00017300,0.00019000,0.00017300,0.00019000,6.37419203,34330.03670050
20140815,0.00019000,0.00020082,0.00017951,0.00018714,6.86912544,37253.84302120
20140816,0.00018753,0.00023117,0.00016491,0.00017998,39.63145794,194995.07156616
20140817,0.00016604,0.00017997,0.00016156,0.00017128,3.99529597,23560.35663149
20140818,0.00017001,0.00019120,0.00016156,0.00018482,4.09611604,23417.69753248
20140819,0.00017719,0.00018437,0.00016000,0.00016105,4.30411261,26033.89624447
20140820,0.00016105,0.00017000,0.00015101,0.00016200,9.01197184,58466.12236865
20140821,0.00016000,0.00018000,0.00015300,0.00016000,4.25491634,25948.09447445
20140822,0.00015999,0.00017454,0.00015511,0.00016100,2.34965773,14230.67633064
20140823,0.00016809,0.00017450,0.00015801,0.00016060,1.66766662,10025.79602457
20140824,0.00016060,0.00017175,0.00016055,0.00016071,0.58326032,3610.38990759
20140825,0.00016169,0.00017499,0.00016007,0.00016020,2.90136925,17449.66729785
20140826,0.00016100,0.00017590,0.00014053,0.00014225,9.76883976,65278.70598770
20140827,0.00014226,0.00016445,0.00014225,0.00014609,4.31745682,28846.42342231
