[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140708,0.00000577,0.00002000,0.00000252,0.00001041,248.26813941,23378006.11169471
20140709,0.00001118,0.00001239,0.00000722,0.00000811,80.85229952,8324796.99992216
20140710,0.00000808,0.00001201,0.00000667,0.00000925,57.56172666,6479059.65053576
20140711,0.00000922,0.00001500,0.00000751,0.00001299,85.44956125,7001742.04655016
20140712,0.00001347,0.00001495,0.00001299,0.00001490,25.27829520,1832997.59009548
20140713,0.00001494,0.00002023,0.00001352,0.00001800,64.68066930,3636087.43940747
20140714,0.00001788,0.00002052,0.00000665,0.00000702,160.55686735,14327649.78319557
20140715,0.00000700,0.00000823,0.00000415,0.00000624,79.57025318,12331236.30069529
20140716,0.00000648,0.00001100,0.00000570,0.00000990,30.71603112,4075948.14622060
20140717,0.00000968,0.00001136,0.00000801,0.00001000,19.17247205,2037093.75796075
20140718,0.00001019,0.00001019,0.00000780,0.00000884,10.80967564,1238741.69904118
20140719,0.00000851,0.00000943,0.00000715,0.00000718,11.35699184,1401811.53600444
20140720,0.00000721,0.00000850,0.00000689,0.00000708,5.46072031,738017.21234964
20140721,0.00000711,0.00000849,0.00000705,0.00000707,7.72635188,1035158.17275625
20140722,0.00000706,0.00000740,0.00000562,0.00000562,6.44292760,1015665.17702245
20140723,0.00000627,0.00000673,0.00000471,0.00000538,10.44381172,2001063.25161139
20140724,0.00000510,0.00000571,0.00000354,0.00000500,8.51383448,1830827.49394099
20140725,0.00000424,0.00000500,0.00000366,0.00000496,4.26960132,980437.85979379
20140726,0.00000474,0.00000500,0.00000404,0.00000452,1.42711647,305012.29512593
20140727,0.00000480,0.00000494,0.00000405,0.00000465,1.89341347,431545.39790430
20140728,0.00000431,0.00000461,0.00000200,0.00000326,4.80265112,1426923.78789676
20140729,0.00000338,0.00000400,0.00000276,0.00000370,1.00746681,328568.05285366
20140730,0.00000369,0.00000803,0.00000313,0.00000705,19.89810825,3128312.10158184
20140731,0.00000594,0.00000699,0.00000527,0.00000533,3.94727830,620935.27084970
20140801,0.00000581,0.00000697,0.00000500,0.00000525,2.44796705,439229.73345784
20140802,0.00000556,0.00000599,0.00000400,0.00000455,3.45215233,749269.91014268
20140803,0.00000524,0.00000593,0.00000445,0.00000451,0.80728601,176551.43764860
20140804,0.00000449,0.00000485,0.00000285,0.00000312,4.35326863,1250135.60228929
20140805,0.00000345,0.00000490,0.00000320,0.00000358,1.31075335,317993.64922975
20140806,0.00000358,0.00000462,0.00000350,0.00000351,0.87128474,234171.16547041
20140807,0.00000351,0.00000500,0.00000266,0.00000372,4.11396810,1131770.55917523
20140808,0.00000372,0.00000600,0.00000305,0.00000550,4.00752558,843566.32486364
20140809,0.00000486,0.00000540,0.00000360,0.00000537,1.83522693,408328.58576498
20140810,0.00000537,0.00000537,0.00000350,0.00000350,2.57818408,669846.15941736
20140811,0.00000351,0.00000392,0.00000295,0.00000350,2.10612244,674869.55178869
20140812,0.00000374,0.00000383,0.00000302,0.00000302,0.40075875,110007.95221439
20140813,0.00000345,0.00000366,0.00000300,0.00000325,0.64327055,209741.68193261
20140814,0.00000325,0.00000539,0.00000200,0.00000499,4.72042518,1191037.54562818
20140815,0.00000460,0.00000460,0.00000331,0.00000331,0.70843888,179748.37936621
20140816,0.00000419,0.00000450,0.00000300,0.00000400,1.17703742,355591.33868881
20140817,0.00000373,0.00000410,0.00000301,0.00000350,0.28517823,89021.55820276
20140818,0.00000330,0.00000424,0.00000317,0.00000424,1.21428340,342936.77470427
20140819,0.00000355,0.00000497,0.00000350,0.00000430,1.08957287,268728.36998787
20140820,0.00000455,0.00000480,0.00000392,0.00000456,0.59518039,135769.54233996
20140821,0.00000456,0.00000456,0.00000351,0.00000454,1.98833697,505214.27918830
20140822,0.00000454,0.00000455,0.00000391,0.00000450,1.25514546,297342.29624767
20140823,0.00000448,0.00000456,0.00000399,0.00000455,1.38996378,315264.06064832
20140824,0.00000455,0.00000472,0.00000398,0.00000401,2.10341466,488214.65303370
20140825,0.00000401,0.00000450,0.00000099,0.00000346,4.37799237,1400908.24468653
20140826,0.00000346,0.00000449,0.00000268,0.00000421,1.64367468,417107.58944885
20140827,0.00000428,0.00000555,0.00000379,0.00000447,14.06483532,3015156.45244474
20140828,0.00000447,0.00000447,0.00000346,0.00000346,22.05313302,5916725.62343997
20140829,0.00000395,0.00000445,0.00000346,0.00000398,16.61544195,4321375.65521861
20140830,0.00000397,0.00000449,0.00000359,0.00000389,2.08900049,521945.93471088
20140831,0.00000378,0.00000394,0.00000310,0.00000310,0.77333799,223453.99275616
20140901,0.00000315,0.00000363,0.00000313,0.00000325,1.14714827,355079.07169667
20140902,0.00000325,0.00000389,0.00000313,0.00000350,1.41517628,418509.68042963
20140903,0.00000322,0.00000380,0.00000308,0.00000308,1.33305839,394961.83824446
20140904,0.00000308,0.00000379,0.00000293,0.00000297,1.79326820,534584.87433791
20140905,0.00000301,0.00000385,0.00000301,0.00000350,1.03110891,293597.12807241
20140906,0.00000346,0.00000363,0.00000271,0.00000300,1.87862962,605539.40151901
20140907,0.00000301,0.00000318,0.00000161,0.00000205,2.10752904,882673.97511179
20140908,0.00000248,0.00000273,0.00000182,0.00000256,0.96237052,422610.66894754
20140909,0.00000250,0.00000425,0.00000217,0.00000343,6.15171945,1752619.19728743
20140910,0.00000343,0.00000418,0.00000301,0.00000352,4.53890504,1334559.70509668
20140911,0.00000350,0.00000385,0.00000315,0.00000357,2.58560382,728430.54749779
20140912,0.00000338,0.00000359,0.00000316,0.00000337,1.69203141,524946.57490512
20140913,0.00000324,0.00000324,0.00000234,0.00000286,1.11627003,390211.40716816
20140914,0.00000284,0.00000300,0.00000208,0.00000270,1.73207499,735103.88096905
20140915,0.00000270,0.00000293,0.00000218,0.00000237,0.37496465,141122.24068543
20140916,0.00000238,0.00000289,0.00000228,0.00000238,0.78887316,325827.59636054
20140917,0.00000233,0.00000258,0.00000205,0.00000244,0.87626203,383307.61621618
20140918,0.00000223,0.00000244,0.00000210,0.00000222,0.77415039,348005.98298649
20140919,0.00000221,0.00000299,0.00000203,0.00000273,0.98251430,422750.13149260
20140920,0.00000252,0.00000349,0.00000226,0.00000349,0.73131793,269485.31410255
