[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150408,0.00303032,0.00408551,0.00303032,0.00408551,0.11986289,29.66591366
20150409,0.00406844,0.00409134,0.00405513,0.00409025,0.16135395,39.60331912
20150410,0.00414504,0.00429282,0.00414504,0.00426010,1.96006431,463.29339195
20150411,0.00425772,0.00425772,0.00419215,0.00420980,1.96877994,465.80499376
20150412,0.00423774,0.00423774,0.00422545,0.00422545,0.00750840,1.77356145
20150413,0.00425700,0.00449933,0.00425041,0.00443968,10.49127415,2397.21104382
20150414,0.00444153,0.00460961,0.00444094,0.00454804,4.26587346,944.40150910
20150415,0.00455428,0.00455428,0.00446909,0.00454546,16.96541438,3761.98469402
20150416,0.00446651,0.00446651,0.00435229,0.00435229,18.23715619,4132.19501955
20150417,0.00444539,0.00453610,0.00444539,0.00447445,6.51704805,1465.01755140
20150418,0.00447415,0.00452546,0.00447415,0.00449021,0.03317553,7.38808598
20150419,0.00446259,0.00447170,0.00441470,0.00447170,1.56057742,353.31388078
20150420,0.00448355,0.00448355,0.00442204,0.00443748,31.85859148,7139.49680681
20150421,0.00442970,0.00445427,0.00442459,0.00442459,0.63573867,143.40533613
20150422,0.00422930,0.00425483,0.00419965,0.00425483,17.85068266,4239.31720353
20150423,0.00428374,0.00428374,0.00423972,0.00425075,0.44931046,105.19048896
20150424,0.00422912,0.00433800,0.00422894,0.00431791,3.18439135,739.56734426
20150425,0.00431539,0.00438539,0.00429633,0.00438539,2.42434184,557.52464780
20150426,0.00440168,0.00464981,0.00420000,0.00457053,1.26251053,277.51022866
20150427,0.00453255,0.00457794,0.00434036,0.00438867,3.52337838,804.13998787
20150428,0.00442830,0.00447076,0.00439418,0.00443019,15.53079863,3503.63980362
20150429,0.00444000,0.00444000,0.00001556,0.00443643,1.14553150,358.46204037
20150430,0.00442744,0.00442744,0.00418293,0.00421215,7.33066701,1737.64265967
20150501,0.00423585,0.00426960,0.00419965,0.00425546,2.31727400,544.34247329
20150502,0.00430064,0.00430064,0.00423477,0.00423477,0.89368441,210.47691411
20150503,0.00420984,0.00420984,0.00411791,0.00412367,0.45905504,111.08993775
20150504,0.00416364,0.00420158,0.00412532,0.00418572,2.11846275,506.99478454
20150505,0.00425334,0.00428941,0.00423407,0.00423407,0.43085745,101.19192563
20150506,0.00423037,0.00435179,0.00423037,0.00435179,40.85108904,9616.32167788
20150507,0.00434367,0.00436266,0.00420803,0.00423523,15.66665146,3610.76407200
20150508,0.00422462,0.00434593,0.00404732,0.00407844,9.41123173,2290.43857661
20150509,0.00407844,0.00415236,0.00404469,0.00411086,5.93937042,1442.18903938
20150510,0.00411086,0.00415972,0.00409618,0.00414734,12.90139679,3133.31278853
20150511,0.00414503,0.00416711,0.00390003,0.00413138,14.74397111,3548.60275604
20150512,0.00411078,0.00413667,0.00407736,0.00411714,0.17400635,42.16173841
20150513,0.00411935,0.00422769,0.00408770,0.00422769,0.69098701,168.49753507
20150514,0.00390011,0.00421841,0.00390011,0.00421841,0.00182693,0.44282124
20150515,0.00421841,0.00421841,0.00421841,0.00421841,0.03333980,7.90340711
20150516,0.00390528,0.00422420,0.00390031,0.00422420,0.04362867,10.39637738
20150517,0.00422975,0.00424780,0.00420585,0.00423379,0.67743366,160.35735142
20150518,0.00423172,0.00431517,0.00422885,0.00431517,16.97096840,3969.74481985
20150519,0.00430042,0.00430110,0.00428241,0.00429689,19.92158689,4638.69260271
20150520,0.00430375,0.00430375,0.00426182,0.00427323,2.36435971,549.91218710
20150521,0.00426647,0.00426647,0.00422348,0.00422804,16.69860557,3950.12512867
20150522,0.00423783,0.00424622,0.00413592,0.00413592,2.95055819,700.50530000
20150523,0.00415800,0.00419294,0.00414357,0.00419294,0.02603803,6.27137125
20150524,0.00412131,0.00412131,0.00412131,0.00412131,0.00087866,0.21320000
20150525,0.00414348,0.00420753,0.00414348,0.00420753,4.06654571,979.95410000
20150526,0.00422809,0.00422809,0.00419656,0.00419656,0.35165899,83.71582447
20150527,0.00418266,0.00422835,0.00379999,0.00422835,12.80754001,3045.39526528
20150528,0.00422835,0.00422835,0.00420682,0.00420807,3.42200870,812.57626608
20150529,0.00422523,0.00422523,0.00421304,0.00421304,0.13864371,32.84200258
20150530,0.00422523,0.00431768,0.00422523,0.00430384,0.33815586,79.38051863
20150531,0.00430989,0.00435104,0.00430663,0.00435104,3.82701844,884.08630795
20150601,0.00436934,0.00452308,0.00434726,0.00449933,20.07492078,4477.52979985
20150602,0.00449933,0.00449933,0.00449502,0.00449502,0.01516630,3.37143827
20150603,0.00443866,0.00445502,0.00440068,0.00442125,0.40409427,91.46706826
20150604,0.00444765,0.00444765,0.00444331,0.00444755,0.00333345,0.74971668
