[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140820,0.00010000,0.00020000,0.00010000,0.00012000,180.63728467,1396269.40178686
20140821,0.00012000,0.00014700,0.00007015,0.00009499,63.26334963,608293.45834916
20140822,0.00009498,0.00011995,0.00008100,0.00009999,21.07037371,216369.55443600
20140823,0.00009399,0.00011498,0.00009103,0.00011100,5.79379614,56455.19686869
20140824,0.00011100,0.00012000,0.00010010,0.00011004,9.90959806,89012.12900132
20140825,0.00011897,0.00012500,0.00008398,0.00010001,18.57207867,186450.44737590
20140826,0.00010001,0.00010999,0.00008370,0.00009850,12.65581804,133552.62425239
20140827,0.00010448,0.00012000,0.00009211,0.00009999,15.01199360,142652.16464433
20140828,0.00009989,0.00017379,0.00009218,0.00017087,108.30394633,710126.61428016
20140829,0.00016872,0.00033332,0.00015001,0.00026402,96.86050879,384438.30497874
20140830,0.00026678,0.00029974,0.00025012,0.00026897,24.47275757,94640.17677514
20140831,0.00026897,0.00031000,0.00021999,0.00026977,32.27974087,123695.64884771
20140901,0.00026810,0.00033923,0.00025115,0.00030802,27.89890040,93221.40311539
20140902,0.00030801,0.00031534,0.00024010,0.00027523,29.25572254,99381.43959598
20140903,0.00027572,0.00030000,0.00025215,0.00026257,14.69302907,53734.60137321
20140904,0.00027000,0.00028806,0.00023001,0.00025772,18.27653735,71511.68545865
20140905,0.00025770,0.00031999,0.00025601,0.00028000,34.61680258,124057.20329239
20140906,0.00027683,0.00028749,0.00022552,0.00026000,15.59819524,60700.55435496
20140907,0.00025995,0.00026378,0.00022509,0.00023304,20.26150934,84005.22916146
20140908,0.00022546,0.00024344,0.00017002,0.00018599,22.62868795,115607.89717691
20140909,0.00018510,0.00021072,0.00015002,0.00017140,20.21849549,112805.66520217
20140910,0.00017139,0.00022066,0.00015143,0.00020003,30.24806250,175680.87109643
20140911,0.00021835,0.00022996,0.00016307,0.00022996,12.67772266,62840.65198168
20140912,0.00022996,0.00022996,0.00015515,0.00017202,13.79565566,79795.90848357
20140913,0.00017255,0.00018958,0.00015000,0.00016888,10.59586977,65106.62280809
20140914,0.00017274,0.00018900,0.00015002,0.00015500,6.70708986,40837.84181260
20140915,0.00015247,0.00017000,0.00014500,0.00015348,6.34124959,40850.68583837
20140916,0.00014987,0.00016000,0.00010000,0.00011889,21.88315295,175453.41988745
20140917,0.00011902,0.00013000,0.00009310,0.00010300,14.00548617,125802.50995536
20140918,0.00010791,0.00011590,0.00010010,0.00010210,4.12186462,38700.47627167
20140919,0.00010213,0.00014800,0.00010210,0.00011405,8.02568931,61765.21229995
20140920,0.00011405,0.00012342,0.00011405,0.00011711,0.68536757,5696.36595096
20140921,0.00011876,0.00014000,0.00011400,0.00012431,2.91524411,22840.30579325
20140922,0.00012500,0.00013750,0.00012500,0.00013750,2.89047208,22707.50010338
20140923,0.00012757,0.00013886,0.00012101,0.00012258,2.42482507,19230.42268232
20140924,0.00012255,0.00018500,0.00011310,0.00016089,12.93949749,86402.67600275
20140925,0.00016964,0.00025000,0.00016451,0.00020610,57.22108219,266118.03696211
20140926,0.00020936,0.00026231,0.00018559,0.00024441,27.00861427,118452.03895712
20140927,0.00024117,0.00024289,0.00021003,0.00021005,9.37875550,41305.62505762
20140928,0.00021082,0.00021650,0.00020600,0.00021623,6.08926001,28809.20873669
20140929,0.00021023,0.00022466,0.00018802,0.00020766,9.96740242,48627.04802781
20140930,0.00020768,0.00025500,0.00020289,0.00021864,12.10224668,54645.49857489
20141001,0.00021322,0.00022022,0.00020450,0.00021146,5.99144527,28522.49577464
20141002,0.00021146,0.00029876,0.00020675,0.00027965,23.64082351,100057.15740053
20141003,0.00024143,0.00027865,0.00022036,0.00025596,14.40237253,60070.89617807
20141004,0.00024757,0.00024999,0.00020000,0.00020001,11.03047931,50623.25862965
20141005,0.00020001,0.00021831,0.00014758,0.00017600,20.17805934,110759.67560041
20141006,0.00017251,0.00017818,0.00013490,0.00015483,12.09639542,80662.98831194
20141007,0.00015463,0.00015799,0.00010523,0.00012948,14.14775593,107722.85290349
20141008,0.00012953,0.00014900,0.00012516,0.00012530,9.20052302,69473.81270354
20141009,0.00012530,0.00012576,0.00009300,0.00010810,8.49510465,78189.82369511
20141010,0.00010929,0.00011000,0.00008530,0.00008602,4.42635556,45598.26573083
20141011,0.00009500,0.00009977,0.00008101,0.00009568,2.61498641,28866.70328591
20141012,0.00009569,0.00009880,0.00008109,0.00009573,1.22280275,13386.42224587
20141013,0.00009573,0.00009826,0.00008276,0.00008770,4.06065249,43410.45014491
20141014,0.00008798,0.00009887,0.00008250,0.00008857,3.47342056,39945.20106910
20141015,0.00008856,0.00009886,0.00008258,0.00008386,4.20993473,46613.94208003
20141016,0.00009869,0.00009886,0.00007100,0.00007101,5.05993906,62069.96697257
20141017,0.00007104,0.00007980,0.00005000,0.00007021,4.89055103,81962.97173886
20141018,0.00006813,0.00006813,0.00005000,0.00006170,1.53188891,27265.56395881
20141019,0.00006170,0.00012000,0.00005351,0.00007353,5.44183100,65204.57331767
20141020,0.00007461,0.00008300,0.00006581,0.00007015,1.22370245,16847.78941866
20141021,0.00007501,0.00007501,0.00005000,0.00006355,2.71245097,45432.67068184
20141022,0.00006342,0.00006900,0.00006235,0.00006270,0.86325281,13564.56907892
20141023,0.00006433,0.00007149,0.00006265,0.00006880,1.31594855,19892.80314401
20141024,0.00006894,0.00007290,0.00006500,0.00006617,1.96846702,28235.27828966
20141025,0.00006617,0.00007039,0.00006355,0.00006355,1.29827113,19953.49472655
20141026,0.00006356,0.00007390,0.00006355,0.00006670,1.94445658,28803.83770363
20141027,0.00006661,0.00006853,0.00005799,0.00005905,1.66343164,27192.24979347
20141028,0.00005905,0.00006700,0.00005905,0.00006000,1.27040044,20770.37280681
20141029,0.00006000,0.00006000,0.00004009,0.00004009,0.76549122,14983.15839721
20141030,0.00004870,0.00004870,0.00003361,0.00003915,0.71479826,16942.53916051
20141031,0.00004439,0.00005900,0.00004000,0.00005227,2.49744822,52872.62375877
20141101,0.00005289,0.00005628,0.00004300,0.00004420,0.66305312,13378.02113283
20141102,0.00004864,0.00005199,0.00004401,0.00004500,0.88855842,19267.99291378
20141103,0.00004511,0.00006400,0.00004500,0.00006062,3.17384410,56671.65963826
20141104,0.00005815,0.00006399,0.00005300,0.00006201,3.67411996,60916.47117846
20141105,0.00006250,0.00006440,0.00006201,0.00006203,1.21236709,19312.82572763
20141106,0.00006203,0.00006404,0.00005751,0.00006002,1.76509729,28826.51731709
20141107,0.00005909,0.00005909,0.00005000,0.00005060,0.89885470,17610.83840658
20141108,0.00005060,0.00005140,0.00005060,0.00005060,1.09783567,21651.62144078
20141109,0.00005060,0.00005700,0.00005060,0.00005435,1.41272913,27487.42586137
20141110,0.00005101,0.00005101,0.00004089,0.00004110,0.95512820,20058.18366839
20141111,0.00004097,0.00004400,0.00004096,0.00004170,0.75296487,18068.58936667
20141112,0.00004170,0.00005000,0.00003663,0.00003663,1.73779137,38485.46981070
20141113,0.00003634,0.00004242,0.00003400,0.00003817,1.19732781,33185.44066157
20141114,0.00003500,0.00003543,0.00003013,0.00003443,0.79984376,24770.41422000
20141115,0.00003368,0.00004732,0.00003013,0.00003878,1.09648847,30225.41260133
20141116,0.00003168,0.00003483,0.00001002,0.00002187,1.75055759,68807.36036127
20141117,0.00002199,0.00003863,0.00002150,0.00002825,1.88753442,61354.41448362
20141118,0.00002838,0.00003146,0.00002330,0.00002663,0.89343677,32997.02765692
20141119,0.00002606,0.00002801,0.00002379,0.00002397,1.21863938,47472.71470135
20141120,0.00002397,0.00002439,0.00002350,0.00002355,1.11993739,46717.92771686
20141121,0.00002355,0.00002454,0.00002150,0.00002199,0.69636980,30045.80711523
20141122,0.00002151,0.00002850,0.00001861,0.00002076,1.46649482,67439.12269829
20141123,0.00002221,0.00002850,0.00001881,0.00001901,0.45896434,21751.12725043
20141124,0.00002099,0.00002500,0.00001895,0.00001896,0.16832871,8099.17198184
20141125,0.00002060,0.00002353,0.00001900,0.00001903,0.28483445,14530.81094256
20141126,0.00001903,0.00002020,0.00001520,0.00001572,0.41568621,23403.30168722
20141127,0.00001861,0.00002502,0.00001550,0.00001602,0.66604762,31126.48574065
20141128,0.00001804,0.00002298,0.00001714,0.00001800,0.20254625,10775.48611859
20141129,0.00001920,0.00002690,0.00001801,0.00002450,2.27496554,95327.79877854
20141130,0.00002450,0.00002528,0.00002215,0.00002215,0.30638370,13456.53762861
20141201,0.00002215,0.00002343,0.00002100,0.00002153,0.49357610,22869.29193129
20141202,0.00002154,0.00003428,0.00002153,0.00003298,1.43386814,53117.93527112
20141203,0.00003298,0.00004735,0.00003041,0.00004550,6.89882026,159892.18006170
20141204,0.00004550,0.00004551,0.00002497,0.00002910,11.76053050,366309.67862989
20141205,0.00002937,0.00003899,0.00002900,0.00003700,4.18828015,122735.92712199
20141206,0.00003702,0.00004720,0.00003484,0.00003894,4.06894384,104373.88746756
20141207,0.00003895,0.00004200,0.00002750,0.00003311,7.23157105,214475.34309556
20141208,0.00003157,0.00003699,0.00003156,0.00003500,1.87103173,54904.63673843
20141209,0.00003500,0.00003599,0.00003226,0.00003310,1.10897504,32217.90980089
20141210,0.00003310,0.00004303,0.00003300,0.00003641,1.80683741,45256.04524320
20141211,0.00003641,0.00004137,0.00003641,0.00003645,1.01989798,25696.21159862
20141212,0.00003645,0.00004137,0.00003640,0.00004130,1.25989336,31568.06863451
20141213,0.00003857,0.00004304,0.00003600,0.00003676,1.37687446,35526.12614749
20141214,0.00003966,0.00004700,0.00003502,0.00003502,1.78504375,45931.25923240
20141215,0.00003504,0.00004298,0.00003210,0.00003600,1.75375827,46011.57634300
20141216,0.00003633,0.00003958,0.00003277,0.00003489,1.89119912,54502.52159260
20141217,0.00003490,0.00004000,0.00003000,0.00003684,2.98951238,89907.07307017
20141218,0.00003300,0.00003788,0.00003000,0.00003146,0.69399419,22313.06950809
20141219,0.00003032,0.00003032,0.00002600,0.00003000,0.40932055,14517.84781629
20141220,0.00003001,0.00003050,0.00002800,0.00002800,0.39887032,13655.81318131
20141221,0.00002608,0.00002899,0.00002253,0.00002259,0.53157140,20757.79288309
20141222,0.00002322,0.00002555,0.00002254,0.00002254,0.17838059,7708.99792097
20141223,0.00002254,0.00002692,0.00002248,0.00002248,0.75225382,33215.48564876
20141224,0.00002248,0.00002248,0.00001810,0.00002005,0.26342049,13729.86968474
20141225,0.00002005,0.00002013,0.00001875,0.00001878,0.08353211,4404.58331724
20141226,0.00001878,0.00002899,0.00001876,0.00001990,0.31529315,15027.85022761
20141227,0.00001990,0.00002898,0.00001990,0.00002133,0.30484451,12665.67577152
20141228,0.00002133,0.00002133,0.00001901,0.00001911,0.09218303,4636.63553617
20141229,0.00001911,0.00002057,0.00001566,0.00001639,1.04688880,56659.13618494
20141230,0.00001626,0.00002015,0.00001563,0.00002002,1.44051732,79763.03511207
20141231,0.00002003,0.00002898,0.00001745,0.00002015,0.79278064,36918.70185139
20150101,0.00001980,0.00002899,0.00001720,0.00001721,0.24213368,9961.53375477
20150102,0.00001721,0.00001900,0.00001669,0.00001875,0.21053709,11621.30256249
20150103,0.00001888,0.00002779,0.00001888,0.00001964,0.43051893,18238.34103950
20150104,0.00001964,0.00002300,0.00001890,0.00001926,0.27484816,13634.06010638
20150105,0.00001926,0.00002599,0.00001900,0.00001918,0.33359066,15736.56470858
20150106,0.00002216,0.00002498,0.00001902,0.00002230,0.21484510,10489.79786561
20150107,0.00002231,0.00003000,0.00002111,0.00002302,4.21903414,152723.97037169
20150108,0.00002305,0.00003001,0.00002237,0.00002775,0.90068715,32281.64962016
20150109,0.00002775,0.00003348,0.00002500,0.00002527,2.03695443,75463.94166907
20150110,0.00002527,0.00002826,0.00002252,0.00002457,1.08038911,41812.44697457
20150111,0.00002457,0.00002947,0.00002401,0.00002764,0.71479474,26150.46003638
20150112,0.00002764,0.00002930,0.00002025,0.00002167,0.87406674,35035.76204135
20150113,0.00002449,0.00002553,0.00001750,0.00001906,2.42561128,123503.57642966
20150114,0.00001973,0.00002519,0.00001701,0.00002013,0.17471867,8173.49539255
20150115,0.00002013,0.00002520,0.00001901,0.00001949,1.09675795,52687.18434363
20150116,0.00002000,0.00002150,0.00001800,0.00001856,0.82849916,40674.81015056
20150117,0.00001851,0.00002199,0.00001800,0.00001951,0.37895750,19495.44158189
20150118,0.00001950,0.00002124,0.00001851,0.00001903,0.85529938,43202.62405598
20150119,0.00001902,0.00002490,0.00001857,0.00002180,1.22883770,57653.03228891
20150120,0.00001972,0.00002408,0.00001954,0.00002011,2.02424681,92792.11496778
20150121,0.00002011,0.00002275,0.00001914,0.00002004,0.44747053,22448.08727221
20150122,0.00002025,0.00002475,0.00002025,0.00002080,0.80701588,35124.31217036
20150123,0.00002080,0.00002080,0.00001975,0.00001975,0.25822767,12805.91370801
20150124,0.00001975,0.00002324,0.00001975,0.00002299,0.31349304,14395.70357967
20150125,0.00002081,0.00002300,0.00002028,0.00002030,0.41138069,19619.16713826
20150126,0.00002030,0.00002299,0.00001757,0.00001757,1.59243986,76595.79492497
20150127,0.00001874,0.00002300,0.00001776,0.00001828,0.49501228,24527.76662594
20150128,0.00001828,0.00002144,0.00001828,0.00002000,0.19958648,10512.77786367
20150129,0.00001889,0.00002144,0.00001861,0.00001861,0.37885935,18375.69086539
20150130,0.00001861,0.00002025,0.00001735,0.00001735,0.58060746,32082.80761634
20150131,0.00001775,0.00001991,0.00001705,0.00001935,0.21313274,11146.26108077
20150201,0.00001900,0.00002040,0.00001764,0.00001941,0.26266649,13536.71130408
20150202,0.00001974,0.00001984,0.00001780,0.00001805,0.15472916,8096.77150176
20150203,0.00001979,0.00001984,0.00001701,0.00001706,0.42675798,23529.26452442
20150204,0.00001708,0.00001830,0.00001707,0.00001707,0.21108456,12270.84756860
20150205,0.00001719,0.00001874,0.00001718,0.00001718,0.14046387,8097.38789596
20150206,0.00001854,0.00002220,0.00001700,0.00002220,1.13537361,58127.92784173
20150207,0.00002095,0.00002250,0.00001891,0.00001892,0.71767538,34361.11291753
20150208,0.00001900,0.00002094,0.00001804,0.00001993,0.25689122,13393.74083334
20150209,0.00001831,0.00002775,0.00001707,0.00001707,2.80876501,134348.50605811
20150210,0.00001751,0.00003200,0.00001751,0.00002771,2.21833941,92312.82574296
20150211,0.00002517,0.00003162,0.00001852,0.00002028,3.55820591,165780.62810392
20150212,0.00002096,0.00003333,0.00002096,0.00002805,6.91640851,263172.69731696
20150213,0.00002546,0.00002799,0.00002200,0.00002204,4.97202678,207908.69794405
20150214,0.00002488,0.00002645,0.00002204,0.00002236,1.01345224,41647.59903964
20150215,0.00002238,0.00002238,0.00001854,0.00001897,1.13914775,55068.07643107
20150216,0.00001896,0.00002114,0.00001876,0.00001942,0.74778147,38338.91870339
20150217,0.00001942,0.00002055,0.00001922,0.00001925,1.37143992,70854.92480769
20150218,0.00001925,0.00002210,0.00001903,0.00002003,1.34345561,66793.84144687
20150219,0.00001987,0.00002300,0.00001903,0.00002223,0.99282683,47091.20516763
20150220,0.00002223,0.00002687,0.00002222,0.00002389,1.79503418,72365.05086091
20150221,0.00002384,0.00002600,0.00002306,0.00002381,0.90245447,37353.37716553
20150222,0.00002382,0.00003002,0.00002307,0.00002307,3.95150346,146526.07412508
20150223,0.00002315,0.00002522,0.00002151,0.00002517,2.76095243,118744.81915697
20150224,0.00002518,0.00002518,0.00002000,0.00002001,1.66923536,78045.04667097
20150225,0.00002001,0.00002298,0.00001951,0.00001951,3.50389992,170067.02425035
20150226,0.00001952,0.00001957,0.00001865,0.00001950,0.39279659,20297.83734881
20150227,0.00001866,0.00002051,0.00001850,0.00001922,0.41919608,21629.53571404
20150228,0.00001922,0.00001990,0.00001811,0.00001812,1.12328715,59483.25492021
20150301,0.00001811,0.00002019,0.00001735,0.00001918,0.41499011,22020.96011532
20150302,0.00001908,0.00002135,0.00001741,0.00001851,1.30162036,64279.61051777
20150303,0.00001851,0.00001995,0.00001851,0.00001860,0.25954375,13376.68474215
20150304,0.00001860,0.00001898,0.00001851,0.00001851,0.29782897,16055.78474697
20150305,0.00001851,0.00001937,0.00001705,0.00001850,0.91553737,51412.02495344
20150306,0.00001856,0.00001988,0.00001722,0.00001801,0.84638148,45876.42727460
20150307,0.00001751,0.00001980,0.00001725,0.00001899,0.23691647,12653.64339601
20150308,0.00001809,0.00001900,0.00001725,0.00001899,0.92944664,51872.88046125
20150309,0.00001766,0.00001880,0.00001650,0.00001681,0.76329808,43995.43336840
20150310,0.00001667,0.00001695,0.00001122,0.00001559,1.33914414,91730.10651816
20150311,0.00001301,0.00001398,0.00001200,0.00001388,0.35715922,28322.87940756
20150312,0.00001215,0.00001396,0.00001202,0.00001311,0.47284151,38740.48049067
20150313,0.00001313,0.00001424,0.00001313,0.00001424,0.81937576,60018.01324391
20150314,0.00001356,0.00001959,0.00001331,0.00001558,0.99582122,68884.83182737
20150315,0.00001558,0.00002075,0.00001558,0.00001700,2.36639070,120354.93919729
20150316,0.00001956,0.00002052,0.00001746,0.00001759,0.95836925,49058.44408693
20150317,0.00001760,0.00002081,0.00001746,0.00002081,0.77316550,39178.68806628
20150318,0.00002071,0.00002100,0.00001210,0.00001225,3.74496250,243976.08217186
20150319,0.00001210,0.00002000,0.00001202,0.00001688,4.36428741,274904.50509735
20150320,0.00001688,0.00001894,0.00001687,0.00001884,2.42844212,138376.82207682
20150321,0.00001885,0.00001898,0.00001690,0.00001694,0.96520028,56057.69249645
20150322,0.00001700,0.00001728,0.00001500,0.00001540,1.60443903,98417.58171305
20150323,0.00001527,0.00001750,0.00001527,0.00001586,2.30720823,139355.82412878
20150324,0.00001628,0.00002090,0.00001628,0.00002050,7.76112059,414424.14950882
20150325,0.00002043,0.00002177,0.00001858,0.00002091,10.95874869,523415.49616678
20150326,0.00002153,0.00002317,0.00002000,0.00002057,6.43355722,290583.85297201
20150327,0.00002007,0.00002289,0.00001915,0.00002156,4.12893934,191035.88825110
20150328,0.00002094,0.00002876,0.00002000,0.00002404,7.04603146,282112.74162544
20150329,0.00002411,0.00002889,0.00002101,0.00002650,3.89405770,159371.73074839
20150330,0.00002650,0.00002650,0.00002106,0.00002309,2.92183900,127704.04139925
20150331,0.00002309,0.00002471,0.00002153,0.00002350,5.11352855,212327.88081538
