[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140405,0.00000220,0.00001250,0.00000200,0.00000524,7.22308966,1444633.12862782
20140406,0.00000524,0.00000640,0.00000167,0.00000375,8.02993113,2045355.14805757
20140407,0.00000375,0.00000380,0.00000091,0.00000091,3.04852921,1058638.53752925
20140408,0.00000091,0.00000249,0.00000088,0.00000230,2.92812008,1758709.90398551
20140409,0.00000235,0.00000299,0.00000120,0.00000204,6.79092233,2916497.23152813
20140410,0.00000201,0.00000599,0.00000126,0.00000286,31.65511188,9105127.29022092
20140411,0.00000288,0.00000425,0.00000282,0.00000301,8.50362209,2458282.10698137
20140412,0.00000301,0.00000419,0.00000200,0.00000250,11.62216481,4266999.94282184
20140413,0.00000236,0.00000250,0.00000140,0.00000163,4.55547979,2342988.66103821
20140414,0.00000165,0.00000214,0.00000132,0.00000176,5.87449991,3553555.58712296
20140415,0.00000177,0.00000180,0.00000126,0.00000171,3.60088124,2457595.88690566
20140416,0.00000171,0.00000171,0.00000123,0.00000123,1.45669065,1030312.35987688
20140417,0.00000123,0.00000176,0.00000101,0.00000130,2.35693330,1531436.87916891
20140418,0.00000126,0.00000176,0.00000110,0.00000140,1.04203351,703609.15510623
20140419,0.00000139,0.00000155,0.00000095,0.00000110,1.21875814,951584.68632682
20140420,0.00000110,0.00000160,0.00000100,0.00000150,0.50313090,404415.84940522
20140421,0.00000103,0.00000145,0.00000100,0.00000101,0.35282277,304844.52143862
20140422,0.00000100,0.00000145,0.00000100,0.00000127,0.90072315,687729.62701518
20140423,0.00000127,0.00000299,0.00000115,0.00000151,6.00064177,2485804.24527375
20140424,0.00000152,0.00000234,0.00000151,0.00000183,1.19849911,661025.34378774
20140425,0.00000219,0.00000300,0.00000176,0.00000246,3.64862952,1351211.44136630
20140426,0.00000267,0.00000399,0.00000176,0.00000299,3.58629908,1256382.12883501
20140427,0.00000281,0.00000281,0.00000191,0.00000195,1.58694509,712782.12329070
20140428,0.00000194,0.00000199,0.00000161,0.00000199,1.51737987,835596.58915138
20140429,0.00000197,0.00000199,0.00000160,0.00000170,0.65416715,386653.19940486
20140430,0.00000170,0.00000179,0.00000160,0.00000173,0.43105725,256465.83177933
20140501,0.00000173,0.00000185,0.00000160,0.00000182,1.17150167,660820.87144066
20140502,0.00000182,0.00000182,0.00000163,0.00000173,1.12887382,666485.42050822
20140503,0.00000165,0.00000186,0.00000159,0.00000176,2.43968970,1377355.83646151
20140504,0.00000175,0.00000175,0.00000150,0.00000160,1.40496336,890517.17864300
20140505,0.00000160,0.00000160,0.00000136,0.00000137,0.77799775,526668.95361613
20140506,0.00000137,0.00000174,0.00000120,0.00000154,1.93661383,1285269.82118704
20140507,0.00000155,0.00000184,0.00000137,0.00000178,2.43360944,1467929.91194883
20140508,0.00000168,0.00000175,0.00000150,0.00000152,1.60008708,971954.47900293
20140509,0.00000152,0.00000275,0.00000144,0.00000174,2.27977640,1211949.17366655
20140510,0.00000174,0.00000200,0.00000145,0.00000159,0.51547428,302744.56836234
