[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170622,0.50000000,0.50000000,0.00550003,0.01623000,28.08248394,1830.83793229
20170623,0.01665000,0.02587000,0.00600045,0.01689000,1500.74889033,107827.59791453
20170624,0.01662000,0.04389320,0.01550009,0.04000000,6310.69991304,202816.41188438
20170625,0.03999987,0.06949917,0.02694961,0.03430000,12814.52890114,274223.73088411
20170626,0.03490000,0.03994185,0.02060000,0.02418513,3385.78948836,119689.74488624
20170627,0.02411200,0.02580000,0.01495000,0.02061001,2484.81139426,127715.37401678
20170628,0.02072000,0.02299998,0.01820000,0.02080450,1568.89677697,76194.96606311
20170629,0.02095000,0.02100000,0.01509000,0.01700700,1159.38421499,65898.22353064
20170630,0.01710000,0.01738998,0.01150015,0.01399662,1838.39470882,130717.06801981
20170701,0.01398937,0.02927000,0.01344674,0.01864716,5044.72451147,236146.10280320
20170702,0.01861773,0.02280000,0.01675000,0.01716956,1352.53058953,71374.34972866
20170703,0.01716956,0.01900461,0.01605000,0.01639999,494.90626383,28546.93942489
20170704,0.01639990,0.01699950,0.01450022,0.01520090,693.84103704,44337.58316956
20170705,0.01520001,0.01631400,0.01450000,0.01485240,303.13195340,19872.16250519
20170706,0.01485239,0.01511233,0.01260000,0.01390433,532.07346611,39047.74693367
20170707,0.01389335,0.01416914,0.00855000,0.01161015,481.22321489,39909.88769598
20170708,0.01162016,0.01233894,0.00932387,0.01080000,298.81843119,28024.79327010
20170709,0.01080000,0.01200070,0.01060000,0.01129995,208.00983480,18606.93443488
20170710,0.01129996,0.01264149,0.00912500,0.01025930,269.58049087,25413.07278368
20170711,0.00965117,0.01121078,0.00801008,0.00899008,229.93800183,25477.40406878
20170712,0.00898956,0.01400000,0.00820093,0.01290000,593.97213272,51052.90031700
20170713,0.01290000,0.01300000,0.01100000,0.01145257,179.51496788,14783.75975182
20170714,0.01130683,0.01180000,0.00900000,0.01046526,172.79672505,16472.27220931
20170715,0.01046527,0.01123230,0.00924540,0.00950560,119.74774252,11980.97258019
20170716,0.00981496,0.00988895,0.00900000,0.00910020,91.52079971,9676.90378951
20170717,0.00910801,0.01027855,0.00910020,0.01020213,104.46721160,10661.42307780
20170718,0.01027837,0.01249547,0.00952906,0.01103663,216.25526429,20234.06739057
20170719,0.01090735,0.01581570,0.01045000,0.01240000,820.63854169,60353.03450561
20170720,0.01249964,0.01500010,0.01170000,0.01265518,354.82250932,25891.09234883
20170721,0.01267304,0.01399999,0.01235001,0.01280000,109.57702747,8379.61342924
20170722,0.01280000,0.01500000,0.01260500,0.01299966,306.70304523,22509.40999072
20170723,0.01293502,0.01330900,0.01162104,0.01193804,170.62428462,13397.80853786
20170724,0.01199694,0.01310000,0.01151000,0.01221900,184.72706007,15152.61588247
20170725,0.01221900,0.01221900,0.01000000,0.01076633,161.69498080,14515.20383621
20170726,0.01071249,0.01160000,0.00921050,0.01071500,120.31351039,11399.67136683
20170727,0.01072636,0.01110000,0.01020113,0.01044382,49.43532897,4668.67607684
20170728,0.01039160,0.01081000,0.00852960,0.00910000,70.26281469,7509.35480996
20170729,0.00900275,0.00961023,0.00900274,0.00951897,38.96586524,4164.19402022
20170730,0.00952093,0.01017487,0.00910000,0.00969490,41.49475822,4296.58712256
20170731,0.00949644,0.00969566,0.00884623,0.00899334,46.81812521,5113.17146824
20170801,0.00899375,0.01119480,0.00882374,0.00958568,107.05777570,10764.06041342
20170802,0.00958579,0.01108004,0.00911005,0.00969984,192.42683033,19476.75356942
