[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170417,0.10050007,0.10050007,0.00012500,0.00018900,1.06327416,4021.38608419
20170418,0.00018900,0.00018900,0.00009700,0.00010325,10.12931642,91491.84637231
20170419,0.00010252,0.00011488,0.00006002,0.00009170,8.23926411,84630.47263683
20170420,0.00009540,0.00011098,0.00008225,0.00009000,5.50496713,57954.82029071
20170421,0.00009106,0.00010677,0.00008745,0.00009055,2.81434753,30415.74516393
20170422,0.00009040,0.00010311,0.00008760,0.00008760,1.47616846,16137.71795056
20170423,0.00008760,0.00009159,0.00008225,0.00008497,1.45033023,16825.10773966
20170424,0.00008362,0.00009000,0.00007504,0.00008239,1.84113670,22541.03129822
20170425,0.00008286,0.00010685,0.00007509,0.00008100,5.28450540,60909.77597769
20170426,0.00008485,0.00008668,0.00007959,0.00008628,2.01236342,24591.96374383
20170427,0.00008396,0.00009400,0.00008050,0.00009097,5.14193734,60293.86595948
20170428,0.00008961,0.00011000,0.00008600,0.00008900,5.24646055,51017.93349500
20170429,0.00008814,0.00009006,0.00008499,0.00008501,2.57425369,29457.19365128
20170430,0.00008889,0.00009085,0.00008601,0.00008650,1.25938539,14254.24774547
20170501,0.00008914,0.00008914,0.00007228,0.00008470,3.40065272,41879.42946570
20170502,0.00008520,0.00008911,0.00006051,0.00007967,7.83195063,102795.21893510
20170503,0.00007571,0.00007997,0.00007001,0.00007210,2.21002471,29407.47360102
20170504,0.00007434,0.00007973,0.00006381,0.00007414,2.78859877,38254.85267742
20170505,0.00007152,0.00007999,0.00006512,0.00007998,3.89208148,50352.93357599
20170506,0.00007661,0.00009385,0.00006004,0.00008122,2.90498380,37455.87102425
20170507,0.00008122,0.00009000,0.00007605,0.00007605,3.59122019,42501.02916596
20170508,0.00007612,0.00008599,0.00007211,0.00007918,2.25257248,29580.26959209
20170509,0.00007917,0.00008575,0.00006701,0.00007331,4.12601121,57395.26647921
20170510,0.00007277,0.00007500,0.00006724,0.00007299,1.16817875,16690.78739237
20170511,0.00007299,0.00008300,0.00007036,0.00007426,0.42140301,5635.04381211
20170512,0.00007380,0.00009495,0.00007380,0.00009495,3.75953847,43974.87085187
20170513,0.00009125,0.00010491,0.00008457,0.00008999,3.14900313,34002.14337566
20170514,0.00009502,0.00010282,0.00008658,0.00010263,0.51992018,5706.86925972
20170515,0.00010197,0.00010244,0.00009099,0.00009974,0.17641416,1793.94875293
20170516,0.00009970,0.00010000,0.00006701,0.00008582,3.10069956,37775.20089104
20170517,0.00008679,0.00010296,0.00007143,0.00009507,7.07498650,79056.55135877
20170518,0.00009287,0.00009509,0.00007828,0.00008839,2.70878764,31180.36352027
20170519,0.00008848,0.00010063,0.00008408,0.00008742,7.05286323,75881.75949193
20170520,0.00008660,0.00009962,0.00008660,0.00008900,2.21995588,24253.80152374
20170521,0.00008838,0.00009969,0.00008564,0.00009325,2.22609216,23682.37294795
20170522,0.00009325,0.00009969,0.00007515,0.00009033,18.97297587,234205.76875642
20170523,0.00009227,0.00010585,0.00009115,0.00010297,5.23302792,52950.57141060
20170524,0.00010301,0.00012500,0.00008831,0.00012173,35.42562684,309796.81346948
20170525,0.00011773,0.00011773,0.00007200,0.00008700,18.35395293,218107.38027760
20170526,0.00008718,0.00012000,0.00008707,0.00009705,7.03959656,72322.89210636
