[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150125,0.00001100,0.00002700,0.00001100,0.00001756,28.74409110,1441656.34082937
20150126,0.00001861,0.00001970,0.00000763,0.00000837,8.13519879,615709.89663068
20150127,0.00000853,0.00001326,0.00000819,0.00001063,5.79930026,542642.14656922
20150128,0.00001064,0.00001064,0.00000760,0.00000801,2.59265618,286878.39818649
20150129,0.00000772,0.00001130,0.00000753,0.00000871,2.72793071,285604.50989725
20150130,0.00000850,0.00000950,0.00000611,0.00000749,3.01233935,413931.55032634
20150131,0.00000749,0.00000998,0.00000662,0.00000882,4.36703172,519474.65084379
20150201,0.00000805,0.00000826,0.00000589,0.00000693,4.33066196,633444.73666395
20150202,0.00000692,0.00000777,0.00000650,0.00000665,1.21954034,177290.88356603
20150203,0.00000665,0.00000715,0.00000664,0.00000715,0.70294740,102398.70896784
20150204,0.00000678,0.00000734,0.00000633,0.00000673,0.58923698,87918.63707408
20150205,0.00000640,0.00000716,0.00000553,0.00000600,2.84694014,459227.95141846
20150206,0.00000600,0.00000600,0.00000502,0.00000578,1.48215155,285322.21996185
20150207,0.00000477,0.00000598,0.00000455,0.00000598,1.11102140,227559.91414780
20150208,0.00000566,0.00000656,0.00000471,0.00000537,1.35496236,251755.54619116
20150209,0.00000538,0.00000699,0.00000536,0.00000576,3.63404935,613499.78935835
20150210,0.00000556,0.00000640,0.00000550,0.00000564,0.63255168,111520.26123913
20150211,0.00000577,0.00000577,0.00000485,0.00000485,0.39637244,75188.50821121
20150212,0.00000490,0.00000529,0.00000485,0.00000500,0.11849197,24090.61823251
20150213,0.00000529,0.00000669,0.00000529,0.00000550,0.91367762,158252.61095644
20150214,0.00000615,0.00000899,0.00000600,0.00000700,4.56778846,647013.01133932
20150215,0.00000683,0.00001453,0.00000683,0.00000915,31.55932989,3177648.68797303
20150216,0.00000920,0.00001088,0.00000675,0.00000676,4.64011936,551060.46924664
20150217,0.00000688,0.00000947,0.00000683,0.00000761,1.87260400,237006.15278491
20150218,0.00000878,0.00000992,0.00000815,0.00000992,1.80188327,191895.77863680
20150219,0.00000904,0.00001799,0.00000903,0.00001562,15.52876487,1123654.61222463
20150220,0.00001777,0.00002110,0.00001100,0.00001900,20.44567119,1228328.08440438
20150221,0.00001900,0.00001900,0.00001109,0.00001711,10.44147987,712046.36376599
20150222,0.00001583,0.00001813,0.00001170,0.00001719,15.42646110,1011337.09905811
20150223,0.00001699,0.00001734,0.00001301,0.00001374,8.42198411,551601.20835624
20150224,0.00001399,0.00001581,0.00001000,0.00001307,3.82886319,321932.98701146
20150225,0.00001026,0.00001199,0.00000855,0.00000855,3.97842185,406645.54928728
20150226,0.00000976,0.00001022,0.00000702,0.00000910,2.24584975,287809.55025335
20150227,0.00000969,0.00001049,0.00000873,0.00000874,0.78051948,77564.63493125
20150228,0.00000998,0.00001074,0.00000733,0.00001074,0.56031479,66190.06008944
20150301,0.00001070,0.00001070,0.00000882,0.00001025,0.32294426,35777.75211445
20150302,0.00000999,0.00000999,0.00000777,0.00000800,1.10541892,135766.77054826
20150303,0.00000870,0.00000870,0.00000610,0.00000634,2.48153981,347599.86824914
20150304,0.00000653,0.00000674,0.00000636,0.00000651,0.52529999,80875.78421438
20150305,0.00000654,0.00000661,0.00000640,0.00000650,0.38303719,59367.83357986
20150306,0.00000643,0.00000800,0.00000642,0.00000795,0.69386177,92185.93961052
20150307,0.00000706,0.00000706,0.00000645,0.00000661,0.32504588,48427.72160629
20150308,0.00000667,0.00000667,0.00000640,0.00000640,1.67214078,257294.29964574
20150309,0.00000680,0.00000740,0.00000510,0.00000692,3.40330077,570186.33157457
20150310,0.00000693,0.00000693,0.00000470,0.00000547,1.84922354,348041.95411073
20150311,0.00000547,0.00000547,0.00000516,0.00000522,0.06576660,12557.63806085
20150312,0.00000535,0.00000597,0.00000486,0.00000507,0.25770958,49509.32925689
20150313,0.00000557,0.00000600,0.00000422,0.00000422,1.15877173,230519.35785564
20150314,0.00000527,0.00000573,0.00000361,0.00000573,1.13437752,239943.44596993
20150315,0.00000573,0.00001100,0.00000500,0.00000900,5.47117933,680873.44884745
20150316,0.00000960,0.00001100,0.00000820,0.00001002,4.33724677,465420.05416265
20150317,0.00000987,0.00000997,0.00000853,0.00000989,1.23321898,129775.42656205
20150318,0.00000990,0.00000994,0.00000580,0.00000678,3.37474051,430231.54032560
20150319,0.00000756,0.00000828,0.00000612,0.00000672,0.83786681,116184.23141087
20150320,0.00000684,0.00000805,0.00000684,0.00000797,0.35334811,47190.44169272
20150321,0.00000720,0.00000720,0.00000635,0.00000696,0.41877609,59247.44211235
20150322,0.00000641,0.00000690,0.00000619,0.00000662,0.24767226,39260.45526221
20150323,0.00000662,0.00000697,0.00000385,0.00000582,3.79903148,747072.04275270
20150324,0.00000565,0.00000667,0.00000500,0.00000630,1.05659625,187350.43140702
20150325,0.00000603,0.00000603,0.00000505,0.00000519,0.46962606,87749.05107043
20150326,0.00000519,0.00000920,0.00000519,0.00000848,5.07838782,665131.85161447
20150327,0.00000744,0.00000826,0.00000590,0.00000618,1.57108132,235685.74182633
20150328,0.00000590,0.00000626,0.00000475,0.00000611,3.93608269,718454.34542792
20150329,0.00000611,0.00000611,0.00000476,0.00000548,2.70277255,510238.38628610
20150330,0.00000505,0.00000580,0.00000500,0.00000580,0.28296030,55664.86713722
20150331,0.00000517,0.00000607,0.00000489,0.00000511,2.05214976,402662.05730832
20150401,0.00000558,0.00000700,0.00000555,0.00000597,1.91336719,316629.99623130
20150402,0.00000598,0.00000608,0.00000490,0.00000490,2.18709216,390241.56169833
20150403,0.00000511,0.00000554,0.00000499,0.00000533,0.25910301,50269.17368086
20150404,0.00000533,0.00000533,0.00000498,0.00000498,0.25081326,49644.00000000
20150405,0.00000506,0.00000551,0.00000500,0.00000551,0.29029212,56490.24999410
20150406,0.00000559,0.00000600,0.00000502,0.00000516,1.48747802,262094.14769838
20150407,0.00000529,0.00000577,0.00000529,0.00000577,0.18712437,34674.60552223
20150408,0.00000573,0.00000599,0.00000508,0.00000584,1.05770122,191106.60009705
20150409,0.00000581,0.00000641,0.00000514,0.00000592,2.76429211,494861.69454830
20150410,0.00000583,0.00000611,0.00000532,0.00000532,0.70039205,128154.83700036
20150411,0.00000546,0.00000605,0.00000528,0.00000602,0.27211276,49105.77752653
20150412,0.00000538,0.00000699,0.00000527,0.00000610,3.27251400,527814.69916191
20150413,0.00000612,0.00000710,0.00000580,0.00000665,1.96713493,301644.12544016
20150414,0.00000632,0.00000723,0.00000620,0.00000680,1.05844226,156151.62766310
20150415,0.00000681,0.00000759,0.00000681,0.00000730,1.38760770,191130.83139620
20150416,0.00000730,0.00000950,0.00000696,0.00000861,17.03517875,2063529.20092799
20150417,0.00000822,0.00000909,0.00000660,0.00000702,7.65847957,1037342.94277083
20150418,0.00000835,0.00000837,0.00000660,0.00000743,1.09565249,148902.88299566
20150419,0.00000707,0.00000716,0.00000655,0.00000715,1.99880544,298470.61291029
20150420,0.00000678,0.00000686,0.00000600,0.00000600,1.29397758,208399.35244909
20150421,0.00000592,0.00000978,0.00000560,0.00000978,6.08938174,727953.61417330
20150422,0.00000977,0.00001745,0.00000676,0.00001000,5.13962745,581440.23684719
20150423,0.00000996,0.00000999,0.00000640,0.00000665,0.92721166,121709.53422598
20150424,0.00000778,0.00000997,0.00000710,0.00000984,3.73021296,409379.50542375
20150425,0.00000852,0.00001011,0.00000802,0.00000825,0.90933885,97659.76566929
20150426,0.00000884,0.00001100,0.00000815,0.00000851,2.19866992,240777.10811076
20150427,0.00000852,0.00001142,0.00000731,0.00000999,14.45458549,1558912.75183199
20150428,0.00000996,0.00001006,0.00000812,0.00000831,1.18216262,124549.10567189
20150429,0.00000835,0.00000980,0.00000704,0.00000816,3.78957968,493106.90485972
20150430,0.00000830,0.00000830,0.00000719,0.00000784,0.77273621,100663.03816575
20150501,0.00000722,0.00000724,0.00000599,0.00000716,3.24280920,492822.51840680
20150502,0.00000650,0.00000686,0.00000564,0.00000623,0.64669967,104108.72132499
20150503,0.00000622,0.00000670,0.00000601,0.00000601,0.18731649,30953.09856208
20150504,0.00000667,0.00000667,0.00000523,0.00000628,0.77964300,139041.20170447
20150505,0.00000544,0.00000705,0.00000540,0.00000705,1.35333092,217151.65897409
20150506,0.00000571,0.00000613,0.00000560,0.00000601,0.78157023,131624.51785560
20150507,0.00000694,0.00000911,0.00000694,0.00000837,5.73255160,725247.62162921
20150508,0.00000837,0.00000990,0.00000752,0.00000976,18.82695034,2187748.22918755
20150509,0.00000969,0.00000970,0.00000800,0.00000806,0.64145546,74405.24368179
20150510,0.00000800,0.00000800,0.00000740,0.00000740,1.72600644,230578.24966656
20150511,0.00000741,0.00000741,0.00000716,0.00000716,0.20396030,27829.24242424
20150512,0.00000716,0.00000722,0.00000716,0.00000722,0.12431671,17344.44798564
20150513,0.00000721,0.00000721,0.00000676,0.00000676,1.31125373,185436.34198588
20150514,0.00000679,0.00000679,0.00000601,0.00000602,4.55416713,711906.49050163
20150515,0.00000620,0.00000620,0.00000585,0.00000585,0.36571737,61775.07971011
20150516,0.00000615,0.00000616,0.00000600,0.00000600,0.14710734,24403.00548295
20150517,0.00000648,0.00000648,0.00000587,0.00000587,0.00298460,495.91024769
20150518,0.00000587,0.00000646,0.00000570,0.00000576,1.20276078,208073.17314409
20150519,0.00000575,0.00000638,0.00000480,0.00000556,4.27221930,805255.96581045
20150520,0.00000497,0.00000609,0.00000490,0.00000609,0.20520828,40461.00518582
20150521,0.00000504,0.00000585,0.00000501,0.00000507,0.37464506,68512.49938848
20150522,0.00000600,0.00000911,0.00000600,0.00000829,5.04649772,618424.34293250
20150523,0.00000813,0.00000813,0.00000642,0.00000642,0.24070902,34537.80447960
20150524,0.00000704,0.00000911,0.00000550,0.00000550,5.84551276,864228.11415426
20150525,0.00000550,0.00000708,0.00000547,0.00000602,0.11780102,19825.47387446
20150526,0.00000602,0.00000738,0.00000305,0.00000320,8.44313263,1846763.34896428
20150527,0.00000434,0.00000520,0.00000320,0.00000380,1.41413929,355187.71661938
20150528,0.00000366,0.00000417,0.00000330,0.00000342,0.52401625,137528.00722887
20150529,0.00000336,0.00000436,0.00000333,0.00000376,0.29126718,81191.34477166
20150530,0.00000348,0.00000348,0.00000345,0.00000348,0.11334345,32614.13421645
20150531,0.00000366,0.00000366,0.00000350,0.00000360,0.15045205,41933.46134612
20150601,0.00000392,0.00000394,0.00000361,0.00000366,0.15100995,40893.01106599
20150602,0.00000368,0.00000368,0.00000367,0.00000367,0.08096249,22047.00000000
20150603,0.00000380,0.00000381,0.00000380,0.00000380,0.15645914,41170.00000000
20150604,0.00000381,0.00000507,0.00000380,0.00000431,0.31672758,79032.93430782
20150605,0.00000402,0.00000620,0.00000402,0.00000620,1.48471418,264574.53628972
20150606,0.00000560,0.00000614,0.00000401,0.00000453,0.24485851,50519.03693163
20150607,0.00000422,0.00000566,0.00000421,0.00000566,0.06590768,14219.37862606
20150608,0.00000459,0.00000511,0.00000390,0.00000447,0.64652253,157396.93345017
20150609,0.00000406,0.00000442,0.00000350,0.00000404,1.52443138,404635.11009413
20150610,0.00000400,0.00000454,0.00000400,0.00000454,0.36935553,84679.98531938
20150611,0.00000453,0.00000619,0.00000372,0.00000372,0.90143311,173416.07250902
20150612,0.00000534,0.00000535,0.00000420,0.00000420,0.06581637,14290.65217053
20150613,0.00000406,0.00000406,0.00000390,0.00000390,0.30133905,76847.68103275
20150614,0.00000391,0.00000459,0.00000385,0.00000459,0.10181464,26062.00000000
20150615,0.00000430,0.00000441,0.00000390,0.00000441,0.22080430,53326.17117173
20150616,0.00000400,0.00000400,0.00000389,0.00000389,0.46188074,117423.23013886
20150617,0.00000440,0.00000605,0.00000391,0.00000600,1.05452676,201088.27858885
20150618,0.00000538,0.00000611,0.00000482,0.00000482,0.67303014,116355.01663374
20150619,0.00000496,0.00000599,0.00000429,0.00000597,0.45920947,91607.89923900
20150620,0.00000595,0.00000607,0.00000510,0.00000602,1.07224174,180518.09971178
20150621,0.00000532,0.00000676,0.00000532,0.00000667,1.13062258,175358.39916332
20150622,0.00000663,0.00000785,0.00000576,0.00000785,2.70229041,381279.68049019
20150623,0.00000785,0.00000802,0.00000625,0.00000640,1.77372650,256615.35761210
20150624,0.00000637,0.00000924,0.00000637,0.00000904,10.66023129,1259930.58199870
20150625,0.00000848,0.00000940,0.00000807,0.00000868,4.92088073,544044.04447639
20150626,0.00000872,0.00000978,0.00000861,0.00000978,6.22403310,655140.81237494
20150627,0.00000979,0.00001148,0.00000872,0.00000993,11.74792113,1118456.53388233
20150628,0.00000993,0.00001050,0.00000692,0.00000692,5.16821615,625558.23716905
20150629,0.00000701,0.00000894,0.00000682,0.00000795,2.82232136,374888.74808918
20150630,0.00000847,0.00000942,0.00000718,0.00000899,3.34582251,388794.81527036
20150701,0.00000900,0.00000929,0.00000689,0.00000928,5.73271729,705744.75411713
20150702,0.00000863,0.00000890,0.00000741,0.00000759,0.90808837,115872.40838994
20150703,0.00000798,0.00001147,0.00000750,0.00001135,36.08245032,3706268.47458611
20150704,0.00001035,0.00001134,0.00000750,0.00000857,51.20942320,5326157.27834595
