[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140307,0.00007499,0.00007499,0.00007499,0.00007499,0.16347820,2180.00000000
20140311,0.00007500,0.00007500,0.00007500,0.00007500,0.00015000,2.00000000
20140313,0.00006400,0.00006400,0.00006400,0.00006400,0.01331200,208.00000000
20140316,0.00006400,0.00006400,0.00000639,0.00000639,0.02238000,2150.00000000
20140317,0.00006400,0.00006400,0.00006400,0.00006400,0.00032000,5.00000000
20140322,0.00006000,0.00007500,0.00006000,0.00007400,0.24947000,3602.00000000
20140323,0.00007500,0.00007500,0.00007500,0.00007500,0.01537500,205.00000000
20140325,0.00007500,0.00007500,0.00007500,0.00007500,0.01800000,240.00000000
20140327,0.00005500,0.00005500,0.00005500,0.00005500,0.00550000,100.00000000
20140329,0.00005900,0.00005900,0.00005900,0.00005900,0.53100000,9000.00000000
20140330,0.00005911,0.00007500,0.00005900,0.00007500,0.35551825,5982.08800000
20140331,0.00006500,0.00006500,0.00006500,0.00006500,0.18466500,2841.00000000
20140401,0.00006500,0.00007500,0.00006500,0.00006500,0.60606998,8715.86640000
20140402,0.00006500,0.00007500,0.00006400,0.00007500,0.10419751,1596.34013333
20140403,0.00007400,0.00007500,0.00007400,0.00007500,0.33525000,4500.00000000
20140404,0.00007500,0.00007900,0.00007500,0.00007900,0.43445951,5552.79346667
20140405,0.00007900,0.00007900,0.00007900,0.00007900,0.01548358,195.99468354
20140406,0.00006500,0.00006500,0.00006500,0.00006500,0.00591500,91.00000000
20140407,0.00007900,0.00007900,0.00007900,0.00007900,0.00595970,75.43924051
20140408,0.00006500,0.00006500,0.00006500,0.00006500,0.01910098,293.86123077
20140409,0.00006500,0.00006500,0.00006500,0.00006500,0.02973242,457.42184615
20140411,0.00006499,0.00006499,0.00006499,0.00006499,0.00635874,97.84184615
20140412,0.00006499,0.00006500,0.00006499,0.00006500,0.02047193,315.00000000
20140413,0.00006500,0.00006500,0.00006500,0.00006500,0.00233147,35.86876923
20140414,0.00006500,0.00012000,0.00005555,0.00012000,0.32633893,3907.44143701
20140415,0.00012000,0.00012000,0.00006000,0.00006000,0.02100000,250.00000000
20140416,0.00006000,0.00006000,0.00006000,0.00006000,0.00010137,1.68950000
20140418,0.00004001,0.00005750,0.00004001,0.00005750,0.06041014,1082.00000000
20140419,0.00005750,0.00005760,0.00005750,0.00005760,0.00638510,111.00000000
20140421,0.00005000,0.00005000,0.00005000,0.00005000,0.03409001,681.80000000
20140424,0.00005000,0.00005000,0.00005000,0.00005000,0.00024400,4.88000000
20140425,0.00004500,0.00004500,0.00004500,0.00004500,0.04050000,900.00000000
20140426,0.00004900,0.00005148,0.00004900,0.00005148,0.26371417,5166.00950000
20140427,0.00005148,0.00005148,0.00005148,0.00005148,0.04746456,922.00000000
20140428,0.00006000,0.00006000,0.00006000,0.00006000,0.00529863,88.31050000
20140501,0.00005148,0.00005148,0.00005148,0.00005148,0.00131314,25.50784615
20140502,0.00032132,0.00032132,0.00032132,0.00032132,0.02145007,66.75611482
20140503,0.00005148,0.00005148,0.00005148,0.00005148,0.03019213,586.48265385
20140504,0.00005599,0.00005599,0.00005599,0.00005599,0.01679700,300.00000000
20140505,0.00003101,0.00003101,0.00003101,0.00003101,0.00009303,3.00000000
20140506,0.00005599,0.00006000,0.00003101,0.00003101,0.15931500,2703.51734615
20140509,0.00029999,0.00030000,0.00029999,0.00030000,0.20545726,684.88000000
20140902,0.00006000,0.00030001,0.00005798,0.00006402,3.69224032,62148.24489685
20140903,0.00006413,0.00007790,0.00005757,0.00006500,4.73521834,75985.87611769
20140904,0.00006100,0.00006344,0.00005965,0.00006070,1.94317821,31951.78702783
20140905,0.00006100,0.00007432,0.00005741,0.00006592,9.07755102,142954.96467770
20140906,0.00006636,0.00007910,0.00006636,0.00007909,3.46657356,45924.62326780
20140907,0.00007181,0.00007998,0.00007025,0.00007997,1.14630405,14964.08825449
20140908,0.00007997,0.00007997,0.00007550,0.00007775,1.75590403,22370.49389298
20140909,0.00007760,0.00008000,0.00007077,0.00007633,2.38247928,30670.07654540
20140910,0.00007733,0.00008552,0.00007079,0.00008361,2.78788038,36470.22511396
20140911,0.00008361,0.00008880,0.00008000,0.00008500,10.33262106,121886.76977233
20140912,0.00008500,0.00009181,0.00008153,0.00008700,5.60408095,63195.49898810
20140913,0.00008812,0.00009000,0.00008000,0.00008849,4.60187039,52595.42112373
20140914,0.00008849,0.00008890,0.00007830,0.00008200,1.30650507,16045.00715893
20140915,0.00008103,0.00008250,0.00007600,0.00008020,0.77591677,9786.78436047
20140916,0.00007896,0.00008494,0.00007510,0.00007976,2.17941275,26293.07577538
20140917,0.00007976,0.00008480,0.00007600,0.00007712,1.41536465,18017.19684124
20140918,0.00007521,0.00007999,0.00007040,0.00007785,1.10744769,14822.39418927
20140919,0.00007701,0.00007701,0.00007270,0.00007600,0.61636761,8265.64551242
20140920,0.00007490,0.00008250,0.00007280,0.00007300,1.37805627,18052.03358615
20140921,0.00007512,0.00007512,0.00007301,0.00007395,0.70977928,9676.02386083
20140922,0.00007399,0.00008000,0.00007313,0.00007996,1.25677211,16483.35075891
20140923,0.00007996,0.00008222,0.00007333,0.00007333,2.04394515,25726.47949684
20140924,0.00007333,0.00008000,0.00007165,0.00007493,1.61023763,21783.33896274
20140925,0.00007530,0.00008000,0.00007400,0.00007599,0.85907407,11315.83664474
20140926,0.00007598,0.00008000,0.00007410,0.00008000,2.07638025,26769.62113850
20140927,0.00007957,0.00008000,0.00007732,0.00007732,0.39844817,5125.72099680
20140928,0.00007752,0.00007999,0.00007500,0.00007708,0.63214092,8308.24844199
20140929,0.00007625,0.00007898,0.00007000,0.00007001,2.36985965,32742.12903318
20140930,0.00007178,0.00007394,0.00007083,0.00007258,0.23865610,3291.71697195
20141001,0.00007258,0.00007666,0.00007258,0.00007419,0.27273880,3667.33016462
20141002,0.00007503,0.00007503,0.00007265,0.00007406,0.13094371,1782.64642220
20141003,0.00007350,0.00007382,0.00007002,0.00007197,0.41447770,5715.84551941
20141004,0.00007048,0.00007757,0.00007048,0.00007757,0.31326965,4171.07736766
20141005,0.00007609,0.00007763,0.00007506,0.00007670,0.12719334,1655.57716952
20141006,0.00007670,0.00007890,0.00007670,0.00007889,1.42628998,18105.73154353
20141007,0.00007845,0.00007889,0.00007200,0.00007738,0.21133374,2775.96169538
20141008,0.00007738,0.00007889,0.00007400,0.00007643,1.50218785,20143.53654064
20141009,0.00007500,0.00007594,0.00006873,0.00006999,0.60960269,8605.04748954
20141010,0.00007000,0.00007325,0.00006978,0.00006987,2.14357948,29852.79063551
20141011,0.00006971,0.00007187,0.00006600,0.00006865,1.86734390,26883.78751036
20141012,0.00006865,0.00006865,0.00006511,0.00006682,0.76897155,11679.33014800
20141013,0.00006849,0.00006849,0.00005000,0.00006301,1.80435140,28513.11446560
20141014,0.00006398,0.00006658,0.00005422,0.00006378,0.61454188,9842.93145905
20141015,0.00006427,0.00006795,0.00006169,0.00006418,0.62148423,9375.86269063
20141016,0.00006418,0.00006797,0.00006218,0.00006280,0.57795583,8601.70290211
20141017,0.00006348,0.00006797,0.00005850,0.00006037,0.67292964,11012.89971926
20141018,0.00005969,0.00006798,0.00005800,0.00006012,0.60605600,10020.23380440
20141019,0.00006011,0.00006420,0.00005803,0.00005967,0.41466941,6640.98530815
20141020,0.00006090,0.00006090,0.00005800,0.00006000,2.08737727,35655.37796607
20141021,0.00005945,0.00006799,0.00005703,0.00006799,0.89197708,14922.10785205
20141022,0.00006401,0.00006799,0.00006382,0.00006382,0.74496352,11399.45780332
20141023,0.00006508,0.00007000,0.00005951,0.00006101,0.85745772,13720.89283824
20141024,0.00006152,0.00006348,0.00005950,0.00006246,1.12632511,18754.80171722
20141025,0.00006255,0.00006924,0.00005903,0.00006291,1.55828142,24833.40045055
20141026,0.00006213,0.00006300,0.00006050,0.00006135,0.46814474,7643.32409804
20141027,0.00006150,0.00006234,0.00005860,0.00006183,2.57926686,42801.09148355
20141028,0.00006189,0.00006193,0.00005771,0.00005978,2.09304551,35072.20208517
20141029,0.00005959,0.00006157,0.00005005,0.00006028,2.03790780,35122.29688807
20141030,0.00006028,0.00006190,0.00005862,0.00005862,0.55133428,9306.49089096
20141031,0.00005910,0.00005982,0.00005745,0.00005861,0.58789606,10133.65504836
20141101,0.00005800,0.00005861,0.00005257,0.00005609,0.46169511,8127.12098306
20141102,0.00005564,0.00006167,0.00005484,0.00005714,0.82286881,14570.32956347
20141103,0.00005714,0.00006234,0.00005683,0.00006040,0.79329890,13477.66431199
20141104,0.00005946,0.00005970,0.00005683,0.00005900,0.77613670,13242.62073836
20141105,0.00005900,0.00005997,0.00005841,0.00005997,0.93117082,15615.36248435
20141106,0.00005998,0.00006234,0.00005863,0.00005875,0.35717257,5985.23664529
20141107,0.00005913,0.00006010,0.00005799,0.00005902,1.03307907,17713.19471889
20141108,0.00005901,0.00006000,0.00005799,0.00005799,1.41771637,24126.45531984
20141109,0.00005799,0.00005970,0.00005665,0.00005700,1.19106135,20804.32931482
20141110,0.00005700,0.00005700,0.00005198,0.00005557,3.07331986,56461.25760540
20141111,0.00005557,0.00007090,0.00005500,0.00005900,2.15583500,36645.34162926
20141112,0.00005685,0.00005925,0.00005197,0.00005199,1.76491377,33139.25990444
20141113,0.00005593,0.00005593,0.00004988,0.00004995,3.21911551,63514.45716817
20141114,0.00005094,0.00005749,0.00004850,0.00004850,2.04779335,40558.66555834
20141115,0.00004854,0.00005575,0.00004850,0.00005385,1.07124761,21287.14670936
20141116,0.00005243,0.00005366,0.00004885,0.00005245,0.72381713,14281.57391335
20141117,0.00005240,0.00005479,0.00004700,0.00005080,1.97031113,40605.81772015
20141118,0.00005001,0.00005479,0.00004761,0.00004855,1.38769558,27557.52142922
20141119,0.00004856,0.00004856,0.00004756,0.00004756,0.11996191,2484.97602927
20141120,0.00004929,0.00005050,0.00004756,0.00005033,0.10543068,2104.15448359
20141121,0.00005048,0.00007000,0.00004983,0.00005166,0.84108114,16116.77042352
20141122,0.00005100,0.00005197,0.00004899,0.00005088,1.04588674,20648.01067880
20141123,0.00005088,0.00005147,0.00005057,0.00005100,0.53880810,10533.49482976
20141124,0.00005146,0.00005329,0.00004918,0.00005121,0.64545643,12480.27092988
20141125,0.00005060,0.00007100,0.00005022,0.00005166,0.30375604,5435.63448991
20141126,0.00007010,0.00007010,0.00005103,0.00005226,0.42413655,7637.89039508
20141127,0.00005226,0.00005497,0.00005086,0.00005092,0.11974478,2318.84275068
20141128,0.00005132,0.00005413,0.00005080,0.00005080,0.15958380,3094.21917230
20141129,0.00005075,0.00006600,0.00005025,0.00005288,0.59564966,10991.17285057
20141130,0.00005286,0.00005375,0.00005000,0.00005155,1.38103992,27236.00340999
20141201,0.00005293,0.00005855,0.00005043,0.00005235,0.43370821,8269.89833503
20141202,0.00005254,0.00005904,0.00005253,0.00005601,2.72080869,49663.87423897
20141203,0.00005265,0.00005635,0.00005102,0.00005635,2.05689151,37262.36873452
20141204,0.00005322,0.00005499,0.00005156,0.00005200,0.36693932,6869.51994671
20141205,0.00005349,0.00005903,0.00005156,0.00005416,1.47486769,27391.51106887
20141206,0.00005405,0.00005902,0.00005127,0.00005564,1.72920542,32459.85537613
20141207,0.00005300,0.00005562,0.00005102,0.00005319,1.61036033,30460.23548031
20141208,0.00005165,0.00005317,0.00005001,0.00005001,0.24766950,4795.15948855
20141209,0.00005001,0.00005116,0.00004779,0.00004924,1.68260982,34672.30913327
20141210,0.00004924,0.00005100,0.00004807,0.00004808,0.70672835,14402.19848943
20141211,0.00004812,0.00005150,0.00004808,0.00005150,0.62667622,12413.77156571
20141212,0.00005150,0.00005199,0.00004770,0.00004776,0.91536407,18944.58147624
20141213,0.00004771,0.00006400,0.00004750,0.00005000,1.40152818,27863.59045770
20141214,0.00005295,0.00005358,0.00004800,0.00004801,0.87813914,17708.73035878
20141215,0.00004801,0.00005352,0.00004780,0.00004801,1.63671589,33456.20748633
20141216,0.00004947,0.00005395,0.00004646,0.00004718,3.52107431,72941.76379295
20141217,0.00004848,0.00005396,0.00004707,0.00005396,2.42929789,49933.12847126
20141218,0.00004811,0.00005129,0.00004801,0.00004802,0.95266121,19606.63238797
20141219,0.00004830,0.00004915,0.00004708,0.00004771,0.80868930,16746.38582400
20141220,0.00004914,0.00005500,0.00004914,0.00005500,2.04752037,38084.67153362
20141221,0.00005474,0.00005700,0.00005073,0.00005073,4.20268130,76370.57725160
20141222,0.00005259,0.00005411,0.00005195,0.00005195,0.74530075,14073.65847818
20141223,0.00005260,0.00005412,0.00005071,0.00005299,1.10467893,21240.64226573
20141224,0.00005297,0.00005801,0.00005070,0.00005500,2.36990202,43689.88853421
20141225,0.00005604,0.00005795,0.00005303,0.00005305,2.10616105,37855.26522192
20141226,0.00005422,0.00007549,0.00005000,0.00005000,3.74037298,64342.41756491
20141227,0.00005151,0.00006634,0.00005050,0.00005050,3.27018155,59577.05446631
20141228,0.00005050,0.00005699,0.00005050,0.00005201,1.60526487,30323.89560084
20141229,0.00005682,0.00005701,0.00005217,0.00005264,1.13280176,20354.25151277
20141230,0.00005270,0.00005389,0.00005159,0.00005389,1.31775054,25237.22968749
20141231,0.00005389,0.00005800,0.00005171,0.00005443,0.57649909,10386.33392716
20150101,0.00005668,0.00005814,0.00005400,0.00005640,0.55871147,10101.95054397
20150102,0.00005640,0.00006750,0.00005525,0.00006260,8.58460449,137523.35213328
20150103,0.00006164,0.00006991,0.00005877,0.00006272,10.05068546,155165.51784539
20150104,0.00006272,0.00006797,0.00006002,0.00006249,1.97237095,30557.53915264
20150105,0.00006150,0.00006853,0.00006100,0.00006234,5.67803197,87550.22947470
