[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150530,0.00000149,0.00000213,0.00000071,0.00000099,0.51019342,455732.13046176
20150531,0.00000101,0.00000131,0.00000092,0.00000108,0.71349760,662954.95228301
20150601,0.00000117,0.00000137,0.00000093,0.00000093,0.69386437,644173.49771306
20150602,0.00000093,0.00000175,0.00000081,0.00000090,0.51123779,445425.07596015
20150603,0.00000094,0.00000178,0.00000090,0.00000140,0.70606238,506078.61733317
20150604,0.00000117,0.00000160,0.00000106,0.00000112,0.18500444,132518.01436232
20150605,0.00000110,0.00000148,0.00000110,0.00000120,0.08087406,67447.51908192
20150606,0.00000120,0.00000129,0.00000090,0.00000129,0.11315606,112037.34828909
20150607,0.00000125,0.00000150,0.00000125,0.00000145,0.19927872,145626.74277796
20150608,0.00000111,0.00000281,0.00000110,0.00000175,1.58887666,859014.24579143
20150609,0.00000161,0.00000182,0.00000145,0.00000145,0.27459205,170378.38790619
20150610,0.00000146,0.00000152,0.00000139,0.00000144,0.03735537,26387.22466784
20150611,0.00000142,0.00000159,0.00000127,0.00000159,0.15173077,105868.13140295
20150612,0.00000145,0.00000145,0.00000126,0.00000138,0.10944782,76163.98731104
20150613,0.00000143,0.00000143,0.00000143,0.00000143,0.00100100,700.00000000
20150614,0.00000127,0.00000141,0.00000115,0.00000116,0.05714631,46515.99868935
20150615,0.00000141,0.00000143,0.00000119,0.00000119,0.09575511,74434.29108627
20150616,0.00000119,0.00000148,0.00000090,0.00000091,0.10893135,103770.50827475
20150617,0.00000131,0.00000135,0.00000094,0.00000121,0.19741314,168983.70060073
20150618,0.00000134,0.00000153,0.00000134,0.00000153,0.21672131,147951.83821281
20150619,0.00000150,0.00000150,0.00000145,0.00000145,0.01199603,8247.22587310
20150620,0.00000150,0.00000150,0.00000133,0.00000133,0.09867233,67823.69002855
20150621,0.00000153,0.00000160,0.00000147,0.00000147,0.30210065,201852.83225964
20150622,0.00000148,0.00000148,0.00000148,0.00000148,0.03699999,25000.00000000
20150623,0.00000148,0.00000170,0.00000147,0.00000170,0.30686403,201224.31802465
20150624,0.00000167,0.00000200,0.00000147,0.00000147,0.71322905,405911.23444279
20150625,0.00000184,0.00000189,0.00000165,0.00000165,0.60501531,333178.94625458
20150626,0.00000187,0.00000187,0.00000151,0.00000151,0.19037306,119569.47889904
20150627,0.00000156,0.00000156,0.00000156,0.00000156,0.00626379,4015.25134868
20150628,0.00000157,0.00000178,0.00000150,0.00000150,0.02502426,16253.46339361
20150629,0.00000152,0.00000152,0.00000147,0.00000147,0.03403707,22663.33703652
20150630,0.00000145,0.00000150,0.00000090,0.00000090,0.48913953,517104.98745258
20150701,0.00000121,0.00000184,0.00000118,0.00000170,0.24119911,166358.56452078
20150702,0.00000132,0.00000180,0.00000124,0.00000146,0.08207352,61240.54551591
20150703,0.00000141,0.00000141,0.00000100,0.00000128,0.17718630,151892.96702479
20150704,0.00000090,0.00000120,0.00000090,0.00000100,0.13267795,137867.76387824
20150705,0.00000100,0.00000100,0.00000069,0.00000091,0.61075642,717811.29264504
20150706,0.00000089,0.00000100,0.00000075,0.00000075,0.48132501,517872.30150403
20150707,0.00000077,0.00000100,0.00000075,0.00000100,0.26858115,312335.43512999
20150708,0.00000083,0.00000100,0.00000063,0.00000078,0.52053480,654837.62580251
20150709,0.00000090,0.00000110,0.00000064,0.00000076,0.37846127,458321.81841470
20150710,0.00000090,0.00000140,0.00000090,0.00000101,0.31849701,316909.50087104
20150711,0.00000108,0.00000119,0.00000088,0.00000101,0.35032299,338437.88980445
20150712,0.00000108,0.00000114,0.00000086,0.00000110,0.13607688,136051.17163095
20150713,0.00000104,0.00000125,0.00000086,0.00000125,0.48834384,488176.47078637
20150714,0.00000114,0.00000164,0.00000114,0.00000138,0.82091303,639354.20216647
20150715,0.00000126,0.00000164,0.00000124,0.00000164,0.41490454,317956.54309061
20150716,0.00000131,0.00000151,0.00000102,0.00000118,2.00100516,1730219.36271404
20150717,0.00000126,0.00000136,0.00000098,0.00000127,0.64749221,555189.01039394
20150718,0.00000126,0.00000160,0.00000110,0.00000121,0.78806055,635644.17596982
20150719,0.00000142,0.00000980,0.00000130,0.00000198,14.47023107,7340765.98145167
20150720,0.00000210,0.00000235,0.00000140,0.00000234,6.33110927,3368310.92887420
20150721,0.00000235,0.00000300,0.00000200,0.00000300,3.87331310,1708023.57470752
20150722,0.00000241,0.00000260,0.00000140,0.00000194,1.12471637,553648.51908217
20150723,0.00000194,0.00000204,0.00000167,0.00000167,0.24110768,139706.90131599
20150724,0.00000169,0.00000186,0.00000169,0.00000184,0.47848171,261835.61576219
20150725,0.00000184,0.00000200,0.00000165,0.00000174,0.25634177,145072.62990785
20150726,0.00000184,0.00000204,0.00000174,0.00000174,0.60941625,319142.37901903
20150727,0.00000189,0.00000190,0.00000173,0.00000190,0.40458799,223650.41038037
20150728,0.00000189,0.00000189,0.00000161,0.00000189,0.39820620,233409.34718085
20150729,0.00000187,0.00000189,0.00000161,0.00000161,0.30964918,183426.70161205
20150730,0.00000167,0.00000169,0.00000160,0.00000160,0.45304277,281882.01704587
20150731,0.00000160,0.00000165,0.00000141,0.00000142,0.37314679,238089.23763691
20150801,0.00000167,0.00000167,0.00000140,0.00000155,0.18598616,131326.19711913
20150802,0.00000160,0.00000163,0.00000160,0.00000161,0.46631055,288487.56241323
20150803,0.00000161,0.00000161,0.00000131,0.00000142,0.64007512,471951.26924420
20150804,0.00000154,0.00000154,0.00000128,0.00000148,0.18339232,126665.00183951
20150805,0.00000145,0.00000198,0.00000145,0.00000162,0.81424393,481018.51730402
20150806,0.00000185,0.00000202,0.00000161,0.00000167,0.22142423,113735.05830559
20150807,0.00000195,0.00000210,0.00000190,0.00000190,0.08716380,43602.48774696
20150808,0.00000190,0.00000199,0.00000175,0.00000199,0.12665570,71417.52930893
20150809,0.00000200,0.00000200,0.00000176,0.00000176,0.97753639,554587.64469200
20150810,0.00000176,0.00000185,0.00000170,0.00000171,0.18604856,107246.86440285
20150811,0.00000197,0.00000213,0.00000130,0.00000200,1.98706609,1339321.15706957
20150812,0.00000182,0.00000222,0.00000182,0.00000222,0.25720852,128030.98675052
20150813,0.00000220,0.00000220,0.00000160,0.00000197,0.70437090,366927.36244165
20150814,0.00000165,0.00000189,0.00000150,0.00000189,0.27714194,153287.18707047
20150815,0.00000189,0.00000196,0.00000189,0.00000193,0.97170493,514081.22131188
20150816,0.00000192,0.00000209,0.00000190,0.00000200,0.27101337,136860.93275940
20150817,0.00000193,0.00000225,0.00000171,0.00000171,0.62294268,333895.71906793
20150818,0.00000188,0.00000201,0.00000181,0.00000184,0.52119635,275197.17894948
20150819,0.00000190,0.00000223,0.00000180,0.00000184,0.47119686,255425.20376384
20150820,0.00000185,0.00000219,0.00000160,0.00000192,0.28787156,158301.18689242
20150821,0.00000173,0.00000179,0.00000131,0.00000171,0.98435209,694490.77075992
20150822,0.00000143,0.00000160,0.00000130,0.00000150,0.74810279,558337.50464671
20150823,0.00000143,0.00000171,0.00000133,0.00000155,0.91831618,673781.65835782
20150824,0.00000152,0.00000170,0.00000151,0.00000170,0.08371083,54599.95207972
20150825,0.00000155,0.00000159,0.00000151,0.00000159,0.09109627,59406.00000000
20150826,0.00000158,0.00000165,0.00000151,0.00000151,0.02882332,18901.04735339
20150827,0.00000151,0.00000163,0.00000151,0.00000151,0.05877626,38793.69502795
20150828,0.00000150,0.00000180,0.00000149,0.00000161,0.59137902,351409.19766212
20150829,0.00000161,0.00000189,0.00000146,0.00000189,0.36202614,217994.75659188
20150830,0.00000178,0.00000178,0.00000151,0.00000169,0.12076416,73034.84218306
20150831,0.00000174,0.00000179,0.00000151,0.00000178,1.69464592,1075266.59872547
20150901,0.00000165,0.00000177,0.00000160,0.00000177,0.62906084,357016.37349339
20150902,0.00000168,0.00000176,0.00000168,0.00000168,0.32231050,189548.20828447
20150903,0.00000166,0.00000166,0.00000150,0.00000165,0.26266707,174222.64173469
20150904,0.00000163,0.00000167,0.00000163,0.00000167,0.30755022,187466.40123901
20150905,0.00000156,0.00000166,0.00000151,0.00000153,0.25752146,169800.45180723
20150906,0.00000164,0.00000179,0.00000151,0.00000152,0.29032685,184335.31875537
20150907,0.00000165,0.00000180,0.00000165,0.00000177,0.28718901,163267.06853698
20150908,0.00000178,0.00000184,0.00000167,0.00000167,0.02921363,16695.22068864
20150909,0.00000179,0.00000179,0.00000179,0.00000179,0.00060511,338.05113221
20150910,0.00000179,0.00000179,0.00000150,0.00000150,0.53154948,332586.96829706
20150911,0.00000164,0.00000164,0.00000150,0.00000163,0.32917722,215788.47198940
20150912,0.00000163,0.00000163,0.00000163,0.00000163,0.00163000,1000.00000000
20150913,0.00000161,0.00000176,0.00000152,0.00000172,0.09527925,59905.47135338
20150914,0.00000166,0.00000195,0.00000161,0.00000163,0.18947865,107475.23471627
20150915,0.00000174,0.00000174,0.00000151,0.00000169,0.04150378,26829.27752853
20150916,0.00000169,0.00000200,0.00000151,0.00000151,0.33399656,201563.27952991
20150917,0.00000159,0.00000171,0.00000150,0.00000150,0.20992676,139047.61963128
20150918,0.00000150,0.00000167,0.00000150,0.00000165,0.00527311,3351.17019301
20150919,0.00000154,0.00000170,0.00000151,0.00000170,0.08131506,53072.78279749
20150920,0.00000151,0.00000167,0.00000150,0.00000150,0.38446514,245801.89271739
20150921,0.00000149,0.00000169,0.00000149,0.00000150,0.09003374,56484.07879682
20150922,0.00000163,0.00000163,0.00000147,0.00000163,0.53316573,352916.60732680
20150923,0.00000157,0.00000160,0.00000147,0.00000147,0.52849769,342357.86256502
20150924,0.00000163,0.00000190,0.00000163,0.00000190,0.32772997,194723.78710673
20150925,0.00000187,0.00000190,0.00000140,0.00000155,0.55632103,349340.71145674
20150926,0.00000163,0.00000167,0.00000150,0.00000167,0.32614120,209447.44561126
20150927,0.00000160,0.00000160,0.00000143,0.00000143,0.18093841,121188.45413843
20150928,0.00000148,0.00000191,0.00000142,0.00000191,0.50461288,318752.19076480
20150929,0.00000167,0.00000170,0.00000130,0.00000151,3.21726315,2223702.48287851
20150930,0.00000161,0.00000179,0.00000150,0.00000151,1.50027567,923531.83178376
20151001,0.00000160,0.00000169,0.00000150,0.00000150,0.26978028,165492.90994083
20151002,0.00000150,0.00000170,0.00000148,0.00000148,0.41325223,270966.03456268
20151003,0.00000150,0.00000170,0.00000141,0.00000157,0.52195498,343543.70249115
20151004,0.00000167,0.00000168,0.00000152,0.00000152,0.27353127,172184.56640274
20151005,0.00000150,0.00000150,0.00000146,0.00000147,0.25599029,174141.21732393
20151006,0.00000161,0.00000181,0.00000140,0.00000140,0.61370976,397826.44402961
20151007,0.00000152,0.00000152,0.00000142,0.00000145,0.42955487,295644.31897935
20151008,0.00000145,0.00000145,0.00000145,0.00000145,0.02409900,16620.00000000
20151009,0.00000153,0.00000159,0.00000146,0.00000150,0.54586942,363755.41524749
20151010,0.00000150,0.00000157,0.00000140,0.00000157,0.28149731,198129.77741150
20151011,0.00000149,0.00000150,0.00000140,0.00000149,0.54131922,377700.86700759
20151012,0.00000144,0.00000157,0.00000142,0.00000142,0.32501087,228623.46318408
20151013,0.00000141,0.00000157,0.00000141,0.00000150,0.76194095,507963.84841815
20151014,0.00000155,0.00000156,0.00000140,0.00000154,1.30635251,910176.61150867
20151015,0.00000142,0.00000152,0.00000140,0.00000140,0.28498957,203025.35066125
20151016,0.00000140,0.00000150,0.00000132,0.00000146,0.08536607,61409.80223030
20151017,0.00000141,0.00000144,0.00000141,0.00000144,0.28291790,200637.43713542
20151018,0.00000141,0.00000142,0.00000136,0.00000142,0.34166300,251174.11180401
20151019,0.00000136,0.00000144,0.00000136,0.00000144,0.30593853,220088.45956035
20151020,0.00000136,0.00000220,0.00000136,0.00000185,4.75427464,2855953.47247020
20151021,0.00000166,0.00000185,0.00000155,0.00000170,0.83816981,471252.03278764
20151022,0.00000161,0.00000200,0.00000150,0.00000157,4.06523969,2470230.80134184
20151023,0.00000157,0.00000169,0.00000150,0.00000169,0.40787890,264605.71311214
20151024,0.00000155,0.00000162,0.00000150,0.00000162,0.31067059,206321.01497838
20151025,0.00000152,0.00000190,0.00000137,0.00000189,0.74384154,463429.56002456
20151026,0.00000188,0.00000199,0.00000169,0.00000175,0.15047213,84652.45348419
20151027,0.00000170,0.00000190,0.00000169,0.00000180,0.09238957,49346.15757956
