[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170716,0.00100001,0.00100001,0.00020047,0.00020109,110.19202448,472552.53121468
20170717,0.00020117,0.00033000,0.00020107,0.00026299,950.52552306,3641243.63489376
20170718,0.00026299,0.00038654,0.00024999,0.00033283,1944.47494318,5886102.15180975
20170719,0.00033283,0.00035975,0.00025078,0.00026099,1101.77432658,3691318.04604097
20170720,0.00025402,0.00028886,0.00021456,0.00023000,746.25294659,2818557.73012103
20170721,0.00023007,0.00030500,0.00022599,0.00028301,536.39612849,2001062.47664751
20170722,0.00027732,0.00032100,0.00027170,0.00031000,662.68954828,2249447.55864565
20170723,0.00031234,0.00058900,0.00030602,0.00054512,2382.95352553,5472360.37431416
20170724,0.00054512,0.00057900,0.00047000,0.00055457,2322.56516003,4415854.17570998
20170725,0.00055458,0.00055680,0.00043000,0.00048400,1242.23267378,2533179.06589237
20170726,0.00048399,0.00050400,0.00043967,0.00047492,600.12271120,1274070.53502349
20170727,0.00047492,0.00053737,0.00047000,0.00051924,741.33687038,1445109.69720944
20170728,0.00051802,0.00052236,0.00034500,0.00042351,938.97480215,2145313.82418552
20170729,0.00041692,0.00047724,0.00037718,0.00047000,450.10014261,1057791.50920199
20170730,0.00047000,0.00049305,0.00043301,0.00043303,228.78942346,497245.32742450
20170731,0.00043480,0.00045515,0.00041361,0.00042850,229.90388391,529682.12443217
20170801,0.00042907,0.00053164,0.00041621,0.00048636,571.65271913,1202393.52501858
20170802,0.00048624,0.00052220,0.00046787,0.00051025,528.47543476,1076231.26079157
