[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20151103,1.00000000,1.00000000,1.00000000,1.00000000,0.99750000,0.99750000
20151104,0.50000003,0.50000005,0.00200005,0.01999999,0.09243624,1.10406661
20151106,0.00200050,0.00200050,0.00200049,0.00200049,0.01789732,8.94645330
20151108,0.01799923,0.01799924,0.00201033,0.00201033,0.01958867,1.95793370
20151109,0.01799798,0.02459999,0.01799798,0.02459999,0.24449568,13.03990812
20151129,0.01170000,0.01170000,0.01170000,0.01170000,0.00117000,0.10000000
20151208,0.01170000,0.01170000,0.01170000,0.01170000,0.00049884,0.04263673
20151212,0.00500221,0.00500222,0.00300003,0.00312013,0.06967153,16.85038872
20151224,0.00500187,0.00500187,0.00500187,0.00500187,0.00386678,0.77306879
20151225,0.00500222,0.00500222,0.00500222,0.00500222,0.02446085,4.89000001
20160102,0.00500245,0.00500245,0.00500245,0.00500245,0.00256909,0.51356757
20160106,0.01169866,0.01169866,0.00050000,0.00699998,0.00855583,2.79296644
20160109,0.00054017,0.00054017,0.00054013,0.00054013,0.03498498,64.77000003
20160112,0.00120000,0.00120000,0.00086002,0.00086002,0.00879419,7.44920084
20160113,0.00459900,0.00459900,0.00120003,0.00392333,1.49325511,497.95618916
20160126,0.01042218,0.01042218,0.01042218,0.01042218,0.01955843,1.87661687
20160127,0.01042212,0.01042212,0.01042212,0.01042212,0.02084423,2.00000000
20160128,0.00515152,0.00515152,0.00515152,0.00515152,0.00300851,0.58400463
20160129,0.00530579,0.00530579,0.00530000,0.00530000,0.03491995,6.58290140
20160130,0.00540000,0.00540000,0.00540000,0.00540000,0.00691514,1.28058205
20160211,0.01041917,0.01041917,0.01041917,0.01041917,0.00070360,0.06752996
20160212,0.01029997,0.01029998,0.01029997,0.01029998,0.00675768,0.65608768
20160213,0.00610046,0.00610056,0.00610046,0.00610055,0.00984389,1.61361764
20160217,0.00730983,0.00730983,0.00730983,0.00730983,0.00139772,0.19121102
20160218,0.01029919,0.01029919,0.01029916,0.01029917,0.03467990,3.36725328
20160219,0.00730988,0.00730988,0.00730983,0.00730983,0.02751168,3.76364314
20160222,0.00620923,0.00620923,0.00620923,0.00620923,0.00691855,1.11423714
20160223,0.00730973,0.00730973,0.00730970,0.00730970,0.01581525,2.16359751
20160225,0.00730934,0.01030000,0.00730934,0.00798918,0.18279935,22.75261264
