[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170720,1.00000001,1.00000002,0.00190108,0.00250906,350.95887866,132938.76896991
20170721,0.00250906,0.00301751,0.00181517,0.00215984,382.53920823,161007.54394509
20170722,0.00202008,0.00217000,0.00180070,0.00210273,246.99992513,126377.77126735
20170723,0.00210300,0.00260249,0.00210100,0.00250000,163.61984540,69994.08536271
20170724,0.00250003,0.00276946,0.00230001,0.00251456,159.43634645,61983.61348162
20170725,0.00251429,0.00259778,0.00195000,0.00238699,102.69771154,46635.07417033
20170726,0.00229504,0.00237922,0.00201030,0.00226000,48.07018740,22368.52681105
20170727,0.00226000,0.00230000,0.00206000,0.00206000,32.58317467,15029.83770652
20170728,0.00206073,0.00228295,0.00185001,0.00192722,65.28942303,32088.83038487
20170729,0.00193330,0.00199176,0.00182939,0.00185002,24.33032570,12892.67356639
20170730,0.00185002,0.00209950,0.00184972,0.00197137,24.41255427,12443.61073097
20170731,0.00197133,0.00203330,0.00170008,0.00179202,53.38582362,28739.52955048
20170801,0.00179240,0.00224990,0.00176000,0.00196522,52.54896202,26901.31819283
20170802,0.00197047,0.00211364,0.00191046,0.00195000,33.10226677,16663.42560455
