[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170707,0.00360000,0.00360000,0.00035000,0.00044100,4793.80569786,10432079.79480150
20170708,0.00044159,0.00049994,0.00042000,0.00043350,2702.83288216,6003227.56986148
20170709,0.00043150,0.00043387,0.00033521,0.00035997,1365.85868494,3600045.34779807
20170710,0.00035963,0.00036043,0.00024000,0.00029501,1204.13123471,4022540.93649871
20170711,0.00029501,0.00030736,0.00021898,0.00028277,823.84492908,3114715.45625573
20170712,0.00028260,0.00033379,0.00027600,0.00033198,650.90307086,2100668.98301831
20170713,0.00033197,0.00034624,0.00029000,0.00030535,374.41039501,1172409.69690280
20170714,0.00030534,0.00031335,0.00028882,0.00030383,234.04475884,789440.13311856
20170715,0.00030319,0.00031999,0.00029200,0.00029996,210.16456288,693407.06902845
20170716,0.00029997,0.00030140,0.00025501,0.00029530,254.42625103,903726.35875403
20170717,0.00029398,0.00031990,0.00027201,0.00031828,298.51347167,1027108.35745373
20170718,0.00031828,0.00031998,0.00027000,0.00030864,308.10111787,1030314.29662136
20170719,0.00030826,0.00031312,0.00027005,0.00028075,241.14869749,835236.71312422
20170720,0.00027822,0.00029055,0.00023580,0.00024650,233.80276306,868298.58359327
20170721,0.00024649,0.00026996,0.00023100,0.00025002,228.29928083,912352.20357387
20170722,0.00025001,0.00029500,0.00024674,0.00028900,239.00773582,857173.40720639
20170723,0.00029039,0.00032997,0.00027013,0.00032565,287.67080319,944886.35972718
20170724,0.00032565,0.00046779,0.00032565,0.00038531,1625.70964256,4025653.56285722
20170725,0.00038531,0.00043766,0.00032061,0.00033133,615.43140487,1673639.50164737
20170726,0.00033280,0.00039499,0.00031000,0.00038286,333.12073393,944108.27951396
20170727,0.00038450,0.00039198,0.00035999,0.00036813,201.49774478,540154.41453160
20170728,0.00036813,0.00037331,0.00030100,0.00032468,325.86082198,1005936.28202082
20170729,0.00032434,0.00034990,0.00030172,0.00034749,132.28664311,415946.36024824
20170730,0.00034302,0.00034987,0.00032200,0.00032500,139.86877255,422056.63872420
20170731,0.00032501,0.00032940,0.00030347,0.00030829,158.04961538,499540.47949248
20170801,0.00031358,0.00037000,0.00030360,0.00034500,357.02803284,1036940.86464063
20170802,0.00034021,0.00035750,0.00032254,0.00034324,225.55547400,664691.06054121
