[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160602,0.01000026,0.01000026,0.00001551,0.00002433,25.75703020,1110142.16100039
20160603,0.00002308,0.00002600,0.00001429,0.00001979,22.99585498,1286367.78699642
20160604,0.00001853,0.00001938,0.00001549,0.00001905,8.55732283,501301.47844790
20160605,0.00001905,0.00002185,0.00001666,0.00001776,9.31622934,498748.46125006
20160606,0.00001776,0.00002000,0.00001680,0.00001800,2.19157729,114717.15758667
20160607,0.00001701,0.00001860,0.00001638,0.00001800,2.85445507,169565.13221853
20160608,0.00001750,0.00001800,0.00001553,0.00001676,6.14940946,379959.28289012
20160609,0.00001690,0.00001800,0.00001637,0.00001655,1.30955417,76846.70752077
20160610,0.00001617,0.00001725,0.00001555,0.00001725,0.83024195,52119.85029179
20160611,0.00001699,0.00001747,0.00001390,0.00001398,2.39973047,155308.08268759
20160612,0.00001330,0.00001570,0.00000999,0.00000999,3.97438319,326173.07835628
20160613,0.00001009,0.00001194,0.00000800,0.00001194,3.26639407,349567.20965082
20160614,0.00001115,0.00001333,0.00001000,0.00001333,2.43873065,213717.50358080
20160615,0.00001331,0.00001333,0.00001100,0.00001100,0.50732129,40005.81518541
20160616,0.00001157,0.00001157,0.00001011,0.00001150,1.74765821,169797.69594537
20160617,0.00001036,0.00001078,0.00000914,0.00000968,1.39359447,135964.24300070
20160618,0.00000931,0.00000932,0.00000800,0.00000800,0.48141036,56563.93007390
20160619,0.00000879,0.00000892,0.00000800,0.00000801,0.99430733,123088.13642754
20160620,0.00000864,0.00001184,0.00000786,0.00001184,0.65349131,64534.53422786
20160621,0.00001049,0.00001188,0.00000700,0.00000850,1.43638229,192008.40440604
20160622,0.00000850,0.00000893,0.00000722,0.00000876,0.26041793,33007.62029586
20160623,0.00000876,0.00000898,0.00000771,0.00000771,0.80446467,96049.90784889
20160624,0.00000838,0.00001000,0.00000751,0.00000751,0.32927257,38571.95375603
20160625,0.00000861,0.00000925,0.00000600,0.00000792,1.08085505,157653.37403788
20160626,0.00000732,0.00000900,0.00000650,0.00000786,0.71747002,88146.77458511
20160627,0.00000786,0.00000786,0.00000727,0.00000786,0.61428132,81761.28639724
20160628,0.00000786,0.00000950,0.00000734,0.00000950,0.57670157,67693.92295555
20160629,0.00000972,0.00000973,0.00000800,0.00000925,0.50418620,58829.99373469
20160630,0.00000863,0.00001188,0.00000863,0.00001075,1.48912067,136246.59420725
20160701,0.00001075,0.00001100,0.00001029,0.00001100,0.27984497,25953.78330473
20160702,0.00001049,0.00001049,0.00000981,0.00000981,0.33427655,32480.60055563
20160703,0.00001024,0.00001230,0.00001024,0.00001199,1.11064806,101596.99596942
20160704,0.00001223,0.00001260,0.00000990,0.00000990,1.18889375,109657.11692288
20160705,0.00001031,0.00001175,0.00000880,0.00000929,1.95990949,212116.40164981
20160706,0.00000952,0.00000999,0.00000777,0.00000818,1.40093763,160711.75891550
20160707,0.00000818,0.00001190,0.00000818,0.00001102,1.39619496,146481.95441445
20160708,0.00001078,0.00001200,0.00001005,0.00001029,1.09895350,94420.81453857
20160709,0.00001028,0.00001300,0.00001028,0.00001129,3.73693701,298828.87896496
20160710,0.00001157,0.00001303,0.00001001,0.00001110,2.04571064,184512.48829882
20160711,0.00001109,0.00001175,0.00001000,0.00001000,1.07563133,104680.04517144
20160712,0.00001050,0.00001050,0.00000950,0.00000950,0.54262343,57022.83427626
20160713,0.00000908,0.00001107,0.00000900,0.00001012,0.69846685,69129.19267134
20160714,0.00001075,0.00001080,0.00001002,0.00001002,2.03388294,194450.54121345
20160715,0.00001004,0.00001004,0.00000917,0.00000982,0.19325184,20414.21017452
20160716,0.00001025,0.00001025,0.00001025,0.00001025,0.01111030,1083.93268292
20160717,0.00001046,0.00001175,0.00001046,0.00001092,1.57233264,143924.57295213
20160718,0.00001135,0.00001135,0.00001090,0.00001090,0.08482382,7743.68262452
20160719,0.00001090,0.00001090,0.00000857,0.00001000,1.35160102,142033.61676374
20160720,0.00000995,0.00000999,0.00000907,0.00000908,0.00860942,883.04582092
20160721,0.00000888,0.00001010,0.00000788,0.00000944,0.62403662,75552.99020395
20160722,0.00000979,0.00001110,0.00000979,0.00001029,0.98303461,89525.75035954
20160723,0.00001038,0.00001110,0.00001029,0.00001031,0.42319209,40341.32659490
20160724,0.00001069,0.00001069,0.00001029,0.00001031,0.67387564,65366.94568380
20160725,0.00001030,0.00001030,0.00000990,0.00000990,0.05325168,5268.56095325
20160726,0.00000970,0.00001032,0.00000430,0.00000490,2.37799116,332305.75635815
20160727,0.00000490,0.00000998,0.00000490,0.00000930,0.32383071,42013.57991264
20160728,0.00000970,0.00000970,0.00000970,0.00000970,0.00538350,555.00000000
20160729,0.00000915,0.00000970,0.00000811,0.00000910,0.22568961,25890.49418556
20160731,0.00000910,0.00000910,0.00000865,0.00000869,0.04630631,5259.68375538
20160801,0.00000877,0.00000896,0.00000800,0.00000800,0.74154813,90507.67320825
20160802,0.00000845,0.00001055,0.00000800,0.00000990,0.55275379,57970.60722438
20160803,0.00000990,0.00001005,0.00000970,0.00001005,0.03992635,4019.76447038
20160804,0.00000985,0.00001100,0.00000985,0.00001100,0.20807461,19277.45854605
20160805,0.00001100,0.00001109,0.00000970,0.00000970,0.07174963,6973.75821444
20160806,0.00000965,0.00000965,0.00000950,0.00000950,0.01387664,1458.06595457
20160807,0.00000950,0.00000950,0.00000910,0.00000949,0.12323879,13452.61383909
20160808,0.00000921,0.00000921,0.00000850,0.00000850,0.09014572,10000.00000000
20160809,0.00000897,0.00000912,0.00000897,0.00000912,0.10850463,11964.14416526
20160810,0.00000912,0.00000913,0.00000912,0.00000913,0.00133377,146.18841642
20160812,0.00000913,0.00001998,0.00000835,0.00001643,36.75796478,2857771.79914732
20160813,0.00001713,0.00002279,0.00001534,0.00001710,37.84597275,1897777.59014884
20160814,0.00001745,0.00001800,0.00001400,0.00001510,5.81723791,363749.66820567
20160815,0.00001515,0.00001669,0.00001500,0.00001561,1.69056915,109608.18085340
20160816,0.00001577,0.00001949,0.00001545,0.00001893,4.76017757,283161.59510499
20160817,0.00001890,0.00001947,0.00001791,0.00001800,4.68075964,250423.22413192
20160818,0.00001800,0.00001875,0.00001724,0.00001735,2.06347043,115053.05637933
20160819,0.00001729,0.00001749,0.00001500,0.00001525,4.96406832,311200.35364967
20160820,0.00001542,0.00001781,0.00001542,0.00001682,2.40278884,148085.78617643
20160821,0.00001749,0.00001763,0.00001600,0.00001600,5.63850312,338054.43847374
20160822,0.00001645,0.00001646,0.00001590,0.00001590,0.40481316,24823.38305382
20160823,0.00001600,0.00001645,0.00001581,0.00001625,0.81783483,51367.43433228
20160824,0.00001663,0.00001730,0.00001615,0.00001615,0.73403417,43386.44046909
20160825,0.00001692,0.00001788,0.00001617,0.00001617,0.73494889,41577.68975122
20160826,0.00001636,0.00001640,0.00001375,0.00001542,7.31100880,467940.00000000
