[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140729,0.00000100,0.00000210,0.00000085,0.00000091,10.55101748,10539320.48320633
20140730,0.00000092,0.00000131,0.00000091,0.00000116,19.64623603,18664565.54802564
20140731,0.00000115,0.00000178,0.00000111,0.00000141,43.25030378,30808160.27451543
20140801,0.00000136,0.00000143,0.00000111,0.00000111,15.06132893,12043839.88114551
20140802,0.00000120,0.00000128,0.00000100,0.00000123,21.65382543,18578572.50296707
20140803,0.00000120,0.00000124,0.00000110,0.00000116,13.05423006,10871982.76275222
20140804,0.00000116,0.00000120,0.00000102,0.00000102,6.61412588,6089065.98862525
20140805,0.00000113,0.00000120,0.00000104,0.00000114,2.12592450,1921712.75233471
20140806,0.00000115,0.00000117,0.00000105,0.00000109,2.43079551,2164731.07986342
20140807,0.00000109,0.00000112,0.00000104,0.00000111,1.82856168,1720345.20256984
20140808,0.00000112,0.00000123,0.00000094,0.00000111,7.19434224,6722057.43425456
20140809,0.00000111,0.00000114,0.00000100,0.00000110,3.31880894,3183942.26263473
20140810,0.00000106,0.00000108,0.00000095,0.00000103,2.62314323,2645042.10317037
20140811,0.00000102,0.00000104,0.00000090,0.00000092,2.32794027,2422066.40051925
20140812,0.00000093,0.00000109,0.00000093,0.00000095,3.36303354,3467719.87944608
20140813,0.00000098,0.00000110,0.00000085,0.00000109,4.62816793,4736840.95332918
20140814,0.00000105,0.00000115,0.00000098,0.00000111,4.11667880,3817677.72877400
20140815,0.00000107,0.00000118,0.00000102,0.00000104,6.35398438,5766695.04916902
20140816,0.00000103,0.00000112,0.00000095,0.00000095,4.74944201,4579218.58863436
20140817,0.00000099,0.00000099,0.00000078,0.00000091,9.20330157,10549977.73718045
20140818,0.00000091,0.00000100,0.00000079,0.00000099,4.98880997,5613706.61766184
20140819,0.00000100,0.00000100,0.00000087,0.00000089,2.21351874,2381753.73086151
20140820,0.00000092,0.00000102,0.00000085,0.00000090,11.78197707,12620229.47138535
20140821,0.00000092,0.00000100,0.00000089,0.00000099,2.95001742,3088512.72121632
20140822,0.00000093,0.00000098,0.00000082,0.00000084,6.35184862,7094514.08155052
20140823,0.00000085,0.00000091,0.00000082,0.00000088,0.92863568,1096305.96010455
20140824,0.00000090,0.00000091,0.00000077,0.00000078,3.93862836,4843401.33586733
20140825,0.00000084,0.00000084,0.00000074,0.00000080,1.96166906,2513246.34545648
20140826,0.00000083,0.00000084,0.00000073,0.00000081,3.15680863,4079773.52527268
20140827,0.00000079,0.00000079,0.00000070,0.00000071,3.18136686,4377637.71699225
20140828,0.00000075,0.00000082,0.00000072,0.00000072,1.45463743,1871622.06331781
20140829,0.00000072,0.00000078,0.00000069,0.00000069,2.00284808,2804051.77691751
20140830,0.00000072,0.00000077,0.00000067,0.00000067,2.47054622,3522658.58877406
20140831,0.00000076,0.00000081,0.00000070,0.00000081,0.76920654,1025767.40714176
20140901,0.00000081,0.00000081,0.00000060,0.00000080,3.09688711,4483000.73385923
20140902,0.00000075,0.00000075,0.00000053,0.00000066,2.28366785,3525336.58334992
20140903,0.00000067,0.00000073,0.00000063,0.00000073,2.47562574,3684697.43698578
20140904,0.00000073,0.00000082,0.00000068,0.00000072,3.37302247,4382656.79796381
20140905,0.00000074,0.00000095,0.00000072,0.00000090,7.66191792,9211284.50673638
20140906,0.00000090,0.00000101,0.00000087,0.00000096,5.25117148,5454715.34723042
20140907,0.00000096,0.00000101,0.00000087,0.00000089,3.33025738,3560744.62610539
20140908,0.00000098,0.00000101,0.00000088,0.00000095,2.63254378,2808348.63625662
20140909,0.00000095,0.00000110,0.00000089,0.00000100,7.49547789,7240735.50481306
20140910,0.00000108,0.00000143,0.00000099,0.00000125,10.17580344,8462965.97875280
20140911,0.00000126,0.00000159,0.00000111,0.00000138,26.51875040,18401135.02413655
20140912,0.00000138,0.00000154,0.00000120,0.00000136,14.85842380,11061418.86008899
20140913,0.00000137,0.00000147,0.00000120,0.00000140,10.32023189,7741933.84262063
20140914,0.00000142,0.00000147,0.00000128,0.00000137,6.80699266,4847986.98660759
20140915,0.00000139,0.00000150,0.00000130,0.00000140,6.09288114,4386423.80435769
20140916,0.00000139,0.00000145,0.00000113,0.00000113,11.42786040,8853586.36986966
20140917,0.00000114,0.00000125,0.00000101,0.00000101,7.10058368,6242691.11366000
20140918,0.00000101,0.00000118,0.00000099,0.00000117,3.95333970,3591636.87510280
20140919,0.00000117,0.00000130,0.00000105,0.00000120,6.38101209,5564975.17301223
20140920,0.00000120,0.00000128,0.00000115,0.00000125,1.21251444,981285.05642865
20140921,0.00000122,0.00000123,0.00000101,0.00000113,1.95584853,1787480.51173628
20140922,0.00000111,0.00000111,0.00000099,0.00000101,1.01606667,988947.28232698
20140923,0.00000101,0.00000109,0.00000092,0.00000097,1.24639759,1285682.80274594
20140924,0.00000097,0.00000102,0.00000093,0.00000094,0.72862473,761384.26279332
20140925,0.00000094,0.00000099,0.00000085,0.00000094,2.83367970,3147790.49123755
20140926,0.00000094,0.00000100,0.00000092,0.00000096,1.61528789,1663738.56260758
20140927,0.00000098,0.00000103,0.00000087,0.00000091,1.04043422,1152185.22909811
20140928,0.00000090,0.00000092,0.00000085,0.00000086,1.06422971,1222814.43897401
20140929,0.00000086,0.00000096,0.00000082,0.00000088,2.65779302,3116532.06916404
20140930,0.00000087,0.00000098,0.00000079,0.00000088,2.38669480,2817567.57914761
20141001,0.00000088,0.00000089,0.00000084,0.00000086,0.63756777,733057.00100376
20141002,0.00000088,0.00000091,0.00000079,0.00000080,0.86239036,1023540.94802399
20141003,0.00000081,0.00000088,0.00000079,0.00000081,0.73893729,894585.99156624
20141004,0.00000083,0.00000087,0.00000079,0.00000079,0.51648314,648031.65893228
20141005,0.00000079,0.00000084,0.00000079,0.00000083,0.74696997,919451.05954834
20141006,0.00000084,0.00000084,0.00000059,0.00000063,2.86304285,4150273.10057770
20141007,0.00000063,0.00000089,0.00000059,0.00000085,2.54367636,3423096.39950299
20141008,0.00000081,0.00000082,0.00000067,0.00000070,0.78241175,1084394.40240480
20141009,0.00000070,0.00000079,0.00000068,0.00000079,0.86868427,1239327.85480582
20141010,0.00000078,0.00000085,0.00000078,0.00000079,1.36291060,1649493.85954615
20141011,0.00000080,0.00000081,0.00000078,0.00000081,0.46386356,584979.28377049
20141012,0.00000078,0.00000082,0.00000072,0.00000077,1.19806381,1587883.18315288
