[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160302,0.00001337,0.00002101,0.00000681,0.00000849,3.12300496,296375.07147461
20160303,0.00000876,0.00001500,0.00000829,0.00001113,30.37170000,2497568.86995752
20160304,0.00001130,0.00002000,0.00001113,0.00001720,41.68513258,2519682.31132821
20160305,0.00001700,0.00002649,0.00001671,0.00002110,32.69799258,1557068.15776042
20160306,0.00002110,0.00002322,0.00001309,0.00001569,30.59834380,1730979.70960894
20160307,0.00001563,0.00001994,0.00000913,0.00001108,25.01758125,1956918.47460760
20160308,0.00001108,0.00001300,0.00000926,0.00001236,10.67128172,1031449.31103338
20160309,0.00001238,0.00001286,0.00000955,0.00000985,6.36543601,634709.22472639
20160310,0.00000990,0.00001172,0.00000960,0.00000985,8.35930655,810777.57497300
20160311,0.00000985,0.00001200,0.00000975,0.00001007,6.29963700,618681.86395278
20160312,0.00001007,0.00001200,0.00001005,0.00001064,6.36419686,596809.91789257
20160313,0.00001066,0.00001230,0.00001040,0.00001116,5.09121533,457354.75487119
20160314,0.00001107,0.00001490,0.00001107,0.00001399,11.93264694,902367.30107539
20160315,0.00001399,0.00001399,0.00001001,0.00001173,11.13900191,919911.31768088
20160316,0.00001143,0.00001400,0.00001100,0.00001214,5.36371511,449717.34739288
20160317,0.00001212,0.00001400,0.00001150,0.00001233,6.05452071,498488.61186850
20160318,0.00001234,0.00001509,0.00001206,0.00001411,9.58687962,721239.52004218
20160319,0.00001411,0.00001689,0.00001400,0.00001513,7.56581695,503600.61174282
20160320,0.00001518,0.00001797,0.00001513,0.00001645,12.11672539,733216.05069717
20160321,0.00001645,0.00001703,0.00001303,0.00001386,9.04635150,606042.26930460
20160322,0.00001381,0.00001590,0.00001255,0.00001355,7.25963211,529304.81357648
20160323,0.00001355,0.00001450,0.00001276,0.00001282,8.81637277,667749.33579196
20160324,0.00001282,0.00001350,0.00001180,0.00001180,4.68003480,378490.26213658
20160325,0.00001180,0.00001477,0.00001116,0.00001275,7.80860447,623141.01715380
20160326,0.00001275,0.00001308,0.00001170,0.00001170,5.56180010,452894.46790188
20160327,0.00001170,0.00001220,0.00001016,0.00001023,3.63898810,324690.80938036
20160328,0.00001025,0.00001057,0.00000750,0.00000760,6.76251511,719692.13361477
20160329,0.00000762,0.00001017,0.00000762,0.00000850,6.49736747,704709.45704313
20160330,0.00000851,0.00000927,0.00000842,0.00000872,2.87517384,330788.76729672
20160331,0.00000873,0.00000923,0.00000850,0.00000860,2.62917918,303737.41759065
20160401,0.00000860,0.00000950,0.00000780,0.00000805,4.98362388,590977.51275761
20160402,0.00000802,0.00000950,0.00000760,0.00000814,4.58700005,556181.03768118
20160403,0.00000820,0.00001627,0.00000808,0.00001340,36.05947665,2648851.68298367
20160404,0.00001302,0.00001302,0.00000927,0.00001109,15.59215466,1440311.27431122
20160405,0.00001109,0.00001279,0.00001020,0.00001103,5.63583895,516561.06496436
20160406,0.00001104,0.00001104,0.00000870,0.00000874,6.16506869,631254.67308451
20160407,0.00000874,0.00001054,0.00000874,0.00000926,5.07397101,541025.96267030
20160408,0.00000909,0.00000932,0.00000852,0.00000862,5.24161524,599262.77391012
20160409,0.00000862,0.00000905,0.00000852,0.00000904,2.92205303,340884.43426947
20160410,0.00000853,0.00000903,0.00000700,0.00000781,7.74845125,969911.21581081
20160411,0.00000781,0.00000844,0.00000566,0.00000609,9.66503988,1447364.45372999
20160412,0.00000609,0.00000645,0.00000599,0.00000613,2.50462078,411857.84422454
20160413,0.00000613,0.00000632,0.00000571,0.00000573,2.52055214,431184.11162774
20160414,0.00000573,0.00000688,0.00000571,0.00000615,1.67494821,271713.97969122
20160415,0.00000615,0.00000645,0.00000603,0.00000604,1.56108953,257264.07736170
20160416,0.00000604,0.00000701,0.00000604,0.00000645,2.61383740,401719.14868694
20160417,0.00000645,0.00000784,0.00000611,0.00000620,4.58047638,717799.21876008
20160418,0.00000622,0.00000651,0.00000605,0.00000606,2.85543833,462229.77117871
20160419,0.00000606,0.00000696,0.00000606,0.00000615,3.31411865,528891.32151301
20160420,0.00000625,0.00000650,0.00000517,0.00000536,3.40342640,582521.81596294
20160421,0.00000536,0.00000609,0.00000414,0.00000442,3.25874384,623755.17403076
20160422,0.00000456,0.00000496,0.00000445,0.00000454,1.58832477,345114.97370959
20160423,0.00000454,0.00000523,0.00000324,0.00000452,8.30175398,1932412.06353276
20160424,0.00000446,0.00000550,0.00000412,0.00000458,2.29320567,464564.86111772
20160425,0.00000458,0.00000527,0.00000443,0.00000496,1.65749972,353685.98123789
20160426,0.00000469,0.00000498,0.00000444,0.00000449,1.05935087,233306.39507447
20160427,0.00000449,0.00000508,0.00000449,0.00000476,1.72841672,363005.54809869
20160428,0.00000477,0.00000698,0.00000476,0.00000548,4.87049203,880199.08594960
20160429,0.00000555,0.00000700,0.00000463,0.00000492,5.54018515,1010121.04028395
20160430,0.00000492,0.00000530,0.00000471,0.00000476,1.00613949,207197.17569816
20160501,0.00000476,0.00000510,0.00000433,0.00000434,1.65531467,355362.09236023
20160502,0.00000434,0.00000491,0.00000430,0.00000465,1.24938447,283919.71214835
20160503,0.00000467,0.00000610,0.00000441,0.00000480,4.66464822,914704.38730804
20160504,0.00000481,0.00000720,0.00000479,0.00000578,5.15763717,871597.31561057
20160505,0.00000577,0.00000930,0.00000575,0.00000757,15.50985340,1999716.63546002
20160506,0.00000791,0.00000840,0.00000570,0.00000657,13.46163707,1870247.94464166
20160507,0.00000657,0.00000671,0.00000573,0.00000602,1.87116122,311672.41607336
20160508,0.00000602,0.00000611,0.00000578,0.00000587,2.75690047,459789.96984361
20160509,0.00000587,0.00000595,0.00000516,0.00000517,3.51780304,630575.23724719
20160510,0.00000517,0.00000601,0.00000400,0.00000503,10.17706112,2166446.60779349
20160511,0.00000504,0.00000610,0.00000504,0.00000527,3.02732207,554004.20920060
20160512,0.00000528,0.00000619,0.00000522,0.00000537,2.20885567,405452.70309539
20160513,0.00000537,0.00000584,0.00000516,0.00000517,2.23690427,423258.23419948
20160514,0.00000517,0.00000554,0.00000515,0.00000521,1.87980356,361212.54459996
20160515,0.00000521,0.00000655,0.00000520,0.00000563,2.74576199,489108.88870200
20160516,0.00000563,0.00000649,0.00000537,0.00000586,3.26270463,563441.62024232
20160517,0.00000604,0.00000666,0.00000586,0.00000590,2.68837330,438143.25941697
20160518,0.00000590,0.00000651,0.00000585,0.00000585,3.56251771,586382.49417631
20160519,0.00000585,0.00000662,0.00000525,0.00000610,6.41525707,1081471.06869083
20160520,0.00000635,0.00000679,0.00000581,0.00000588,4.54107623,742752.89819462
20160521,0.00000588,0.00000653,0.00000581,0.00000607,2.81190555,458572.97769129
20160522,0.00000608,0.00000740,0.00000607,0.00000740,4.48984344,649774.25521202
20160523,0.00000701,0.00000739,0.00000658,0.00000658,2.13029173,309538.72908414
20160524,0.00000658,0.00000755,0.00000652,0.00000703,5.66685456,797349.83802872
20160525,0.00000703,0.00000756,0.00000450,0.00000529,17.11762304,2854262.00386830
20160526,0.00000529,0.00000617,0.00000506,0.00000520,5.54735507,967283.46953629
20160527,0.00000515,0.00000592,0.00000504,0.00000518,2.06705283,389826.06835321
20160528,0.00000509,0.00000550,0.00000450,0.00000451,4.69977593,993344.35734532
20160529,0.00000468,0.00000481,0.00000430,0.00000458,2.44147230,536908.96203418
20160530,0.00000431,0.00000460,0.00000424,0.00000439,0.83603512,189062.72710237
20160531,0.00000439,0.00000460,0.00000435,0.00000435,0.97924200,221479.77170296
20160601,0.00000435,0.00000495,0.00000434,0.00000468,3.12593278,681331.67980028
20160602,0.00000450,0.00000480,0.00000445,0.00000463,0.52864860,113464.09371653
20160603,0.00000463,0.00000599,0.00000463,0.00000500,1.76411366,344659.21630229
20160604,0.00000476,0.00000597,0.00000472,0.00000555,1.00415690,180896.19143514
20160605,0.00000566,0.00000605,0.00000513,0.00000559,0.58684277,106163.70825471
20160606,0.00000559,0.00000593,0.00000516,0.00000523,2.79405640,516678.40383591
20160607,0.00000523,0.00000564,0.00000522,0.00000545,2.80981111,524388.66506611
20160608,0.00000545,0.00000630,0.00000545,0.00000572,1.78487942,303143.80112033
20160609,0.00000570,0.00000610,0.00000553,0.00000563,1.52238547,268834.34848823
20160610,0.00000563,0.00000620,0.00000555,0.00000555,0.92620589,162244.09969106
20160611,0.00000564,0.00000578,0.00000528,0.00000534,1.63143931,295947.68335839
20160612,0.00000534,0.00000534,0.00000427,0.00000430,3.16850618,667971.35141886
20160613,0.00000442,0.00000460,0.00000425,0.00000460,0.88245541,202872.01257303
20160614,0.00000431,0.00000540,0.00000419,0.00000480,0.94746500,204638.80598913
20160615,0.00000462,0.00000501,0.00000456,0.00000481,0.54009811,114868.18225355
20160616,0.00000480,0.00000484,0.00000445,0.00000445,0.42735191,93132.28036997
20160617,0.00000445,0.00000480,0.00000440,0.00000448,0.31202355,68391.60987247
20160618,0.00000448,0.00000503,0.00000448,0.00000453,1.03188518,219657.40911304
