[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20150603,0.00001000,0.00001750,0.00000780,0.00001006,1.63468912,125196.71080783
20150604,0.00001000,0.00001735,0.00001000,0.00001428,5.42336140,416942.43981968
20150605,0.00001498,0.00001515,0.00001050,0.00001078,1.91566021,149864.86103444
20150606,0.00001080,0.00003000,0.00001080,0.00001500,5.56780915,269017.49349851
20150607,0.00001492,0.00002110,0.00001492,0.00001718,2.02836321,109198.68076666
20150608,0.00001718,0.00001856,0.00001206,0.00001599,1.20710386,73432.44777738
20150609,0.00001569,0.00001660,0.00001044,0.00001103,0.87389710,71014.50366829
20150610,0.00001326,0.00001999,0.00001002,0.00001999,2.38136742,171568.66356136
20150611,0.00001652,0.00001796,0.00001265,0.00001265,0.99832311,68450.01401104
20150612,0.00001599,0.00001731,0.00001002,0.00001183,0.60367945,45436.85620592
20150613,0.00001499,0.00001700,0.00001201,0.00001201,0.37899298,24691.75786249
20150614,0.00001218,0.00001500,0.00001020,0.00001020,0.27897446,24678.55336160
20150615,0.00001020,0.00001200,0.00000923,0.00001186,2.68912195,249627.44353660
20150616,0.00001370,0.00001500,0.00001250,0.00001500,0.75390558,51542.50143194
20150617,0.00001264,0.00001264,0.00000999,0.00001000,0.14684109,13729.49907067
20150618,0.00001000,0.00001230,0.00000876,0.00000915,0.14989571,13387.49967425
20150619,0.00000916,0.00001219,0.00000912,0.00001219,0.01411901,1250.00000000
20150620,0.00000923,0.00000923,0.00000885,0.00000885,0.06314860,7083.14196048
20150621,0.00000999,0.00001111,0.00000990,0.00000990,0.13217443,12608.42159348
20150622,0.00001049,0.00001050,0.00001047,0.00001050,0.24229448,23088.22051453
20150623,0.00001045,0.00001400,0.00001010,0.00001010,0.50190681,43498.28644764
20150624,0.00001013,0.00001498,0.00001006,0.00001432,0.35489528,31891.23692598
20150625,0.00001106,0.00001599,0.00001015,0.00001599,0.66926593,56105.08280914
20150626,0.00001090,0.00001996,0.00001021,0.00001250,2.54641658,200579.13564290
20150627,0.00001465,0.00001475,0.00001288,0.00001288,0.29572295,20204.53802266
20150629,0.00001281,0.00001281,0.00001000,0.00001000,1.27918999,116966.14482538
20150630,0.00001101,0.00001385,0.00001100,0.00001385,0.06672103,5997.27797834
20150702,0.00001145,0.00001145,0.00001000,0.00001137,0.25102203,24419.28358515
20150703,0.00001000,0.00001131,0.00001000,0.00001000,0.05301057,5172.06226100
20150704,0.00001110,0.00001385,0.00001110,0.00001385,0.30922723,23740.26737004
20150705,0.00001011,0.00001016,0.00001011,0.00001011,0.06905392,6830.00000000
20150706,0.00001011,0.00001011,0.00001000,0.00001000,0.07208302,7153.41600000
20150708,0.00001002,0.00001002,0.00001001,0.00001001,0.02881494,2877.61683057
20150709,0.00001001,0.00001001,0.00001001,0.00001001,0.00400400,400.00000000
20150710,0.00001001,0.00001001,0.00001000,0.00001000,0.25227667,25226.94663509
20150711,0.00001195,0.00001195,0.00000619,0.00000619,2.05218822,236353.63866587
20150712,0.00001010,0.00001010,0.00000968,0.00000969,0.13080082,13491.92316747
20150713,0.00000805,0.00000965,0.00000805,0.00000965,0.00186297,211.55000000
20150714,0.00000616,0.00001111,0.00000616,0.00001098,3.80077375,344781.09555196
20150715,0.00001090,0.00001090,0.00001005,0.00001011,0.27269849,26103.16644335
20150716,0.00001051,0.00001055,0.00001019,0.00001055,0.79185140,76855.48036315
20150717,0.00001055,0.00001100,0.00001055,0.00001089,0.39987028,36669.71797521
20150718,0.00001080,0.00001084,0.00001000,0.00001000,2.58938281,243986.15304554
20150719,0.00000866,0.00001980,0.00000866,0.00001980,1.28104890,109851.02332188
20150720,0.00001690,0.00001690,0.00001690,0.00001690,0.00050700,30.00000000
20150721,0.00001490,0.00001499,0.00001490,0.00001499,0.03794646,2537.75645264
20150723,0.00001400,0.00001497,0.00001400,0.00001497,0.01026034,688.09889135
20150725,0.00001497,0.00001498,0.00001497,0.00001498,0.00576224,384.70671729
20150726,0.00001498,0.00001498,0.00001000,0.00001000,4.38269837,343405.47529060
20150727,0.00001140,0.00001140,0.00001035,0.00001039,0.47394425,45670.24779068
20150728,0.00001004,0.00001055,0.00000855,0.00001055,0.49406158,48260.92858550
20150729,0.00001222,0.00001281,0.00000754,0.00001151,1.11855801,96617.50376078
20150730,0.00001027,0.00001100,0.00000202,0.00001000,0.73615774,93638.25671136
20150731,0.00000800,0.00000800,0.00000777,0.00000777,0.42072523,53021.90376628
20150801,0.00000732,0.00000732,0.00000732,0.00000732,0.03984071,5442.72247951
20150802,0.00000729,0.00000872,0.00000729,0.00000872,0.38683674,45748.67080479
20150806,0.00000939,0.00000939,0.00000939,0.00000939,0.09390000,10000.00000000
20150808,0.00000808,0.00000808,0.00000808,0.00000808,0.73443308,90895.18543969
20150809,0.00000855,0.00000904,0.00000855,0.00000904,0.56070849,62624.09715431
20150810,0.00000903,0.00001600,0.00000903,0.00001500,3.10152750,220854.44805944
20150811,0.00001404,0.00001434,0.00000930,0.00000940,0.90546349,74593.42656785
20150812,0.00000962,0.00000962,0.00000777,0.00000902,1.57494565,182618.18701010
20150813,0.00000860,0.00001098,0.00000614,0.00001098,2.67801449,283760.37158105
20150814,0.00001095,0.00001095,0.00000774,0.00000921,1.50135001,160104.50119890
20150815,0.00000789,0.00000808,0.00000788,0.00000808,0.75460510,93700.00000000
20150816,0.00000736,0.00000736,0.00000561,0.00000561,0.02525973,4202.85173449
20150817,0.00000522,0.00000950,0.00000513,0.00000932,0.42384260,50813.15375485
20150819,0.00000885,0.00000885,0.00000413,0.00000680,1.00898765,138567.25542801
20150822,0.00000600,0.00000600,0.00000597,0.00000597,1.00752139,168295.23402500
20150825,0.00000587,0.00000587,0.00000586,0.00000586,0.00719838,1228.05654553
20150826,0.00000501,0.00000501,0.00000416,0.00000416,0.00787081,1710.42319272
20150827,0.00000579,0.00000890,0.00000579,0.00000890,0.87257669,100569.27701123
20150828,0.00000850,0.00000909,0.00000850,0.00000909,0.31906275,35688.85876338
20150829,0.00000874,0.00000918,0.00000874,0.00000918,0.18970281,20668.81799962
20150830,0.00000918,0.00000925,0.00000918,0.00000925,0.07890499,8554.46623093
20150831,0.00000928,0.00001111,0.00000928,0.00001111,1.42787250,152585.75362697
20150901,0.00000899,0.00001200,0.00000655,0.00001174,0.33452586,34156.68577440
20150902,0.00001139,0.00001200,0.00001139,0.00001200,0.20325226,17396.29073981
20150903,0.00001384,0.00001600,0.00001001,0.00001001,1.11524825,82978.92520722
20150904,0.00001173,0.00001479,0.00001002,0.00001002,0.05759350,5317.90000000
20150905,0.00001002,0.00001002,0.00001001,0.00001001,0.12512949,12500.00000000
20150907,0.00001296,0.00001296,0.00001296,0.00001296,0.00583200,450.00000000
20150908,0.00001207,0.00001495,0.00001000,0.00001000,4.01723780,358617.00210840
