[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140312,0.00002400,0.00002400,0.00002400,0.00002400,0.00072000,30.00000000
20140313,0.00002400,0.00002400,0.00000001,0.00000001,0.00840247,598.84304997
20140314,0.00001500,0.00001500,0.00001500,0.00001500,0.00153000,102.00000000
20140315,0.00001350,0.00001350,0.00001350,0.00001350,0.00094508,70.00624196
20140316,0.00001360,0.00005000,0.00000001,0.00000001,0.62956097,42413.66201684
20140317,0.00000001,0.00004500,0.00000001,0.00004500,0.00079030,298.24568571
20140318,0.00000147,0.00001485,0.00000147,0.00001485,0.00715031,542.58063058
20140319,0.00001674,0.00001674,0.00001674,0.00001674,0.00003515,2.10000000
20140320,0.00001670,0.00001670,0.00001250,0.00001250,0.00923420,604.00000000
20140322,0.00001800,0.00002200,0.00001200,0.00002200,0.02533983,1571.56986077
20140323,0.00002499,0.00002499,0.00002499,0.00002499,0.00017493,7.00000000
20140326,0.00000250,0.00000250,0.00000250,0.00000250,0.00260334,1041.33920801
20140328,0.00001999,0.00002000,0.00001201,0.00001201,0.02407841,1710.93984147
20140329,0.00000250,0.00000251,0.00000250,0.00000250,0.00255951,1023.79190926
20140331,0.00000285,0.00000295,0.00000285,0.00000295,0.00272798,943.54368043
20140403,0.00000300,0.00000300,0.00000300,0.00000300,0.00075477,251.59367021
20140405,0.00001845,0.00001845,0.00000855,0.00000855,0.00903719,1038.45596299
20140406,0.00000855,0.00000901,0.00000855,0.00000901,0.00526289,609.64513229
20140407,0.00000903,0.00001500,0.00000903,0.00001500,0.01927563,1336.23259365
20140408,0.00001545,0.00002100,0.00001545,0.00002100,0.02506873,1350.32963617
20140409,0.00002400,0.00002400,0.00002000,0.00002400,0.02456202,1187.82841666
20140410,0.00001252,0.00002400,0.00001252,0.00002400,0.13625247,10468.84387438
20140411,0.00001360,0.00001360,0.00001360,0.00001360,0.00081600,60.00000000
20140412,0.00002298,0.00002499,0.00002298,0.00002340,0.14690221,5953.65813572
20140413,0.00001511,0.00001511,0.00001510,0.00001510,0.00335221,222.00000000
20140414,0.00001600,0.00001900,0.00001510,0.00001890,0.01486441,976.83403273
20140415,0.00001591,0.00001849,0.00001520,0.00001520,0.16433655,9992.91887507
20140416,0.00001201,0.00001201,0.00001201,0.00001201,0.00013211,11.00000000
20140417,0.00001220,0.00002001,0.00001220,0.00002001,0.01086999,571.94460604
20140418,0.00002890,0.00002890,0.00002000,0.00002500,0.02028569,751.60646276
20140419,0.00002701,0.00002701,0.00002701,0.00002701,0.00280904,104.00000000
20140420,0.00002702,0.00002705,0.00001441,0.00001441,1.82117707,69152.30694870
20140421,0.00001500,0.00001990,0.00001380,0.00001563,0.01467050,877.46567137
20140422,0.00002490,0.00002500,0.00002490,0.00002500,0.00337749,135.22633840
20140423,0.00002400,0.00002400,0.00002400,0.00002400,0.01469206,612.16967254
20140424,0.00002400,0.00002490,0.00000401,0.00002490,0.01483209,1333.15865747
20140426,0.00002490,0.00002490,0.00002490,0.00002490,0.09959999,4000.00000000
20140427,0.00000555,0.00000555,0.00000554,0.00000554,0.00860313,1552.90748784
20140428,0.00000759,0.00000759,0.00000759,0.00000759,0.00056925,75.00000000
20140430,0.00000891,0.00000999,0.00000890,0.00000999,0.01253052,1407.80000000
20140501,0.00000891,0.00000891,0.00000891,0.00000891,0.00003564,4.00000000
20140502,0.00000903,0.00000903,0.00000890,0.00000891,0.44519377,49939.58077452
20140503,0.00000820,0.00000820,0.00000820,0.00000820,0.00819999,999.99997655
20140504,0.00000761,0.00000771,0.00000761,0.00000771,0.03190362,4154.83137181
20140505,0.00000770,0.00000770,0.00000601,0.00000606,0.02143510,3515.77466622
20140506,0.00000889,0.00000889,0.00000604,0.00000650,0.00585763,914.35353473
20140507,0.00000670,0.00000985,0.00000669,0.00000679,0.03174206,4722.95674705
20140508,0.00000681,0.00001065,0.00000681,0.00001065,0.68408594,64605.08290137
20140509,0.00000692,0.00000710,0.00000676,0.00000710,0.00408546,594.49249526
20140511,0.00000750,0.00000750,0.00000750,0.00000750,0.00309718,412.95919654
20140512,0.00000750,0.00000750,0.00000677,0.00000677,0.02105201,2934.01435902
20140513,0.00000700,0.00000700,0.00000602,0.00000700,0.00679050,999.31053341
20140514,0.00000602,0.00000602,0.00000601,0.00000601,0.00193909,322.34097455
20140515,0.00000601,0.00000601,0.00000601,0.00000601,0.00047934,79.75891303
20140516,0.00000601,0.00000650,0.00000365,0.00000575,0.01477047,2559.05402752
20140517,0.00000575,0.00000575,0.00000575,0.00000575,0.00066143,115.03304347
20140518,0.00000440,0.00000440,0.00000440,0.00000440,0.00009745,22.14909426
20140519,0.00000440,0.00000440,0.00000440,0.00000440,0.04223997,9600.00000000
20140520,0.00000655,0.00000655,0.00000561,0.00000561,0.01043463,1724.19534671
20140521,0.00000452,0.00000452,0.00000020,0.00000020,0.00204011,1689.93490476
20140522,0.00000211,0.00000230,0.00000211,0.00000230,0.00074463,324.08105219
20140523,0.00000235,0.00000520,0.00000230,0.00000280,0.00690385,2102.77462859
20140524,0.00000400,0.00000477,0.00000400,0.00000401,0.01833391,3919.25260587
20140525,0.00000402,0.00000480,0.00000330,0.00000480,0.01050751,2331.48807468
20140526,0.00000498,0.00002095,0.00000498,0.00002095,0.39089521,28219.13090803
20140527,0.00002050,0.00002050,0.00000505,0.00000630,0.15801161,9019.63403046
20140528,0.00000631,0.00000650,0.00000505,0.00000505,0.05166967,8808.85488433
20140529,0.00000730,0.00000730,0.00000035,0.00000400,0.81031270,112421.41922166
20140530,0.00001294,0.00001294,0.00000500,0.00000635,0.00026564,28.09315620
20140531,0.00000636,0.00001294,0.00000636,0.00001200,0.31291579,36109.15267103
20140601,0.00001295,0.00001297,0.00000710,0.00000713,0.28891991,28728.45256488
20140602,0.00000713,0.00001000,0.00000711,0.00000835,0.23918440,28643.94338537
20140603,0.00000752,0.00000999,0.00000752,0.00000778,0.12216747,14629.53176729
