[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140217,0.00649991,0.00672552,0.00637506,0.00648051,0.09572850,14.63000000
20140218,0.00653483,0.00668878,0.00632070,0.00638749,0.14104641,21.75700000
20140219,0.00638749,0.00660840,0.00629617,0.00643403,0.07807704,12.03600000
20140220,0.00652674,0.00662916,0.00631438,0.00649753,0.05062252,7.80700000
20140221,0.00652884,0.00660074,0.00630685,0.00646339,0.08531772,13.21500000
20140222,0.00646339,0.00654575,0.00621575,0.00629961,0.10650446,16.63800000
20140223,0.00632586,0.00647005,0.00624068,0.00645385,0.04610883,7.21700000
20140224,0.00636795,0.00651587,0.00618141,0.00640061,0.11065814,17.38100000
20140225,0.00639575,0.00648866,0.00603737,0.00611281,0.04664910,7.41300000
20140306,0.00600902,0.00600902,0.00590505,0.00590505,0.00098291,0.16500000
20140315,0.00000999,0.00000999,0.00000999,0.00000999,0.00000215,0.21500000
20140322,0.00611080,0.00670000,0.00611080,0.00670000,0.00822163,1.28000000
20140402,0.01650000,0.01650000,0.01650000,0.01650000,0.02332500,1.41363591
20140403,0.01650000,0.01650000,0.01650000,0.01650000,0.55417501,33.58636409
20140405,0.00400000,0.00400000,0.00400000,0.00400000,0.00880000,2.20000000
20140406,0.00430000,0.00430000,0.00430000,0.00430000,0.00049512,0.11514419
20140411,0.00430000,0.00430000,0.00430000,0.00430000,0.00860000,2.00000000
20140412,0.00430000,0.00430000,0.00420000,0.00430000,0.56855659,132.27362472
20140415,0.00496000,0.00496000,0.00496000,0.00496000,0.00580636,1.17063636
20140417,0.00060000,0.00060000,0.00060000,0.00060000,0.00534556,8.90926400
20140418,0.00062000,0.00062000,0.00062000,0.00062000,0.00842828,13.59400000
20140422,0.00176300,0.00176300,0.00176300,0.00176300,0.02253664,12.78311900
20140520,0.00176300,0.00176300,0.00176300,0.00176300,0.00008915,0.05056600
20140523,0.00200000,0.00200000,0.00200000,0.00200000,0.00010113,0.05056600
20140524,0.00400000,0.00400000,0.00400000,0.00400000,0.00020226,0.05056600
20140525,0.00050000,0.00050000,0.00050000,0.00050000,0.00002528,0.05056600
20140530,2.00000000,2.00000000,0.00060000,0.01836220,0.74709892,5.18568763
20140603,0.00350000,0.00370000,0.00350000,0.00370000,0.00788754,2.19098335
20140604,0.00370000,0.00370000,0.00370000,0.00370000,0.07955000,21.50000000
20140605,0.00270000,0.00270000,0.00270000,0.00270000,0.00753699,2.79147701
20140606,0.00270000,0.00280000,0.00270000,0.00280000,0.06248087,23.13328438
20140607,0.00103650,0.00103650,0.00103500,0.00103500,0.00751615,7.25598670
20140608,0.00280000,0.00280000,0.00280000,0.00280000,0.01806321,6.45114661
20140610,0.00280000,0.00290000,0.00280000,0.00290000,0.02324516,8.01613031
20140614,0.00108000,0.00108000,0.00108000,0.00108000,0.00005461,0.05056600
20140616,0.00300000,0.00300000,0.00300000,0.00300000,0.10113000,33.71000000
20140617,0.00300000,0.00300000,0.00300000,0.00300000,0.00606000,2.02000000
20140618,0.00290000,0.00290000,0.00290000,0.00290000,0.37120000,128.00000000
20140619,0.00103100,0.00103101,0.00103100,0.00103100,0.03124705,30.30722441
20140620,0.00290000,0.00290000,0.00290000,0.00290000,0.00142100,0.49000000
20140621,0.00275000,0.00275000,0.00275000,0.00275000,0.00006206,0.02256592
20140622,0.00275000,0.00275000,0.00272000,0.00273000,0.02702131,9.89792205
20140623,0.00273000,0.00290000,0.00273000,0.00290000,0.04283070,15.61516656
20140624,0.00200000,0.00200000,0.00200000,0.00200000,0.00025451,0.12725600
20140625,0.00200002,0.00200002,0.00200000,0.00200000,0.05777009,28.88489900
20140626,0.00200002,0.00200002,0.00200000,0.00200000,0.19914136,99.57018000
20140627,0.00200001,0.00200011,0.00200001,0.00200011,0.97976567,489.88023200
20140628,0.00200010,0.00299000,0.00200010,0.00299000,0.14951316,68.85446963
20140629,0.00222614,0.00298000,0.00222614,0.00298000,0.04517316,16.32498435
20140630,0.00298000,0.00298000,0.00220001,0.00220001,0.10532685,39.15597764
20140701,0.00220001,0.00220001,0.00220001,0.00220001,0.01006562,4.57526000
20140702,0.00220001,0.00220002,0.00220001,0.00220002,0.05196145,23.61866637
20140703,0.00279000,0.00283000,0.00279000,0.00283000,0.17254955,61.06962556
20140704,0.00283000,0.00283000,0.00220064,0.00220064,0.08985305,33.02184310
20140705,0.00239965,0.00240076,0.00220064,0.00220064,0.02643324,11.85668658
20140706,0.00268358,0.00268358,0.00240555,0.00240555,0.13715796,56.99125459
20140707,0.00240555,0.00240555,0.00230482,0.00231000,0.22352734,95.83000000
20140708,0.00231032,0.00338000,0.00219998,0.00220000,13.73320867,6149.80044095
20140709,0.00239999,0.00268633,0.00220625,0.00239643,0.48316961,200.09454664
20140710,0.00220703,0.00233945,0.00160051,0.00160051,0.14827464,66.93049731
