[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140327,0.00005899,0.00005899,0.00005899,0.00005899,0.00532908,90.33890418
20140328,0.00005687,0.00005899,0.00003000,0.00004000,0.53655219,11171.42640316
20140329,0.00004000,0.00004899,0.00003548,0.00003548,1.52412487,33431.54408415
20140330,0.00004000,0.00004640,0.00004000,0.00004300,0.05853950,1331.78441649
20140331,0.00004300,0.00007800,0.00003610,0.00007798,2.38472654,43317.19418195
20140401,0.00005010,0.00008125,0.00005010,0.00007098,4.26726057,58457.26707032
20140402,0.00005509,0.00006500,0.00005509,0.00005510,1.92123460,33519.61418719
20140403,0.00005510,0.00006950,0.00003610,0.00003700,5.02640827,95780.53781904
20140404,0.00005000,0.00005500,0.00004502,0.00004831,1.64196868,32784.07405634
20140405,0.00004834,0.00006993,0.00004833,0.00005600,1.60524720,28383.85424697
20140406,0.00005599,0.00005998,0.00005301,0.00005400,2.01955575,36301.43914075
20140407,0.00005500,0.00006247,0.00005428,0.00005461,1.12350595,19972.57930852
20140408,0.00005999,0.00005999,0.00005000,0.00005209,1.29605283,23583.30279673
20140409,0.00005212,0.00005212,0.00005008,0.00005200,0.44595064,8749.43148029
20140410,0.00005150,0.00005300,0.00003610,0.00005050,1.10379690,21989.29308408
20140411,0.00005199,0.00007098,0.00005100,0.00006112,3.32425545,50801.65766174
20140412,0.00006112,0.00006798,0.00005642,0.00005642,0.78500797,12603.75478156
20140413,0.00005642,0.00006948,0.00005604,0.00006299,0.34655345,5636.54436550
20140414,0.00006249,0.00006800,0.00005630,0.00006000,1.19052852,20248.75375139
20140415,0.00006001,0.00006429,0.00005636,0.00005636,0.23743710,3942.07640897
20140416,0.00005752,0.00006036,0.00005500,0.00005500,0.31176145,5583.47598660
20140417,0.00005501,0.00005950,0.00003001,0.00005500,0.30674389,7199.87666576
20140418,0.00004022,0.00004749,0.00004010,0.00004749,0.03250592,807.91123937
20140419,0.00004010,0.00004010,0.00003050,0.00003050,0.07515451,2285.25862773
20140420,0.00003050,0.00005670,0.00002300,0.00002300,0.59501839,15511.06873358
20140421,0.00002301,0.00004828,0.00002300,0.00004200,0.46250218,12906.80084902
20140422,0.00004199,0.00004700,0.00003004,0.00004700,0.74073449,19321.35767601
20140423,0.00003996,0.00004648,0.00003302,0.00003835,0.74594260,21142.41005961
20140424,0.00003309,0.00004068,0.00002302,0.00003996,0.67946944,23700.70012642
20140425,0.00002305,0.00003996,0.00001500,0.00002405,1.07369392,51442.65824394
20140426,0.00002405,0.00002889,0.00002000,0.00002799,1.28103358,60067.98319936
