[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170618,0.00009000,1.00000000,0.00007128,0.00011718,838.28809572,7087438.57556804
20170619,0.00011719,0.00028798,0.00010468,0.00017798,5963.61033335,33435879.17793064
20170620,0.00017798,0.00022200,0.00012008,0.00017190,1867.96866508,11182610.23162594
20170621,0.00016800,0.00017250,0.00010322,0.00011694,585.41611724,4206944.24006070
20170622,0.00011694,0.00012342,0.00009975,0.00011500,362.66944566,3242338.01996947
20170623,0.00011500,0.00014800,0.00011082,0.00012003,398.83102414,3163565.31121048
20170624,0.00012003,0.00012335,0.00009579,0.00011250,258.41834991,2327354.89424478
20170625,0.00011266,0.00011791,0.00007192,0.00008492,201.18748762,2112916.70961940
20170626,0.00008492,0.00010040,0.00007400,0.00008511,179.86373289,2096980.61247864
20170627,0.00008489,0.00009289,0.00007195,0.00007916,142.20264595,1784644.99036304
20170628,0.00008246,0.00008436,0.00007519,0.00007890,111.24292241,1391980.47263741
20170629,0.00007890,0.00007945,0.00007013,0.00007255,116.79416322,1569742.83044340
20170630,0.00007317,0.00007338,0.00006000,0.00006154,173.56935422,2628483.48161407
20170701,0.00006161,0.00008888,0.00006000,0.00007879,449.36874535,5941298.97356890
20170702,0.00007882,0.00013000,0.00007002,0.00010708,1258.05887664,12869690.35916650
20170703,0.00010624,0.00011500,0.00009303,0.00009640,782.70438262,7592284.00646798
20170704,0.00009640,0.00009900,0.00007700,0.00007810,454.58558495,5150311.63137923
20170705,0.00007850,0.00009090,0.00007700,0.00008250,184.92875048,2203760.64042504
20170706,0.00008334,0.00009100,0.00008272,0.00008910,120.29571551,1402092.28385357
20170707,0.00008866,0.00009050,0.00007102,0.00007171,214.55106829,2635890.58369969
20170708,0.00007171,0.00007482,0.00006667,0.00007025,90.36644649,1276357.69728521
20170709,0.00007150,0.00007370,0.00006209,0.00006585,154.33407053,2295988.76824077
20170710,0.00006591,0.00007100,0.00005035,0.00005632,235.65179220,3891591.07438440
20170711,0.00005632,0.00005903,0.00004405,0.00005045,94.54880932,1823961.59616244
20170712,0.00004983,0.00005922,0.00004525,0.00005700,120.73039430,2298807.70707375
20170713,0.00005695,0.00006899,0.00005000,0.00005520,86.01388890,1505051.02833067
20170714,0.00005520,0.00005520,0.00004650,0.00004850,63.54144739,1279003.92962972
20170715,0.00004779,0.00005098,0.00004350,0.00004950,79.46648394,1654473.16234547
20170716,0.00004893,0.00005073,0.00004401,0.00004672,35.59450512,749084.51619184
20170717,0.00004672,0.00005419,0.00004454,0.00005020,68.42961803,1390153.39742443
20170718,0.00005085,0.00005423,0.00004802,0.00005203,48.07464054,950642.88407502
20170719,0.00005128,0.00005905,0.00004764,0.00005200,60.14191344,1155612.43219922
20170720,0.00005200,0.00006391,0.00005104,0.00006059,81.21726904,1411637.14006433
20170721,0.00006007,0.00006391,0.00005635,0.00006063,41.80765972,700724.29572603
20170722,0.00005967,0.00007056,0.00005800,0.00006725,78.26655411,1224368.35616727
20170723,0.00006799,0.00007482,0.00006550,0.00007253,50.51447925,717441.30325684
20170724,0.00007250,0.00007951,0.00006501,0.00007001,85.21027830,1187709.35875170
20170725,0.00007003,0.00007144,0.00005050,0.00005768,84.20573041,1388841.71975308
20170726,0.00005785,0.00006250,0.00002534,0.00005543,71.96824569,1364457.87529693
20170727,0.00005549,0.00005661,0.00004528,0.00005008,32.98137511,633298.07391253
20170728,0.00005008,0.00005008,0.00004289,0.00004488,40.57957028,880837.86188502
20170729,0.00004476,0.00005098,0.00004225,0.00004990,44.61435131,967933.09724798
20170730,0.00004990,0.00005171,0.00004351,0.00004601,36.51118394,771950.44814190
20170731,0.00004738,0.00004798,0.00004200,0.00004250,38.91030802,880986.64059647
20170801,0.00004217,0.00006831,0.00004208,0.00005044,106.36208154,1979849.44736852
20170802,0.00005044,0.00005802,0.00005005,0.00005292,66.86645954,1230934.92135153
