[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170610,1.00000003,1.00000004,0.00015000,0.00024250,1027.55773833,3677534.08893762
20170611,0.00025000,0.00025599,0.00019598,0.00022594,355.76995001,1627553.93818097
20170612,0.00022500,0.00029777,0.00016500,0.00026708,382.71333775,1797103.45488181
20170613,0.00026713,0.00055500,0.00025000,0.00050845,1085.23555693,2843739.02101566
20170614,0.00050847,0.00072980,0.00040540,0.00068197,1650.12069623,2981188.07510820
20170615,0.00068197,0.00098391,0.00044945,0.00071500,4460.62989904,6037678.05670921
20170616,0.00071499,0.00073997,0.00055555,0.00060887,999.58716901,1580207.61936669
20170617,0.00060887,0.00061997,0.00043000,0.00048700,1209.94344867,2375215.60984378
20170618,0.00048700,0.00052000,0.00040999,0.00043006,754.22529779,1662301.81985176
20170619,0.00043498,0.00043500,0.00030015,0.00033101,847.47737304,2249906.93530020
20170620,0.00033101,0.00038289,0.00030557,0.00033749,277.96784117,813046.57636094
20170621,0.00033727,0.00035000,0.00030751,0.00032505,234.60578362,731165.45156447
20170622,0.00032505,0.00049970,0.00031758,0.00044482,1387.90722374,3216900.31236172
20170623,0.00044482,0.00047500,0.00040500,0.00045546,493.29065068,1105592.73508844
20170624,0.00045532,0.00047499,0.00038834,0.00038932,289.86065014,660621.28481479
20170625,0.00038962,0.00041256,0.00030600,0.00037070,250.61404916,664206.73138773
20170626,0.00037091,0.00040330,0.00031239,0.00036203,154.89742351,444596.98139791
20170627,0.00035900,0.00036203,0.00031861,0.00034499,158.96982390,478260.56723568
20170628,0.00034499,0.00040500,0.00033000,0.00035302,239.27935039,652677.91249651
20170629,0.00035293,0.00035939,0.00031450,0.00032418,168.30584158,502714.68601732
20170630,0.00032418,0.00032976,0.00027499,0.00030491,176.02490625,573033.04495150
20170701,0.00030377,0.00031055,0.00025644,0.00026689,123.69602017,436051.42343511
20170702,0.00026551,0.00034000,0.00025280,0.00029492,117.69111862,414809.04580128
20170703,0.00030084,0.00031000,0.00027028,0.00030770,77.39009304,267857.23042039
20170704,0.00030751,0.00030752,0.00025515,0.00027560,69.98311848,246353.04753000
20170705,0.00027883,0.00028921,0.00020200,0.00023058,142.60668614,608179.31270578
20170706,0.00023061,0.00024960,0.00021000,0.00021063,103.69670600,454268.97084739
20170707,0.00021063,0.00022296,0.00018397,0.00021000,113.31986254,560738.14135410
20170708,0.00020398,0.00021500,0.00018600,0.00020826,67.73724377,349180.67265113
20170709,0.00021045,0.00022000,0.00018132,0.00019043,43.81793841,222228.21121490
20170710,0.00018866,0.00019813,0.00015220,0.00015661,42.46216712,251172.94779830
20170711,0.00015785,0.00018406,0.00015640,0.00017337,45.51818468,274295.04409503
20170712,0.00017493,0.00021380,0.00014207,0.00018285,91.10478307,523428.40023356
20170713,0.00018282,0.00019869,0.00015701,0.00017508,37.68189807,212509.90596852
20170714,0.00017508,0.00018822,0.00016508,0.00017300,20.28681223,116293.67636637
20170715,0.00018265,0.00019299,0.00016783,0.00017029,20.33972636,114617.91702868
20170716,0.00017028,0.00018500,0.00015313,0.00017996,42.03093047,248568.05112850
20170717,0.00017923,0.00018500,0.00016021,0.00018500,33.21483934,187826.63908593
20170718,0.00018500,0.00020964,0.00017929,0.00018627,46.93035516,245033.93168627
20170719,0.00019156,0.00022398,0.00017928,0.00020081,62.43694002,302517.72567414
20170720,0.00020081,0.00024100,0.00019603,0.00020300,62.89940276,290774.20575113
20170721,0.00020300,0.00022606,0.00018866,0.00018866,33.07667753,162146.76651942
20170722,0.00019430,0.00022900,0.00017770,0.00021743,58.69346335,307150.82730768
20170723,0.00021750,0.00022055,0.00019000,0.00021202,48.74648691,237563.67141471
20170724,0.00021401,0.00022055,0.00018980,0.00019550,34.24287458,169635.22569419
20170725,0.00019450,0.00021030,0.00016805,0.00017797,58.34113634,313185.41784932
20170726,0.00017528,0.00018504,0.00016000,0.00017794,26.05603069,153504.12547721
20170727,0.00017794,0.00019850,0.00017457,0.00018450,28.46335806,154597.42022909
20170728,0.00018450,0.00018654,0.00006300,0.00012589,1073.44755304,9768090.12005650
20170729,0.00012500,0.00013188,0.00010580,0.00011888,153.07636987,1274754.92849772
20170730,0.00011888,0.00012800,0.00011000,0.00011048,101.22342671,846795.55407020
20170731,0.00011078,0.00012017,0.00010619,0.00010645,40.40714566,363855.77862232
20170801,0.00010916,0.00013776,0.00010001,0.00012680,101.16900302,843000.97278571
20170802,0.00012423,0.00013697,0.00011006,0.00012229,85.66844688,710732.57694413
