[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170720,0.09000000,0.09000000,0.00249999,0.00276000,144.69369043,46562.87570534
20170721,0.00276000,0.00515000,0.00261101,0.00298000,1159.89919156,364697.96145313
20170722,0.00289099,0.00298899,0.00260030,0.00265400,318.98598704,115354.57180269
20170723,0.00268000,0.00279000,0.00240000,0.00261997,341.65716342,133394.33084297
20170724,0.00261892,0.00275229,0.00240100,0.00262897,243.38123639,95108.20986011
20170725,0.00264821,0.00275021,0.00223320,0.00238560,450.34626915,185188.50786919
20170726,0.00238559,0.00247000,0.00210343,0.00247000,213.61299061,91307.38063531
20170727,0.00247000,0.00249192,0.00228935,0.00230554,102.98116457,43228.28822975
20170728,0.00230629,0.00234298,0.00193104,0.00201609,170.88496495,81832.32548310
20170729,0.00201610,0.00211000,0.00196314,0.00210902,74.73536803,36655.52887160
20170730,0.00211000,0.00211000,0.00200000,0.00200000,65.34396106,31689.61018076
20170731,0.00200000,0.00231051,0.00194905,0.00208198,348.73633158,170828.06142459
20170801,0.00208448,0.00238907,0.00203035,0.00234013,195.31360674,86871.71652746
20170802,0.00237980,0.00250000,0.00225373,0.00232033,389.96357302,162902.32376563
