[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170305,0.00035000,0.00035000,0.00001300,0.00004499,6.57436415,168166.51171054
20170306,0.00003782,0.00004817,0.00003050,0.00004700,9.00043513,212612.51258704
20170307,0.00004401,0.00004600,0.00003758,0.00004196,1.22509803,29037.09573614
20170308,0.00004194,0.00004194,0.00003500,0.00004053,1.31758784,36028.84584160
20170309,0.00003998,0.00004140,0.00003708,0.00004080,0.53125206,13163.70748249
20170310,0.00003959,0.00004078,0.00003500,0.00003632,1.08644779,29617.08205375
20170311,0.00003655,0.00004000,0.00003600,0.00003999,0.33820423,9137.12926766
20170312,0.00003875,0.00004000,0.00003600,0.00003953,6.66705721,171792.91742558
20170313,0.00003615,0.00003994,0.00003571,0.00003925,0.83591604,22427.28741760
20170314,0.00003678,0.00003999,0.00003578,0.00003967,1.38958581,35354.55741452
20170315,0.00003968,0.00003968,0.00003500,0.00003636,2.46340013,68252.67417078
20170316,0.00003636,0.00003890,0.00003141,0.00003211,1.65933326,47175.06469480
20170317,0.00003214,0.00004000,0.00003137,0.00003953,5.34964500,151402.26468021
20170318,0.00003953,0.00003980,0.00003568,0.00003900,0.51505083,13585.93080310
20170319,0.00003899,0.00003899,0.00003753,0.00003889,0.19021748,4944.23761770
20170320,0.00003742,0.00003889,0.00003423,0.00003505,2.18296840,60752.34766531
20170321,0.00003463,0.00003800,0.00003442,0.00003658,2.89715997,80105.66145502
20170322,0.00003637,0.00003781,0.00003453,0.00003781,0.28177117,7730.07922536
20170323,0.00003735,0.00003785,0.00003447,0.00003785,1.52073242,42533.39690290
20170324,0.00003785,0.00003891,0.00003617,0.00003887,0.72399743,19107.51714839
20170325,0.00003886,0.00003887,0.00003496,0.00003830,2.05406288,56400.77719244
20170326,0.00003713,0.00003830,0.00003495,0.00003645,2.46269456,69354.16409373
20170327,0.00003645,0.00003645,0.00002652,0.00003064,4.49745394,147351.31189289
20170328,0.00002701,0.00003608,0.00002500,0.00003219,3.67808037,124815.65887062
20170329,0.00003348,0.00003437,0.00002701,0.00003112,2.91118269,96882.07166983
20170330,0.00002995,0.00003245,0.00002505,0.00003230,0.96267094,33462.73302431
20170331,0.00003200,0.00003886,0.00002874,0.00003076,14.59586945,431604.94166893
20170401,0.00003077,0.00003496,0.00003077,0.00003482,4.68255368,141770.04262518
20170402,0.00003412,0.00003738,0.00003203,0.00003320,0.76663915,22751.57037041
20170403,0.00003204,0.00003649,0.00003106,0.00003598,1.06155815,32792.41511286
20170404,0.00003590,0.00003695,0.00002502,0.00002882,3.91886157,124781.97777313
20170405,0.00002960,0.00003199,0.00002803,0.00003000,1.09830340,37246.49863146
20170406,0.00003149,0.00003191,0.00002751,0.00002782,1.94885844,68412.10544469
20170407,0.00002782,0.00003099,0.00002652,0.00002663,3.41746212,122665.76142657
20170408,0.00002670,0.00002979,0.00002670,0.00002963,1.15895973,40649.81054233
20170409,0.00002919,0.00002949,0.00002602,0.00002602,1.87462153,69693.44342009
20170410,0.00002848,0.00002900,0.00002502,0.00002740,0.72912471,28224.55210691
20170411,0.00002738,0.00002825,0.00002535,0.00002710,0.82228820,30297.47057115
20170412,0.00002710,0.00002822,0.00002500,0.00002819,1.41230802,55364.56860802
20170413,0.00002727,0.00002940,0.00002473,0.00002800,2.73854253,100005.19408514
20170414,0.00002787,0.00002787,0.00002513,0.00002759,1.49458644,57064.65780033
20170415,0.00002711,0.00002789,0.00002416,0.00002692,2.86360991,110529.66609375
20170416,0.00002665,0.00002764,0.00002420,0.00002764,2.80998290,105911.75604805
20170417,0.00002764,0.00002813,0.00002690,0.00002749,0.58437023,21175.41592798
20170418,0.00002750,0.00002999,0.00002614,0.00002811,8.56448314,300108.64259081
20170419,0.00002811,0.00002811,0.00002710,0.00002715,2.07422740,75949.56135759
20170420,0.00002718,0.00002718,0.00002602,0.00002602,4.33839014,163662.46241330
20170421,0.00002700,0.00002811,0.00002602,0.00002683,1.20484910,44244.84991412
20170422,0.00002796,0.00002810,0.00002683,0.00002810,0.92240529,33659.63861156
20170423,0.00002808,0.00002966,0.00002750,0.00002966,2.88594908,102720.04796883
20170424,0.00002959,0.00002975,0.00002692,0.00002813,2.07113320,70650.26130664
20170425,0.00002917,0.00003000,0.00002696,0.00002846,4.78402813,166079.07718599
20170426,0.00002829,0.00002920,0.00002697,0.00002862,2.94212631,105546.76631859
20170427,0.00002851,0.00002862,0.00002724,0.00002844,4.03767788,143020.75861092
20170428,0.00002844,0.00003503,0.00002730,0.00003500,5.66756609,175993.05780863
20170429,0.00003409,0.00003495,0.00002999,0.00003015,5.84857091,186839.59674692
20170430,0.00003027,0.00003140,0.00002700,0.00002764,9.27683062,319027.39288960
20170501,0.00002801,0.00002995,0.00002465,0.00002768,10.50982593,408165.47663818
20170502,0.00002701,0.00002701,0.00002408,0.00002598,4.62134640,183700.91912817
20170503,0.00002595,0.00002784,0.00002460,0.00002560,5.97891869,231426.33850432
20170504,0.00002560,0.00002570,0.00002122,0.00002450,5.95630956,244439.81031199
20170505,0.00002287,0.00002300,0.00001602,0.00001918,16.19347738,839097.76972932
20170506,0.00001919,0.00002100,0.00001634,0.00002000,6.37939576,339442.43787730
20170507,0.00002000,0.00002321,0.00001837,0.00002059,1.54512306,74514.42983154
20170508,0.00002044,0.00002196,0.00001813,0.00002007,1.54843614,80497.24191166
20170509,0.00002006,0.00002575,0.00001977,0.00001997,4.73288743,226907.99957101
20170510,0.00002000,0.00002498,0.00002000,0.00002033,2.95066649,132842.66240813
20170511,0.00002144,0.00002222,0.00001939,0.00002079,2.76537444,136067.94916500
20170512,0.00002051,0.00002158,0.00001819,0.00002055,1.28131281,66191.19517626
20170513,0.00001950,0.00002060,0.00001751,0.00001912,3.86516700,206082.69555819
20170514,0.00001912,0.00002200,0.00001900,0.00002200,1.47408807,73600.56741151
20170515,0.00002093,0.00002171,0.00001900,0.00002050,2.40795167,122607.30219842
20170516,0.00002050,0.00002081,0.00001800,0.00001900,1.28071273,65343.04146476
