[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160126,0.00025000,0.00025000,0.00012000,0.00012000,0.01450000,110.00000000
20160127,0.00020000,0.00027861,0.00012001,0.00021002,12.12072203,63668.95837491
20160128,0.00019068,0.00026000,0.00010470,0.00014899,27.85916767,138755.42384495
20160129,0.00014898,0.00019095,0.00012501,0.00013055,22.86723073,128596.37874440
20160130,0.00013055,0.00016889,0.00009785,0.00014000,6.10560943,51334.44030337
20160131,0.00014000,0.00014000,0.00010036,0.00013321,2.34679533,19835.34099399
20160201,0.00011992,0.00012992,0.00009584,0.00010999,1.50739554,14171.23012835
20160202,0.00010000,0.00010999,0.00007751,0.00009793,3.46700460,38394.34513303
20160203,0.00009959,0.00014998,0.00009001,0.00011601,5.82107444,48224.12080114
20160204,0.00012500,0.00013640,0.00011113,0.00012999,1.13131622,9538.17481515
20160205,0.00011626,0.00011917,0.00008669,0.00010829,5.24497400,51947.96249625
20160206,0.00008703,0.00011520,0.00007121,0.00011520,3.53469979,40365.08224985
20160207,0.00010518,0.00011339,0.00007225,0.00008321,3.68888012,43756.07936307
20160208,0.00008538,0.00017000,0.00008108,0.00015160,6.75405722,55879.40939449
20160209,0.00015159,0.00018500,0.00010674,0.00016002,13.42407261,92369.74962807
20160210,0.00016000,0.00025119,0.00015001,0.00021995,76.19178592,370877.86422148
20160211,0.00021995,0.00022488,0.00015001,0.00022488,17.39715012,98893.58744238
20160212,0.00020395,0.00025000,0.00018020,0.00020140,12.11779298,60081.48753174
20160213,0.00023879,0.00023879,0.00016168,0.00021019,11.30893109,57679.25226269
20160214,0.00023069,0.00023074,0.00016681,0.00019370,7.26438045,39966.55773878
20160215,0.00019935,0.00052032,0.00019935,0.00039257,143.32953277,426483.51455681
20160216,0.00041470,0.00077000,0.00026100,0.00058001,138.53080209,247549.14327403
20160217,0.00059200,0.00059200,0.00032000,0.00040910,39.03163933,92438.06781056
20160218,0.00039501,0.00046730,0.00030001,0.00044484,15.59046856,40265.21198871
20160219,0.00044999,0.00143309,0.00042002,0.00103216,191.30508213,217335.45815418
20160220,0.00105219,0.00122999,0.00075411,0.00094986,60.77420522,62241.53748051
20160221,0.00094974,0.00102347,0.00058501,0.00060500,43.14220342,54413.62599060
