[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140405,0.00000750,0.00000820,0.00000450,0.00000500,0.03974650,6301.00000000
20140406,0.00000500,0.00000600,0.00000300,0.00000600,0.11722302,26509.00794793
20140407,0.00000650,0.00000824,0.00000600,0.00000600,0.04849850,7756.66061320
20140408,0.00000600,0.00000824,0.00000500,0.00000500,0.01352068,2481.39006544
20140409,0.00000500,0.00000500,0.00000500,0.00000500,0.01140217,2280.43400000
20140410,0.00000500,0.00000500,0.00000500,0.00000500,0.00604690,1209.38158324
20140411,0.00000500,0.00000500,0.00000500,0.00000500,0.00015000,30.00000000
20140412,0.00000500,0.00000500,0.00000450,0.00000451,0.00588372,1302.43479267
20140413,0.00000450,0.00000450,0.00000450,0.00000450,0.00177109,393.57561057
20140414,0.00000451,0.00000451,0.00000300,0.00000300,0.00237308,694.77641941
20140415,0.00000300,0.00000300,0.00000300,0.00000300,0.00341993,1139.98147630
20140416,0.00000300,0.00000300,0.00000299,0.00000300,0.00770360,2567.97063462
20140417,0.00000300,0.00000300,0.00000200,0.00000200,0.00125911,447.99886538
20140419,0.00000200,0.00000200,0.00000200,0.00000200,0.00600000,3000.00000000
20140420,0.00000447,0.00000447,0.00000200,0.00000200,0.00061378,294.54354239
20140422,0.00000447,0.00000550,0.00000200,0.00000200,0.00630758,1925.12380526
20140424,0.00000211,0.00000211,0.00000200,0.00000200,0.01828556,9117.23567821
20140425,0.00000211,0.00000211,0.00000211,0.00000211,0.00074489,353.02936538
20140426,0.00000222,0.00000222,0.00000220,0.00000220,0.00336258,1519.30995807
20140427,0.00000221,0.00000221,0.00000200,0.00000200,0.00105064,524.27474806
20140428,0.00000200,0.00000200,0.00000170,0.00000170,0.03141642,18126.31297851
20140429,0.00000170,0.00000170,0.00000150,0.00000150,0.00012602,82.68210066
20140501,0.00000170,0.00000200,0.00000170,0.00000200,0.00721669,3713.85389468
20140502,0.00000200,0.00000200,0.00000200,0.00000200,0.00411886,2059.43142145
20140504,0.00000160,0.00000160,0.00000152,0.00000152,0.00126674,802.27194438
20140505,0.00000153,0.00000180,0.00000152,0.00000152,0.09769089,54964.42148738
20140506,0.00000152,0.00000152,0.00000152,0.00000152,0.00001883,12.39013073
20140507,0.00000152,0.00000155,0.00000150,0.00000150,0.00884091,5852.00000000
20140509,0.00000170,0.00000550,0.00000001,0.00000220,0.12441907,61375.10007449
20140510,0.00000120,0.00000245,0.00000063,0.00000245,0.02576739,19720.64123429
20140511,0.00000250,0.00000794,0.00000200,0.00000205,6.13449811,1406367.03295688
20140512,0.00000324,0.00000344,0.00000206,0.00000250,0.03557300,11591.49780175
20140513,0.00000250,0.00000250,0.00000250,0.00000250,0.00133630,534.53008597
20140514,0.00000297,0.00000297,0.00000250,0.00000270,0.32593008,128190.24064231
20140515,0.00000225,0.00000235,0.00000225,0.00000235,0.01673160,7296.36032774
20140516,0.00000225,0.00000320,0.00000225,0.00000320,0.03949609,13685.55768308
20140517,0.00000315,0.00000700,0.00000240,0.00000640,1.08768322,228244.98619067
20140518,0.00000400,0.00000540,0.00000400,0.00000400,0.30451037,58767.01963269
20140519,0.00000540,0.00000640,0.00000404,0.00000640,0.46004351,85360.21587040
20140520,0.00000565,0.00000700,0.00000475,0.00000500,2.15498436,329433.65503368
20140521,0.00000475,0.00000666,0.00000356,0.00000401,1.78124440,293558.36730982
20140522,0.00000476,0.00000658,0.00000405,0.00000449,1.29198157,213466.78024689
20140523,0.00000449,0.00000690,0.00000406,0.00000526,0.72954313,115759.30138561
20140524,0.00000530,0.00000749,0.00000525,0.00000749,2.43207288,337478.16300046
20140525,0.00000526,0.00000749,0.00000500,0.00000734,0.39203393,71422.12032805
20140526,0.00000500,0.00000700,0.00000500,0.00000684,0.47690650,75442.68883239
20140527,0.00000500,0.00000684,0.00000420,0.00000629,1.63508908,274327.26955500
20140528,0.00000500,0.00000748,0.00000500,0.00000740,3.73397041,568351.50771812
20140529,0.00000746,0.00000747,0.00000550,0.00000747,1.94964469,286863.94214855
20140530,0.00000746,0.00000821,0.00000600,0.00000819,4.89609661,650473.11003504
20140531,0.00000824,0.00001750,0.00000621,0.00000901,28.06659290,2637762.94176212
20140601,0.00000893,0.00001432,0.00000759,0.00001302,10.84881051,1085221.00505233
20140602,0.00001300,0.00001304,0.00000800,0.00000801,3.33262362,312537.23379774
20140603,0.00000860,0.00001050,0.00000802,0.00000802,7.76525746,806996.89011847
20140604,0.00000802,0.00000997,0.00000650,0.00000690,2.50854339,342163.36518048
20140605,0.00000690,0.00000750,0.00000680,0.00000680,0.91633468,129814.27394739
20140606,0.00000680,0.00000750,0.00000575,0.00000750,0.52768334,78418.53564000
20140607,0.00000605,0.00000845,0.00000427,0.00000430,3.79142600,542618.28489356
20140608,0.00000426,0.00000849,0.00000111,0.00000500,2.35884669,335628.94239703
20140609,0.00000675,0.00000925,0.00000395,0.00000616,3.89597445,526295.83006933
20140610,0.00000616,0.00000888,0.00000400,0.00000500,1.29335463,244849.26321265
20140611,0.00000546,0.00000799,0.00000358,0.00000438,30.36249135,6215446.80717502
20140612,0.00000447,0.00000920,0.00000404,0.00000657,41.33643135,7773783.36502555
20140613,0.00000632,0.00001243,0.00000582,0.00000907,103.17126801,11988319.67445084
20140614,0.00000907,0.00001075,0.00000873,0.00001019,101.34871996,10333526.03150507
20140615,0.00001019,0.00001278,0.00000798,0.00000999,100.56346569,9225238.35188753
20140616,0.00000998,0.00001022,0.00000369,0.00000856,80.37498367,9191562.29057481
20140617,0.00000855,0.00000893,0.00000633,0.00000633,18.81148182,2525483.71000953
20140618,0.00000667,0.00000689,0.00000600,0.00000628,13.59450631,2148259.62880405
20140619,0.00000640,0.00000844,0.00000613,0.00000806,44.70662161,6432300.16868922
20140620,0.00000789,0.00000897,0.00000656,0.00000728,44.70921910,5796203.79173087
20140621,0.00000734,0.00000925,0.00000635,0.00000801,35.19619702,4484720.51833475
20140622,0.00000801,0.00000855,0.00000658,0.00000700,22.57739126,2963402.82251678
20140623,0.00000700,0.00000774,0.00000662,0.00000727,33.88809917,4872029.19363388
20140624,0.00000728,0.00000849,0.00000670,0.00000717,36.83430549,5085260.35340683
20140625,0.00000717,0.00000763,0.00000658,0.00000738,13.15023543,1819708.95513029
20140626,0.00000737,0.00000761,0.00000659,0.00000668,10.10525308,1408551.03218688
20140627,0.00000665,0.00000688,0.00000500,0.00000564,7.73603233,1232070.70244796
20140628,0.00000571,0.00000712,0.00000500,0.00000689,34.43141535,5113659.43229838
20140629,0.00000689,0.00000797,0.00000624,0.00000776,142.28520466,19635221.98772036
20140630,0.00000776,0.00001000,0.00000710,0.00000918,340.02292264,39009449.09067141
20140701,0.00000917,0.00000994,0.00000877,0.00000898,362.48383385,39623401.56692521
20140702,0.00000898,0.00003008,0.00000882,0.00001703,316.65825819,19890352.06356467
20140703,0.00001703,0.00002272,0.00001049,0.00001496,91.91863859,6056822.91661487
20140704,0.00001496,0.00001763,0.00001450,0.00001451,30.38791869,1895220.96285501
20140705,0.00001451,0.00001536,0.00001220,0.00001329,16.59145097,1212793.61602216
20140706,0.00001329,0.00001386,0.00000813,0.00000863,16.23020276,1418364.74484710
20140707,0.00000828,0.00001180,0.00000735,0.00000788,15.60714761,1671421.33152123
20140708,0.00000787,0.00001111,0.00000590,0.00000848,7.74745341,989823.64787770
20140709,0.00000869,0.00000964,0.00000775,0.00000775,5.58249857,660847.71209836
20140710,0.00000776,0.00000830,0.00000610,0.00000681,4.61647353,660339.50920793
20140711,0.00000663,0.00000927,0.00000661,0.00000800,4.75201001,638356.64095466
20140712,0.00000772,0.00000798,0.00000670,0.00000677,1.15906761,167365.40467273
20140713,0.00000677,0.00000700,0.00000600,0.00000610,1.37064814,216803.54926816
20140714,0.00000610,0.00000700,0.00000595,0.00000596,1.22132248,194598.96749699
20140715,0.00000603,0.00000696,0.00000596,0.00000607,0.77546793,119950.29799077
20140716,0.00000607,0.00000698,0.00000606,0.00000618,0.53160921,85011.79303177
20140717,0.00000628,0.00000700,0.00000610,0.00000620,0.66197098,103774.92356183
20140718,0.00000620,0.00000785,0.00000620,0.00000722,1.53738572,209113.94995333
20140719,0.00000721,0.00000831,0.00000715,0.00000820,2.86465171,373018.97509878
20140720,0.00000820,0.00001400,0.00000789,0.00001252,27.58616640,2532988.74141874
20140721,0.00001203,0.00001261,0.00000788,0.00001000,17.39995522,1658773.54934874
20140722,0.00001001,0.00001034,0.00000903,0.00000972,13.45105027,1367399.57436674
20140723,0.00000942,0.00001178,0.00000942,0.00001026,15.97992447,1510500.08100311
20140724,0.00001020,0.00001066,0.00000977,0.00001010,19.35949333,1881438.69275662
